LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:38.443000,7.0,GAS,10,0 days 00:33:30.085000,1.0,1.0,,,,0 days 00:00:39.272000,0 days 00:00:25.749000,,0 days 00:34:29.953000,0 days 00:34:55.806000,306.0,256.0,247.0,302.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:01:33.873000,7.0,GAS,10,0 days 00:35:30.084000,2.0,1.0,,,0 days 00:00:29.549000,0 days 00:00:38.408000,0 days 00:00:25.916000,0 days 00:35:25.241000,0 days 00:36:03.649000,0 days 00:36:29.565000,292.0,256.0,247.0,304.0,True,MEDIUM,5.0,False,AlphaTauri,0 days 00:34:55.700000,2020-08-09 13:14:55.746,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:01:33.235000,7.0,GAS,10,0 days 00:36:31.190000,3.0,1.0,,,0 days 00:00:29.278000,0 days 00:00:38.427000,0 days 00:00:25.530000,0 days 00:36:58.843000,0 days 00:37:37.270000,0 days 00:38:02.800000,306.0,257.0,245.0,321.0,True,MEDIUM,6.0,False,AlphaTauri,0 days 00:36:29.573000,2020-08-09 13:16:29.619,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.9,1001.2,False,42.8,19,1.9
0 days 00:01:33.557000,7.0,GAS,10,0 days 00:38:30.089000,4.0,1.0,,,0 days 00:00:29.173000,0 days 00:00:38.504000,0 days 00:00:25.880000,0 days 00:38:31.973000,0 days 00:39:10.477000,0 days 00:39:36.357000,307.0,253.0,244.0,316.0,False,MEDIUM,7.0,False,AlphaTauri,0 days 00:38:02.808000,2020-08-09 13:18:02.854,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:01:33.683000,7.0,GAS,10,0 days 00:40:30.107000,5.0,1.0,,,0 days 00:00:29.279000,0 days 00:00:38.597000,0 days 00:00:25.807000,0 days 00:40:05.636000,0 days 00:40:44.233000,0 days 00:41:10.040000,305.0,253.0,245.0,298.0,False,MEDIUM,8.0,False,AlphaTauri,0 days 00:39:36.365000,2020-08-09 13:19:36.411,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:01:33.544000,7.0,GAS,10,0 days 00:41:30.110000,6.0,1.0,,,0 days 00:00:29.360000,0 days 00:00:38.401000,0 days 00:00:25.783000,0 days 00:41:39.400000,0 days 00:42:17.801000,0 days 00:42:43.584000,290.0,255.0,246.0,297.0,False,MEDIUM,9.0,False,AlphaTauri,0 days 00:41:10.048000,2020-08-09 13:21:10.094,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:01:32.447000,7.0,GAS,10,0 days 00:43:30.119000,7.0,1.0,,0 days 00:44:10.185000,0 days 00:00:29.483000,0 days 00:00:38.139000,0 days 00:00:24.825000,0 days 00:43:13.067000,0 days 00:43:51.206000,0 days 00:44:16.031000,288.0,254.0,,300.0,False,MEDIUM,10.0,False,AlphaTauri,0 days 00:42:43.592000,2020-08-09 13:22:43.638,1,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:01:52.813000,18.0,GAS,10,0 days 00:44:30.103000,8.0,2.0,0 days 00:44:38.545000,,0 days 00:00:49.173000,0 days 00:00:38.148000,0 days 00:00:25.492000,0 days 00:45:05.204000,0 days 00:45:43.352000,0 days 00:46:08.844000,290.0,258.0,248.0,317.0,False,HARD,1.0,True,AlphaTauri,0 days 00:44:16.039000,2020-08-09 13:24:16.085,1,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,25.1,58.4,1001.0,False,43.1,285,3.0
0 days 00:01:33.844000,17.0,GAS,10,0 days 00:46:30.154000,9.0,2.0,,,0 days 00:00:29.158000,0 days 00:00:38.844000,0 days 00:00:25.842000,0 days 00:46:38.002000,0 days 00:47:16.846000,0 days 00:47:42.688000,322.0,261.0,248.0,326.0,False,HARD,2.0,True,AlphaTauri,0 days 00:46:08.852000,2020-08-09 13:26:08.898,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:01:33.188000,14.0,GAS,10,0 days 00:48:30.119000,10.0,2.0,,,0 days 00:00:29.253000,0 days 00:00:37.888000,0 days 00:00:26.047000,0 days 00:48:11.941000,0 days 00:48:49.829000,0 days 00:49:15.876000,304.0,260.0,244.0,335.0,True,HARD,3.0,True,AlphaTauri,0 days 00:47:42.696000,2020-08-09 13:27:42.742,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,58.1,1000.9,False,43.8,354,1.9
