LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.776000,16.0,GRO,8,0 days 00:33:30.085000,1.0,1.0,,,,0 days 00:00:40.698000,0 days 00:00:26.948000,,0 days 00:34:34.182000,0 days 00:35:01.171000,305.0,253.0,235.0,328.0,False,MEDIUM,4.0,False,Haas F1 Team,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:01:35.593000,16.0,GRO,8,0 days 00:35:30.084000,2.0,1.0,,,0 days 00:00:30.217000,0 days 00:00:39.154000,0 days 00:00:26.222000,0 days 00:35:31.268000,0 days 00:36:10.422000,0 days 00:36:36.644000,301.0,251.0,245.0,317.0,True,MEDIUM,5.0,False,Haas F1 Team,0 days 00:35:01.033000,2020-08-09 13:15:01.079,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:01:35.375000,16.0,GRO,8,0 days 00:37:30.077000,3.0,1.0,,,0 days 00:00:29.354000,0 days 00:00:39.646000,0 days 00:00:26.375000,0 days 00:37:05.998000,0 days 00:37:45.644000,0 days 00:38:12.019000,322.0,254.0,243.0,338.0,True,MEDIUM,6.0,False,Haas F1 Team,0 days 00:36:36.626000,2020-08-09 13:16:36.672,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.9,1001.1,False,43.0,66,1.9
0 days 00:01:35.218000,16.0,GRO,8,0 days 00:38:30.089000,4.0,1.0,,,0 days 00:00:30.219000,0 days 00:00:38.921000,0 days 00:00:26.078000,0 days 00:38:42.238000,0 days 00:39:21.159000,0 days 00:39:47.237000,315.0,252.0,244.0,333.0,True,MEDIUM,7.0,False,Haas F1 Team,0 days 00:38:12.001000,2020-08-09 13:18:12.047,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:01:34.982000,16.0,GRO,8,0 days 00:40:30.107000,5.0,1.0,,,0 days 00:00:29.555000,0 days 00:00:39.336000,0 days 00:00:26.091000,0 days 00:40:16.792000,0 days 00:40:56.128000,0 days 00:41:22.219000,321.0,254.0,240.0,332.0,True,MEDIUM,8.0,False,Haas F1 Team,0 days 00:39:47.219000,2020-08-09 13:19:47.265,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:01:34.547000,16.0,GRO,8,0 days 00:41:30.110000,6.0,1.0,,,0 days 00:00:29.519000,0 days 00:00:38.895000,0 days 00:00:26.133000,0 days 00:41:51.738000,0 days 00:42:30.633000,0 days 00:42:56.766000,315.0,254.0,243.0,334.0,True,MEDIUM,9.0,False,Haas F1 Team,0 days 00:41:22.201000,2020-08-09 13:21:22.247,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:01:34.402000,15.0,GRO,8,0 days 00:43:30.119000,7.0,1.0,,,0 days 00:00:29.635000,0 days 00:00:38.965000,0 days 00:00:25.802000,0 days 00:43:26.401000,0 days 00:44:05.366000,0 days 00:44:31.168000,316.0,252.0,243.0,333.0,True,MEDIUM,10.0,False,Haas F1 Team,0 days 00:42:56.748000,2020-08-09 13:22:56.794,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:01:33.970000,13.0,GRO,8,0 days 00:45:30.127000,8.0,1.0,,,0 days 00:00:29.441000,0 days 00:00:38.699000,0 days 00:00:25.830000,0 days 00:45:00.609000,0 days 00:45:39.308000,0 days 00:46:05.138000,299.0,252.0,243.0,326.0,True,MEDIUM,11.0,False,Haas F1 Team,0 days 00:44:31.150000,2020-08-09 13:24:31.196,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.3,58.2,1000.9,False,43.6,28,1.9
0 days 00:01:33.996000,13.0,GRO,8,0 days 00:46:30.154000,9.0,1.0,,,0 days 00:00:29.411000,0 days 00:00:38.711000,0 days 00:00:25.874000,0 days 00:46:34.549000,0 days 00:47:13.260000,0 days 00:47:39.134000,311.0,250.0,242.0,326.0,False,MEDIUM,12.0,False,Haas F1 Team,0 days 00:46:05.120000,2020-08-09 13:26:05.166,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:01:33.802000,12.0,GRO,8,0 days 00:48:30.119000,10.0,1.0,,,0 days 00:00:29.612000,0 days 00:00:38.238000,0 days 00:00:25.952000,0 days 00:48:08.746000,0 days 00:48:46.984000,0 days 00:49:12.936000,295.0,254.0,241.0,307.0,True,MEDIUM,13.0,False,Haas F1 Team,0 days 00:47:39.116000,2020-08-09 13:27:39.162,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,58.1,1000.9,False,43.8,354,1.9
0 days 00:01:33.576000,12.0,GRO,8,0 days 00:49:30.130000,11.0,1.0,,,0 days 00:00:29.613000,0 days 00:00:38.156000,0 days 00:00:25.807000,0 days 00:49:42.549000,0 days 00:50:20.705000,0 days 00:50:46.512000,296.0,255.0,243.0,308.0,True,MEDIUM,14.0,False,Haas F1 Team,0 days 00:49:12.918000,2020-08-09 13:29:12.964,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.5,58.5,1000.9,False,44.0,22,2.1
0 days 00:01:32.947000,12.0,GRO,8,0 days 00:51:30.127000,12.0,1.0,,,0 days 00:00:29.379000,0 days 00:00:38.066000,0 days 00:00:25.502000,0 days 00:51:15.891000,0 days 00:51:53.957000,0 days 00:52:19.459000,297.0,254.0,242.0,310.0,True,MEDIUM,15.0,False,Haas F1 Team,0 days 00:50:46.494000,2020-08-09 13:30:46.540,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.7,57.2,1000.9,False,44.0,30,2.7
0 days 00:01:33.420000,11.0,GRO,8,0 days 00:52:30.113000,13.0,1.0,,,0 days 00:00:29.519000,0 days 00:00:38.281000,0 days 00:00:25.620000,0 days 00:52:48.978000,0 days 00:53:27.259000,0 days 00:53:52.879000,299.0,256.0,245.0,311.0,False,MEDIUM,16.0,False,Haas F1 Team,0 days 00:52:19.441000,2020-08-09 13:32:19.487,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.7,56.8,1000.9,False,43.5,330,1.3
