LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:41.958000,13.0,MAG,20,0 days 00:33:30.085000,1.0,1.0,,,,0 days 00:00:40.245000,0 days 00:00:26.424000,,0 days 00:34:32.890000,0 days 00:34:59.346000,308.0,253.0,243.0,316.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:01:35.587000,13.0,MAG,20,0 days 00:35:30.084000,2.0,1.0,,,0 days 00:00:29.938000,0 days 00:00:39.332000,0 days 00:00:26.317000,0 days 00:35:29.179000,0 days 00:36:08.511000,0 days 00:36:34.828000,301.0,250.0,245.0,312.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:34:59.215000,2020-08-09 13:14:59.261,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:01:36.360000,14.0,MAG,20,0 days 00:37:30.077000,3.0,1.0,,,0 days 00:00:29.471000,0 days 00:00:39.855000,0 days 00:00:27.034000,0 days 00:37:04.299000,0 days 00:37:44.154000,0 days 00:38:11.188000,312.0,253.0,242.0,309.0,False,MEDIUM,3.0,True,Haas F1 Team,0 days 00:36:34.802000,2020-08-09 13:16:34.848,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.9,1001.1,False,43.0,66,1.9
0 days 00:01:34.897000,14.0,MAG,20,0 days 00:38:30.089000,4.0,1.0,,,0 days 00:00:29.578000,0 days 00:00:39.064000,0 days 00:00:26.255000,0 days 00:38:40.766000,0 days 00:39:19.830000,0 days 00:39:46.085000,311.0,252.0,240.0,308.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:38:11.162000,2020-08-09 13:18:11.208,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:01:34.648000,14.0,MAG,20,0 days 00:40:30.107000,5.0,1.0,,,0 days 00:00:29.511000,0 days 00:00:39.010000,0 days 00:00:26.127000,0 days 00:40:15.596000,0 days 00:40:54.606000,0 days 00:41:20.733000,300.0,252.0,241.0,308.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:39:46.059000,2020-08-09 13:19:46.105,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:01:34.640000,14.0,MAG,20,0 days 00:41:30.110000,6.0,1.0,,,0 days 00:00:29.586000,0 days 00:00:38.936000,0 days 00:00:26.118000,0 days 00:41:50.319000,0 days 00:42:29.255000,0 days 00:42:55.373000,297.0,253.0,240.0,308.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:41:20.707000,2020-08-09 13:21:20.753,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:01:34.452000,13.0,MAG,20,0 days 00:43:30.119000,7.0,1.0,,,0 days 00:00:29.594000,0 days 00:00:38.963000,0 days 00:00:25.895000,0 days 00:43:24.967000,0 days 00:44:03.930000,0 days 00:44:29.825000,295.0,252.0,242.0,310.0,True,MEDIUM,7.0,True,Haas F1 Team,0 days 00:42:55.347000,2020-08-09 13:22:55.393,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:01:34.360000,12.0,MAG,20,0 days 00:44:30.103000,8.0,1.0,,,0 days 00:00:29.695000,0 days 00:00:38.793000,0 days 00:00:25.872000,0 days 00:44:59.520000,0 days 00:45:38.313000,0 days 00:46:04.185000,296.0,253.0,241.0,311.0,True,MEDIUM,8.0,True,Haas F1 Team,0 days 00:44:29.799000,2020-08-09 13:24:29.845,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.4,1001.0,False,43.1,285,3.0
0 days 00:01:33.626000,12.0,MAG,20,0 days 00:46:30.154000,9.0,1.0,,0 days 00:47:32.162000,0 days 00:00:29.580000,0 days 00:00:38.809000,0 days 00:00:25.237000,0 days 00:46:33.765000,0 days 00:47:12.574000,0 days 00:47:37.811000,,251.0,,303.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:46:04.159000,2020-08-09 13:26:04.205,1,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:01:54.192000,19.0,MAG,20,0 days 00:48:30.119000,10.0,2.0,0 days 00:48:00.867000,,0 days 00:00:50.223000,0 days 00:00:38.345000,0 days 00:00:25.624000,0 days 00:48:28.034000,0 days 00:49:06.379000,0 days 00:49:32.003000,297.0,256.0,244.0,307.0,False,HARD,2.0,False,Haas F1 Team,0 days 00:47:37.785000,2020-08-09 13:27:37.831,1,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,25.4,58.1,1000.9,False,43.8,354,1.9
