LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:11.454000,1.0,BOT,77,0 days 00:33:38.694000,1.0,1.0,,,,0 days 00:00:30.505000,0 days 00:00:21.087000,,0 days 00:33:37.677000,0 days 00:33:58.870000,299.0,237.0,273.0,299.0,False,SOFT,4.0,False,Mercedes,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,False,,False,False,0,Austrian Grand Prix,10,1.0,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:01:09.441000,1.0,BOT,77,0 days 00:34:38.680000,2.0,1.0,,,0 days 00:00:17.440000,0 days 00:00:30.731000,0 days 00:00:21.270000,0 days 00:34:16.141000,0 days 00:34:46.872000,0 days 00:35:08.142000,290.0,230.0,272.0,292.0,True,SOFT,5.0,False,Mercedes,0 days 00:33:58.701000,2020-07-05 13:13:58.924,1,False,,False,True,0,Austrian Grand Prix,10,1.0,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:01:09.598000,1.0,BOT,77,0 days 00:35:38.698000,3.0,1.0,,,0 days 00:00:17.513000,0 days 00:00:30.749000,0 days 00:00:21.336000,0 days 00:35:25.655000,0 days 00:35:56.404000,0 days 00:36:17.740000,,230.0,270.0,290.0,False,SOFT,6.0,False,Mercedes,0 days 00:35:08.142000,2020-07-05 13:15:08.365,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:01:09.592000,1.0,BOT,77,0 days 00:36:38.698000,4.0,1.0,,,0 days 00:00:17.595000,0 days 00:00:30.844000,0 days 00:00:21.153000,0 days 00:36:35.335000,0 days 00:37:06.179000,0 days 00:37:27.332000,289.0,228.0,273.0,289.0,False,SOFT,7.0,False,Mercedes,0 days 00:36:17.740000,2020-07-05 13:16:17.963,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:01:09.159000,1.0,BOT,77,0 days 00:37:38.699000,5.0,1.0,,,0 days 00:00:17.410000,0 days 00:00:30.633000,0 days 00:00:21.116000,0 days 00:37:44.742000,0 days 00:38:15.375000,0 days 00:38:36.491000,291.0,231.0,274.0,290.0,True,SOFT,8.0,False,Mercedes,0 days 00:37:27.332000,2020-07-05 13:17:27.555,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.8,33.6,938.9,False,55.1,60,1.9
0 days 00:01:09.386000,1.0,BOT,77,0 days 00:38:38.690000,6.0,1.0,,,0 days 00:00:17.545000,0 days 00:00:30.742000,0 days 00:00:21.099000,0 days 00:38:54.036000,0 days 00:39:24.778000,0 days 00:39:45.877000,288.0,230.0,274.0,290.0,False,SOFT,9.0,False,Mercedes,0 days 00:38:36.491000,2020-07-05 13:18:36.714,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:01:09.051000,1.0,BOT,77,0 days 00:40:38.693000,7.0,1.0,,,0 days 00:00:17.521000,0 days 00:00:30.541000,0 days 00:00:20.989000,0 days 00:40:03.398000,0 days 00:40:33.939000,0 days 00:40:54.928000,293.0,235.0,273.0,295.0,True,SOFT,10.0,False,Mercedes,0 days 00:39:45.877000,2020-07-05 13:19:46.100,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:01:09.185000,1.0,BOT,77,0 days 00:41:38.685000,8.0,1.0,,,0 days 00:00:17.449000,0 days 00:00:30.702000,0 days 00:00:21.034000,0 days 00:41:12.377000,0 days 00:41:43.079000,0 days 00:42:04.113000,,232.0,276.0,294.0,False,SOFT,11.0,False,Mercedes,0 days 00:40:54.928000,2020-07-05 13:20:55.151,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:01:09.357000,1.0,BOT,77,0 days 00:42:38.677000,9.0,1.0,,,0 days 00:00:17.419000,0 days 00:00:30.705000,0 days 00:00:21.233000,0 days 00:42:21.532000,0 days 00:42:52.237000,0 days 00:43:13.470000,,233.0,274.0,293.0,False,SOFT,12.0,False,Mercedes,0 days 00:42:04.113000,2020-07-05 13:22:04.336,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:09.547000,4.0,BOT,77,0 days 00:42:38.677000,10.0,1.0,,,0 days 00:00:17.514000,0 days 00:00:30.686000,,0 days 00:49:58.778000,0 days 00:49:58.778000,,290.0,,,295.0,False,SOFT,13.0,False,Mercedes,0 days 00:43:13.470000,2020-07-05 13:23:13.693,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:09.300000,3.0,BOT,77,0 days 00:42:38.677000,11.0,1.0,,,,,0 days 00:00:21.100000,,,0 days 00:50:13.796000,,,274.0,,False,SOFT,14.0,False,Mercedes,0 days 00:49:00.782000,2020-07-05 13:29:01.005,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:09.417000,3.0,BOT,77,0 days 00:50:38.664000,12.0,1.0,,,0 days 00:00:17.508000,0 days 00:00:30.901000,0 days 00:00:21.008000,0 days 00:50:27.590000,0 days 00:50:58.491000,0 days 00:51:19.499000,291.0,233.0,275.0,294.0,False,SOFT,15.0,False,Mercedes,0 days 00:50:10.082000,2020-07-05 13:30:10.305,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.4,33.2,938.8,False,53.3,73,2.5
0 days 00:01:09.224000,3.0,BOT,77,0 days 00:51:38.664000,13.0,1.0,,,0 days 00:00:17.496000,0 days 00:00:30.843000,0 days 00:00:20.885000,0 days 00:51:36.995000,0 days 00:52:07.838000,0 days 00:52:28.723000,290.0,232.0,276.0,293.0,False,SOFT,16.0,False,Mercedes,0 days 00:51:19.499000,2020-07-05 13:31:19.722,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.2,938.8,False,53.3,88,2.7
0 days 00:01:09.049000,3.0,BOT,77,0 days 00:52:38.665000,14.0,1.0,,,0 days 00:00:17.528000,0 days 00:00:30.679000,0 days 00:00:20.842000,0 days 00:52:46.251000,0 days 00:53:16.930000,0 days 00:53:37.772000,291.0,233.0,276.0,296.0,True,SOFT,17.0,False,Mercedes,0 days 00:52:28.723000,2020-07-05 13:32:28.946,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,32.5,938.9,False,53.1,90,2.7
0 days 00:01:09.260000,3.0,BOT,77,0 days 00:53:38.665000,15.0,1.0,,,0 days 00:00:17.406000,0 days 00:00:30.818000,0 days 00:00:21.036000,0 days 00:53:55.178000,0 days 00:54:25.996000,0 days 00:54:47.032000,293.0,233.0,275.0,296.0,False,SOFT,18.0,False,Mercedes,0 days 00:53:37.772000,2020-07-05 13:33:37.995,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.5,938.8,False,53.0,64,2.8
0 days 00:01:09.512000,3.0,BOT,77,0 days 00:55:38.667000,16.0,1.0,,,0 days 00:00:17.491000,0 days 00:00:30.935000,0 days 00:00:21.086000,0 days 00:55:04.523000,0 days 00:55:35.458000,0 days 00:55:56.544000,292.0,233.0,273.0,295.0,False,SOFT,19.0,False,Mercedes,0 days 00:54:47.032000,2020-07-05 13:34:47.255,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,33.6,938.7,False,52.8,91,3.2
