LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:20.781000,17.0,RAI,7,0 days 00:33:38.694000,1.0,1.0,,,,0 days 00:00:33.766000,0 days 00:00:23.455000,,0 days 00:33:44.588000,0 days 00:34:08.097000,306.0,219.0,273.0,312.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,False,,False,False,0,Austrian Grand Prix,10,1.0,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:01:13.309000,17.0,RAI,7,0 days 00:34:38.680000,2.0,1.0,,,0 days 00:00:18.023000,0 days 00:00:32.835000,0 days 00:00:22.451000,0 days 00:34:26.010000,0 days 00:34:58.845000,0 days 00:35:21.296000,319.0,224.0,279.0,299.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:08.028000,2020-07-05 13:14:08.251,1,False,,False,True,0,Austrian Grand Prix,10,1.0,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:01:12.098000,17.0,RAI,7,0 days 00:35:38.698000,3.0,1.0,,,0 days 00:00:17.777000,0 days 00:00:32.245000,0 days 00:00:22.076000,0 days 00:35:39.073000,0 days 00:36:11.318000,0 days 00:36:33.394000,310.0,225.0,280.0,312.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:35:21.337000,2020-07-05 13:15:21.560,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:01:11.372000,17.0,RAI,7,0 days 00:36:38.698000,4.0,1.0,,,0 days 00:00:17.369000,0 days 00:00:32.159000,0 days 00:00:21.844000,0 days 00:36:50.763000,0 days 00:37:22.922000,0 days 00:37:44.766000,325.0,226.0,283.0,316.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:36:33.435000,2020-07-05 13:16:33.658,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:01:11.920000,17.0,RAI,7,0 days 00:38:38.690000,5.0,1.0,,,0 days 00:00:17.353000,0 days 00:00:32.198000,0 days 00:00:22.369000,0 days 00:38:02.119000,0 days 00:38:34.317000,0 days 00:38:56.686000,311.0,219.0,284.0,304.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:37:44.807000,2020-07-05 13:17:45.030,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:01:11.893000,17.0,RAI,7,0 days 00:39:38.691000,6.0,1.0,,,0 days 00:00:17.736000,0 days 00:00:32.127000,0 days 00:00:22.030000,0 days 00:39:14.422000,0 days 00:39:46.549000,0 days 00:40:08.579000,307.0,221.0,283.0,304.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:38:56.727000,2020-07-05 13:18:56.950,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:01:11.771000,17.0,RAI,7,0 days 00:40:38.693000,7.0,1.0,,,0 days 00:00:17.457000,0 days 00:00:32.056000,0 days 00:00:22.258000,0 days 00:40:26.036000,0 days 00:40:58.092000,0 days 00:41:20.350000,305.0,221.0,282.0,315.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:40:08.620000,2020-07-05 13:20:08.843,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:01:11.941000,17.0,RAI,7,0 days 00:41:38.685000,8.0,1.0,,,0 days 00:00:17.539000,0 days 00:00:32.202000,0 days 00:00:22.200000,0 days 00:41:37.889000,0 days 00:42:10.091000,0 days 00:42:32.291000,302.0,221.0,277.0,295.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:41:20.391000,2020-07-05 13:21:20.614,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,35.1,938.9,False,53.2,131,2.5
,19.0,RAI,7,0 days 00:42:38.677000,9.0,1.0,,,0 days 00:00:17.477000,0 days 00:00:31.850000,0 days 00:00:22.043000,0 days 00:49:59.247000,0 days 00:49:58.778000,0 days 00:49:58.778000,303.0,226.0,275.0,302.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:42:32.332000,2020-07-05 13:22:32.555,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:11.366000,19.0,RAI,7,0 days 00:50:38.664000,10.0,1.0,,,0 days 00:00:17.477000,0 days 00:00:31.899000,0 days 00:00:21.990000,,0 days 00:50:31.077000,0 days 00:50:53.067000,,229.0,279.0,299.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:49:41.742000,2020-07-05 13:29:41.965,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.4,33.2,938.8,False,53.3,73,2.5
0 days 00:01:11.588000,18.0,RAI,7,0 days 00:51:38.664000,11.0,1.0,,,0 days 00:00:17.613000,0 days 00:00:31.970000,0 days 00:00:22.005000,0 days 00:51:10.680000,0 days 00:51:42.650000,0 days 00:52:04.655000,312.0,222.0,280.0,319.0,False,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:50:53.108000,2020-07-05 13:30:53.331,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.2,938.8,False,53.3,88,2.7
0 days 00:01:11.213000,17.0,RAI,7,0 days 00:52:38.665000,12.0,1.0,,,0 days 00:00:17.327000,0 days 00:00:31.911000,0 days 00:00:21.975000,0 days 00:52:21.982000,0 days 00:52:53.893000,0 days 00:53:15.868000,314.0,225.0,277.0,312.0,True,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:52:04.696000,2020-07-05 13:32:04.919,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,32.5,938.9,False,53.1,90,2.7
0 days 00:01:10.375000,16.0,RAI,7,0 days 00:53:38.665000,13.0,1.0,,,0 days 00:00:17.350000,0 days 00:00:31.298000,0 days 00:00:21.727000,0 days 00:53:33.218000,0 days 00:54:04.516000,0 days 00:54:26.243000,319.0,228.0,275.0,317.0,True,MEDIUM,13.0,True,Alfa Romeo Racing,0 days 00:53:15.909000,2020-07-05 13:33:16.132,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.5,938.8,False,53.0,64,2.8
0 days 00:01:10.752000,16.0,RAI,7,0 days 00:54:38.667000,14.0,1.0,,,0 days 00:00:17.585000,0 days 00:00:31.498000,0 days 00:00:21.669000,0 days 00:54:43.828000,0 days 00:55:15.326000,0 days 00:55:36.995000,302.0,229.0,274.0,297.0,False,MEDIUM,14.0,True,Alfa Romeo Racing,0 days 00:54:26.284000,2020-07-05 13:34:26.507,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,34.2,938.7,False,52.9,92,2.4
