LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:12.787000,4.0,PER,11,0 days 00:33:38.483000,1.0,1.0,,0 days 00:35:47.466000,,0 days 00:01:05.892000,0 days 00:00:33.877000,,0 days 00:35:16.111000,0 days 00:35:50.121000,174.0,243.0,,262.0,False,MEDIUM,4.0,False,Racing Point,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.4,66.0,1015.3,False,28.6,244,1.0
,3.0,PER,11,0 days 01:55:38.868000,2.0,2.0,0 days 01:55:10.903000,,,0 days 00:01:22.853000,0 days 00:00:50.485000,,0 days 01:57:28.039000,0 days 01:58:18.963000,73.0,74.0,52.0,126.0,False,MEDIUM,6.0,False,Racing Point,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,68.7,1015.9,False,27.4,320,1.2
,3.0,PER,11,0 days 01:58:38.897000,3.0,2.0,,,0 days 00:01:37.649000,0 days 00:00:53.874000,0 days 00:00:31.578000,0 days 01:59:56.332000,0 days 02:00:50.024000,0 days 02:01:21.714000,238.0,241.0,260.0,257.0,False,MEDIUM,7.0,False,Racing Point,0 days 01:58:18.524000,2020-11-29 15:38:18.576,24,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,69.8,1015.9,False,27.3,316,1.3
0 days 00:02:22.056000,3.0,PER,11,0 days 02:01:38.942000,4.0,2.0,,,0 days 00:00:40.990000,0 days 00:01:08.678000,0 days 00:00:32.388000,0 days 02:02:02.542000,0 days 02:03:11.220000,0 days 02:03:43.608000,116.0,219.0,198.0,256.0,True,MEDIUM,8.0,False,Racing Point,0 days 02:01:21.552000,2020-11-29 15:41:21.604,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,71.7,1015.9,False,27.2,315,1.0
0 days 00:02:29.086000,3.0,PER,11,0 days 02:04:38.951000,5.0,2.0,,,0 days 00:00:42.981000,0 days 00:01:08.255000,0 days 00:00:37.850000,0 days 02:04:26.589000,0 days 02:05:34.844000,0 days 02:06:12.694000,167.0,157.0,246.0,263.0,False,MEDIUM,9.0,False,Racing Point,0 days 02:03:43.608000,2020-11-29 15:43:43.660,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 00:02:19.412000,3.0,PER,11,0 days 02:06:38.966000,6.0,2.0,,,0 days 00:00:42.083000,0 days 00:01:01.888000,0 days 00:00:35.441000,0 days 02:06:54.777000,0 days 02:07:56.665000,0 days 02:08:32.106000,106.0,138.0,233.0,145.0,True,MEDIUM,10.0,False,Racing Point,0 days 02:06:12.694000,2020-11-29 15:46:12.746,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 00:02:18.327000,3.0,PER,11,0 days 02:08:38.965000,7.0,2.0,,,0 days 00:00:42.918000,0 days 00:01:01.244000,0 days 00:00:34.165000,0 days 02:09:15.024000,0 days 02:10:16.268000,0 days 02:10:50.433000,160.0,102.0,231.0,141.0,True,MEDIUM,11.0,False,Racing Point,0 days 02:08:32.106000,2020-11-29 15:48:32.158,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.7,1016.0,False,27.2,296,1.0
,3.0,PER,11,0 days 02:11:38.940000,8.0,2.0,,,0 days 00:00:46.939000,0 days 00:01:03.117000,0 days 00:00:45.534000,0 days 02:11:37.402000,0 days 02:12:40.541000,0 days 02:13:26.212000,110.0,114.0,286.0,192.0,False,MEDIUM,12.0,False,Racing Point,0 days 02:10:50.433000,2020-11-29 15:50:50.485,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 00:01:35.363000,3.0,PER,11,0 days 02:13:38.946000,9.0,2.0,,,0 days 00:00:30.447000,0 days 00:00:41.340000,0 days 00:00:23.576000,0 days 02:13:56.500000,0 days 02:14:37.840000,0 days 02:15:01.416000,240.0,259.0,280.0,312.0,True,MEDIUM,13.0,False,Racing Point,0 days 02:13:26.053000,2020-11-29 15:53:26.105,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 00:01:35.087000,3.0,PER,11,0 days 02:15:38.968000,10.0,2.0,,,0 days 00:00:30.374000,0 days 00:00:41.217000,0 days 00:00:23.496000,0 days 02:15:31.790000,0 days 02:16:13.007000,0 days 02:16:36.503000,236.0,257.0,280.0,299.0,True,MEDIUM,14.0,False,Racing Point,0 days 02:15:01.416000,2020-11-29 15:55:01.468,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,300,0.8
