LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:09.912000,3.0,VER,33,0 days 00:33:38.483000,1.0,1.0,,0 days 00:35:45.034000,,0 days 00:01:02.313000,0 days 00:00:35.342000,,0 days 00:35:11.736000,0 days 00:35:47.204000,219.0,227.0,,259.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.4,66.0,1015.3,False,28.6,244,1.0
,2.0,VER,33,0 days 01:55:38.868000,2.0,2.0,0 days 01:55:09.655000,,,0 days 00:01:22.626000,0 days 00:00:49.061000,,0 days 01:57:27.165000,0 days 01:58:16.648000,91.0,77.0,59.0,117.0,False,MEDIUM,2.0,False,Red Bull Racing,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,68.7,1015.9,False,27.4,320,1.2
,2.0,VER,33,0 days 01:58:38.897000,3.0,2.0,,,0 days 00:01:39.003000,0 days 00:00:52.887000,0 days 00:00:30.649000,0 days 01:59:55.289000,0 days 02:00:48.107000,0 days 02:01:18.926000,236.0,243.0,263.0,253.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:58:16.226000,2020-11-29 15:38:16.278,24,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,69.8,1015.9,False,27.3,316,1.3
0 days 00:02:24.266000,2.0,VER,33,0 days 02:01:38.942000,4.0,2.0,,,0 days 00:00:42.921000,0 days 00:01:08.147000,0 days 00:00:33.198000,0 days 02:02:01.646000,0 days 02:03:09.793000,0 days 02:03:42.991000,101.0,214.0,197.0,118.0,True,MEDIUM,4.0,False,Red Bull Racing,0 days 02:01:18.725000,2020-11-29 15:41:18.777,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,71.7,1015.9,False,27.2,315,1.0
0 days 00:02:28.753000,2.0,VER,33,0 days 02:04:38.951000,5.0,2.0,,,0 days 00:00:42.593000,0 days 00:01:08.365000,0 days 00:00:37.795000,0 days 02:04:25.584000,0 days 02:05:33.949000,0 days 02:06:11.744000,138.0,195.0,235.0,251.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 02:03:42.991000,2020-11-29 15:43:43.043,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 00:02:18.960000,2.0,VER,33,0 days 02:06:38.966000,6.0,2.0,,,0 days 00:00:42.282000,0 days 00:01:01.754000,0 days 00:00:34.924000,0 days 02:06:54.026000,0 days 02:07:55.780000,0 days 02:08:30.704000,104.0,143.0,222.0,198.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 02:06:11.744000,2020-11-29 15:46:11.796,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 00:02:18.648000,2.0,VER,33,0 days 02:08:38.965000,7.0,2.0,,,0 days 00:00:43.336000,0 days 00:01:01.427000,0 days 00:00:33.885000,0 days 02:09:14.040000,0 days 02:10:15.467000,0 days 02:10:49.352000,169.0,122.0,216.0,218.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 02:08:30.704000,2020-11-29 15:48:30.756,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.7,1016.0,False,27.2,296,1.0
,2.0,VER,33,0 days 02:11:38.940000,8.0,2.0,,,0 days 00:00:47.059000,0 days 00:01:03.316000,0 days 00:00:45.918000,0 days 02:11:36.419000,0 days 02:12:39.817000,0 days 02:13:25.840000,91.0,138.0,282.0,225.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 02:10:49.352000,2020-11-29 15:50:49.404,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 00:01:34.185000,2.0,VER,33,0 days 02:13:38.946000,9.0,2.0,,,0 days 00:00:30.118000,0 days 00:00:40.816000,0 days 00:00:23.251000,0 days 02:13:55.765000,0 days 02:14:36.581000,0 days 02:14:59.832000,235.0,255.0,282.0,304.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 02:13:25.647000,2020-11-29 15:53:25.699,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 00:01:34.535000,2.0,VER,33,0 days 02:15:38.968000,10.0,2.0,,,0 days 00:00:30.158000,0 days 00:00:40.870000,0 days 00:00:23.507000,0 days 02:15:29.990000,0 days 02:16:10.860000,0 days 02:16:34.367000,,261.0,282.0,293.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 02:14:59.832000,2020-11-29 15:54:59.884,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,300,0.8
0 days 00:01:34.705000,2.0,VER,33,0 days 02:16:38.966000,11.0,2.0,,,0 days 00:00:30.288000,0 days 00:00:40.949000,0 days 00:00:23.468000,0 days 02:17:04.655000,0 days 02:17:45.604000,0 days 02:18:09.072000,234.0,257.0,282.0,290.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 02:16:34.367000,2020-11-29 15:56:34.419,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,0,0.0
0 days 00:01:34.699000,2.0,VER,33,0 days 02:18:38.954000,12.0,2.0,,,0 days 00:00:30.238000,0 days 00:00:40.964000,0 days 00:00:23.497000,0 days 02:18:39.310000,0 days 02:19:20.274000,0 days 02:19:43.771000,,257.0,282.0,,False,MEDIUM,12.0,False,Red Bull Racing,0 days 02:18:09.072000,2020-11-29 15:58:09.124,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.3,1016.0,False,27.3,272,0.3
0 days 00:01:35.153000,2.0,VER,33,0 days 02:20:38.967000,13.0,2.0,,,0 days 00:00:30.278000,0 days 00:00:41.263000,0 days 00:00:23.612000,0 days 02:20:14.049000,0 days 02:20:55.312000,0 days 02:21:18.924000,,254.0,281.0,291.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 02:19:43.771000,2020-11-29 15:59:43.823,2,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.0,1016.1,False,27.2,65,0.7
0 days 00:01:35.200000,2.0,VER,33,0 days 02:21:38.949000,14.0,2.0,,,0 days 00:00:30.339000,0 days 00:00:41.217000,0 days 00:00:23.644000,0 days 02:21:49.263000,0 days 02:22:30.480000,0 days 02:22:54.124000,235.0,254.0,280.0,293.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 02:21:18.924000,2020-11-29 16:01:18.976,2,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.1,71.6,1016.0,False,27.2,331,1.2
0 days 00:01:35.052000,2.0,VER,33,0 days 02:23:38.952000,15.0,2.0,,,0 days 00:00:30.272000,0 days 00:00:41.246000,0 days 00:00:23.534000,0 days 02:23:24.396000,0 days 02:24:05.642000,0 days 02:24:29.176000,,255.0,281.0,294.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 02:22:54.124000,2020-11-29 16:02:54.176,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,71.3,1016.0,False,27.0,0,0.6
0 days 00:01:35.589000,2.0,VER,33,0 days 02:24:38.960000,16.0,2.0,,,0 days 00:00:30.328000,0 days 00:00:41.611000,0 days 00:00:23.650000,0 days 02:24:59.504000,0 days 02:25:41.115000,0 days 02:26:04.765000,,255.0,281.0,291.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 02:24:29.176000,2020-11-29 16:04:29.228,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,24.9,71.3,1016.0,False,27.0,242,0.8
0 days 00:01:35.258000,2.0,VER,33,0 days 02:26:38.974000,17.0,2.0,,,0 days 00:00:30.304000,0 days 00:00:41.380000,0 days 00:00:23.574000,0 days 02:26:35.069000,0 days 02:27:16.449000,0 days 02:27:40.023000,236.0,255.0,281.0,293.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 02:26:04.765000,2020-11-29 16:06:04.817,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,70.8,1016.0,False,27.0,301,0.5
0 days 00:01:35.932000,2.0,VER,33,0 days 02:28:38.967000,18.0,2.0,,,0 days 00:00:30.395000,0 days 00:00:41.791000,0 days 00:00:23.746000,0 days 02:28:10.418000,0 days 02:28:52.209000,0 days 02:29:15.955000,234.0,256.0,280.0,291.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 02:27:40.023000,2020-11-29 16:07:40.075,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,70.3,1016.0,False,27.1,201,0.5
