LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:59.301000,11.0,GAS,10,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:53.392000,0 days 00:00:29.654000,,0 days 00:35:11.651000,0 days 00:35:41.416000,338.0,194.0,221.0,275.0,False,HARD,1.0,True,AlphaTauri,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:52.409000,9.0,GAS,10,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.997000,0 days 00:00:50.699000,0 days 00:00:29.713000,0 days 00:36:13.185000,0 days 00:37:03.884000,0 days 00:37:33.597000,322.0,190.0,218.0,291.0,True,HARD,2.0,True,AlphaTauri,0 days 00:35:41.221000,2020-08-30 13:15:41.285,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:51.368000,8.0,GAS,10,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:30.935000,0 days 00:00:50.680000,0 days 00:00:29.753000,0 days 00:38:04.532000,0 days 00:38:55.212000,0 days 00:39:24.965000,347.0,198.0,218.0,318.0,True,HARD,3.0,True,AlphaTauri,0 days 00:37:33.630000,2020-08-30 13:17:33.694,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:51.903000,8.0,GAS,10,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.226000,0 days 00:00:50.977000,0 days 00:00:29.700000,0 days 00:39:56.191000,0 days 00:40:47.168000,0 days 00:41:16.868000,331.0,196.0,218.0,313.0,False,HARD,4.0,True,AlphaTauri,0 days 00:39:24.998000,2020-08-30 13:19:25.062,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:51.803000,8.0,GAS,10,0 days 00:41:18.989000,5.0,1.0,,,0 days 00:00:31.110000,0 days 00:00:50.726000,0 days 00:00:29.967000,0 days 00:41:47.978000,0 days 00:42:38.704000,0 days 00:43:08.671000,341.0,185.0,218.0,316.0,False,HARD,5.0,True,AlphaTauri,0 days 00:41:16.901000,2020-08-30 13:21:16.965,1,True,TRACK LIMITS AT TURN 9,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:01:51.629000,8.0,GAS,10,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.221000,0 days 00:00:50.652000,0 days 00:00:29.756000,0 days 00:43:39.892000,0 days 00:44:30.544000,0 days 00:45:00.300000,328.0,196.0,218.0,315.0,False,HARD,6.0,True,AlphaTauri,0 days 00:43:08.704000,2020-08-30 13:23:08.768,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:51.773000,8.0,GAS,10,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.214000,0 days 00:00:50.766000,0 days 00:00:29.793000,0 days 00:45:31.514000,0 days 00:46:22.280000,0 days 00:46:52.073000,335.0,197.0,218.0,,False,HARD,7.0,True,AlphaTauri,0 days 00:45:00.333000,2020-08-30 13:25:00.397,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:51.915000,8.0,GAS,10,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:30.924000,0 days 00:00:51.182000,0 days 00:00:29.809000,0 days 00:47:22.997000,0 days 00:48:14.179000,0 days 00:48:43.988000,345.0,195.0,217.0,316.0,False,HARD,8.0,True,AlphaTauri,0 days 00:46:52.106000,2020-08-30 13:26:52.170,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:51.679000,8.0,GAS,10,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.283000,0 days 00:00:50.607000,0 days 00:00:29.789000,0 days 00:49:15.271000,0 days 00:50:05.878000,0 days 00:50:35.667000,331.0,197.0,215.0,314.0,False,HARD,9.0,True,AlphaTauri,0 days 00:48:44.021000,2020-08-30 13:28:44.085,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:01:52.989000,8.0,GAS,10,0 days 00:51:19.020000,10.0,1.0,,,0 days 00:00:31.709000,0 days 00:00:50.035000,0 days 00:00:31.245000,0 days 00:51:07.376000,0 days 00:51:57.411000,0 days 00:52:28.656000,315.0,194.0,157.0,311.0,False,HARD,10.0,True,AlphaTauri,0 days 00:50:35.700000,2020-08-30 13:30:35.764,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
