LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:03.895000,19.0,GRO,8,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:55.626000,0 days 00:00:30.373000,,0 days 00:35:15.520000,0 days 00:35:45.920000,326.0,184.0,219.0,260.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:54.568000,18.0,GRO,8,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.915000,0 days 00:00:52.508000,0 days 00:00:30.145000,0 days 00:36:17.738000,0 days 00:37:10.246000,0 days 00:37:40.391000,302.0,187.0,213.0,297.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:45.815000,2020-08-30 13:15:45.879,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:53.520000,18.0,GRO,8,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.417000,0 days 00:00:51.842000,0 days 00:00:30.261000,0 days 00:38:11.808000,0 days 00:39:03.650000,0 days 00:39:33.911000,330.0,186.0,214.0,315.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:37:40.383000,2020-08-30 13:17:40.447,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:53.055000,18.0,GRO,8,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.500000,0 days 00:00:51.406000,0 days 00:00:30.149000,0 days 00:40:05.411000,0 days 00:40:56.817000,0 days 00:41:26.966000,336.0,191.0,214.0,311.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:39:33.903000,2020-08-30 13:19:33.967,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:53.040000,18.0,GRO,8,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:31.464000,0 days 00:00:51.402000,0 days 00:00:30.174000,0 days 00:41:58.430000,0 days 00:42:49.832000,0 days 00:43:20.006000,334.0,188.0,215.0,,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:41:26.958000,2020-08-30 13:21:27.022,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:51.859000,17.0,GRO,8,0 days 00:44:18.987000,6.0,1.0,,,0 days 00:00:31.350000,0 days 00:00:50.508000,0 days 00:00:30.001000,0 days 00:43:51.356000,0 days 00:44:41.864000,0 days 00:45:11.865000,331.0,193.0,214.0,314.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:43:19.998000,2020-08-30 13:23:20.062,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.6,962.4,False,30.6,5,1.2
0 days 00:01:52.380000,17.0,GRO,8,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.779000,0 days 00:00:50.608000,0 days 00:00:29.993000,0 days 00:45:43.644000,0 days 00:46:34.252000,0 days 00:47:04.245000,319.0,196.0,214.0,308.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:45:11.857000,2020-08-30 13:25:11.921,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:52.455000,17.0,GRO,8,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.824000,0 days 00:00:50.507000,0 days 00:00:30.124000,0 days 00:47:36.069000,0 days 00:48:26.576000,0 days 00:48:56.700000,321.0,192.0,214.0,,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:47:04.237000,2020-08-30 13:27:04.301,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:52.333000,17.0,GRO,8,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.697000,0 days 00:00:50.566000,0 days 00:00:30.070000,0 days 00:49:28.397000,0 days 00:50:18.963000,0 days 00:50:49.033000,,195.0,213.0,310.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:48:56.692000,2020-08-30 13:28:56.756,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:02:06.920000,15.0,GRO,8,0 days 00:51:19.020000,10.0,1.0,,0 days 00:52:52.255000,0 days 00:00:31.995000,0 days 00:00:52.473000,0 days 00:00:42.452000,0 days 00:51:21.028000,0 days 00:52:13.501000,0 days 00:52:55.953000,314.0,191.0,,306.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:50:49.025000,2020-08-30 13:30:49.089,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
