LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:00.069000,12.0,NOR,4,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:54.177000,0 days 00:00:29.640000,,0 days 00:35:12.367000,0 days 00:35:42.155000,323.0,197.0,220.0,277.0,False,SOFT,4.0,False,McLaren,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:53.824000,11.0,NOR,4,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.387000,0 days 00:00:52.646000,0 days 00:00:29.791000,0 days 00:36:13.382000,0 days 00:37:06.028000,0 days 00:37:35.819000,333.0,193.0,215.0,308.0,True,SOFT,5.0,False,McLaren,0 days 00:35:41.989000,2020-08-30 13:15:42.053,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:52.256000,11.0,NOR,4,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.520000,0 days 00:00:50.896000,0 days 00:00:29.840000,0 days 00:38:07.339000,0 days 00:38:58.235000,0 days 00:39:28.075000,324.0,192.0,216.0,312.0,True,SOFT,6.0,False,McLaren,0 days 00:37:35.813000,2020-08-30 13:17:35.877,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:52.350000,11.0,NOR,4,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.575000,0 days 00:00:50.927000,0 days 00:00:29.848000,0 days 00:39:59.650000,0 days 00:40:50.577000,0 days 00:41:20.425000,321.0,189.0,216.0,,False,SOFT,7.0,False,McLaren,0 days 00:39:28.069000,2020-08-30 13:19:28.133,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:52.414000,11.0,NOR,4,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:31.427000,0 days 00:00:51.035000,0 days 00:00:29.952000,0 days 00:41:51.852000,0 days 00:42:42.887000,0 days 00:43:12.839000,334.0,189.0,215.0,316.0,False,SOFT,8.0,False,McLaren,0 days 00:41:20.419000,2020-08-30 13:21:20.483,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:51.799000,10.0,NOR,4,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.195000,0 days 00:00:50.527000,0 days 00:00:30.077000,0 days 00:43:44.034000,0 days 00:44:34.561000,0 days 00:45:04.638000,341.0,188.0,216.0,317.0,True,SOFT,9.0,False,McLaren,0 days 00:43:12.833000,2020-08-30 13:23:12.897,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:51.741000,10.0,NOR,4,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.823000,0 days 00:00:49.954000,0 days 00:00:29.964000,0 days 00:45:36.461000,0 days 00:46:26.415000,0 days 00:46:56.379000,313.0,192.0,215.0,310.0,True,SOFT,10.0,False,McLaren,0 days 00:45:04.632000,2020-08-30 13:25:04.696,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:51.481000,10.0,NOR,4,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.875000,0 days 00:00:49.658000,0 days 00:00:29.948000,0 days 00:47:28.254000,0 days 00:48:17.912000,0 days 00:48:47.860000,314.0,192.0,217.0,,True,SOFT,11.0,False,McLaren,0 days 00:46:56.373000,2020-08-30 13:26:56.437,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:51.560000,10.0,NOR,4,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.772000,0 days 00:00:49.877000,0 days 00:00:29.911000,0 days 00:49:19.632000,0 days 00:50:09.509000,0 days 00:50:39.420000,315.0,192.0,215.0,,False,SOFT,12.0,False,McLaren,0 days 00:48:47.854000,2020-08-30 13:28:47.918,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:01:56.381000,10.0,NOR,4,0 days 00:51:19.020000,10.0,1.0,,,0 days 00:00:31.992000,0 days 00:00:49.607000,0 days 00:00:34.782000,0 days 00:51:11.412000,0 days 00:52:01.019000,0 days 00:52:35.801000,313.0,192.0,66.0,309.0,False,SOFT,13.0,False,McLaren,0 days 00:50:39.414000,2020-08-30 13:30:39.478,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
