LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:59.136000,10.0,PER,11,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:52.928000,0 days 00:00:30.398000,,0 days 00:35:10.702000,0 days 00:35:41.297000,316.0,191.0,213.0,281.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:53.617000,10.0,PER,11,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:32.172000,0 days 00:00:51.737000,0 days 00:00:29.708000,0 days 00:36:13.234000,0 days 00:37:04.971000,0 days 00:37:34.679000,343.0,192.0,218.0,275.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:41.056000,2020-08-30 13:15:41.120,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:52.338000,10.0,PER,11,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.194000,0 days 00:00:51.362000,0 days 00:00:29.782000,0 days 00:38:05.873000,0 days 00:38:57.235000,0 days 00:39:27.017000,334.0,192.0,217.0,313.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:34.673000,2020-08-30 13:17:34.737,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:51.241000,9.0,PER,11,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.051000,0 days 00:00:50.354000,0 days 00:00:29.836000,0 days 00:39:58.068000,0 days 00:40:48.422000,0 days 00:41:18.258000,344.0,193.0,218.0,319.0,True,SOFT,7.0,False,Racing Point,0 days 00:39:27.011000,2020-08-30 13:19:27.075,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:51.689000,9.0,PER,11,0 days 00:41:18.989000,5.0,1.0,,,0 days 00:00:31.498000,0 days 00:00:50.362000,0 days 00:00:29.829000,0 days 00:41:49.756000,0 days 00:42:40.118000,0 days 00:43:09.947000,317.0,184.0,218.0,316.0,False,SOFT,8.0,False,Racing Point,0 days 00:41:18.252000,2020-08-30 13:21:18.316,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:01:51.716000,9.0,PER,11,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.424000,0 days 00:00:50.535000,0 days 00:00:29.757000,0 days 00:43:41.371000,0 days 00:44:31.906000,0 days 00:45:01.663000,319.0,192.0,217.0,315.0,False,SOFT,9.0,False,Racing Point,0 days 00:43:09.941000,2020-08-30 13:23:10.005,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:51.666000,9.0,PER,11,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.376000,0 days 00:00:50.603000,0 days 00:00:29.687000,0 days 00:45:33.039000,0 days 00:46:23.642000,0 days 00:46:53.329000,321.0,192.0,216.0,313.0,False,SOFT,10.0,False,Racing Point,0 days 00:45:01.657000,2020-08-30 13:25:01.721,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:51.890000,9.0,PER,11,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.602000,0 days 00:00:50.434000,0 days 00:00:29.854000,0 days 00:47:24.931000,0 days 00:48:15.365000,0 days 00:48:45.219000,316.0,192.0,216.0,312.0,False,SOFT,11.0,False,Racing Point,0 days 00:46:53.323000,2020-08-30 13:26:53.387,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:51.828000,9.0,PER,11,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.670000,0 days 00:00:50.349000,0 days 00:00:29.809000,0 days 00:49:16.889000,0 days 00:50:07.238000,0 days 00:50:37.047000,318.0,195.0,215.0,311.0,False,SOFT,12.0,False,Racing Point,0 days 00:48:45.213000,2020-08-30 13:28:45.277,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:01:53.804000,9.0,PER,11,0 days 00:51:19.020000,10.0,1.0,,,0 days 00:00:31.783000,0 days 00:00:50.043000,0 days 00:00:31.978000,0 days 00:51:08.830000,0 days 00:51:58.873000,0 days 00:52:30.851000,,194.0,147.0,,False,SOFT,13.0,False,Racing Point,0 days 00:50:37.041000,2020-08-30 13:30:37.105,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
