LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:03.357000,17.0,RAI,7,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:55.009000,0 days 00:00:30.240000,,0 days 00:35:15.175000,0 days 00:35:45.436000,279.0,193.0,203.0,256.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:53.992000,16.0,RAI,7,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:32.264000,0 days 00:00:51.314000,0 days 00:00:30.414000,0 days 00:36:17.534000,0 days 00:37:08.848000,0 days 00:37:39.262000,319.0,188.0,213.0,305.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:45.277000,2020-08-30 13:15:45.341,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:52.884000,16.0,RAI,7,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.651000,0 days 00:00:51.190000,0 days 00:00:30.043000,0 days 00:38:10.913000,0 days 00:39:02.103000,0 days 00:39:32.146000,339.0,193.0,217.0,311.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:37:39.269000,2020-08-30 13:17:39.333,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:51.940000,15.0,RAI,7,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.512000,0 days 00:00:50.505000,0 days 00:00:29.923000,0 days 00:40:03.658000,0 days 00:40:54.163000,0 days 00:41:24.086000,335.0,195.0,216.0,314.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:39:32.153000,2020-08-30 13:19:32.217,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:52.223000,15.0,RAI,7,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:31.613000,0 days 00:00:50.489000,0 days 00:00:30.121000,0 days 00:41:55.699000,0 days 00:42:46.188000,0 days 00:43:16.309000,314.0,187.0,216.0,309.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:41:24.093000,2020-08-30 13:21:24.157,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:52.887000,15.0,RAI,7,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.648000,0 days 00:00:51.074000,0 days 00:00:30.165000,0 days 00:43:47.957000,0 days 00:44:39.031000,0 days 00:45:09.196000,334.0,191.0,214.0,307.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:43:16.316000,2020-08-30 13:23:16.380,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:52.997000,15.0,RAI,7,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.385000,0 days 00:00:51.233000,0 days 00:00:30.379000,0 days 00:45:40.581000,0 days 00:46:31.814000,0 days 00:47:02.193000,326.0,193.0,213.0,311.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:45:09.203000,2020-08-30 13:25:09.267,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:52.207000,15.0,RAI,7,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.662000,0 days 00:00:50.455000,0 days 00:00:30.090000,0 days 00:47:33.855000,0 days 00:48:24.310000,0 days 00:48:54.400000,332.0,192.0,214.0,306.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:47:02.200000,2020-08-30 13:27:02.264,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:51.843000,15.0,RAI,7,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.425000,0 days 00:00:50.400000,0 days 00:00:30.018000,0 days 00:49:25.825000,0 days 00:50:16.225000,0 days 00:50:46.243000,337.0,195.0,207.0,310.0,True,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:48:54.407000,2020-08-30 13:28:54.471,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:02:03.917000,14.0,RAI,7,0 days 00:51:19.020000,10.0,1.0,,0 days 00:52:46.554000,0 days 00:00:31.926000,0 days 00:00:50.121000,0 days 00:00:41.870000,0 days 00:51:18.169000,0 days 00:52:08.290000,0 days 00:52:50.160000,327.0,196.0,,306.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:50:46.250000,2020-08-30 13:30:46.314,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
,13.0,RAI,7,0 days 00:53:19.022000,11.0,2.0,0 days 00:53:09.423000,,0 days 00:00:53.068000,0 days 00:01:13.021000,0 days 00:00:34.825000,0 days 00:53:43.257000,0 days 00:54:56.277000,0 days 00:55:31.225000,188.0,151.0,198.0,215.0,False,HARD,1.0,False,Alfa Romeo Racing,0 days 00:52:50.167000,2020-08-30 13:32:50.231,4,False,,False,False,0,Belgian Grand Prix,19,91.0,19.1,53.0,962.3,False,31.0,45,0.9
