LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.077000,13.0,ALB,23,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:40.219000,0 days 00:00:27.100000,,0 days 00:34:38.961000,0 days 00:35:06.130000,296.0,254.0,205.0,307.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:12.634000,12.0,ALB,23,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:45.661000,0 days 00:00:50.621000,0 days 00:00:36.352000,0 days 00:35:51.692000,0 days 00:36:42.313000,0 days 00:37:18.665000,117.0,245.0,115.0,278.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:35:06.031000,2020-08-02 13:15:06.045,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
,12.0,ALB,23,0 days 00:37:23.577000,3.0,1.0,,,0 days 00:00:45.228000,0 days 00:01:02.616000,0 days 00:00:42.225000,0 days 00:38:03.921000,0 days 00:39:06.819000,0 days 00:39:48.832000,185.0,88.0,87.0,154.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:37:18.665000,2020-08-02 13:17:18.679,4,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.8,998.6,False,42.3,179,4.7
,12.0,ALB,23,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:47.403000,0 days 00:01:05.358000,0 days 00:00:41.754000,0 days 00:40:36.101000,0 days 00:41:41.527000,0 days 00:42:23.304000,208.0,219.0,71.0,209.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:39:48.762000,2020-08-02 13:19:48.776,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:08.780000,12.0,ALB,23,0 days 00:42:23.577000,5.0,1.0,,,0 days 00:00:43.191000,0 days 00:00:53.330000,0 days 00:00:32.259000,0 days 00:43:06.399000,0 days 00:43:59.729000,0 days 00:44:31.988000,138.0,202.0,246.0,172.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:42:23.208000,2020-08-02 13:22:23.222,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:01:35.837000,13.0,ALB,23,0 days 00:45:23.582000,6.0,1.0,,0 days 00:46:01.962000,0 days 00:00:30.373000,0 days 00:00:39.146000,0 days 00:00:26.318000,0 days 00:45:02.361000,0 days 00:45:41.507000,0 days 00:46:07.825000,277.0,247.0,,284.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:44:31.988000,2020-08-02 13:24:32.002,1,True,TRACK LIMITS AT TURN 9,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:54.670000,18.0,ALB,23,0 days 00:46:23.580000,7.0,2.0,0 days 00:46:30.797000,,0 days 00:00:50.824000,0 days 00:00:37.969000,0 days 00:00:25.877000,0 days 00:46:58.649000,0 days 00:47:36.618000,0 days 00:48:02.495000,277.0,250.0,249.0,281.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:46:07.825000,2020-08-02 13:26:07.839,1,False,,False,False,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:31.828000,18.0,ALB,23,0 days 00:48:23.581000,8.0,2.0,,,0 days 00:00:29.247000,0 days 00:00:37.139000,0 days 00:00:25.442000,0 days 00:48:31.742000,0 days 00:49:08.881000,0 days 00:49:34.323000,278.0,253.0,249.0,285.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:48:02.495000,2020-08-02 13:28:02.509,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:32.407000,18.0,ALB,23,0 days 00:50:23.584000,9.0,2.0,,,0 days 00:00:29.970000,0 days 00:00:37.241000,0 days 00:00:25.196000,0 days 00:50:04.293000,0 days 00:50:41.534000,0 days 00:51:06.730000,280.0,254.0,250.0,300.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:49:34.323000,2020-08-02 13:29:34.337,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.5,998.6,False,42.2,197,3.4
0 days 00:01:32.208000,18.0,ALB,23,0 days 00:51:23.587000,10.0,2.0,,,0 days 00:00:29.537000,0 days 00:00:37.236000,0 days 00:00:25.435000,0 days 00:51:36.267000,0 days 00:52:13.503000,0 days 00:52:38.938000,278.0,254.0,249.0,286.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:51:06.730000,2020-08-02 13:31:06.744,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
