LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:45.776000,19.0,LAT,6,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:41.922000,0 days 00:00:27.344000,,0 days 00:34:41.378000,0 days 00:35:08.811000,288.0,246.0,236.0,307.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:22.751000,2020-08-02 13:13:22.765,2,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:18.757000,18.0,LAT,6,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:50.848000,0 days 00:00:51.060000,0 days 00:00:36.849000,0 days 00:35:59.570000,0 days 00:36:50.630000,0 days 00:37:27.479000,87.0,227.0,107.0,254.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:08.722000,2020-08-02 13:15:08.736,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
,18.0,LAT,6,0 days 00:38:23.577000,3.0,1.0,,,0 days 00:00:46.689000,0 days 00:00:59.528000,0 days 00:00:44.491000,0 days 00:38:14.215000,0 days 00:39:14.004000,0 days 00:39:58.386000,184.0,84.0,67.0,246.0,False,MEDIUM,3.0,True,Williams,0 days 00:37:27.479000,2020-08-02 13:17:27.493,4,False,,False,False,0,British Grand Prix,18,92.0,20.8,43.0,998.6,False,42.4,223,2.8
,18.0,LAT,6,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:47.579000,0 days 00:01:06.284000,0 days 00:00:40.951000,0 days 00:40:45.742000,0 days 00:41:52.040000,0 days 00:42:33.121000,257.0,215.0,72.0,248.0,False,MEDIUM,4.0,True,Williams,0 days 00:39:58.234000,2020-08-02 13:19:58.248,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:02.869000,18.0,LAT,6,0 days 00:43:23.583000,5.0,1.0,,,0 days 00:00:43.576000,0 days 00:00:48.563000,0 days 00:00:30.730000,0 days 00:43:16.541000,0 days 00:44:05.104000,0 days 00:44:35.834000,232.0,247.0,244.0,273.0,True,MEDIUM,5.0,True,Williams,0 days 00:42:32.965000,2020-08-02 13:22:32.979,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,41.3,236,2.7
0 days 00:01:35.352000,18.0,LAT,6,0 days 00:45:23.582000,6.0,1.0,,,0 days 00:00:30.193000,0 days 00:00:38.951000,0 days 00:00:26.208000,0 days 00:45:06.027000,0 days 00:45:44.978000,0 days 00:46:11.186000,294.0,249.0,245.0,303.0,True,MEDIUM,6.0,True,Williams,0 days 00:44:35.834000,2020-08-02 13:24:35.848,1,False,,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:34.776000,17.0,LAT,6,0 days 00:46:23.580000,7.0,1.0,,,0 days 00:00:30.338000,0 days 00:00:38.211000,0 days 00:00:26.227000,0 days 00:46:41.524000,0 days 00:47:19.735000,0 days 00:47:45.962000,277.0,252.0,247.0,287.0,True,MEDIUM,7.0,True,Williams,0 days 00:46:11.186000,2020-08-02 13:26:11.200,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:33.672000,17.0,LAT,6,0 days 00:48:23.581000,8.0,1.0,,,0 days 00:00:29.930000,0 days 00:00:37.987000,0 days 00:00:25.755000,0 days 00:48:15.892000,0 days 00:48:53.879000,0 days 00:49:19.634000,283.0,252.0,247.0,300.0,True,MEDIUM,8.0,True,Williams,0 days 00:47:45.962000,2020-08-02 13:27:45.976,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:34.243000,17.0,LAT,6,0 days 00:49:23.586000,9.0,1.0,,,0 days 00:00:29.987000,0 days 00:00:38.340000,0 days 00:00:25.916000,0 days 00:49:49.621000,0 days 00:50:27.961000,0 days 00:50:53.877000,282.0,251.0,246.0,292.0,False,MEDIUM,9.0,True,Williams,0 days 00:49:19.634000,2020-08-02 13:29:19.648,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:01:33.964000,17.0,LAT,6,0 days 00:51:23.587000,10.0,1.0,,,0 days 00:00:29.902000,0 days 00:00:38.258000,0 days 00:00:25.804000,0 days 00:51:23.779000,0 days 00:52:02.037000,0 days 00:52:27.841000,283.0,251.0,246.0,297.0,False,MEDIUM,10.0,True,Williams,0 days 00:50:53.877000,2020-08-02 13:30:53.891,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
