LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:37.904000,5.0,LEC,16,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:38.828000,0 days 00:00:25.762000,,0 days 00:34:35.138000,0 days 00:35:00.954000,311.0,252.0,250.0,306.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:07.127000,4.0,LEC,16,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:36.355000,0 days 00:00:52.888000,0 days 00:00:37.884000,0 days 00:35:37.184000,0 days 00:36:30.072000,0 days 00:37:07.956000,161.0,196.0,118.0,229.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:35:00.829000,2020-08-02 13:15:00.843,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
0 days 00:02:29.468000,4.0,LEC,16,0 days 00:37:23.577000,3.0,1.0,,,0 days 00:00:47.581000,0 days 00:01:01.949000,0 days 00:00:39.938000,0 days 00:37:55.537000,0 days 00:38:57.486000,0 days 00:39:37.424000,128.0,165.0,81.0,241.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:37:07.956000,2020-08-02 13:17:07.970,4,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.8,998.6,False,42.3,179,4.7
,4.0,LEC,16,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:47.245000,0 days 00:01:04.747000,0 days 00:00:41.320000,0 days 00:40:24.667000,0 days 00:41:29.442000,0 days 00:42:10.945000,141.0,133.0,92.0,254.0,False,MEDIUM,7.0,False,Ferrari,0 days 00:39:37.424000,2020-08-02 13:19:37.438,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:18.180000,4.0,LEC,16,0 days 00:42:23.577000,5.0,1.0,,,0 days 00:00:43.207000,0 days 00:01:00.510000,0 days 00:00:34.463000,0 days 00:42:53.941000,0 days 00:43:54.451000,0 days 00:44:28.914000,253.0,184.0,245.0,234.0,False,MEDIUM,8.0,False,Ferrari,0 days 00:42:10.734000,2020-08-02 13:22:10.748,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:01:33.695000,4.0,LEC,16,0 days 00:45:23.582000,6.0,1.0,,,0 days 00:00:29.375000,0 days 00:00:37.620000,0 days 00:00:26.700000,0 days 00:44:58.289000,0 days 00:45:35.909000,0 days 00:46:02.609000,298.0,252.0,236.0,304.0,True,MEDIUM,9.0,False,Ferrari,0 days 00:44:28.914000,2020-08-02 13:24:28.928,1,False,,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:32.950000,4.0,LEC,16,0 days 00:46:23.580000,7.0,1.0,,,0 days 00:00:29.472000,0 days 00:00:37.588000,0 days 00:00:25.890000,0 days 00:46:32.081000,0 days 00:47:09.669000,0 days 00:47:35.559000,288.0,251.0,248.0,295.0,True,MEDIUM,10.0,False,Ferrari,0 days 00:46:02.609000,2020-08-02 13:26:02.623,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:32.248000,4.0,LEC,16,0 days 00:48:23.581000,8.0,1.0,,,0 days 00:00:29.211000,0 days 00:00:37.503000,0 days 00:00:25.534000,0 days 00:48:04.770000,0 days 00:48:42.273000,0 days 00:49:07.807000,287.0,252.0,249.0,295.0,True,MEDIUM,11.0,False,Ferrari,0 days 00:47:35.559000,2020-08-02 13:27:35.573,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:32.519000,4.0,LEC,16,0 days 00:49:23.586000,9.0,1.0,,,0 days 00:00:29.259000,0 days 00:00:37.662000,0 days 00:00:25.598000,0 days 00:49:37.066000,0 days 00:50:14.728000,0 days 00:50:40.326000,293.0,252.0,248.0,300.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:49:07.807000,2020-08-02 13:29:07.821,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:01:32.319000,4.0,LEC,16,0 days 00:51:23.587000,10.0,1.0,,,0 days 00:00:29.299000,0 days 00:00:37.520000,0 days 00:00:25.500000,0 days 00:51:09.625000,0 days 00:51:47.145000,0 days 00:52:12.645000,,252.0,248.0,299.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:50:40.326000,2020-08-02 13:30:40.340,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
