LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.921000,8.0,NOR,4,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:40.271000,0 days 00:00:26.259000,,0 days 00:34:36.636000,0 days 00:35:02.952000,313.0,253.0,250.0,296.0,False,SOFT,4.0,False,McLaren,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:09.723000,7.0,NOR,4,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:42.424000,0 days 00:00:50.489000,0 days 00:00:36.810000,0 days 00:35:45.319000,0 days 00:36:35.808000,0 days 00:37:12.618000,180.0,212.0,128.0,244.0,True,SOFT,5.0,False,McLaren,0 days 00:35:02.895000,2020-08-02 13:15:02.909,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
0 days 00:02:29.223000,7.0,NOR,4,0 days 00:37:23.577000,3.0,1.0,,,0 days 00:00:45.823000,0 days 00:01:02.227000,0 days 00:00:41.173000,0 days 00:37:58.441000,0 days 00:39:00.668000,0 days 00:39:41.841000,139.0,134.0,71.0,243.0,False,SOFT,6.0,False,McLaren,0 days 00:37:12.618000,2020-08-02 13:17:12.632,4,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.8,998.6,False,42.3,179,4.7
,7.0,NOR,4,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:46.229000,0 days 00:01:04.476000,0 days 00:00:43.918000,0 days 00:40:28.060000,0 days 00:41:32.548000,0 days 00:42:16.587000,105.0,138.0,93.0,216.0,False,SOFT,7.0,False,McLaren,0 days 00:39:41.841000,2020-08-02 13:19:41.855,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:13.298000,7.0,NOR,4,0 days 00:42:23.577000,5.0,1.0,,,0 days 00:00:40.948000,0 days 00:00:59.219000,0 days 00:00:33.131000,0 days 00:42:57.352000,0 days 00:43:56.571000,0 days 00:44:29.702000,251.0,167.0,245.0,216.0,False,SOFT,8.0,False,McLaren,0 days 00:42:16.404000,2020-08-02 13:22:16.418,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:01:34.741000,7.0,NOR,4,0 days 00:45:23.582000,6.0,1.0,,,0 days 00:00:30.244000,0 days 00:00:38.398000,0 days 00:00:26.099000,0 days 00:44:59.946000,0 days 00:45:38.344000,0 days 00:46:04.443000,288.0,255.0,248.0,295.0,True,SOFT,9.0,False,McLaren,0 days 00:44:29.702000,2020-08-02 13:24:29.716,1,False,,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:34.278000,7.0,NOR,4,0 days 00:46:23.580000,7.0,1.0,,,0 days 00:00:29.828000,0 days 00:00:38.342000,0 days 00:00:26.108000,0 days 00:46:34.271000,0 days 00:47:12.613000,0 days 00:47:38.721000,286.0,255.0,249.0,293.0,True,SOFT,10.0,False,McLaren,0 days 00:46:04.443000,2020-08-02 13:26:04.457,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:33.053000,7.0,NOR,4,0 days 00:48:23.581000,8.0,1.0,,,0 days 00:00:29.482000,0 days 00:00:37.823000,0 days 00:00:25.748000,0 days 00:48:08.203000,0 days 00:48:46.026000,0 days 00:49:11.774000,295.0,257.0,248.0,308.0,True,SOFT,11.0,False,McLaren,0 days 00:47:38.721000,2020-08-02 13:27:38.735,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:33.414000,7.0,NOR,4,0 days 00:49:23.586000,9.0,1.0,,,0 days 00:00:29.514000,0 days 00:00:37.979000,0 days 00:00:25.921000,0 days 00:49:41.288000,0 days 00:50:19.267000,0 days 00:50:45.188000,,256.0,248.0,291.0,False,SOFT,12.0,False,McLaren,0 days 00:49:11.774000,2020-08-02 13:29:11.788,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:01:33.164000,7.0,NOR,4,0 days 00:51:23.587000,10.0,1.0,,,0 days 00:00:29.581000,0 days 00:00:37.773000,0 days 00:00:25.810000,0 days 00:51:14.769000,0 days 00:51:52.542000,0 days 00:52:18.352000,284.0,257.0,247.0,292.0,False,SOFT,13.0,False,McLaren,0 days 00:50:45.188000,2020-08-02 13:30:45.202,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
0 days 00:01:32.759000,7.0,NOR,4,0 days 00:52:23.590000,11.0,1.0,,,0 days 00:00:29.531000,0 days 00:00:37.545000,0 days 00:00:25.683000,0 days 00:52:47.883000,0 days 00:53:25.428000,0 days 00:53:51.111000,286.0,259.0,249.0,306.0,True,SOFT,14.0,False,McLaren,0 days 00:52:18.352000,2020-08-02 13:32:18.366,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.6,998.6,False,42.2,192,3.4
0 days 00:01:39.733000,7.0,NOR,4,0 days 00:54:23.611000,12.0,1.0,,0 days 00:55:24.949000,0 days 00:00:29.742000,0 days 00:00:37.810000,0 days 00:00:32.181000,0 days 00:54:20.853000,0 days 00:54:58.663000,0 days 00:55:30.844000,,257.0,,290.0,False,SOFT,15.0,False,McLaren,0 days 00:53:51.111000,2020-08-02 13:33:51.125,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,44.6,998.4,False,41.7,222,2.4
0 days 00:02:26.132000,9.0,NOR,4,0 days 00:56:23.607000,13.0,2.0,0 days 00:55:55.310000,,0 days 00:01:00.105000,0 days 00:00:53.990000,0 days 00:00:32.037000,0 days 00:56:30.949000,0 days 00:57:24.939000,0 days 00:57:56.976000,205.0,230.0,236.0,249.0,False,HARD,1.0,True,McLaren,0 days 00:55:30.844000,2020-08-02 13:35:30.858,4,False,,False,False,0,British Grand Prix,18,92.0,21.5,43.6,998.4,False,41.8,203,3.8
0 days 00:02:08.388000,8.0,NOR,4,0 days 00:58:23.610000,14.0,2.0,,,0 days 00:00:38.240000,0 days 00:00:48.035000,0 days 00:00:42.113000,0 days 00:58:35.216000,0 days 00:59:23.251000,0 days 01:00:05.364000,182.0,230.0,106.0,243.0,False,HARD,2.0,True,McLaren,0 days 00:57:56.976000,2020-08-02 13:37:56.990,4,False,,False,False,0,British Grand Prix,18,92.0,21.4,43.3,998.4,False,41.7,239,4.0
,8.0,NOR,4,0 days 01:00:23.611000,15.0,2.0,,,0 days 00:00:44.952000,0 days 00:01:09.256000,0 days 00:00:37.037000,0 days 01:00:50.368000,0 days 01:01:59.616000,0 days 01:02:36.731000,153.0,168.0,193.0,266.0,False,HARD,3.0,True,McLaren,0 days 01:00:05.364000,2020-08-02 13:40:05.378,4,False,,False,False,0,British Grand Prix,18,92.0,21.4,43.0,998.3,False,42.0,203,3.4
,8.0,NOR,4,0 days 01:03:23.611000,16.0,2.0,,,0 days 00:00:49.264000,0 days 00:01:12.965000,0 days 00:00:37.575000,0 days 01:03:25.961000,0 days 01:04:38.919000,0 days 01:05:16.550000,127.0,191.0,81.0,264.0,False,HARD,4.0,True,McLaren,0 days 01:02:36.653000,2020-08-02 13:42:36.667,4,False,,False,False,0,British Grand Prix,18,92.0,21.4,42.7,998.4,False,42.4,214,4.4
,8.0,NOR,4,0 days 01:05:23.628000,17.0,2.0,,,0 days 00:00:44.685000,,,0 days 01:06:01.186000,,,122.0,,83.0,266.0,False,HARD,5.0,True,McLaren,0 days 01:05:16.494000,2020-08-02 13:45:16.508,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,44.3,998.3,False,39.8,239,3.6
0 days 00:02:16.924000,8.0,NOR,4,0 days 01:08:23.650000,18.0,2.0,,,0 days 00:00:42.130000,0 days 00:00:59.335000,0 days 00:00:35.459000,0 days 01:08:31.124000,0 days 01:09:30.459000,0 days 01:10:05.918000,226.0,199.0,241.0,223.0,False,HARD,6.0,True,McLaren,0 days 01:07:48.994000,2020-08-02 13:47:49.008,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,45.3,998.3,False,38.5,230,2.5
0 days 00:01:34.515000,7.0,NOR,4,0 days 01:10:23.652000,19.0,2.0,,,0 days 00:00:29.867000,0 days 00:00:38.788000,0 days 00:00:25.860000,0 days 01:10:35.785000,0 days 01:11:14.573000,0 days 01:11:40.433000,316.0,255.0,250.0,306.0,False,HARD,7.0,True,McLaren,0 days 01:10:05.918000,2020-08-02 13:50:05.932,1,True,TRACK LIMITS AT TURN 9,False,False,0,British Grand Prix,18,92.0,21.3,45.0,998.3,False,41.0,198,3.1
0 days 00:01:33.129000,7.0,NOR,4,0 days 01:12:23.677000,20.0,2.0,,,0 days 00:00:29.521000,0 days 00:00:37.973000,0 days 00:00:25.635000,0 days 01:12:09.954000,0 days 01:12:47.927000,0 days 01:13:13.562000,286.0,257.0,251.0,291.0,False,HARD,8.0,True,McLaren,0 days 01:11:40.433000,2020-08-02 13:51:40.447,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,45.9,998.3,False,40.0,286,1.3
0 days 00:01:32.513000,7.0,NOR,4,0 days 01:13:23.689000,21.0,2.0,,,0 days 00:00:29.347000,0 days 00:00:37.632000,0 days 00:00:25.534000,0 days 01:13:42.909000,0 days 01:14:20.541000,0 days 01:14:46.075000,290.0,257.0,251.0,295.0,True,HARD,9.0,True,McLaren,0 days 01:13:13.562000,2020-08-02 13:53:13.576,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,45.8,998.2,False,40.0,244,1.1
0 days 00:01:32.152000,7.0,NOR,4,0 days 01:15:23.702000,22.0,2.0,,,0 days 00:00:29.287000,0 days 00:00:37.424000,0 days 00:00:25.441000,0 days 01:15:15.362000,0 days 01:15:52.786000,0 days 01:16:18.227000,,256.0,252.0,294.0,True,HARD,10.0,True,McLaren,0 days 01:14:46.075000,2020-08-02 13:54:46.089,1,False,,False,True,0,British Grand Prix,18,92.0,21.8,45.1,998.2,False,41.6,195,1.5
0 days 00:01:32.597000,7.0,NOR,4,0 days 01:16:23.703000,23.0,2.0,,,0 days 00:00:29.249000,0 days 00:00:37.800000,0 days 00:00:25.548000,0 days 01:16:47.476000,0 days 01:17:25.276000,0 days 01:17:50.824000,305.0,260.0,252.0,309.0,False,HARD,11.0,True,McLaren,0 days 01:16:18.227000,2020-08-02 13:56:18.241,1,False,,False,True,0,British Grand Prix,18,92.0,21.9,44.7,998.2,False,41.6,223,1.8
0 days 00:01:32.042000,6.0,NOR,4,0 days 01:18:23.716000,24.0,2.0,,,0 days 00:00:29.278000,0 days 00:00:37.407000,0 days 00:00:25.357000,0 days 01:18:20.102000,0 days 01:18:57.509000,0 days 01:19:22.866000,302.0,260.0,247.0,326.0,True,HARD,12.0,True,McLaren,0 days 01:17:50.824000,2020-08-02 13:57:50.838,1,False,,False,True,0,British Grand Prix,18,92.0,21.8,45.1,998.2,False,41.6,223,3.8
0 days 00:01:32.065000,6.0,NOR,4,0 days 01:19:23.721000,25.0,2.0,,,0 days 00:00:29.435000,0 days 00:00:37.066000,0 days 00:00:25.564000,0 days 01:19:52.301000,0 days 01:20:29.367000,0 days 01:20:54.931000,282.0,258.0,250.0,290.0,False,HARD,13.0,True,McLaren,0 days 01:19:22.866000,2020-08-02 13:59:22.880,1,False,,False,True,0,British Grand Prix,18,92.0,21.5,45.4,998.3,False,39.9,201,3.8
0 days 00:01:32.075000,6.0,NOR,4,0 days 01:21:23.721000,26.0,2.0,,,0 days 00:00:29.439000,0 days 00:00:37.289000,0 days 00:00:25.347000,0 days 01:21:24.370000,0 days 01:22:01.659000,0 days 01:22:27.006000,,258.0,250.0,289.0,False,HARD,14.0,True,McLaren,0 days 01:20:54.931000,2020-08-02 14:00:54.945,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,45.6,998.2,False,39.5,213,3.2
0 days 00:01:32.107000,6.0,NOR,4,0 days 01:23:23.740000,27.0,2.0,,,0 days 00:00:29.432000,0 days 00:00:37.226000,0 days 00:00:25.449000,0 days 01:22:56.438000,0 days 01:23:33.664000,0 days 01:23:59.113000,283.0,258.0,250.0,290.0,False,HARD,15.0,True,McLaren,0 days 01:22:27.006000,2020-08-02 14:02:27.020,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.8,998.2,False,38.7,216,3.6
0 days 00:01:31.646000,6.0,NOR,4,0 days 01:24:23.738000,28.0,2.0,,,0 days 00:00:29.257000,0 days 00:00:37.157000,0 days 00:00:25.232000,0 days 01:24:28.370000,0 days 01:25:05.527000,0 days 01:25:30.759000,284.0,258.0,251.0,290.0,True,HARD,16.0,True,McLaren,0 days 01:23:59.113000,2020-08-02 14:03:59.127,1,False,,False,True,0,British Grand Prix,18,92.0,20.9,44.7,998.3,False,37.8,184,2.2
0 days 00:01:31.481000,6.0,NOR,4,0 days 01:26:23.739000,29.0,2.0,,,0 days 00:00:29.322000,0 days 00:00:37.006000,0 days 00:00:25.153000,0 days 01:26:00.081000,0 days 01:26:37.087000,0 days 01:27:02.240000,282.0,258.0,251.0,291.0,True,HARD,17.0,True,McLaren,0 days 01:25:30.759000,2020-08-02 14:05:30.773,1,False,,False,True,0,British Grand Prix,18,92.0,21.0,45.2,998.3,False,39.1,228,2.5
0 days 00:01:31.648000,6.0,NOR,4,0 days 01:27:23.743000,30.0,2.0,,,0 days 00:00:29.409000,0 days 00:00:37.063000,0 days 00:00:25.176000,0 days 01:27:31.649000,0 days 01:28:08.712000,0 days 01:28:33.888000,284.0,258.0,251.0,290.0,False,HARD,18.0,True,McLaren,0 days 01:27:02.240000,2020-08-02 14:07:02.254,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,45.3,998.3,False,38.3,223,1.8
0 days 00:01:31.436000,6.0,NOR,4,0 days 01:29:23.745000,31.0,2.0,,,0 days 00:00:29.307000,0 days 00:00:36.962000,0 days 00:00:25.167000,0 days 01:29:03.195000,0 days 01:29:40.157000,0 days 01:30:05.324000,,260.0,251.0,289.0,True,HARD,19.0,True,McLaren,0 days 01:28:33.888000,2020-08-02 14:08:33.902,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,45.0,998.2,False,39.1,231,1.9
0 days 00:01:31.343000,6.0,NOR,4,0 days 01:30:23.747000,32.0,2.0,,,0 days 00:00:29.154000,0 days 00:00:37.015000,0 days 00:00:25.174000,0 days 01:30:34.478000,0 days 01:31:11.493000,0 days 01:31:36.667000,285.0,260.0,251.0,291.0,True,HARD,20.0,True,McLaren,0 days 01:30:05.324000,2020-08-02 14:10:05.338,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.5,998.2,False,40.4,211,2.9
0 days 00:01:31.262000,6.0,NOR,4,0 days 01:32:23.756000,33.0,2.0,,,0 days 00:00:29.279000,0 days 00:00:36.848000,0 days 00:00:25.135000,0 days 01:32:05.946000,0 days 01:32:42.794000,0 days 01:33:07.929000,,258.0,251.0,293.0,True,HARD,21.0,True,McLaren,0 days 01:31:36.667000,2020-08-02 14:11:36.681,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.2,998.2,False,40.5,193,3.2
0 days 00:01:30.975000,6.0,NOR,4,0 days 01:33:23.746000,34.0,2.0,,,0 days 00:00:29.109000,0 days 00:00:36.736000,0 days 00:00:25.130000,0 days 01:33:37.038000,0 days 01:34:13.774000,0 days 01:34:38.904000,281.0,259.0,251.0,291.0,True,HARD,22.0,True,McLaren,0 days 01:33:07.929000,2020-08-02 14:13:07.943,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,45.2,998.2,False,40.7,181,2.1
0 days 00:01:31.281000,6.0,NOR,4,0 days 01:35:23.749000,35.0,2.0,,,0 days 00:00:29.384000,0 days 00:00:36.909000,0 days 00:00:24.988000,0 days 01:35:08.288000,0 days 01:35:45.197000,0 days 01:36:10.185000,282.0,257.0,251.0,289.0,False,HARD,23.0,True,McLaren,0 days 01:34:38.904000,2020-08-02 14:14:38.918,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,44.1,998.2,False,41.3,222,3.5
0 days 00:01:30.854000,6.0,NOR,4,0 days 01:36:23.773000,36.0,2.0,,,0 days 00:00:29.244000,0 days 00:00:36.635000,0 days 00:00:24.975000,0 days 01:36:39.429000,0 days 01:37:16.064000,0 days 01:37:41.039000,284.0,260.0,253.0,291.0,True,HARD,24.0,True,McLaren,0 days 01:36:10.185000,2020-08-02 14:16:10.199,1,False,,False,True,0,British Grand Prix,18,92.0,21.7,43.4,998.3,False,41.8,218,4.0
