LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:36.913000,4.0,VER,33,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:37.985000,0 days 00:00:25.688000,,0 days 00:34:34.210000,0 days 00:34:59.925000,301.0,255.0,248.0,291.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:06.326000,3.0,VER,33,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:36.070000,0 days 00:00:53.173000,0 days 00:00:37.083000,0 days 00:35:35.965000,0 days 00:36:29.138000,0 days 00:37:06.221000,140.0,202.0,102.0,248.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:34:59.895000,2020-08-02 13:14:59.909,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
,3.0,VER,33,0 days 00:37:23.577000,3.0,1.0,,,0 days 00:00:48.454000,0 days 00:01:00.205000,0 days 00:00:41.563000,0 days 00:37:54.690000,0 days 00:38:54.843000,0 days 00:39:36.495000,125.0,150.0,84.0,226.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:37:06.221000,2020-08-02 13:17:06.235,4,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.8,998.6,False,42.3,179,4.7
,3.0,VER,33,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:47.043000,0 days 00:01:04.698000,0 days 00:00:41.256000,0 days 00:40:23.502000,0 days 00:41:28.195000,0 days 00:42:09.505000,161.0,145.0,99.0,203.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:39:36.406000,2020-08-02 13:19:36.420,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:18.752000,3.0,VER,33,0 days 00:42:23.577000,5.0,1.0,,,0 days 00:00:43.655000,0 days 00:00:59.319000,0 days 00:00:35.778000,0 days 00:42:53.027000,0 days 00:43:52.346000,0 days 00:44:28.124000,247.0,197.0,247.0,147.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:42:09.372000,2020-08-02 13:22:09.386,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:01:31.959000,3.0,VER,33,0 days 00:45:23.582000,6.0,1.0,,,0 days 00:00:29.223000,0 days 00:00:37.280000,0 days 00:00:25.456000,0 days 00:44:57.347000,0 days 00:45:34.627000,0 days 00:46:00.083000,283.0,255.0,250.0,291.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:44:28.124000,2020-08-02 13:24:28.138,1,False,,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:32.018000,3.0,VER,33,0 days 00:46:23.580000,7.0,1.0,,,0 days 00:00:29.292000,0 days 00:00:37.194000,0 days 00:00:25.532000,0 days 00:46:29.375000,0 days 00:47:06.569000,0 days 00:47:32.101000,282.0,255.0,250.0,288.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:46:00.083000,2020-08-02 13:26:00.097,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:31.374000,3.0,VER,33,0 days 00:48:23.581000,8.0,1.0,,,0 days 00:00:29.192000,0 days 00:00:36.890000,0 days 00:00:25.292000,0 days 00:48:01.293000,0 days 00:48:38.183000,0 days 00:49:03.475000,281.0,255.0,251.0,289.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 00:47:32.101000,2020-08-02 13:27:32.115,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:31.460000,3.0,VER,33,0 days 00:49:23.586000,9.0,1.0,,,0 days 00:00:29.273000,0 days 00:00:36.864000,0 days 00:00:25.323000,0 days 00:49:32.748000,0 days 00:50:09.612000,0 days 00:50:34.935000,284.0,256.0,250.0,290.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:49:03.475000,2020-08-02 13:29:03.489,1,False,,False,True,0,British Grand Prix,18,92.0,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:01:31.143000,3.0,VER,33,0 days 00:51:23.587000,10.0,1.0,,,0 days 00:00:29.150000,0 days 00:00:36.872000,0 days 00:00:25.121000,0 days 00:51:04.085000,0 days 00:51:40.957000,0 days 00:52:06.078000,285.0,256.0,251.0,292.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 00:50:34.935000,2020-08-02 13:30:34.949,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
