LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.776000,13.0,GAS,10,0 days 00:00:27.318000,1.0,1.0,,,,0 days 00:00:42.142000,0 days 00:00:25.042000,,0 days 00:01:19.108000,0 days 00:01:44.179000,259.0,218.0,250.0,296.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:01:37.911000,14.0,GAS,10,0 days 00:02:27.318000,2.0,1.0,,,0 days 00:00:32.788000,0 days 00:00:40.608000,0 days 00:00:24.515000,0 days 00:02:16.824000,0 days 00:02:57.432000,0 days 00:03:21.947000,252.0,222.0,245.0,293.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:01:44.049000,2020-10-11 12:14:58.640,1,False,,False,True,0,Eifel Grand Prix,15,327.0,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:01:35.490000,14.0,GAS,10,0 days 00:03:27.321000,3.0,1.0,,,0 days 00:00:31.382000,0 days 00:00:39.811000,0 days 00:00:24.297000,0 days 00:03:53.329000,0 days 00:04:33.140000,0 days 00:04:57.437000,258.0,221.0,247.0,293.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:03:21.960000,2020-10-11 12:16:36.551,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:01:34.495000,14.0,GAS,10,0 days 00:05:27.325000,4.0,1.0,,,0 days 00:00:31.024000,0 days 00:00:39.478000,0 days 00:00:23.993000,0 days 00:05:28.461000,0 days 00:06:07.939000,0 days 00:06:31.932000,,221.0,245.0,296.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:04:57.450000,2020-10-11 12:18:12.041,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:01:34.167000,14.0,GAS,10,0 days 00:07:27.341000,5.0,1.0,,,0 days 00:00:30.961000,0 days 00:00:39.289000,0 days 00:00:23.917000,0 days 00:07:02.893000,0 days 00:07:42.182000,0 days 00:08:06.099000,259.0,222.0,249.0,312.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:06:31.945000,2020-10-11 12:19:46.536,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.5,False,17.7,80,2.4
0 days 00:01:34.393000,14.0,GAS,10,0 days 00:08:27.355000,6.0,1.0,,,0 days 00:00:31.007000,0 days 00:00:39.372000,0 days 00:00:24.014000,0 days 00:08:37.106000,0 days 00:09:16.478000,0 days 00:09:40.492000,258.0,218.0,253.0,313.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:08:06.112000,2020-10-11 12:21:20.703,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:01:34.333000,14.0,GAS,10,0 days 00:10:27.373000,7.0,1.0,,,0 days 00:00:31.068000,0 days 00:00:39.470000,0 days 00:00:23.795000,0 days 00:10:11.560000,0 days 00:10:51.030000,0 days 00:11:14.825000,256.0,223.0,254.0,314.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:09:40.505000,2020-10-11 12:22:55.096,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:01:34.717000,13.0,GAS,10,0 days 00:11:27.397000,8.0,1.0,,,0 days 00:00:31.191000,0 days 00:00:39.574000,0 days 00:00:23.952000,0 days 00:11:46.016000,0 days 00:12:25.590000,0 days 00:12:49.542000,255.0,221.0,253.0,317.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:11:14.838000,2020-10-11 12:24:29.429,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:01:34.719000,13.0,GAS,10,0 days 00:13:27.411000,9.0,1.0,,,0 days 00:00:31.030000,0 days 00:00:39.697000,0 days 00:00:23.992000,0 days 00:13:20.572000,0 days 00:14:00.269000,0 days 00:14:24.261000,259.0,220.0,253.0,315.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 00:12:49.555000,2020-10-11 12:26:04.146,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:01:34.817000,13.0,GAS,10,0 days 00:14:27.422000,10.0,1.0,,,0 days 00:00:31.365000,0 days 00:00:39.486000,0 days 00:00:23.966000,0 days 00:14:55.626000,0 days 00:15:35.112000,0 days 00:15:59.078000,,221.0,253.0,314.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:14:24.274000,2020-10-11 12:27:38.865,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.8,57.6,947.5,False,16.6,177,1.6
0 days 00:01:35.552000,10.0,GAS,10,0 days 00:16:27.441000,11.0,1.0,,,0 days 00:00:31.838000,0 days 00:00:39.525000,0 days 00:00:24.189000,0 days 00:16:30.916000,0 days 00:17:10.441000,0 days 00:17:34.630000,254.0,223.0,248.0,289.0,False,MEDIUM,11.0,True,AlphaTauri,0 days 00:15:59.091000,2020-10-11 12:29:13.682,1,True,TRACK LIMITS AT TURN 4,False,True,0,Eifel Grand Prix,15,327.0,9.8,57.8,947.4,False,16.3,34,1.2
0 days 00:01:33.697000,10.0,GAS,10,0 days 00:18:27.449000,12.0,1.0,,,0 days 00:00:30.533000,0 days 00:00:39.078000,0 days 00:00:24.086000,0 days 00:18:05.163000,0 days 00:18:44.241000,0 days 00:19:08.327000,260.0,219.0,247.0,290.0,True,MEDIUM,12.0,True,AlphaTauri,0 days 00:17:34.643000,2020-10-11 12:30:49.234,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.9,947.5,False,15.9,48,2.2
0 days 00:01:34.160000,10.0,GAS,10,0 days 00:19:27.461000,13.0,1.0,,,0 days 00:00:30.506000,0 days 00:00:39.342000,0 days 00:00:24.312000,0 days 00:19:38.833000,0 days 00:20:18.175000,0 days 00:20:42.487000,258.0,222.0,251.0,311.0,False,MEDIUM,13.0,True,AlphaTauri,0 days 00:19:08.340000,2020-10-11 12:32:22.931,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.5,947.3,False,15.9,46,1.5
0 days 00:01:33.232000,9.0,GAS,10,0 days 00:21:27.462000,14.0,1.0,,,0 days 00:00:30.142000,0 days 00:00:38.983000,0 days 00:00:24.107000,0 days 00:21:12.629000,0 days 00:21:51.612000,0 days 00:22:15.719000,256.0,222.0,246.0,288.0,True,MEDIUM,14.0,True,AlphaTauri,0 days 00:20:42.500000,2020-10-11 12:33:57.091,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.7,947.4,False,15.6,79,1.3
0 days 00:01:33.644000,9.0,GAS,10,0 days 00:22:27.476000,15.0,1.0,,,0 days 00:00:30.510000,0 days 00:00:39.073000,0 days 00:00:24.061000,0 days 00:22:46.229000,0 days 00:23:25.302000,0 days 00:23:49.363000,259.0,219.0,246.0,289.0,False,MEDIUM,15.0,True,AlphaTauri,0 days 00:22:15.732000,2020-10-11 12:35:30.323,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,59.9,947.4,False,15.6,36,1.4
0 days 00:01:53.692000,9.0,GAS,10,0 days 00:24:27.464000,16.0,1.0,,,0 days 00:00:35.188000,0 days 00:00:50.404000,0 days 00:00:28.100000,0 days 00:24:24.551000,0 days 00:25:14.955000,0 days 00:25:43.055000,231.0,195.0,242.0,214.0,False,MEDIUM,16.0,True,AlphaTauri,0 days 00:23:49.376000,2020-10-11 12:37:03.967,67,False,,False,False,0,Eifel Grand Prix,15,327.0,9.6,59.1,947.4,False,15.6,46,1.6
0 days 00:01:35.016000,8.0,GAS,10,0 days 00:26:27.466000,17.0,1.0,,,0 days 00:00:31.111000,0 days 00:00:39.744000,0 days 00:00:24.161000,0 days 00:26:14.166000,0 days 00:26:53.910000,0 days 00:27:18.071000,257.0,221.0,247.0,286.0,False,MEDIUM,17.0,True,AlphaTauri,0 days 00:25:43.068000,2020-10-11 12:38:57.659,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.1,60.9,947.3,False,15.2,83,1.6
0 days 00:01:34.324000,8.0,GAS,10,0 days 00:27:27.469000,18.0,1.0,,,0 days 00:00:30.451000,0 days 00:00:39.151000,0 days 00:00:24.722000,0 days 00:27:48.522000,0 days 00:28:27.673000,0 days 00:28:52.395000,255.0,223.0,248.0,282.0,False,MEDIUM,18.0,True,AlphaTauri,0 days 00:27:18.084000,2020-10-11 12:40:32.675,2,False,,False,True,1,Eifel Grand Prix,15,327.0,9.1,61.5,947.4,True,15.3,177,1.2
0 days 00:01:34.129000,8.0,GAS,10,0 days 00:29:27.470000,19.0,1.0,,,0 days 00:00:30.765000,0 days 00:00:39.320000,0 days 00:00:24.044000,0 days 00:29:23.160000,0 days 00:30:02.480000,0 days 00:30:26.524000,258.0,223.0,248.0,288.0,False,MEDIUM,19.0,True,AlphaTauri,0 days 00:28:52.408000,2020-10-11 12:42:06.999,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,62.9,947.4,False,15.1,44,1.9
