LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:47.376000,20.0,GRO,8,0 days 00:00:27.318000,1.0,1.0,,,,0 days 00:00:43.477000,0 days 00:00:25.741000,,0 days 00:01:21.983000,0 days 00:01:47.824000,246.0,213.0,246.0,299.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:01:37.975000,20.0,GRO,8,0 days 00:02:27.318000,2.0,1.0,,,0 days 00:00:32.075000,0 days 00:00:41.033000,0 days 00:00:24.867000,0 days 00:02:19.767000,0 days 00:03:00.800000,0 days 00:03:25.667000,266.0,217.0,245.0,302.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:01:47.649000,2020-10-11 12:15:02.240,1,False,,False,True,0,Eifel Grand Prix,15,327.0,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:01:36.013000,20.0,GRO,8,0 days 00:03:27.321000,3.0,1.0,,,0 days 00:00:31.773000,0 days 00:00:40.092000,0 days 00:00:24.148000,0 days 00:03:57.440000,0 days 00:04:37.532000,0 days 00:05:01.680000,263.0,220.0,249.0,313.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:03:25.624000,2020-10-11 12:16:40.215,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:01:35.525000,20.0,GRO,8,0 days 00:05:27.325000,4.0,1.0,,,0 days 00:00:31.307000,0 days 00:00:39.804000,0 days 00:00:24.414000,0 days 00:05:32.987000,0 days 00:06:12.791000,0 days 00:06:37.205000,,220.0,250.0,316.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:05:01.637000,2020-10-11 12:18:16.228,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:01:34.634000,20.0,GRO,8,0 days 00:07:27.341000,5.0,1.0,,,0 days 00:00:31.044000,0 days 00:00:39.517000,0 days 00:00:24.073000,0 days 00:07:08.249000,0 days 00:07:47.766000,0 days 00:08:11.839000,,218.0,250.0,315.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:06:37.162000,2020-10-11 12:19:51.753,1,True,TRACK LIMITS AT TURN 4,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.5,False,17.7,80,2.4
0 days 00:01:34.942000,20.0,GRO,8,0 days 00:08:27.355000,6.0,1.0,,,0 days 00:00:31.204000,0 days 00:00:39.532000,0 days 00:00:24.206000,0 days 00:08:43.043000,0 days 00:09:22.575000,0 days 00:09:46.781000,262.0,219.0,251.0,314.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:08:11.796000,2020-10-11 12:21:26.387,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:01:35.238000,20.0,GRO,8,0 days 00:10:27.373000,7.0,1.0,,,0 days 00:00:31.434000,0 days 00:00:39.664000,0 days 00:00:24.140000,0 days 00:10:18.215000,0 days 00:10:57.879000,0 days 00:11:22.019000,,220.0,251.0,313.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:09:46.738000,2020-10-11 12:23:01.329,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:01:35.150000,19.0,GRO,8,0 days 00:11:27.397000,8.0,1.0,,,0 days 00:00:31.273000,0 days 00:00:39.543000,0 days 00:00:24.334000,0 days 00:11:53.292000,0 days 00:12:32.835000,0 days 00:12:57.169000,,218.0,246.0,310.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:11:21.976000,2020-10-11 12:24:36.567,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:01:35.024000,19.0,GRO,8,0 days 00:13:27.411000,9.0,1.0,,,0 days 00:00:31.160000,0 days 00:00:39.626000,0 days 00:00:24.238000,0 days 00:13:28.329000,0 days 00:14:07.955000,0 days 00:14:32.193000,264.0,207.0,254.0,309.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:12:57.126000,2020-10-11 12:26:11.717,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:01:35.839000,18.0,GRO,8,0 days 00:15:27.443000,10.0,1.0,,,0 days 00:00:31.509000,0 days 00:00:40.080000,0 days 00:00:24.250000,0 days 00:15:03.702000,0 days 00:15:43.782000,0 days 00:16:08.032000,268.0,219.0,249.0,312.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:14:32.150000,2020-10-11 12:27:46.741,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.9,57.3,947.4,False,16.4,81,2.1
