LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:35.799000,3.0,VER,33,0 days 00:00:27.318000,1.0,1.0,,,,0 days 00:00:39.266000,0 days 00:00:23.821000,,0 days 00:01:12.278000,0 days 00:01:36.234000,269.0,224.0,249.0,295.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:01:32.647000,3.0,VER,33,0 days 00:02:27.318000,2.0,1.0,,,0 days 00:00:30.281000,0 days 00:00:38.600000,0 days 00:00:23.766000,0 days 00:02:06.342000,0 days 00:02:44.942000,0 days 00:03:08.708000,264.0,224.0,248.0,290.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:01:36.072000,2020-10-11 12:14:50.663,1,False,,False,True,0,Eifel Grand Prix,15,327.0,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:01:32.588000,3.0,VER,33,0 days 00:03:27.321000,3.0,1.0,,,0 days 00:00:30.329000,0 days 00:00:38.531000,0 days 00:00:23.728000,0 days 00:03:39.037000,0 days 00:04:17.568000,0 days 00:04:41.296000,263.0,225.0,246.0,294.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:03:08.719000,2020-10-11 12:16:23.310,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:01:32.525000,3.0,VER,33,0 days 00:05:27.325000,4.0,1.0,,,0 days 00:00:30.370000,0 days 00:00:38.328000,0 days 00:00:23.827000,0 days 00:05:11.666000,0 days 00:05:49.994000,0 days 00:06:13.821000,262.0,225.0,245.0,294.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:04:41.307000,2020-10-11 12:17:55.898,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:01:32.335000,3.0,VER,33,0 days 00:06:27.323000,5.0,1.0,,,0 days 00:00:30.184000,0 days 00:00:38.476000,0 days 00:00:23.675000,0 days 00:06:44.005000,0 days 00:07:22.481000,0 days 00:07:46.156000,261.0,226.0,248.0,292.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:06:13.832000,2020-10-11 12:19:28.423,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.3,False,18.2,187,2.7
0 days 00:01:32.108000,3.0,VER,33,0 days 00:08:27.355000,6.0,1.0,,,0 days 00:00:29.965000,0 days 00:00:38.431000,0 days 00:00:23.712000,0 days 00:08:16.121000,0 days 00:08:54.552000,0 days 00:09:18.264000,260.0,228.0,247.0,292.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:07:46.167000,2020-10-11 12:21:00.758,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:01:31.938000,3.0,VER,33,0 days 00:09:27.383000,7.0,1.0,,,0 days 00:00:29.963000,0 days 00:00:38.316000,0 days 00:00:23.659000,0 days 00:09:48.227000,0 days 00:10:26.543000,0 days 00:10:50.202000,263.0,226.0,248.0,294.0,True,SOFT,10.0,False,Red Bull Racing,0 days 00:09:18.275000,2020-10-11 12:22:32.866,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.9,947.4,False,17.4,103,1.9
0 days 00:01:31.933000,3.0,VER,33,0 days 00:11:27.397000,8.0,1.0,,,0 days 00:00:29.996000,0 days 00:00:38.310000,0 days 00:00:23.627000,0 days 00:11:20.198000,0 days 00:11:58.508000,0 days 00:12:22.135000,260.0,226.0,248.0,294.0,True,SOFT,11.0,False,Red Bull Racing,0 days 00:10:50.213000,2020-10-11 12:24:04.804,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:01:32.009000,3.0,VER,33,0 days 00:12:27.408000,9.0,1.0,,,0 days 00:00:29.993000,0 days 00:00:38.355000,0 days 00:00:23.661000,0 days 00:12:52.128000,0 days 00:13:30.483000,0 days 00:13:54.144000,262.0,225.0,247.0,293.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:12:22.146000,2020-10-11 12:25:36.737,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,58.3,947.4,False,17.0,347,1.7
0 days 00:01:32.264000,3.0,VER,33,0 days 00:14:27.422000,10.0,1.0,,,0 days 00:00:30.116000,0 days 00:00:38.430000,0 days 00:00:23.718000,0 days 00:14:24.260000,0 days 00:15:02.690000,0 days 00:15:26.408000,263.0,226.0,248.0,293.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:13:54.155000,2020-10-11 12:27:08.746,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.8,57.6,947.5,False,16.6,177,1.6
