LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:42.397000,6.0,BOT,77,0 days 00:33:05.648000,1.0,1.0,,,,0 days 00:00:35.450000,0 days 00:00:26.469000,,0 days 00:34:13.649000,0 days 00:34:40.229000,254.0,223.0,241.0,238.0,False,INTERMEDIATE,1.0,True,Mercedes,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:01:38.777000,8.0,BOT,77,0 days 00:35:05.648000,2.0,1.0,,0 days 00:36:17.389000,0 days 00:00:33.339000,0 days 00:00:34.664000,0 days 00:00:30.774000,0 days 00:35:13.432000,0 days 00:35:48.096000,0 days 00:36:18.870000,253.0,223.0,,288.0,False,INTERMEDIATE,2.0,True,Mercedes,0 days 00:34:40.112000,2020-07-19 13:14:40.312,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:01:54.775000,19.0,BOT,77,0 days 00:37:05.650000,3.0,2.0,0 days 00:36:39.064000,,0 days 00:00:55.500000,0 days 00:00:33.895000,0 days 00:00:25.380000,0 days 00:37:14.370000,0 days 00:37:48.265000,0 days 00:38:13.645000,245.0,224.0,245.0,,False,MEDIUM,1.0,True,Mercedes,0 days 00:36:18.889000,2020-07-19 13:16:19.089,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.4,74.3,986.2,False,27.9,116,1.4
0 days 00:01:33.140000,11.0,BOT,77,0 days 00:39:05.649000,4.0,2.0,,,0 days 00:00:33.034000,0 days 00:00:33.685000,0 days 00:00:26.421000,0 days 00:38:46.679000,0 days 00:39:20.364000,0 days 00:39:46.785000,266.0,218.0,246.0,290.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:38:13.664000,2020-07-19 13:18:13.864,2,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,75.3,986.2,False,26.8,93,1.7
0 days 00:01:29.816000,7.0,BOT,77,0 days 00:40:05.652000,5.0,2.0,,,0 days 00:00:33.037000,0 days 00:00:32.366000,0 days 00:00:24.413000,0 days 00:40:19.822000,0 days 00:40:52.188000,0 days 00:41:16.601000,261.0,226.0,253.0,293.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:39:46.804000,2020-07-19 13:19:47.004,2,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,74.8,986.3,False,26.2,119,1.6
0 days 00:01:26.453000,7.0,BOT,77,0 days 00:42:05.649000,6.0,2.0,,,0 days 00:00:31.732000,0 days 00:00:31.289000,0 days 00:00:23.432000,0 days 00:41:48.333000,0 days 00:42:19.622000,0 days 00:42:43.054000,270.0,229.0,257.0,301.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:41:16.620000,2020-07-19 13:21:16.820,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:01:24.570000,7.0,BOT,77,0 days 00:43:05.667000,7.0,2.0,,,0 days 00:00:30.450000,0 days 00:00:30.958000,0 days 00:00:23.162000,0 days 00:43:13.504000,0 days 00:43:44.462000,0 days 00:44:07.624000,271.0,236.0,258.0,309.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:42:43.073000,2020-07-19 13:22:43.273,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.3,986.3,False,25.6,118,1.6
0 days 00:01:26.200000,7.0,BOT,77,0 days 00:45:05.665000,8.0,2.0,,,0 days 00:00:32.724000,0 days 00:00:30.459000,0 days 00:00:23.017000,0 days 00:44:40.348000,0 days 00:45:10.807000,0 days 00:45:33.824000,274.0,237.0,251.0,313.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:44:07.643000,2020-07-19 13:24:07.843,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.5,986.3,False,25.9,130,1.1
0 days 00:01:23.272000,7.0,BOT,77,0 days 00:46:05.680000,9.0,2.0,,,0 days 00:00:30.092000,0 days 00:00:29.954000,0 days 00:00:23.226000,0 days 00:46:03.916000,0 days 00:46:33.870000,0 days 00:46:57.096000,279.0,238.0,259.0,290.0,True,MEDIUM,7.0,True,Mercedes,0 days 00:45:33.843000,2020-07-19 13:25:34.043,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.9,986.2,False,25.9,93,1.1
0 days 00:01:22.018000,6.0,BOT,77,0 days 00:47:05.695000,10.0,2.0,,,0 days 00:00:29.829000,0 days 00:00:29.296000,0 days 00:00:22.893000,0 days 00:47:26.925000,0 days 00:47:56.221000,0 days 00:48:19.114000,277.0,241.0,250.0,315.0,True,MEDIUM,8.0,True,Mercedes,0 days 00:46:57.115000,2020-07-19 13:26:57.315,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.3,75.7,986.2,False,26.4,94,1.2
