LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.274000,11.0,KVY,26,0 days 00:33:33.435000,1.0,1.0,,,,0 days 00:00:31.184000,0 days 00:00:29.851000,,0 days 00:34:31.731000,0 days 00:35:01.682000,332.0,323.0,311.0,242.0,False,HARD,1.0,True,AlphaTauri,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,False,,False,False,0,Italian Grand Prix,11,95.0,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:01:27.353000,11.0,KVY,26,0 days 00:35:33.425000,2.0,1.0,,,0 days 00:00:28.426000,0 days 00:00:29.977000,0 days 00:00:28.950000,0 days 00:35:29.916000,0 days 00:35:59.893000,0 days 00:36:28.843000,309.0,314.0,311.0,326.0,True,HARD,2.0,True,AlphaTauri,0 days 00:35:01.515000,2020-09-06 13:15:01.711,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:01:26.602000,11.0,KVY,26,0 days 00:36:33.427000,3.0,1.0,,,0 days 00:00:28.312000,0 days 00:00:29.428000,0 days 00:00:28.862000,0 days 00:36:57.155000,0 days 00:37:26.583000,0 days 00:37:55.445000,308.0,331.0,309.0,320.0,True,HARD,3.0,True,AlphaTauri,0 days 00:36:28.868000,2020-09-06 13:16:29.064,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:01:26.181000,11.0,KVY,26,0 days 00:38:33.428000,4.0,1.0,,,0 days 00:00:28.069000,0 days 00:00:29.450000,0 days 00:00:28.662000,0 days 00:38:23.514000,0 days 00:38:52.964000,0 days 00:39:21.626000,310.0,333.0,310.0,331.0,True,HARD,4.0,True,AlphaTauri,0 days 00:37:55.470000,2020-09-06 13:17:55.666,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:01:26.080000,11.0,KVY,26,0 days 00:39:33.429000,5.0,1.0,,,0 days 00:00:27.879000,0 days 00:00:29.492000,0 days 00:00:28.709000,0 days 00:39:49.505000,0 days 00:40:18.997000,0 days 00:40:47.706000,313.0,333.0,313.0,334.0,True,HARD,5.0,True,AlphaTauri,0 days 00:39:21.651000,2020-09-06 13:19:21.847,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:01:26.175000,11.0,KVY,26,0 days 00:41:33.431000,6.0,1.0,,,0 days 00:00:27.907000,0 days 00:00:29.617000,0 days 00:00:28.651000,0 days 00:41:15.613000,0 days 00:41:45.230000,0 days 00:42:13.881000,314.0,334.0,314.0,336.0,False,HARD,6.0,True,AlphaTauri,0 days 00:40:47.731000,2020-09-06 13:20:47.927,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:01:26.202000,11.0,KVY,26,0 days 00:42:33.432000,7.0,1.0,,,0 days 00:00:27.930000,0 days 00:00:29.600000,0 days 00:00:28.672000,0 days 00:42:41.811000,0 days 00:43:11.411000,0 days 00:43:40.083000,317.0,333.0,314.0,338.0,False,HARD,7.0,True,AlphaTauri,0 days 00:42:13.906000,2020-09-06 13:22:14.102,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:01:26.309000,11.0,KVY,26,0 days 00:44:33.435000,8.0,1.0,,,0 days 00:00:28.021000,0 days 00:00:29.610000,0 days 00:00:28.678000,0 days 00:44:08.104000,0 days 00:44:37.714000,0 days 00:45:06.392000,316.0,332.0,319.0,330.0,False,HARD,8.0,True,AlphaTauri,0 days 00:43:40.108000,2020-09-06 13:23:40.304,2,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.8,991.0,False,43.8,174,2.2
0 days 00:01:26.685000,11.0,KVY,26,0 days 00:45:33.435000,9.0,1.0,,,0 days 00:00:28.150000,0 days 00:00:29.839000,0 days 00:00:28.696000,0 days 00:45:34.542000,0 days 00:46:04.381000,0 days 00:46:33.077000,314.0,331.0,311.0,297.0,False,HARD,9.0,True,AlphaTauri,0 days 00:45:06.417000,2020-09-06 13:25:06.613,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:01:26.194000,11.0,KVY,26,0 days 00:46:33.435000,10.0,1.0,,,0 days 00:00:27.865000,0 days 00:00:29.579000,0 days 00:00:28.750000,0 days 00:47:00.942000,0 days 00:47:30.521000,0 days 00:47:59.271000,311.0,331.0,311.0,325.0,False,HARD,10.0,True,AlphaTauri,0 days 00:46:33.102000,2020-09-06 13:26:33.298,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,41.0,991.0,False,43.7,198,2.7
