LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.635000,12.0,RAI,7,0 days 00:33:33.435000,1.0,1.0,,,,0 days 00:00:31.092000,0 days 00:00:29.808000,,0 days 00:34:32.145000,0 days 00:35:02.040000,331.0,325.0,313.0,249.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,False,,False,False,0,Italian Grand Prix,11,95.0,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:01:27.629000,12.0,RAI,7,0 days 00:35:33.425000,2.0,1.0,,,0 days 00:00:28.429000,0 days 00:00:30.121000,0 days 00:00:29.079000,0 days 00:35:30.288000,0 days 00:36:00.409000,0 days 00:36:29.488000,324.0,322.0,310.0,318.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:01.876000,2020-09-06 13:15:02.072,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:01:26.820000,12.0,RAI,7,0 days 00:36:33.427000,3.0,1.0,,,0 days 00:00:28.309000,0 days 00:00:29.447000,0 days 00:00:29.064000,0 days 00:36:57.797000,0 days 00:37:27.244000,0 days 00:37:56.308000,319.0,337.0,308.0,328.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:29.505000,2020-09-06 13:16:29.701,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:01:26.318000,12.0,RAI,7,0 days 00:38:33.428000,4.0,1.0,,,0 days 00:00:27.985000,0 days 00:00:29.302000,0 days 00:00:29.031000,0 days 00:38:24.293000,0 days 00:38:53.595000,0 days 00:39:22.626000,317.0,339.0,307.0,341.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:56.325000,2020-09-06 13:17:56.521,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:01:26.468000,12.0,RAI,7,0 days 00:39:33.429000,5.0,1.0,,,0 days 00:00:27.967000,0 days 00:00:29.531000,0 days 00:00:28.970000,0 days 00:39:50.593000,0 days 00:40:20.124000,0 days 00:40:49.094000,316.0,332.0,308.0,339.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:22.643000,2020-09-06 13:19:22.839,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:01:26.218000,12.0,RAI,7,0 days 00:41:33.431000,6.0,1.0,,,0 days 00:00:28.041000,0 days 00:00:29.354000,0 days 00:00:28.823000,0 days 00:41:17.135000,0 days 00:41:46.489000,0 days 00:42:15.312000,314.0,324.0,307.0,325.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:49.111000,2020-09-06 13:20:49.307,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:01:26.331000,12.0,RAI,7,0 days 00:42:33.432000,7.0,1.0,,,0 days 00:00:28.113000,0 days 00:00:29.277000,0 days 00:00:28.941000,0 days 00:42:43.425000,0 days 00:43:12.702000,0 days 00:43:41.643000,317.0,324.0,306.0,327.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:42:15.329000,2020-09-06 13:22:15.525,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:01:26.453000,12.0,RAI,7,0 days 00:44:33.435000,8.0,1.0,,,0 days 00:00:28.204000,0 days 00:00:29.274000,0 days 00:00:28.975000,0 days 00:44:09.847000,0 days 00:44:39.121000,0 days 00:45:08.096000,316.0,324.0,307.0,326.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:43:41.660000,2020-09-06 13:23:41.856,2,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.8,991.0,False,43.8,174,2.2
0 days 00:01:26.418000,12.0,RAI,7,0 days 00:45:33.435000,9.0,1.0,,,0 days 00:00:28.182000,0 days 00:00:29.343000,0 days 00:00:28.893000,0 days 00:45:36.278000,0 days 00:46:05.621000,0 days 00:46:34.514000,,325.0,306.0,,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:45:08.113000,2020-09-06 13:25:08.309,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:01:26.110000,12.0,RAI,7,0 days 00:47:33.435000,10.0,1.0,,,0 days 00:00:28.037000,0 days 00:00:29.307000,0 days 00:00:28.766000,0 days 00:47:02.551000,0 days 00:47:31.858000,0 days 00:48:00.624000,318.0,325.0,306.0,330.0,True,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:46:34.531000,2020-09-06 13:26:34.727,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.4,40.1,990.9,False,43.7,165,2.6
0 days 00:01:26.404000,12.0,RAI,7,0 days 00:48:33.442000,11.0,1.0,,,0 days 00:00:28.059000,0 days 00:00:29.477000,0 days 00:00:28.868000,0 days 00:48:28.683000,0 days 00:48:58.160000,0 days 00:49:27.028000,317.0,323.0,307.0,,False,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:48:00.641000,2020-09-06 13:28:00.837,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.5,39.4,990.9,False,43.7,154,3.1
0 days 00:01:26.215000,12.0,RAI,7,0 days 00:49:33.453000,12.0,1.0,,,0 days 00:00:28.033000,0 days 00:00:29.319000,0 days 00:00:28.863000,0 days 00:49:55.061000,0 days 00:50:24.380000,0 days 00:50:53.243000,316.0,322.0,306.0,,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:49:27.045000,2020-09-06 13:29:27.241,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.8,990.9,False,43.7,161,1.6
0 days 00:01:26.387000,12.0,RAI,7,0 days 00:51:33.472000,13.0,1.0,,,0 days 00:00:28.124000,0 days 00:00:29.428000,0 days 00:00:28.835000,0 days 00:51:21.367000,0 days 00:51:50.795000,0 days 00:52:19.630000,317.0,322.0,306.0,327.0,False,MEDIUM,13.0,True,Alfa Romeo Racing,0 days 00:50:53.260000,2020-09-06 13:30:53.456,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.7,990.9,False,43.8,163,1.2
0 days 00:01:26.189000,12.0,RAI,7,0 days 00:52:33.489000,14.0,1.0,,,0 days 00:00:28.235000,0 days 00:00:29.204000,0 days 00:00:28.750000,0 days 00:52:47.865000,0 days 00:53:17.069000,0 days 00:53:45.819000,,323.0,307.0,,False,MEDIUM,14.0,True,Alfa Romeo Racing,0 days 00:52:19.647000,2020-09-06 13:32:19.843,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,40.3,990.9,False,44.2,145,1.1
0 days 00:01:26.291000,12.0,RAI,7,0 days 00:54:33.488000,15.0,1.0,,,0 days 00:00:28.123000,0 days 00:00:29.365000,0 days 00:00:28.803000,0 days 00:54:13.942000,0 days 00:54:43.307000,0 days 00:55:12.110000,319.0,325.0,308.0,330.0,False,MEDIUM,15.0,True,Alfa Romeo Racing,0 days 00:53:45.836000,2020-09-06 13:33:46.032,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,40.4,990.8,False,43.8,165,2.6
0 days 00:01:26.492000,12.0,RAI,7,0 days 00:55:33.489000,16.0,1.0,,,0 days 00:00:28.115000,0 days 00:00:29.307000,0 days 00:00:29.070000,0 days 00:55:40.225000,0 days 00:56:09.532000,0 days 00:56:38.602000,320.0,327.0,305.0,332.0,False,MEDIUM,16.0,True,Alfa Romeo Racing,0 days 00:55:12.127000,2020-09-06 13:35:12.323,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.6,990.8,False,43.5,173,1.5
0 days 00:01:26.341000,12.0,RAI,7,0 days 00:57:33.507000,17.0,1.0,,,0 days 00:00:28.240000,0 days 00:00:29.262000,0 days 00:00:28.839000,0 days 00:57:06.842000,0 days 00:57:36.104000,0 days 00:58:04.943000,319.0,326.0,306.0,330.0,False,MEDIUM,17.0,True,Alfa Romeo Racing,0 days 00:56:38.619000,2020-09-06 13:36:38.815,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.8,41.3,990.7,False,43.6,145,2.1
0 days 00:01:30.683000,13.0,RAI,7,0 days 00:58:33.523000,18.0,1.0,,0 days 00:59:31.942000,0 days 00:00:28.204000,0 days 00:00:29.397000,0 days 00:00:33.082000,0 days 00:58:33.147000,0 days 00:59:02.544000,0 days 00:59:35.626000,318.0,322.0,,328.0,False,MEDIUM,18.0,True,Alfa Romeo Racing,0 days 00:58:04.960000,2020-09-06 13:38:05.156,1,False,,False,False,0,Italian Grand Prix,11,95.0,27.8,41.2,990.7,False,44.2,154,2.3
0 days 00:01:46.392000,16.0,RAI,7,0 days 01:00:33.540000,19.0,2.0,0 days 00:59:56.401000,,0 days 00:00:48.456000,0 days 00:00:29.202000,0 days 00:00:28.734000,0 days 01:00:24.082000,0 days 01:00:53.284000,0 days 01:01:22.018000,309.0,309.0,300.0,283.0,False,HARD,1.0,True,Alfa Romeo Racing,0 days 00:59:35.643000,2020-09-06 13:39:35.839,2,False,,False,False,0,Italian Grand Prix,11,95.0,27.5,40.6,990.7,False,43.8,159,2.3
0 days 00:01:54.667000,16.0,RAI,7,0 days 01:01:33.543000,20.0,2.0,,,0 days 00:00:36.718000,0 days 00:00:36.810000,0 days 00:00:41.139000,0 days 01:01:58.736000,0 days 01:02:35.546000,0 days 01:03:16.685000,262.0,241.0,233.0,311.0,False,HARD,2.0,True,Alfa Romeo Racing,0 days 01:01:22.035000,2020-09-06 13:41:22.231,24,False,,False,False,0,Italian Grand Prix,11,95.0,27.5,41.2,990.6,False,43.6,174,0.9
0 days 00:01:58.974000,16.0,RAI,7,0 days 01:03:33.548000,21.0,2.0,,,0 days 00:00:36.243000,0 days 00:00:40.114000,0 days 00:00:42.617000,0 days 01:03:52.928000,0 days 01:04:33.042000,0 days 01:05:15.659000,249.0,255.0,156.0,223.0,False,HARD,3.0,True,Alfa Romeo Racing,0 days 01:03:16.702000,2020-09-06 13:43:16.898,4,False,,False,False,0,Italian Grand Prix,11,95.0,27.9,40.7,990.6,False,43.6,152,2.2
0 days 00:01:44.371000,12.0,RAI,7,0 days 01:05:33.549000,22.0,2.0,,,0 days 00:00:32.181000,0 days 00:00:30.311000,0 days 00:00:41.879000,0 days 01:05:47.840000,0 days 01:06:18.151000,0 days 01:07:00.030000,305.0,310.0,240.0,283.0,False,HARD,4.0,True,Alfa Romeo Racing,0 days 01:05:15.676000,2020-09-06 13:45:15.872,4,False,,False,False,0,Italian Grand Prix,11,95.0,27.8,40.6,990.6,False,43.9,167,2.0
0 days 00:01:55.684000,5.0,RAI,7,0 days 01:07:33.579000,23.0,2.0,,,0 days 00:00:31.196000,0 days 00:00:37.255000,0 days 00:00:47.233000,0 days 01:07:31.226000,0 days 01:08:08.481000,0 days 01:08:55.714000,313.0,212.0,316.0,286.0,False,HARD,5.0,True,Alfa Romeo Racing,0 days 01:07:00.047000,2020-09-06 13:47:00.243,4,False,,False,False,0,Italian Grand Prix,11,95.0,27.7,41.4,990.6,False,43.9,173,1.0
0 days 00:01:27.134000,4.0,RAI,7,0 days 01:09:33.580000,24.0,2.0,,,0 days 00:00:28.389000,0 days 00:00:29.730000,0 days 00:00:29.015000,0 days 01:09:24.103000,0 days 01:09:53.833000,0 days 01:10:22.848000,330.0,325.0,305.0,283.0,False,HARD,6.0,True,Alfa Romeo Racing,0 days 01:08:55.731000,2020-09-06 13:48:55.927,2,False,,False,False,0,Italian Grand Prix,11,95.0,28.4,39.9,990.6,False,43.7,216,1.4
0 days 00:01:57.398000,4.0,RAI,7,0 days 01:10:33.581000,25.0,2.0,,,0 days 00:00:37.715000,0 days 00:00:40.858000,0 days 00:00:38.825000,0 days 01:11:00.563000,0 days 01:11:41.421000,0 days 01:12:20.246000,260.0,268.0,217.0,170.0,False,HARD,7.0,True,Alfa Romeo Racing,0 days 01:10:22.865000,2020-09-06 13:50:23.061,24,False,,False,False,0,Italian Grand Prix,11,95.0,28.5,40.2,990.6,False,43.9,161,1.3
,4.0,RAI,7,0 days 01:12:33.582000,26.0,2.0,,0 days 01:14:55.627000,0 days 00:00:42.700000,0 days 00:00:51.433000,0 days 00:01:08.810000,0 days 01:13:03.255000,0 days 01:13:54.410000,0 days 01:15:03.412000,114.0,139.0,,244.0,False,HARD,8.0,True,Alfa Romeo Racing,0 days 01:12:20.263000,2020-09-06 13:52:20.459,45,False,,False,False,0,Italian Grand Prix,11,95.0,28.6,38.7,990.6,False,44.3,168,1.6
,4.0,RAI,7,0 days 01:40:33.610000,27.0,3.0,0 days 01:40:16.559000,,,0 days 00:00:54.393000,0 days 00:01:09.405000,,0 days 01:41:56.347000,0 days 01:44:12.766000,139.0,127.0,47.0,268.0,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 01:39:59.929000,2020-09-06 14:20:00.125,1,False,,False,False,0,Italian Grand Prix,11,95.0,28.0,40.7,990.5,False,37.4,154,1.9
0 days 00:02:17.830000,2.0,RAI,7,0 days 01:43:33.612000,28.0,3.0,,,0 days 00:01:19.359000,0 days 00:00:30.165000,0 days 00:00:28.306000,0 days 01:44:25.084000,0 days 01:44:55.249000,0 days 01:45:23.555000,330.0,317.0,308.0,,False,SOFT,2.0,True,Alfa Romeo Racing,0 days 01:43:05.742000,2020-09-06 14:23:05.938,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,39.4,990.6,False,37.3,152,1.2
0 days 00:01:24.835000,2.0,RAI,7,0 days 01:45:33.612000,29.0,3.0,,,0 days 00:00:27.950000,0 days 00:00:28.869000,0 days 00:00:28.016000,0 days 01:45:51.505000,0 days 01:46:20.374000,0 days 01:46:48.390000,313.0,313.0,306.0,321.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 01:45:23.572000,2020-09-06 14:25:23.768,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,39.5,990.6,False,36.9,0,0.7
0 days 00:01:24.955000,2.0,RAI,7,0 days 01:47:33.614000,30.0,3.0,,,0 days 00:00:28.054000,0 days 00:00:28.792000,0 days 00:00:28.109000,0 days 01:47:16.444000,0 days 01:47:45.236000,0 days 01:48:13.345000,312.0,313.0,306.0,320.0,False,SOFT,4.0,True,Alfa Romeo Racing,0 days 01:46:48.407000,2020-09-06 14:26:48.603,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,39.7,990.5,False,36.1,197,1.3
0 days 00:01:25.064000,2.0,RAI,7,0 days 01:48:33.614000,31.0,3.0,,,0 days 00:00:28.085000,0 days 00:00:28.827000,0 days 00:00:28.152000,0 days 01:48:41.430000,0 days 01:49:10.257000,0 days 01:49:38.409000,,312.0,306.0,317.0,False,SOFT,5.0,True,Alfa Romeo Racing,0 days 01:48:13.362000,2020-09-06 14:28:13.558,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.4,40.1,990.4,False,36.2,183,1.8
