LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:30.222000,5.0,RIC,3,0 days 00:33:33.435000,1.0,1.0,,,,0 days 00:00:30.201000,0 days 00:00:28.982000,,0 days 00:34:29.510000,0 days 00:34:58.635000,330.0,318.0,312.0,266.0,False,SOFT,4.0,False,Renault,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,False,,False,False,0,Italian Grand Prix,11,95.0,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:01:26.185000,5.0,RIC,3,0 days 00:35:33.425000,2.0,1.0,,,0 days 00:00:27.898000,0 days 00:00:29.388000,0 days 00:00:28.899000,0 days 00:35:26.348000,0 days 00:35:55.736000,0 days 00:36:24.635000,318.0,321.0,312.0,328.0,True,SOFT,5.0,False,Renault,0 days 00:34:58.463000,2020-09-06 13:14:58.659,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:01:25.976000,5.0,RIC,3,0 days 00:36:33.427000,3.0,1.0,,,0 days 00:00:27.979000,0 days 00:00:29.345000,0 days 00:00:28.652000,0 days 00:36:52.614000,0 days 00:37:21.959000,0 days 00:37:50.611000,320.0,330.0,312.0,329.0,True,SOFT,6.0,False,Renault,0 days 00:36:24.648000,2020-09-06 13:16:24.844,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:01:25.983000,5.0,RIC,3,0 days 00:38:33.428000,4.0,1.0,,,0 days 00:00:27.871000,0 days 00:00:29.361000,0 days 00:00:28.751000,0 days 00:38:18.482000,0 days 00:38:47.843000,0 days 00:39:16.594000,319.0,331.0,312.0,337.0,False,SOFT,7.0,False,Renault,0 days 00:37:50.624000,2020-09-06 13:17:50.820,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:01:26.308000,5.0,RIC,3,0 days 00:39:33.429000,5.0,1.0,,,0 days 00:00:27.869000,0 days 00:00:29.496000,0 days 00:00:28.943000,0 days 00:39:44.463000,0 days 00:40:13.959000,0 days 00:40:42.902000,316.0,327.0,311.0,336.0,False,SOFT,8.0,False,Renault,0 days 00:39:16.607000,2020-09-06 13:19:16.803,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:01:26.064000,5.0,RIC,3,0 days 00:41:33.431000,6.0,1.0,,,0 days 00:00:27.910000,0 days 00:00:29.338000,0 days 00:00:28.816000,0 days 00:41:10.812000,0 days 00:41:40.150000,0 days 00:42:08.966000,319.0,328.0,311.0,,False,SOFT,9.0,False,Renault,0 days 00:40:42.915000,2020-09-06 13:20:43.111,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:01:26.153000,5.0,RIC,3,0 days 00:42:33.432000,7.0,1.0,,,0 days 00:00:27.905000,0 days 00:00:29.331000,0 days 00:00:28.917000,0 days 00:42:36.871000,0 days 00:43:06.202000,0 days 00:43:35.119000,320.0,331.0,309.0,,False,SOFT,10.0,False,Renault,0 days 00:42:08.979000,2020-09-06 13:22:09.175,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:01:26.008000,5.0,RIC,3,0 days 00:44:33.435000,8.0,1.0,,,0 days 00:00:27.863000,0 days 00:00:29.222000,0 days 00:00:28.923000,0 days 00:44:02.982000,0 days 00:44:32.204000,0 days 00:45:01.127000,,329.0,311.0,331.0,False,SOFT,11.0,False,Renault,0 days 00:43:35.132000,2020-09-06 13:23:35.328,2,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.8,991.0,False,43.8,174,2.2
0 days 00:01:26.178000,5.0,RIC,3,0 days 00:45:33.435000,9.0,1.0,,,0 days 00:00:27.859000,0 days 00:00:29.391000,0 days 00:00:28.928000,0 days 00:45:28.986000,0 days 00:45:58.377000,0 days 00:46:27.305000,318.0,332.0,310.0,329.0,False,SOFT,12.0,False,Renault,0 days 00:45:01.140000,2020-09-06 13:25:01.336,2,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:01:25.761000,5.0,RIC,3,0 days 00:46:33.435000,10.0,1.0,,,0 days 00:00:27.734000,0 days 00:00:29.257000,0 days 00:00:28.770000,0 days 00:46:55.039000,0 days 00:47:24.296000,0 days 00:47:53.066000,320.0,332.0,312.0,337.0,True,SOFT,13.0,False,Renault,0 days 00:46:27.318000,2020-09-06 13:26:27.514,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,41.0,991.0,False,43.7,198,2.7
