LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:27.292000,2.0,SAI,55,0 days 00:33:33.435000,1.0,1.0,,,,0 days 00:00:29.135000,0 days 00:00:28.509000,,0 days 00:34:27.022000,0 days 00:34:55.707000,325.0,315.0,310.0,294.0,False,SOFT,4.0,False,McLaren,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,False,,False,False,0,Italian Grand Prix,11,95.0,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:01:25.769000,2.0,SAI,55,0 days 00:35:33.425000,2.0,1.0,,,0 days 00:00:28.218000,0 days 00:00:29.098000,0 days 00:00:28.453000,0 days 00:35:23.746000,0 days 00:35:52.844000,0 days 00:36:21.297000,310.0,313.0,309.0,320.0,True,SOFT,5.0,False,McLaren,0 days 00:34:55.533000,2020-09-06 13:14:55.729,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:01:25.780000,2.0,SAI,55,0 days 00:36:33.427000,3.0,1.0,,,0 days 00:00:28.221000,0 days 00:00:29.028000,0 days 00:00:28.531000,0 days 00:36:49.518000,0 days 00:37:18.546000,0 days 00:37:47.077000,308.0,312.0,309.0,318.0,False,SOFT,6.0,False,McLaren,0 days 00:36:21.302000,2020-09-06 13:16:21.498,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:01:25.822000,2.0,SAI,55,0 days 00:38:33.428000,4.0,1.0,,,0 days 00:00:28.250000,0 days 00:00:29.147000,0 days 00:00:28.425000,0 days 00:38:15.327000,0 days 00:38:44.474000,0 days 00:39:12.899000,305.0,310.0,310.0,,False,SOFT,7.0,False,McLaren,0 days 00:37:47.082000,2020-09-06 13:17:47.278,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:01:25.811000,2.0,SAI,55,0 days 00:39:33.429000,5.0,1.0,,,0 days 00:00:28.195000,0 days 00:00:29.197000,0 days 00:00:28.419000,0 days 00:39:41.094000,0 days 00:40:10.291000,0 days 00:40:38.710000,306.0,310.0,310.0,317.0,False,SOFT,8.0,False,McLaren,0 days 00:39:12.904000,2020-09-06 13:19:13.100,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:01:25.806000,2.0,SAI,55,0 days 00:41:33.431000,6.0,1.0,,,0 days 00:00:28.193000,0 days 00:00:29.178000,0 days 00:00:28.435000,0 days 00:41:06.903000,0 days 00:41:36.081000,0 days 00:42:04.516000,305.0,309.0,309.0,316.0,False,SOFT,9.0,False,McLaren,0 days 00:40:38.715000,2020-09-06 13:20:38.911,1,False,,False,True,0,Italian Grand Prix,11,95.0,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:01:25.540000,2.0,SAI,55,0 days 00:42:33.432000,7.0,1.0,,,0 days 00:00:28.170000,0 days 00:00:29.024000,0 days 00:00:28.346000,0 days 00:42:32.686000,0 days 00:43:01.710000,0 days 00:43:30.056000,,308.0,309.0,315.0,True,SOFT,10.0,False,McLaren,0 days 00:42:04.521000,2020-09-06 13:22:04.717,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:01:25.712000,2.0,SAI,55,0 days 00:43:33.443000,8.0,1.0,,,0 days 00:00:28.180000,0 days 00:00:29.070000,0 days 00:00:28.462000,0 days 00:43:58.236000,0 days 00:44:27.306000,0 days 00:44:55.768000,304.0,307.0,310.0,314.0,False,SOFT,11.0,False,McLaren,0 days 00:43:30.061000,2020-09-06 13:23:30.257,2,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,39.9,991.1,False,43.9,169,2.0
0 days 00:01:25.675000,2.0,SAI,55,0 days 00:45:33.435000,9.0,1.0,,,0 days 00:00:28.255000,0 days 00:00:29.065000,0 days 00:00:28.355000,0 days 00:45:24.023000,0 days 00:45:53.088000,0 days 00:46:21.443000,305.0,309.0,308.0,,False,SOFT,12.0,False,McLaren,0 days 00:44:55.773000,2020-09-06 13:24:55.969,2,False,,False,True,0,Italian Grand Prix,11,95.0,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:01:25.755000,2.0,SAI,55,0 days 00:46:33.435000,10.0,1.0,,,0 days 00:00:28.165000,0 days 00:00:29.094000,0 days 00:00:28.496000,0 days 00:46:49.608000,0 days 00:47:18.702000,0 days 00:47:47.198000,304.0,308.0,309.0,315.0,False,SOFT,13.0,False,McLaren,0 days 00:46:21.448000,2020-09-06 13:26:21.644,1,False,,False,True,0,Italian Grand Prix,11,95.0,28.2,41.0,991.0,False,43.7,198,2.7
