LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:40.073000,9.0,ALB,23,0 days 00:34:02.424000,1.0,1.0,,,,0 days 00:00:38.352000,0 days 00:00:31.028000,,0 days 00:34:19.153000,0 days 00:34:50.216000,262.0,153.0,296.0,246.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:31.533000,12.0,ALB,23,0 days 00:35:02.399000,2.0,1.0,,,0 days 00:00:27.835000,0 days 00:00:36.029000,0 days 00:00:27.669000,0 days 00:35:17.845000,0 days 00:35:53.874000,0 days 00:36:21.543000,264.0,173.0,305.0,310.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:34:49.998000,2020-10-25 13:14:51.075,1,True,TRACK LIMITS AT TURN 1,False,True,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:26.173000,11.0,ALB,23,0 days 00:37:02.443000,3.0,1.0,,,0 days 00:00:25.462000,0 days 00:00:33.433000,0 days 00:00:27.278000,0 days 00:36:47.005000,0 days 00:37:20.438000,0 days 00:37:47.716000,267.0,177.0,291.0,313.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:36:21.531000,2020-10-25 13:16:22.608,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:24.409000,11.0,ALB,23,0 days 00:38:02.450000,4.0,1.0,,,0 days 00:00:24.584000,0 days 00:00:32.749000,0 days 00:00:27.076000,0 days 00:38:12.300000,0 days 00:38:45.049000,0 days 00:39:12.125000,268.0,185.0,292.0,300.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:37:47.704000,2020-10-25 13:17:48.781,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:01:23.858000,11.0,ALB,23,0 days 00:40:02.493000,5.0,1.0,,,0 days 00:00:24.536000,0 days 00:00:32.278000,0 days 00:00:27.044000,0 days 00:39:36.661000,0 days 00:40:08.939000,0 days 00:40:35.983000,270.0,184.0,292.0,291.0,True,SOFT,10.0,False,Red Bull Racing,0 days 00:39:12.113000,2020-10-25 13:19:13.190,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:01:23.331000,11.0,ALB,23,0 days 00:41:02.482000,6.0,1.0,,,0 days 00:00:24.308000,0 days 00:00:32.014000,0 days 00:00:27.009000,0 days 00:41:00.291000,0 days 00:41:32.305000,0 days 00:41:59.314000,,183.0,294.0,295.0,True,SOFT,11.0,False,Red Bull Racing,0 days 00:40:35.971000,2020-10-25 13:20:37.048,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:23.402000,11.0,ALB,23,0 days 00:42:02.500000,7.0,1.0,,,0 days 00:00:24.140000,0 days 00:00:32.202000,0 days 00:00:27.060000,0 days 00:42:23.454000,0 days 00:42:55.656000,0 days 00:43:22.716000,271.0,175.0,291.0,296.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:41:59.302000,2020-10-25 13:22:00.379,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:01:23.078000,11.0,ALB,23,0 days 00:44:02.544000,8.0,1.0,,,0 days 00:00:24.219000,0 days 00:00:32.024000,0 days 00:00:26.835000,0 days 00:43:46.935000,0 days 00:44:18.959000,0 days 00:44:45.794000,269.0,186.0,294.0,302.0,True,SOFT,13.0,False,Red Bull Racing,0 days 00:43:22.704000,2020-10-25 13:23:23.781,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:23.587000,11.0,ALB,23,0 days 00:45:02.485000,9.0,1.0,,,0 days 00:00:24.373000,0 days 00:00:32.320000,0 days 00:00:26.894000,0 days 00:45:10.167000,0 days 00:45:42.487000,0 days 00:46:09.381000,268.0,187.0,308.0,298.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:44:45.782000,2020-10-25 13:24:46.859,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:24.429000,11.0,ALB,23,0 days 00:47:02.521000,10.0,1.0,,,0 days 00:00:24.371000,0 days 00:00:32.776000,0 days 00:00:27.282000,0 days 00:46:33.752000,0 days 00:47:06.528000,0 days 00:47:33.810000,274.0,168.0,307.0,324.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:46:09.369000,2020-10-25 13:26:10.446,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.7,1007.6,False,26.5,115,2.5
