LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:38.918000,7.0,RAI,7,0 days 00:34:02.424000,1.0,1.0,,,,0 days 00:00:36.988000,0 days 00:00:29.436000,,0 days 00:34:19.497000,0 days 00:34:49.071000,264.0,165.0,309.0,244.0,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:27.931000,6.0,RAI,7,0 days 00:35:02.399000,2.0,1.0,,,0 days 00:00:26.420000,0 days 00:00:34.049000,0 days 00:00:27.462000,0 days 00:35:15.270000,0 days 00:35:49.319000,0 days 00:36:16.781000,273.0,179.0,292.0,305.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:34:48.843000,2020-10-25 13:14:49.920,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:24.229000,6.0,RAI,7,0 days 00:37:02.443000,3.0,1.0,,,0 days 00:00:24.683000,0 days 00:00:32.361000,0 days 00:00:27.185000,0 days 00:36:41.464000,0 days 00:37:13.825000,0 days 00:37:41.010000,269.0,180.0,292.0,301.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 00:36:16.774000,2020-10-25 13:16:17.851,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:23.523000,6.0,RAI,7,0 days 00:38:02.450000,4.0,1.0,,,0 days 00:00:24.428000,0 days 00:00:32.051000,0 days 00:00:27.044000,0 days 00:38:05.438000,0 days 00:38:37.489000,0 days 00:39:04.533000,268.0,185.0,304.0,305.0,True,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:37:41.003000,2020-10-25 13:17:42.080,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:01:24.307000,6.0,RAI,7,0 days 00:40:02.493000,5.0,1.0,,,0 days 00:00:24.362000,0 days 00:00:32.661000,0 days 00:00:27.284000,0 days 00:39:28.895000,0 days 00:40:01.556000,0 days 00:40:28.840000,271.0,173.0,302.0,325.0,False,SOFT,5.0,True,Alfa Romeo Racing,0 days 00:39:04.526000,2020-10-25 13:19:05.603,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:01:23.922000,6.0,RAI,7,0 days 00:41:02.482000,6.0,1.0,,,0 days 00:00:24.383000,0 days 00:00:32.317000,0 days 00:00:27.222000,0 days 00:40:53.223000,0 days 00:41:25.540000,0 days 00:41:52.762000,,182.0,302.0,320.0,False,SOFT,6.0,True,Alfa Romeo Racing,0 days 00:40:28.833000,2020-10-25 13:20:29.910,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:24.227000,6.0,RAI,7,0 days 00:42:02.500000,7.0,1.0,,,0 days 00:00:24.357000,0 days 00:00:32.370000,0 days 00:00:27.500000,0 days 00:42:17.119000,0 days 00:42:49.489000,0 days 00:43:16.989000,269.0,177.0,292.0,322.0,False,SOFT,7.0,True,Alfa Romeo Racing,0 days 00:41:52.755000,2020-10-25 13:21:53.832,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:01:25.642000,7.0,RAI,7,0 days 00:44:02.544000,8.0,1.0,,,0 days 00:00:25.404000,0 days 00:00:32.727000,0 days 00:00:27.511000,0 days 00:43:42.393000,0 days 00:44:15.120000,0 days 00:44:42.631000,268.0,174.0,290.0,303.0,False,SOFT,8.0,True,Alfa Romeo Racing,0 days 00:43:16.982000,2020-10-25 13:23:18.059,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:25.108000,8.0,RAI,7,0 days 00:45:02.485000,9.0,1.0,,,0 days 00:00:25.118000,0 days 00:00:32.599000,0 days 00:00:27.391000,0 days 00:45:07.749000,0 days 00:45:40.348000,0 days 00:46:07.739000,,180.0,292.0,296.0,False,SOFT,9.0,True,Alfa Romeo Racing,0 days 00:44:42.624000,2020-10-25 13:24:43.701,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:25.059000,9.0,RAI,7,0 days 00:47:02.521000,10.0,1.0,,,0 days 00:00:25.106000,0 days 00:00:32.568000,0 days 00:00:27.385000,0 days 00:46:32.845000,0 days 00:47:05.413000,0 days 00:47:32.798000,,183.0,292.0,306.0,False,SOFT,10.0,True,Alfa Romeo Racing,0 days 00:46:07.732000,2020-10-25 13:26:08.809,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.7,1007.6,False,26.5,115,2.5
0 days 00:01:28.357000,12.0,RAI,7,0 days 00:48:02.523000,11.0,1.0,,0 days 00:48:58.202000,0 days 00:00:25.180000,0 days 00:00:32.583000,0 days 00:00:30.594000,0 days 00:47:57.978000,0 days 00:48:30.561000,0 days 00:49:01.155000,266.0,184.0,,300.0,False,SOFT,11.0,True,Alfa Romeo Racing,0 days 00:47:32.791000,2020-10-25 13:27:33.868,1,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.8,66.6,1007.6,False,26.6,175,3.0
0 days 00:01:48.303000,20.0,RAI,7,0 days 00:49:02.477000,12.0,2.0,0 days 00:49:27.299000,,0 days 00:00:48.613000,0 days 00:00:32.380000,0 days 00:00:27.310000,0 days 00:49:49.768000,0 days 00:50:22.148000,0 days 00:50:49.458000,263.0,188.0,288.0,,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:49:01.148000,2020-10-25 13:29:02.225,1,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.9,66.4,1007.6,False,26.6,101,2.3
0 days 00:01:22.670000,20.0,RAI,7,0 days 00:51:02.495000,13.0,2.0,,,0 days 00:00:24.106000,0 days 00:00:31.702000,0 days 00:00:26.862000,0 days 00:51:13.564000,0 days 00:51:45.266000,0 days 00:52:12.128000,266.0,186.0,287.0,295.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:50:49.451000,2020-10-25 13:30:50.528,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.2,1007.5,False,27.0,168,3.7
0 days 00:01:22.176000,20.0,RAI,7,0 days 00:53:02.482000,14.0,2.0,,,0 days 00:00:24.162000,0 days 00:00:31.326000,0 days 00:00:26.688000,0 days 00:52:36.290000,0 days 00:53:07.616000,0 days 00:53:34.304000,,186.0,288.0,297.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:52:12.121000,2020-10-25 13:32:13.198,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,65.8,1007.5,False,27.2,149,3.1
0 days 00:01:22.794000,20.0,RAI,7,0 days 00:54:02.484000,15.0,2.0,,,0 days 00:00:24.229000,0 days 00:00:31.730000,0 days 00:00:26.835000,0 days 00:53:58.533000,0 days 00:54:30.263000,0 days 00:54:57.098000,268.0,185.0,304.0,298.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:53:34.297000,2020-10-25 13:33:35.374,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,65.9,1007.4,False,27.4,27,2.9
0 days 00:01:23.449000,20.0,RAI,7,0 days 00:55:02.484000,16.0,2.0,,,0 days 00:00:24.363000,0 days 00:00:32.123000,0 days 00:00:26.963000,0 days 00:55:21.461000,0 days 00:55:53.584000,0 days 00:56:20.547000,274.0,186.0,293.0,329.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:54:57.091000,2020-10-25 13:34:58.168,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.9,66.5,1007.5,False,27.5,149,3.8
0 days 00:01:22.978000,20.0,RAI,7,0 days 00:57:02.505000,17.0,2.0,,,0 days 00:00:24.257000,0 days 00:00:31.763000,0 days 00:00:26.958000,0 days 00:56:44.804000,0 days 00:57:16.567000,0 days 00:57:43.525000,267.0,186.0,289.0,302.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:56:20.540000,2020-10-25 13:36:21.617,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.6,1007.4,False,27.3,154,2.5
0 days 00:01:22.867000,20.0,RAI,7,0 days 00:58:02.532000,18.0,2.0,,,0 days 00:00:24.323000,0 days 00:00:31.589000,0 days 00:00:26.955000,0 days 00:58:07.848000,0 days 00:58:39.437000,0 days 00:59:06.392000,268.0,189.0,294.0,,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:57:43.518000,2020-10-25 13:37:44.595,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.0,1007.4,False,27.1,66,3.5
0 days 00:01:23.130000,18.0,RAI,7,0 days 01:00:02.590000,19.0,2.0,,,0 days 00:00:24.470000,0 days 00:00:31.738000,0 days 00:00:26.922000,0 days 00:59:30.862000,0 days 01:00:02.600000,0 days 01:00:29.522000,267.0,187.0,291.0,304.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:59:06.385000,2020-10-25 13:39:07.462,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.4,1007.3,False,26.5,162,4.6
0 days 00:01:22.885000,17.0,RAI,7,0 days 01:01:02.582000,20.0,2.0,,,0 days 00:00:24.148000,0 days 00:00:31.835000,0 days 00:00:26.902000,0 days 01:00:53.670000,0 days 01:01:25.505000,0 days 01:01:52.407000,270.0,188.0,292.0,301.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 01:00:29.515000,2020-10-25 13:40:30.592,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.0,1007.3,False,26.4,162,6.4
