LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:12.360000,7.0,RIC,3,0 days 00:33:41.120000,1.0,1.0,,,,0 days 00:00:55.597000,0 days 00:00:38.044000,,0 days 00:35:08.883000,0 days 00:35:46.010000,248.0,175.0,103.0,277.0,False,SOFT,4.0,False,Renault,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,46.0,1012.5,False,41.1,34,0.5
,5.0,RIC,3,0 days 00:36:41.152000,2.0,1.0,,,0 days 00:01:27.234000,0 days 00:00:53.573000,0 days 00:00:45.701000,0 days 00:37:13.235000,0 days 00:38:06.812000,0 days 00:38:52.635000,130.0,160.0,99.0,123.0,False,SOFT,5.0,False,Renault,0 days 00:35:46.019000,2020-09-27 11:15:46.073,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.4,45.7,1012.6,False,40.7,46,0.0
,5.0,RIC,3,0 days 00:39:41.173000,3.0,1.0,,,0 days 00:01:11.293000,0 days 00:00:55.826000,0 days 00:00:45.730000,0 days 00:40:03.845000,0 days 00:40:59.661000,0 days 00:41:45.506000,158.0,129.0,97.0,134.0,False,SOFT,6.0,False,Renault,0 days 00:38:52.518000,2020-09-27 11:18:52.572,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.0,1012.7,False,40.5,11,0.7
,5.0,RIC,3,0 days 00:42:41.173000,4.0,1.0,,,0 days 00:01:08.262000,0 days 00:00:57.764000,0 days 00:00:45.946000,0 days 00:42:53.642000,0 days 00:43:51.375000,0 days 00:44:37.466000,121.0,141.0,96.0,133.0,False,SOFT,7.0,False,Renault,0 days 00:41:45.400000,2020-09-27 11:21:45.454,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.8,1012.8,False,40.3,0,0.5
,5.0,RIC,3,0 days 00:44:41.176000,5.0,1.0,,,0 days 00:01:03.285000,0 days 00:00:57.396000,0 days 00:00:50.627000,0 days 00:45:40.632000,0 days 00:46:38.016000,0 days 00:47:28.758000,165.0,104.0,160.0,135.0,False,SOFT,8.0,False,Renault,0 days 00:44:37.330000,2020-09-27 11:24:37.384,4,False,,False,False,0,Russian Grand Prix,18,324.0,30.5,45.6,1012.7,False,40.4,0,0.4
0 days 00:01:42.025000,5.0,RIC,3,0 days 00:47:41.196000,6.0,1.0,,,0 days 00:00:36.288000,0 days 00:00:35.417000,0 days 00:00:30.320000,0 days 00:48:04.922000,0 days 00:48:40.339000,0 days 00:49:10.659000,244.0,302.0,160.0,294.0,True,SOFT,9.0,False,Renault,0 days 00:47:28.643000,2020-09-27 11:27:28.697,1,False,,False,False,0,Russian Grand Prix,18,324.0,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:01:41.799000,5.0,RIC,3,0 days 00:49:41.213000,7.0,1.0,,,0 days 00:00:36.105000,0 days 00:00:35.470000,0 days 00:00:30.224000,0 days 00:49:46.764000,0 days 00:50:22.234000,0 days 00:50:52.458000,251.0,302.0,162.0,305.0,True,SOFT,10.0,False,Renault,0 days 00:49:10.668000,2020-09-27 11:29:10.722,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:01:41.288000,5.0,RIC,3,0 days 00:51:41.230000,8.0,1.0,,,0 days 00:00:35.868000,0 days 00:00:35.089000,0 days 00:00:30.331000,0 days 00:51:28.326000,0 days 00:52:03.415000,0 days 00:52:33.746000,250.0,317.0,161.0,313.0,True,SOFT,11.0,False,Renault,0 days 00:50:52.467000,2020-09-27 11:30:52.521,1,False,,False,True,0,Russian Grand Prix,18,324.0,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:01:41.432000,5.0,RIC,3,0 days 00:52:41.231000,9.0,1.0,,,0 days 00:00:35.924000,0 days 00:00:35.259000,0 days 00:00:30.249000,0 days 00:53:09.670000,0 days 00:53:44.929000,0 days 00:54:15.178000,247.0,317.0,161.0,320.0,False,SOFT,12.0,False,Renault,0 days 00:52:33.755000,2020-09-27 11:32:33.809,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,50.6,1012.9,False,40.2,252,2.1
0 days 00:01:41.554000,5.0,RIC,3,0 days 00:54:41.242000,10.0,1.0,,,0 days 00:00:35.944000,0 days 00:00:35.160000,0 days 00:00:30.450000,0 days 00:54:51.122000,0 days 00:55:26.282000,0 days 00:55:56.732000,251.0,317.0,158.0,308.0,False,SOFT,13.0,False,Renault,0 days 00:54:15.187000,2020-09-27 11:34:15.241,1,False,,False,True,0,Russian Grand Prix,18,324.0,28.9,49.5,1012.9,False,40.9,233,2.1
