LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:29.434000,4.0,BOT,77,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:32.095000,0 days 00:00:29.074000,,0 days 00:34:17.901000,0 days 00:34:47.099000,262.0,251.0,279.0,276.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:25.062000,4.0,BOT,77,0 days 00:34:52.009000,2.0,1.0,,,0 days 00:00:23.530000,0 days 00:00:32.103000,0 days 00:00:29.429000,0 days 00:35:10.477000,0 days 00:35:42.580000,0 days 00:36:12.009000,256.0,248.0,280.0,312.0,True,SOFT,5.0,False,Mercedes,0 days 00:34:46.922000,2020-08-16 13:14:48.898,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.5,997.8,False,50.1,209,2.3
0 days 00:01:24.948000,4.0,BOT,77,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:23.712000,0 days 00:00:32.043000,0 days 00:00:29.193000,0 days 00:36:35.721000,0 days 00:37:07.764000,0 days 00:37:36.957000,248.0,241.0,286.0,311.0,True,SOFT,6.0,False,Mercedes,0 days 00:36:11.984000,2020-08-16 13:16:13.960,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.258000,4.0,BOT,77,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.603000,0 days 00:00:32.171000,0 days 00:00:29.484000,0 days 00:38:00.560000,0 days 00:38:32.731000,0 days 00:39:02.215000,244.0,246.0,286.0,335.0,False,SOFT,7.0,False,Mercedes,0 days 00:37:36.932000,2020-08-16 13:17:38.908,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:23.796000,3.0,BOT,77,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:23.227000,0 days 00:00:31.579000,0 days 00:00:28.990000,0 days 00:39:25.442000,0 days 00:39:57.021000,0 days 00:40:26.011000,271.0,248.0,276.0,330.0,True,SOFT,8.0,False,Mercedes,0 days 00:39:02.190000,2020-08-16 13:19:04.166,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:24.187000,3.0,BOT,77,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:23.709000,0 days 00:00:31.507000,0 days 00:00:28.971000,0 days 00:40:49.720000,0 days 00:41:21.227000,0 days 00:41:50.198000,265.0,256.0,276.0,293.0,False,SOFT,9.0,False,Mercedes,0 days 00:40:25.986000,2020-08-16 13:20:27.962,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:23.981000,3.0,BOT,77,0 days 00:41:52.008000,7.0,1.0,,,0 days 00:00:23.448000,0 days 00:00:31.515000,0 days 00:00:29.018000,0 days 00:42:13.646000,0 days 00:42:45.161000,0 days 00:43:14.179000,266.0,250.0,276.0,302.0,False,SOFT,10.0,False,Mercedes,0 days 00:41:50.173000,2020-08-16 13:21:52.149,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.5,997.8,False,48.6,91,1.5
0 days 00:01:24.266000,3.0,BOT,77,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.521000,0 days 00:00:31.509000,0 days 00:00:29.236000,0 days 00:43:37.700000,0 days 00:44:09.209000,0 days 00:44:38.445000,,256.0,275.0,304.0,False,SOFT,11.0,False,Mercedes,0 days 00:43:14.154000,2020-08-16 13:23:16.130,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:24.191000,3.0,BOT,77,0 days 00:44:52.005000,9.0,1.0,,,0 days 00:00:23.539000,0 days 00:00:31.573000,0 days 00:00:29.079000,0 days 00:45:01.984000,0 days 00:45:33.557000,0 days 00:46:02.636000,269.0,259.0,275.0,,False,SOFT,12.0,False,Mercedes,0 days 00:44:38.420000,2020-08-16 13:24:40.396,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.3,997.7,False,48.3,133,1.7
0 days 00:01:24.035000,3.0,BOT,77,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:23.514000,0 days 00:00:31.523000,0 days 00:00:28.998000,0 days 00:46:26.150000,0 days 00:46:57.673000,0 days 00:47:26.671000,267.0,257.0,275.0,305.0,False,SOFT,13.0,False,Mercedes,0 days 00:46:02.611000,2020-08-16 13:26:04.587,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
0 days 00:01:23.590000,3.0,BOT,77,0 days 00:47:52.014000,11.0,1.0,,,0 days 00:00:23.418000,0 days 00:00:31.293000,0 days 00:00:28.879000,0 days 00:47:50.089000,0 days 00:48:21.382000,0 days 00:48:50.261000,270.0,253.0,276.0,,True,SOFT,14.0,False,Mercedes,0 days 00:47:26.646000,2020-08-16 13:27:28.622,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,55.4,997.8,False,49.1,228,1.7
0 days 00:01:23.449000,3.0,BOT,77,0 days 00:48:52.025000,12.0,1.0,,,0 days 00:00:23.402000,0 days 00:00:31.375000,0 days 00:00:28.672000,0 days 00:49:13.663000,0 days 00:49:45.038000,0 days 00:50:13.710000,271.0,258.0,276.0,302.0,True,SOFT,15.0,False,Mercedes,0 days 00:48:50.236000,2020-08-16 13:28:52.212,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.5,54.4,997.8,False,49.2,66,1.1
0 days 00:01:23.727000,3.0,BOT,77,0 days 00:50:52.018000,13.0,1.0,,,0 days 00:00:23.378000,0 days 00:00:31.407000,0 days 00:00:28.942000,0 days 00:50:37.088000,0 days 00:51:08.495000,0 days 00:51:37.437000,270.0,258.0,276.0,304.0,False,SOFT,16.0,False,Mercedes,0 days 00:50:13.685000,2020-08-16 13:30:15.661,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.7,53.6,997.7,False,49.2,194,2.6
0 days 00:01:23.655000,3.0,BOT,77,0 days 00:51:52.019000,14.0,1.0,,,0 days 00:00:23.453000,0 days 00:00:31.343000,0 days 00:00:28.859000,0 days 00:52:00.890000,0 days 00:52:32.233000,0 days 00:53:01.092000,268.0,261.0,276.0,303.0,False,SOFT,17.0,False,Mercedes,0 days 00:51:37.412000,2020-08-16 13:31:39.388,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.5,54.6,997.8,False,48.5,172,1.9
0 days 00:01:23.690000,3.0,BOT,77,0 days 00:53:52.027000,15.0,1.0,,,0 days 00:00:23.423000,0 days 00:00:31.419000,0 days 00:00:28.848000,0 days 00:53:24.515000,0 days 00:53:55.934000,0 days 00:54:24.782000,,258.0,276.0,302.0,False,SOFT,18.0,False,Mercedes,0 days 00:53:01.067000,2020-08-16 13:33:03.043,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,55.3,997.8,False,48.1,119,1.7
0 days 00:01:23.700000,3.0,BOT,77,0 days 00:54:52.021000,16.0,1.0,,,0 days 00:00:23.436000,0 days 00:00:31.297000,0 days 00:00:28.967000,0 days 00:54:48.218000,0 days 00:55:19.515000,0 days 00:55:48.482000,267.0,257.0,276.0,,False,SOFT,19.0,False,Mercedes,0 days 00:54:24.757000,2020-08-16 13:34:26.733,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.3,54.7,997.8,False,48.5,201,1.6
0 days 00:01:23.907000,3.0,BOT,77,0 days 00:55:52.034000,17.0,1.0,,,0 days 00:00:23.571000,0 days 00:00:31.465000,0 days 00:00:28.871000,0 days 00:56:12.053000,0 days 00:56:43.518000,0 days 00:57:12.389000,270.0,258.0,276.0,303.0,False,SOFT,20.0,False,Mercedes,0 days 00:55:48.457000,2020-08-16 13:35:50.433,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.3,997.7,False,48.5,111,2.5
0 days 00:01:24.026000,3.0,BOT,77,0 days 00:57:52.024000,18.0,1.0,,,0 days 00:00:23.500000,0 days 00:00:31.452000,0 days 00:00:29.074000,0 days 00:57:35.889000,0 days 00:58:07.341000,0 days 00:58:36.415000,271.0,258.0,275.0,302.0,False,SOFT,21.0,False,Mercedes,0 days 00:57:12.364000,2020-08-16 13:37:14.340,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.1,997.8,False,48.1,145,1.6
0 days 00:01:23.726000,3.0,BOT,77,0 days 00:58:52.023000,19.0,1.0,,,0 days 00:00:23.418000,0 days 00:00:31.259000,0 days 00:00:29.049000,0 days 00:58:59.833000,0 days 00:59:31.092000,0 days 01:00:00.141000,273.0,267.0,277.0,303.0,False,SOFT,22.0,False,Mercedes,0 days 00:58:36.390000,2020-08-16 13:38:38.366,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.1,997.7,False,48.1,180,1.3
0 days 00:01:24.063000,3.0,BOT,77,0 days 01:00:52.029000,20.0,1.0,,,0 days 00:00:23.400000,0 days 00:00:31.345000,0 days 00:00:29.318000,0 days 01:00:23.541000,0 days 01:00:54.886000,0 days 01:01:24.204000,268.0,254.0,277.0,302.0,False,SOFT,23.0,False,Mercedes,0 days 01:00:00.116000,2020-08-16 13:40:02.092,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,55.9,997.7,False,47.4,244,1.3
0 days 00:01:24.474000,2.0,BOT,77,0 days 01:01:52.030000,21.0,1.0,,,0 days 00:00:23.478000,0 days 00:00:31.596000,0 days 00:00:29.400000,0 days 01:01:47.682000,0 days 01:02:19.278000,0 days 01:02:48.678000,270.0,251.0,274.0,303.0,False,SOFT,24.0,False,Mercedes,0 days 01:01:24.179000,2020-08-16 13:41:26.155,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.8,997.7,False,48.4,342,1.2
0 days 00:01:24.337000,2.0,BOT,77,0 days 01:02:52.034000,22.0,1.0,,,0 days 00:00:23.561000,0 days 00:00:31.570000,0 days 00:00:29.206000,0 days 01:03:12.239000,0 days 01:03:43.809000,0 days 01:04:13.015000,269.0,258.0,273.0,296.0,False,SOFT,25.0,False,Mercedes,0 days 01:02:48.653000,2020-08-16 13:42:50.629,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.8,997.7,False,48.5,59,1.9
0 days 00:01:28.170000,2.0,BOT,77,0 days 01:04:52.031000,23.0,1.0,,0 days 01:05:38.438000,0 days 00:00:23.769000,0 days 00:00:31.545000,0 days 00:00:32.856000,0 days 01:04:36.784000,0 days 01:05:08.329000,0 days 01:05:41.185000,270.0,251.0,,300.0,False,SOFT,26.0,False,Mercedes,0 days 01:04:12.990000,2020-08-16 13:44:14.966,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.0,55.5,997.8,False,48.5,210,1.7
