LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.048000,19.0,GIO,99,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:35.341000,0 days 00:00:31.684000,,0 days 00:34:24.862000,0 days 00:34:56.690000,219.0,203.0,278.0,293.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:28.572000,19.0,GIO,99,0 days 00:35:52.005000,2.0,1.0,,,0 days 00:00:24.992000,0 days 00:00:33.376000,0 days 00:00:30.204000,0 days 00:35:21.521000,0 days 00:35:54.897000,0 days 00:36:25.101000,245.0,226.0,277.0,314.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:56.536000,2020-08-16 13:14:58.512,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:01:27.417000,19.0,GIO,99,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:24.358000,0 days 00:00:33.090000,0 days 00:00:29.969000,0 days 00:36:49.459000,0 days 00:37:22.549000,0 days 00:37:52.518000,251.0,232.0,283.0,312.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:25.108000,2020-08-16 13:16:27.084,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:26.551000,19.0,GIO,99,0 days 00:38:52.021000,4.0,1.0,,,0 days 00:00:23.794000,0 days 00:00:32.863000,0 days 00:00:29.894000,0 days 00:38:16.312000,0 days 00:38:49.175000,0 days 00:39:19.069000,250.0,243.0,275.0,331.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:52.525000,2020-08-16 13:17:54.501,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.6,997.7,False,48.3,356,2.9
0 days 00:01:26.812000,19.0,GIO,99,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:24.169000,0 days 00:00:32.627000,0 days 00:00:30.016000,0 days 00:39:43.238000,0 days 00:40:15.865000,0 days 00:40:45.881000,252.0,235.0,274.0,310.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:19.076000,2020-08-16 13:19:21.052,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:26.529000,19.0,GIO,99,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:24.280000,0 days 00:00:32.491000,0 days 00:00:29.758000,0 days 00:41:10.161000,0 days 00:41:42.652000,0 days 00:42:12.410000,256.0,244.0,275.0,308.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:45.888000,2020-08-16 13:20:47.864,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:26.295000,19.0,GIO,99,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:24.034000,0 days 00:00:32.471000,0 days 00:00:29.790000,0 days 00:42:36.444000,0 days 00:43:08.915000,0 days 00:43:38.705000,260.0,240.0,281.0,,True,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:42:12.417000,2020-08-16 13:22:14.393,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:26.397000,19.0,GIO,99,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.910000,0 days 00:00:32.655000,0 days 00:00:29.832000,0 days 00:44:02.615000,0 days 00:44:35.270000,0 days 00:45:05.102000,251.0,245.0,283.0,330.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:43:38.712000,2020-08-16 13:23:40.688,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:26.061000,19.0,GIO,99,0 days 00:45:52.011000,9.0,1.0,,,0 days 00:00:23.942000,0 days 00:00:32.298000,0 days 00:00:29.821000,0 days 00:45:29.044000,0 days 00:46:01.342000,0 days 00:46:31.163000,258.0,256.0,274.0,,True,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:45:05.109000,2020-08-16 13:25:07.085,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:01:26.236000,19.0,GIO,99,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:24.066000,0 days 00:00:32.497000,0 days 00:00:29.673000,0 days 00:46:55.229000,0 days 00:47:27.726000,0 days 00:47:57.399000,261.0,249.0,274.0,309.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:46:31.170000,2020-08-16 13:26:33.146,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
0 days 00:01:26.182000,19.0,GIO,99,0 days 00:48:52.025000,11.0,1.0,,,0 days 00:00:24.100000,0 days 00:00:32.349000,0 days 00:00:29.733000,0 days 00:48:21.499000,0 days 00:48:53.848000,0 days 00:49:23.581000,264.0,250.0,275.0,308.0,False,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 00:47:57.406000,2020-08-16 13:27:59.382,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.5,54.4,997.8,False,49.2,66,1.1
0 days 00:01:26.115000,19.0,GIO,99,0 days 00:49:52.014000,12.0,1.0,,,0 days 00:00:23.914000,0 days 00:00:32.429000,0 days 00:00:29.772000,0 days 00:49:47.495000,0 days 00:50:19.924000,0 days 00:50:49.696000,266.0,257.0,274.0,,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 00:49:23.588000,2020-08-16 13:29:25.564,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.6,54.3,997.6,False,49.2,73,1.6
0 days 00:01:25.990000,19.0,GIO,99,0 days 00:50:52.018000,13.0,1.0,,,0 days 00:00:23.857000,0 days 00:00:32.319000,0 days 00:00:29.814000,0 days 00:51:13.553000,0 days 00:51:45.872000,0 days 00:52:15.686000,,252.0,273.0,307.0,True,MEDIUM,13.0,True,Alfa Romeo Racing,0 days 00:50:49.703000,2020-08-16 13:30:51.679,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.7,53.6,997.7,False,49.2,194,2.6
0 days 00:01:26.159000,19.0,GIO,99,0 days 00:52:52.036000,14.0,1.0,,,0 days 00:00:24.035000,0 days 00:00:32.385000,0 days 00:00:29.739000,0 days 00:52:39.721000,0 days 00:53:12.106000,0 days 00:53:41.845000,262.0,263.0,275.0,305.0,False,MEDIUM,14.0,True,Alfa Romeo Racing,0 days 00:52:15.693000,2020-08-16 13:32:17.669,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.3,55.2,997.8,False,47.6,339,1.1
0 days 00:01:26.019000,19.0,GIO,99,0 days 00:53:52.027000,15.0,1.0,,,0 days 00:00:24.015000,0 days 00:00:32.224000,0 days 00:00:29.780000,0 days 00:54:05.860000,0 days 00:54:38.084000,0 days 00:55:07.864000,269.0,254.0,274.0,307.0,False,MEDIUM,15.0,True,Alfa Romeo Racing,0 days 00:53:41.852000,2020-08-16 13:33:43.828,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,55.3,997.8,False,48.1,119,1.7
0 days 00:01:26.203000,19.0,GIO,99,0 days 00:55:52.034000,16.0,1.0,,,0 days 00:00:24.081000,0 days 00:00:32.395000,0 days 00:00:29.727000,0 days 00:55:31.945000,0 days 00:56:04.340000,0 days 00:56:34.067000,268.0,264.0,274.0,305.0,False,MEDIUM,16.0,True,Alfa Romeo Racing,0 days 00:55:07.871000,2020-08-16 13:35:09.847,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.3,997.7,False,48.5,111,2.5
0 days 00:01:26.227000,19.0,GIO,99,0 days 00:56:52.024000,17.0,1.0,,,0 days 00:00:24.100000,0 days 00:00:32.304000,0 days 00:00:29.823000,0 days 00:56:58.167000,0 days 00:57:30.471000,0 days 00:58:00.294000,267.0,255.0,272.0,304.0,False,MEDIUM,17.0,True,Alfa Romeo Racing,0 days 00:56:34.074000,2020-08-16 13:36:36.050,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,56.2,997.7,False,48.1,75,1.3
0 days 00:01:26.143000,19.0,GIO,99,0 days 00:58:52.023000,18.0,1.0,,,0 days 00:00:24.040000,0 days 00:00:32.209000,0 days 00:00:29.894000,0 days 00:58:24.334000,0 days 00:58:56.543000,0 days 00:59:26.437000,268.0,251.0,275.0,301.0,False,MEDIUM,18.0,True,Alfa Romeo Racing,0 days 00:58:00.301000,2020-08-16 13:38:02.277,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.1,997.7,False,48.1,180,1.3
0 days 00:01:26.496000,19.0,GIO,99,0 days 00:59:52.025000,19.0,1.0,,,0 days 00:00:24.054000,0 days 00:00:32.434000,0 days 00:00:30.008000,0 days 00:59:50.491000,0 days 01:00:22.925000,0 days 01:00:52.933000,269.0,262.0,274.0,304.0,False,MEDIUM,19.0,True,Alfa Romeo Racing,0 days 00:59:26.444000,2020-08-16 13:39:28.420,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,55.1,997.8,False,48.4,168,1.4
0 days 00:01:26.609000,18.0,GIO,99,0 days 01:01:52.030000,20.0,1.0,,,0 days 00:00:24.129000,0 days 00:00:32.342000,0 days 00:00:30.138000,0 days 01:01:17.062000,0 days 01:01:49.404000,0 days 01:02:19.542000,270.0,258.0,272.0,306.0,False,MEDIUM,20.0,True,Alfa Romeo Racing,0 days 01:00:52.940000,2020-08-16 13:40:54.916,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.8,997.7,False,48.4,342,1.2
0 days 00:01:30.247000,18.0,GIO,99,0 days 01:02:52.034000,21.0,1.0,,0 days 01:03:47.256000,0 days 00:00:24.275000,0 days 00:00:32.268000,0 days 00:00:33.704000,0 days 01:02:43.817000,0 days 01:03:16.085000,0 days 01:03:49.789000,268.0,260.0,,301.0,False,MEDIUM,21.0,True,Alfa Romeo Racing,0 days 01:02:19.549000,2020-08-16 13:42:21.525,1,False,,False,False,0,Spanish Grand Prix,16,303.0,29.9,55.8,997.7,False,48.5,59,1.9
0 days 00:01:42.797000,20.0,GIO,99,0 days 01:03:52.029000,22.0,2.0,0 days 01:04:09.349000,,0 days 00:00:42.874000,0 days 00:00:31.222000,0 days 00:00:28.701000,0 days 01:04:32.663000,0 days 01:05:03.885000,0 days 01:05:32.586000,272.0,264.0,273.0,250.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 01:03:49.796000,2020-08-16 13:43:51.772,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.1,54.6,997.7,False,48.4,230,1.3
0 days 00:01:23.614000,20.0,GIO,99,0 days 01:05:52.033000,23.0,2.0,,,0 days 00:00:23.532000,0 days 00:00:31.167000,0 days 00:00:28.915000,0 days 01:05:56.118000,0 days 01:06:27.285000,0 days 01:06:56.200000,275.0,270.0,272.0,299.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 01:05:32.593000,2020-08-16 13:45:34.569,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.7,997.6,False,48.1,147,1.3
0 days 00:01:23.946000,20.0,GIO,99,0 days 01:07:52.050000,24.0,2.0,,,0 days 00:00:23.710000,0 days 00:00:31.258000,0 days 00:00:28.978000,0 days 01:07:19.910000,0 days 01:07:51.168000,0 days 01:08:20.146000,277.0,271.0,273.0,297.0,False,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 01:06:56.207000,2020-08-16 13:46:58.183,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.4,997.7,False,47.6,242,1.9
0 days 00:01:24.157000,20.0,GIO,99,0 days 01:08:52.066000,25.0,2.0,,,0 days 00:00:23.750000,0 days 00:00:31.387000,0 days 00:00:29.020000,0 days 01:08:43.896000,0 days 01:09:15.283000,0 days 01:09:44.303000,275.0,265.0,275.0,300.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 01:08:20.153000,2020-08-16 13:48:22.129,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.0,997.6,False,48.2,99,0.9
0 days 00:01:24.603000,20.0,GIO,99,0 days 01:09:52.080000,26.0,2.0,,,0 days 00:00:23.769000,0 days 00:00:31.598000,0 days 00:00:29.236000,0 days 01:10:08.072000,0 days 01:10:39.670000,0 days 01:11:08.906000,277.0,263.0,275.0,302.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 01:09:44.310000,2020-08-16 13:49:46.286,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.4,57.5,997.6,False,48.2,50,1.4
0 days 00:01:26.594000,20.0,GIO,99,0 days 01:11:52.101000,27.0,2.0,,,0 days 00:00:23.838000,0 days 00:00:32.246000,0 days 00:00:30.510000,0 days 01:11:32.744000,0 days 01:12:04.990000,0 days 01:12:35.500000,271.0,244.0,284.0,303.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 01:11:08.913000,2020-08-16 13:51:10.889,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.3,57.9,997.7,False,47.2,277,1.2
0 days 00:01:24.395000,19.0,GIO,99,0 days 01:12:52.111000,28.0,2.0,,,0 days 00:00:23.371000,0 days 00:00:31.700000,0 days 00:00:29.324000,0 days 01:12:58.871000,0 days 01:13:30.571000,0 days 01:13:59.895000,,266.0,275.0,323.0,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 01:12:35.507000,2020-08-16 13:52:37.483,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.7,997.8,False,48.1,122,0.7
0 days 00:01:24.637000,18.0,GIO,99,0 days 01:14:52.125000,29.0,2.0,,,0 days 00:00:23.856000,0 days 00:00:31.609000,0 days 00:00:29.172000,0 days 01:14:23.751000,0 days 01:14:55.360000,0 days 01:15:24.532000,272.0,269.0,274.0,299.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 01:13:59.902000,2020-08-16 13:54:01.878,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,56.2,997.7,False,49.0,1,1.2
0 days 00:01:24.386000,18.0,GIO,99,0 days 01:15:52.127000,30.0,2.0,,,0 days 00:00:23.781000,0 days 00:00:31.486000,0 days 00:00:29.119000,0 days 01:15:48.313000,0 days 01:16:19.799000,0 days 01:16:48.918000,271.0,271.0,274.0,,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 01:15:24.539000,2020-08-16 13:55:26.515,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,56.5,997.6,False,47.4,44,1.1
0 days 00:01:24.710000,18.0,GIO,99,0 days 01:16:52.128000,31.0,2.0,,,0 days 00:00:23.811000,0 days 00:00:31.582000,0 days 00:00:29.317000,0 days 01:17:12.729000,0 days 01:17:44.311000,0 days 01:18:13.628000,277.0,266.0,274.0,301.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 01:16:48.925000,2020-08-16 13:56:50.901,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,56.4,997.6,False,48.6,134,1.8
0 days 00:01:24.589000,17.0,GIO,99,0 days 01:18:52.135000,32.0,2.0,,,0 days 00:00:23.768000,0 days 00:00:31.530000,0 days 00:00:29.291000,0 days 01:18:37.396000,0 days 01:19:08.926000,0 days 01:19:38.217000,274.0,265.0,280.0,303.0,False,MEDIUM,11.0,True,Alfa Romeo Racing,0 days 01:18:13.635000,2020-08-16 13:58:15.611,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,56.3,997.6,False,48.7,63,1.1
0 days 00:01:24.105000,17.0,GIO,99,0 days 01:19:52.123000,33.0,2.0,,,0 days 00:00:23.353000,0 days 00:00:31.468000,0 days 00:00:29.284000,0 days 01:20:01.570000,0 days 01:20:33.038000,0 days 01:21:02.322000,,268.0,274.0,319.0,False,MEDIUM,12.0,True,Alfa Romeo Racing,0 days 01:19:38.224000,2020-08-16 13:59:40.200,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.4,997.6,False,48.7,160,1.5
