LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:35.427000,13.0,KVY,26,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:34.478000,0 days 00:00:30.058000,,0 days 00:34:22.876000,0 days 00:34:53.060000,224.0,221.0,282.0,290.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:27.108000,12.0,KVY,26,0 days 00:35:52.005000,2.0,1.0,,,0 days 00:00:24.115000,0 days 00:00:33.059000,0 days 00:00:29.934000,0 days 00:35:17.022000,0 days 00:35:50.081000,0 days 00:36:20.015000,267.0,231.0,276.0,318.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:34:52.915000,2020-08-16 13:14:54.891,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:01:25.954000,12.0,KVY,26,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:23.973000,0 days 00:00:32.341000,0 days 00:00:29.640000,0 days 00:36:43.988000,0 days 00:37:16.329000,0 days 00:37:45.969000,256.0,237.0,286.0,309.0,True,SOFT,3.0,True,AlphaTauri,0 days 00:36:20.023000,2020-08-16 13:16:21.999,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.718000,12.0,KVY,26,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.525000,0 days 00:00:32.489000,0 days 00:00:29.704000,0 days 00:38:09.494000,0 days 00:38:41.983000,0 days 00:39:11.687000,260.0,243.0,285.0,332.0,True,SOFT,4.0,True,AlphaTauri,0 days 00:37:45.977000,2020-08-16 13:17:47.953,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:26.721000,12.0,KVY,26,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:23.827000,0 days 00:00:33.025000,0 days 00:00:29.869000,0 days 00:39:35.514000,0 days 00:40:08.539000,0 days 00:40:38.408000,255.0,240.0,284.0,334.0,False,SOFT,5.0,True,AlphaTauri,0 days 00:39:11.695000,2020-08-16 13:19:13.671,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:25.668000,12.0,KVY,26,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:23.904000,0 days 00:00:32.292000,0 days 00:00:29.472000,0 days 00:41:02.312000,0 days 00:41:34.604000,0 days 00:42:04.076000,250.0,253.0,285.0,329.0,True,SOFT,6.0,True,AlphaTauri,0 days 00:40:38.416000,2020-08-16 13:20:40.392,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:25.483000,12.0,KVY,26,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:23.642000,0 days 00:00:32.251000,0 days 00:00:29.590000,0 days 00:42:27.718000,0 days 00:42:59.969000,0 days 00:43:29.559000,253.0,251.0,276.0,328.0,True,SOFT,7.0,True,AlphaTauri,0 days 00:42:04.084000,2020-08-16 13:22:06.060,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:25.448000,12.0,KVY,26,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.894000,0 days 00:00:32.241000,0 days 00:00:29.313000,0 days 00:43:53.453000,0 days 00:44:25.694000,0 days 00:44:55.007000,251.0,250.0,286.0,309.0,True,SOFT,8.0,True,AlphaTauri,0 days 00:43:29.567000,2020-08-16 13:23:31.543,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:25.387000,12.0,KVY,26,0 days 00:45:52.011000,9.0,1.0,,,0 days 00:00:23.761000,0 days 00:00:32.119000,0 days 00:00:29.507000,0 days 00:45:18.768000,0 days 00:45:50.887000,0 days 00:46:20.394000,254.0,257.0,278.0,331.0,True,SOFT,9.0,True,AlphaTauri,0 days 00:44:55.015000,2020-08-16 13:24:56.991,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:01:25.808000,12.0,KVY,26,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:23.832000,0 days 00:00:32.418000,0 days 00:00:29.558000,0 days 00:46:44.226000,0 days 00:47:16.644000,0 days 00:47:46.202000,262.0,246.0,277.0,308.0,False,SOFT,10.0,True,AlphaTauri,0 days 00:46:20.402000,2020-08-16 13:26:22.378,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
