LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.559000,20.0,LAT,6,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:35.659000,0 days 00:00:31.604000,,0 days 00:34:25.453000,0 days 00:34:57.174000,224.0,203.0,275.0,294.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:29.197000,20.0,LAT,6,0 days 00:35:52.005000,2.0,1.0,,,0 days 00:00:24.929000,0 days 00:00:33.939000,0 days 00:00:30.329000,0 days 00:35:21.971000,0 days 00:35:55.910000,0 days 00:36:26.239000,250.0,234.0,274.0,310.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:57.047000,2020-08-16 13:14:59.023,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:01:27.177000,20.0,LAT,6,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:24.182000,0 days 00:00:32.943000,0 days 00:00:30.052000,0 days 00:36:50.421000,0 days 00:37:23.364000,0 days 00:37:53.416000,243.0,239.0,284.0,307.0,True,MEDIUM,3.0,True,Williams,0 days 00:36:26.244000,2020-08-16 13:16:28.220,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:27.476000,20.0,LAT,6,0 days 00:38:52.021000,4.0,1.0,,,0 days 00:00:23.703000,0 days 00:00:33.226000,0 days 00:00:30.547000,0 days 00:38:17.119000,0 days 00:38:50.345000,0 days 00:39:20.892000,251.0,235.0,273.0,332.0,False,MEDIUM,4.0,True,Williams,0 days 00:37:53.421000,2020-08-16 13:17:55.397,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.6,997.7,False,48.3,356,2.9
0 days 00:01:27.348000,20.0,LAT,6,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:24.275000,0 days 00:00:33.032000,0 days 00:00:30.041000,0 days 00:39:45.167000,0 days 00:40:18.199000,0 days 00:40:48.240000,248.0,243.0,268.0,305.0,False,MEDIUM,5.0,True,Williams,0 days 00:39:20.897000,2020-08-16 13:19:22.873,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:27.676000,20.0,LAT,6,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:24.523000,0 days 00:00:33.113000,0 days 00:00:30.040000,0 days 00:41:12.763000,0 days 00:41:45.876000,0 days 00:42:15.916000,252.0,244.0,267.0,298.0,False,MEDIUM,6.0,True,Williams,0 days 00:40:48.245000,2020-08-16 13:20:50.221,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:26.775000,20.0,LAT,6,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:24.212000,0 days 00:00:32.730000,0 days 00:00:29.833000,0 days 00:42:40.128000,0 days 00:43:12.858000,0 days 00:43:42.691000,253.0,243.0,271.0,296.0,True,MEDIUM,7.0,True,Williams,0 days 00:42:15.921000,2020-08-16 13:22:17.897,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:26.210000,20.0,LAT,6,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:24.014000,0 days 00:00:32.366000,0 days 00:00:29.830000,0 days 00:44:06.705000,0 days 00:44:39.071000,0 days 00:45:08.901000,254.0,247.0,273.0,299.0,True,MEDIUM,8.0,True,Williams,0 days 00:43:42.696000,2020-08-16 13:23:44.672,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:26.467000,20.0,LAT,6,0 days 00:45:52.011000,9.0,1.0,,,0 days 00:00:24.263000,0 days 00:00:32.466000,0 days 00:00:29.738000,0 days 00:45:33.164000,0 days 00:46:05.630000,0 days 00:46:35.368000,258.0,252.0,271.0,300.0,False,MEDIUM,9.0,True,Williams,0 days 00:45:08.906000,2020-08-16 13:25:10.882,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:01:26.808000,20.0,LAT,6,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:24.183000,0 days 00:00:32.841000,0 days 00:00:29.784000,0 days 00:46:59.551000,0 days 00:47:32.392000,0 days 00:48:02.176000,252.0,237.0,271.0,,False,MEDIUM,10.0,True,Williams,0 days 00:46:35.373000,2020-08-16 13:26:37.349,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
0 days 00:01:26.626000,20.0,LAT,6,0 days 00:48:52.025000,11.0,1.0,,,0 days 00:00:24.170000,0 days 00:00:32.660000,0 days 00:00:29.796000,0 days 00:48:26.346000,0 days 00:48:59.006000,0 days 00:49:28.802000,255.0,251.0,268.0,,False,MEDIUM,11.0,True,Williams,0 days 00:48:02.181000,2020-08-16 13:28:04.157,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.5,54.4,997.8,False,49.2,66,1.1
0 days 00:01:26.325000,20.0,LAT,6,0 days 00:49:52.014000,12.0,1.0,,,0 days 00:00:24.291000,0 days 00:00:32.438000,0 days 00:00:29.596000,0 days 00:49:53.093000,0 days 00:50:25.531000,0 days 00:50:55.127000,261.0,245.0,270.0,284.0,False,MEDIUM,12.0,True,Williams,0 days 00:49:28.807000,2020-08-16 13:29:30.783,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.6,54.3,997.6,False,49.2,73,1.6
0 days 00:01:26.067000,20.0,LAT,6,0 days 00:51:52.019000,13.0,1.0,,,0 days 00:00:24.118000,0 days 00:00:32.479000,0 days 00:00:29.470000,0 days 00:51:19.245000,0 days 00:51:51.724000,0 days 00:52:21.194000,255.0,251.0,269.0,298.0,True,MEDIUM,13.0,True,Williams,0 days 00:50:55.132000,2020-08-16 13:30:57.108,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.5,54.6,997.8,False,48.5,172,1.9
0 days 00:01:26.150000,20.0,LAT,6,0 days 00:52:52.036000,14.0,1.0,,,0 days 00:00:24.081000,0 days 00:00:32.357000,0 days 00:00:29.712000,0 days 00:52:45.275000,0 days 00:53:17.632000,0 days 00:53:47.344000,256.0,256.0,270.0,297.0,False,MEDIUM,14.0,True,Williams,0 days 00:52:21.199000,2020-08-16 13:32:23.175,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.3,55.2,997.8,False,47.6,339,1.1
0 days 00:01:26.112000,20.0,LAT,6,0 days 00:53:52.027000,15.0,1.0,,,0 days 00:00:24.178000,0 days 00:00:32.384000,0 days 00:00:29.550000,0 days 00:54:11.522000,0 days 00:54:43.906000,0 days 00:55:13.456000,260.0,257.0,270.0,298.0,False,MEDIUM,15.0,True,Williams,0 days 00:53:47.349000,2020-08-16 13:33:49.325,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,55.3,997.8,False,48.1,119,1.7
0 days 00:01:25.820000,20.0,LAT,6,0 days 00:55:52.034000,16.0,1.0,,,0 days 00:00:24.011000,0 days 00:00:32.193000,0 days 00:00:29.616000,0 days 00:55:37.467000,0 days 00:56:09.660000,0 days 00:56:39.276000,262.0,256.0,271.0,,True,MEDIUM,16.0,True,Williams,0 days 00:55:13.461000,2020-08-16 13:35:15.437,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.3,997.7,False,48.5,111,2.5
0 days 00:01:25.911000,20.0,LAT,6,0 days 00:56:52.024000,17.0,1.0,,,0 days 00:00:23.982000,0 days 00:00:32.272000,0 days 00:00:29.657000,0 days 00:57:03.258000,0 days 00:57:35.530000,0 days 00:58:05.187000,,258.0,269.0,,False,MEDIUM,17.0,True,Williams,0 days 00:56:39.281000,2020-08-16 13:36:41.257,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,56.2,997.7,False,48.1,75,1.3
