LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:35.089000,12.0,RIC,3,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:34.094000,0 days 00:00:30.237000,,0 days 00:34:22.419000,0 days 00:34:52.722000,218.0,232.0,277.0,307.0,False,MEDIUM,1.0,True,Renault,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:28.222000,13.0,RIC,3,0 days 00:35:52.005000,2.0,1.0,,,0 days 00:00:24.465000,0 days 00:00:33.756000,0 days 00:00:30.001000,0 days 00:35:17.063000,0 days 00:35:50.819000,0 days 00:36:20.820000,257.0,233.0,276.0,323.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:52.577000,2020-08-16 13:14:54.553,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:01:26.157000,13.0,RIC,3,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:24.067000,0 days 00:00:32.388000,0 days 00:00:29.702000,0 days 00:36:44.887000,0 days 00:37:17.275000,0 days 00:37:46.977000,254.0,237.0,283.0,314.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:20.799000,2020-08-16 13:16:22.775,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.905000,13.0,RIC,3,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.496000,0 days 00:00:32.513000,0 days 00:00:29.896000,0 days 00:38:10.473000,0 days 00:38:42.986000,0 days 00:39:12.882000,257.0,234.0,274.0,330.0,True,MEDIUM,4.0,True,Renault,0 days 00:37:46.956000,2020-08-16 13:17:48.932,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:26.598000,13.0,RIC,3,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:24.103000,0 days 00:00:32.414000,0 days 00:00:30.081000,0 days 00:39:36.985000,0 days 00:40:09.399000,0 days 00:40:39.480000,248.0,246.0,280.0,311.0,False,MEDIUM,5.0,True,Renault,0 days 00:39:12.861000,2020-08-16 13:19:14.837,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:25.747000,13.0,RIC,3,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:23.699000,0 days 00:00:32.376000,0 days 00:00:29.672000,0 days 00:41:03.179000,0 days 00:41:35.555000,0 days 00:42:05.227000,255.0,247.0,276.0,327.0,True,MEDIUM,6.0,True,Renault,0 days 00:40:39.459000,2020-08-16 13:20:41.435,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:25.818000,13.0,RIC,3,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:23.713000,0 days 00:00:32.413000,0 days 00:00:29.692000,0 days 00:42:28.940000,0 days 00:43:01.353000,0 days 00:43:31.045000,257.0,240.0,274.0,312.0,False,MEDIUM,7.0,True,Renault,0 days 00:42:05.206000,2020-08-16 13:22:07.182,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:25.949000,13.0,RIC,3,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.926000,0 days 00:00:32.311000,0 days 00:00:29.712000,0 days 00:43:54.971000,0 days 00:44:27.282000,0 days 00:44:56.994000,252.0,241.0,274.0,309.0,False,MEDIUM,8.0,True,Renault,0 days 00:43:31.024000,2020-08-16 13:23:33.000,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:26.006000,13.0,RIC,3,0 days 00:45:52.011000,9.0,1.0,,,0 days 00:00:23.732000,0 days 00:00:32.359000,0 days 00:00:29.915000,0 days 00:45:20.726000,0 days 00:45:53.085000,0 days 00:46:23,250.0,242.0,273.0,310.0,False,MEDIUM,9.0,True,Renault,0 days 00:44:56.973000,2020-08-16 13:24:58.949,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:01:25.632000,13.0,RIC,3,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:23.951000,0 days 00:00:32.046000,0 days 00:00:29.635000,0 days 00:46:46.951000,0 days 00:47:18.997000,0 days 00:47:48.632000,260.0,246.0,273.0,307.0,True,MEDIUM,10.0,True,Renault,0 days 00:46:22.979000,2020-08-16 13:26:24.955,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
0 days 00:01:25.350000,13.0,RIC,3,0 days 00:47:52.014000,11.0,1.0,,,0 days 00:00:23.818000,0 days 00:00:31.909000,0 days 00:00:29.623000,0 days 00:48:12.450000,0 days 00:48:44.359000,0 days 00:49:13.982000,262.0,250.0,273.0,,True,MEDIUM,11.0,True,Renault,0 days 00:47:48.611000,2020-08-16 13:27:50.587,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,55.4,997.8,False,49.1,228,1.7
0 days 00:01:25.060000,13.0,RIC,3,0 days 00:49:52.014000,12.0,1.0,,,0 days 00:00:23.827000,0 days 00:00:31.789000,0 days 00:00:29.444000,0 days 00:49:37.809000,0 days 00:50:09.598000,0 days 00:50:39.042000,265.0,263.0,273.0,,True,MEDIUM,12.0,True,Renault,0 days 00:49:13.961000,2020-08-16 13:29:15.937,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.6,54.3,997.6,False,49.2,73,1.6
0 days 00:01:25.458000,13.0,RIC,3,0 days 00:50:52.018000,13.0,1.0,,,0 days 00:00:23.893000,0 days 00:00:31.914000,0 days 00:00:29.651000,0 days 00:51:02.935000,0 days 00:51:34.849000,0 days 00:52:04.500000,,266.0,271.0,,False,MEDIUM,13.0,True,Renault,0 days 00:50:39.021000,2020-08-16 13:30:40.997,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.7,53.6,997.7,False,49.2,194,2.6
0 days 00:01:25.601000,13.0,RIC,3,0 days 00:52:52.036000,14.0,1.0,,,0 days 00:00:23.944000,0 days 00:00:32.165000,0 days 00:00:29.492000,0 days 00:52:28.444000,0 days 00:53:00.609000,0 days 00:53:30.101000,261.0,258.0,272.0,306.0,False,MEDIUM,14.0,True,Renault,0 days 00:52:04.479000,2020-08-16 13:32:06.455,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.3,55.2,997.8,False,47.6,339,1.1
0 days 00:01:25.804000,13.0,RIC,3,0 days 00:53:52.027000,15.0,1.0,,,0 days 00:00:23.914000,0 days 00:00:32.017000,0 days 00:00:29.873000,0 days 00:53:54.015000,0 days 00:54:26.032000,0 days 00:54:55.905000,267.0,249.0,271.0,,False,MEDIUM,15.0,True,Renault,0 days 00:53:30.080000,2020-08-16 13:33:32.056,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,55.3,997.8,False,48.1,119,1.7
0 days 00:01:25.492000,13.0,RIC,3,0 days 00:55:52.034000,16.0,1.0,,,0 days 00:00:24.036000,0 days 00:00:32.050000,0 days 00:00:29.406000,0 days 00:55:19.941000,0 days 00:55:51.991000,0 days 00:56:21.397000,262.0,262.0,271.0,305.0,False,MEDIUM,16.0,True,Renault,0 days 00:54:55.884000,2020-08-16 13:34:57.860,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.3,997.7,False,48.5,111,2.5
0 days 00:01:25.443000,13.0,RIC,3,0 days 00:56:52.024000,17.0,1.0,,,0 days 00:00:23.908000,0 days 00:00:31.988000,0 days 00:00:29.547000,0 days 00:56:45.305000,0 days 00:57:17.293000,0 days 00:57:46.840000,266.0,256.0,271.0,304.0,False,MEDIUM,17.0,True,Renault,0 days 00:56:21.376000,2020-08-16 13:36:23.352,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,56.2,997.7,False,48.1,75,1.3
0 days 00:01:25.359000,12.0,RIC,3,0 days 00:57:52.024000,18.0,1.0,,,0 days 00:00:23.938000,0 days 00:00:31.904000,0 days 00:00:29.517000,0 days 00:58:10.778000,0 days 00:58:42.682000,0 days 00:59:12.199000,267.0,265.0,273.0,305.0,False,MEDIUM,18.0,True,Renault,0 days 00:57:46.819000,2020-08-16 13:37:48.795,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,55.1,997.8,False,48.1,145,1.6
0 days 00:01:25.123000,12.0,RIC,3,0 days 00:59:52.025000,19.0,1.0,,,0 days 00:00:23.850000,0 days 00:00:31.862000,0 days 00:00:29.411000,0 days 00:59:36.049000,0 days 01:00:07.911000,0 days 01:00:37.322000,266.0,254.0,272.0,306.0,False,MEDIUM,19.0,True,Renault,0 days 00:59:12.178000,2020-08-16 13:39:14.154,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,55.1,997.8,False,48.4,168,1.4
0 days 00:01:25.553000,12.0,RIC,3,0 days 01:00:52.029000,20.0,1.0,,,0 days 00:00:23.889000,0 days 00:00:32.020000,0 days 00:00:29.644000,0 days 01:01:01.211000,0 days 01:01:33.231000,0 days 01:02:02.875000,265.0,256.0,273.0,307.0,False,MEDIUM,20.0,True,Renault,0 days 01:00:37.301000,2020-08-16 13:40:39.277,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,55.9,997.7,False,47.4,244,1.3
0 days 00:01:26.115000,11.0,RIC,3,0 days 01:02:52.034000,21.0,1.0,,,0 days 00:00:23.937000,0 days 00:00:32.104000,0 days 00:00:30.074000,0 days 01:02:26.812000,0 days 01:02:58.916000,0 days 01:03:28.990000,263.0,240.0,275.0,309.0,False,MEDIUM,21.0,True,Renault,0 days 01:02:02.854000,2020-08-16 13:42:04.830,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,55.8,997.7,False,48.5,59,1.9
0 days 00:01:24.630000,9.0,RIC,3,0 days 01:03:52.029000,22.0,1.0,,,0 days 00:00:23.540000,0 days 00:00:31.682000,0 days 00:00:29.408000,0 days 01:03:52.530000,0 days 01:04:24.212000,0 days 01:04:53.620000,265.0,265.0,272.0,317.0,True,MEDIUM,22.0,True,Renault,0 days 01:03:28.969000,2020-08-16 13:43:30.945,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.6,997.7,False,48.4,230,1.3
0 days 00:01:25.137000,8.0,RIC,3,0 days 01:05:52.033000,23.0,1.0,,,0 days 00:00:23.838000,0 days 00:00:31.785000,0 days 00:00:29.514000,0 days 01:05:17.458000,0 days 01:05:49.243000,0 days 01:06:18.757000,267.0,261.0,271.0,303.0,False,MEDIUM,23.0,True,Renault,0 days 01:04:53.599000,2020-08-16 13:44:55.575,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.7,997.6,False,48.1,147,1.3
0 days 00:01:25.005000,8.0,RIC,3,0 days 01:06:52.037000,24.0,1.0,,,0 days 00:00:23.929000,0 days 00:00:31.667000,0 days 00:00:29.409000,0 days 01:06:42.686000,0 days 01:07:14.353000,0 days 01:07:43.762000,,262.0,271.0,304.0,False,MEDIUM,24.0,True,Renault,0 days 01:06:18.736000,2020-08-16 13:46:20.712,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.8,56.4,997.7,False,48.5,214,1.5
0 days 00:01:25.214000,8.0,RIC,3,0 days 01:07:52.050000,25.0,1.0,,,0 days 00:00:23.921000,0 days 00:00:31.730000,0 days 00:00:29.563000,0 days 01:08:07.683000,0 days 01:08:39.413000,0 days 01:09:08.976000,266.0,261.0,273.0,303.0,False,MEDIUM,25.0,True,Renault,0 days 01:07:43.741000,2020-08-16 13:47:45.717,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.4,997.7,False,47.6,242,1.9
0 days 00:01:25.269000,8.0,RIC,3,0 days 01:09:52.080000,26.0,1.0,,,0 days 00:00:23.923000,0 days 00:00:31.856000,0 days 00:00:29.490000,0 days 01:09:32.899000,0 days 01:10:04.755000,0 days 01:10:34.245000,262.0,262.0,273.0,306.0,False,MEDIUM,26.0,True,Renault,0 days 01:09:08.955000,2020-08-16 13:49:10.931,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.4,57.5,997.6,False,48.2,50,1.4
0 days 00:01:25.474000,8.0,RIC,3,0 days 01:10:52.091000,27.0,1.0,,,0 days 00:00:23.975000,0 days 00:00:31.922000,0 days 00:00:29.577000,0 days 01:10:58.220000,0 days 01:11:30.142000,0 days 01:11:59.719000,260.0,257.0,274.0,,False,MEDIUM,27.0,True,Renault,0 days 01:10:34.224000,2020-08-16 13:50:36.200,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.4,57.4,997.7,False,47.8,98,1.9
0 days 00:01:25.594000,7.0,RIC,3,0 days 01:12:52.111000,28.0,1.0,,,0 days 00:00:23.861000,0 days 00:00:32.028000,0 days 00:00:29.705000,0 days 01:12:23.580000,0 days 01:12:55.608000,0 days 01:13:25.313000,256.0,254.0,282.0,307.0,False,MEDIUM,28.0,True,Renault,0 days 01:11:59.698000,2020-08-16 13:52:01.674,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.7,997.8,False,48.1,122,0.7
