LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:32.118000,7.0,SAI,55,0 days 00:33:52,1.0,1.0,,,,0 days 00:00:33.100000,0 days 00:00:29.879000,,0 days 00:34:19.801000,0 days 00:34:49.793000,245.0,240.0,277.0,301.0,False,SOFT,4.0,False,McLaren,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,False,,False,False,0,Spanish Grand Prix,16,303.0,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:01:25.935000,7.0,SAI,55,0 days 00:34:52.009000,2.0,1.0,,,0 days 00:00:24.019000,0 days 00:00:32.226000,0 days 00:00:29.690000,0 days 00:35:13.646000,0 days 00:35:45.872000,0 days 00:36:15.562000,259.0,245.0,275.0,311.0,True,SOFT,5.0,False,McLaren,0 days 00:34:49.606000,2020-08-16 13:14:51.582,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.2,54.5,997.8,False,50.1,209,2.3
0 days 00:01:25.719000,7.0,SAI,55,0 days 00:36:52.006000,3.0,1.0,,,0 days 00:00:23.907000,0 days 00:00:32.216000,0 days 00:00:29.596000,0 days 00:36:39.469000,0 days 00:37:11.685000,0 days 00:37:41.281000,255.0,252.0,275.0,,True,SOFT,6.0,False,McLaren,0 days 00:36:15.541000,2020-08-16 13:16:17.517,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:01:25.309000,7.0,SAI,55,0 days 00:37:52.004000,4.0,1.0,,,0 days 00:00:23.878000,0 days 00:00:31.882000,0 days 00:00:29.549000,0 days 00:38:05.159000,0 days 00:38:37.041000,0 days 00:39:06.590000,266.0,253.0,275.0,310.0,True,SOFT,7.0,False,McLaren,0 days 00:37:41.260000,2020-08-16 13:17:43.236,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:01:25.497000,7.0,SAI,55,0 days 00:39:52.006000,5.0,1.0,,,0 days 00:00:23.776000,0 days 00:00:32.227000,0 days 00:00:29.494000,0 days 00:39:30.366000,0 days 00:40:02.593000,0 days 00:40:32.087000,259.0,257.0,275.0,308.0,False,SOFT,8.0,False,McLaren,0 days 00:39:06.569000,2020-08-16 13:19:08.545,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:01:25.400000,7.0,SAI,55,0 days 00:40:52.009000,6.0,1.0,,,0 days 00:00:23.827000,0 days 00:00:32.025000,0 days 00:00:29.548000,0 days 00:40:55.914000,0 days 00:41:27.939000,0 days 00:41:57.487000,256.0,258.0,275.0,,False,SOFT,9.0,False,McLaren,0 days 00:40:32.066000,2020-08-16 13:20:34.042,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:01:25.198000,7.0,SAI,55,0 days 00:42:52.014000,7.0,1.0,,,0 days 00:00:23.841000,0 days 00:00:31.909000,0 days 00:00:29.448000,0 days 00:42:21.328000,0 days 00:42:53.237000,0 days 00:43:22.685000,267.0,262.0,277.0,305.0,True,SOFT,10.0,False,McLaren,0 days 00:41:57.466000,2020-08-16 13:21:59.442,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:01:24.807000,7.0,SAI,55,0 days 00:43:52.010000,8.0,1.0,,,0 days 00:00:23.761000,0 days 00:00:31.729000,0 days 00:00:29.317000,0 days 00:43:46.446000,0 days 00:44:18.175000,0 days 00:44:47.492000,269.0,257.0,275.0,308.0,True,SOFT,11.0,False,McLaren,0 days 00:43:22.664000,2020-08-16 13:23:24.640,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:01:24.917000,7.0,SAI,55,0 days 00:44:52.005000,9.0,1.0,,,0 days 00:00:23.711000,0 days 00:00:31.908000,0 days 00:00:29.298000,0 days 00:45:11.203000,0 days 00:45:43.111000,0 days 00:46:12.409000,268.0,264.0,276.0,307.0,False,SOFT,12.0,False,McLaren,0 days 00:44:47.471000,2020-08-16 13:24:49.447,1,False,,False,True,0,Spanish Grand Prix,16,303.0,30.0,55.3,997.7,False,48.3,133,1.7
0 days 00:01:25.174000,7.0,SAI,55,0 days 00:46:52.012000,10.0,1.0,,,0 days 00:00:23.792000,0 days 00:00:31.891000,0 days 00:00:29.491000,0 days 00:46:36.201000,0 days 00:47:08.092000,0 days 00:47:37.583000,266.0,267.0,275.0,308.0,False,SOFT,13.0,False,McLaren,0 days 00:46:12.388000,2020-08-16 13:26:14.364,1,False,,False,True,0,Spanish Grand Prix,16,303.0,29.9,56.2,997.8,False,49.1,233,2.2
