LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:27.279000,5.0,ALB,23,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:31.947000,0 days 00:00:33.998000,,0 days 00:33:42.286000,0 days 00:34:16.468000,311.0,219.0,162.0,296.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:02:00.714000,5.0,ALB,23,0 days 00:34:22.215000,2.0,1.0,,,0 days 00:00:24.352000,0 days 00:01:01.020000,0 days 00:00:35.342000,0 days 00:34:40.634000,0 days 00:35:41.654000,0 days 00:36:16.996000,195.0,135.0,190.0,125.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:34:16.282000,2020-07-12 13:14:18.304,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.4,35.8,945.7,False,39.7,59,2.7
0 days 00:01:45.619000,5.0,ALB,23,0 days 00:36:22.217000,3.0,1.0,,,0 days 00:00:26.822000,0 days 00:00:46.446000,0 days 00:00:32.351000,0 days 00:36:43.818000,0 days 00:37:30.264000,0 days 00:38:02.615000,124.0,144.0,271.0,242.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:36:16.996000,2020-07-12 13:16:19.018,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.7,35.0,945.8,False,41.5,90,3.3
0 days 00:01:11.008000,5.0,ALB,23,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:17.768000,0 days 00:00:31.514000,0 days 00:00:21.726000,0 days 00:38:20.383000,0 days 00:38:51.897000,0 days 00:39:13.623000,304.0,230.0,273.0,293.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:38:02.615000,2020-07-12 13:18:04.637,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:10.745000,5.0,ALB,23,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.604000,0 days 00:00:31.382000,0 days 00:00:21.759000,0 days 00:39:31.227000,0 days 00:40:02.609000,0 days 00:40:24.368000,291.0,232.0,273.0,286.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:39:13.623000,2020-07-12 13:19:15.645,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:10.549000,5.0,ALB,23,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.494000,0 days 00:00:31.293000,0 days 00:00:21.762000,0 days 00:40:41.862000,0 days 00:41:13.155000,0 days 00:41:34.917000,296.0,232.0,278.0,294.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:40:24.368000,2020-07-12 13:20:26.390,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:10.405000,5.0,ALB,23,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.313000,0 days 00:00:31.501000,0 days 00:00:21.591000,0 days 00:41:52.230000,0 days 00:42:23.731000,0 days 00:42:45.322000,312.0,228.0,280.0,301.0,True,SOFT,7.0,True,Red Bull Racing,0 days 00:41:34.917000,2020-07-12 13:21:36.939,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:09.748000,4.0,ALB,23,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.263000,0 days 00:00:31.042000,0 days 00:00:21.443000,0 days 00:43:02.585000,0 days 00:43:33.627000,0 days 00:43:55.070000,321.0,232.0,272.0,308.0,True,SOFT,8.0,True,Red Bull Racing,0 days 00:42:45.322000,2020-07-12 13:22:47.344,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:09.707000,4.0,ALB,23,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.594000,0 days 00:00:30.891000,0 days 00:00:21.222000,0 days 00:44:12.664000,0 days 00:44:43.555000,0 days 00:45:04.777000,290.0,231.0,272.0,284.0,True,SOFT,9.0,True,Red Bull Racing,0 days 00:43:55.070000,2020-07-12 13:23:57.092,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:09.800000,4.0,ALB,23,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.652000,0 days 00:00:30.863000,0 days 00:00:21.285000,0 days 00:45:22.429000,0 days 00:45:53.292000,0 days 00:46:14.577000,287.0,233.0,271.0,284.0,False,SOFT,10.0,True,Red Bull Racing,0 days 00:45:04.777000,2020-07-12 13:25:06.799,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
