LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:37.594000,13.0,MAG,20,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:33.631000,0 days 00:00:41.206000,,0 days 00:33:45.486000,0 days 00:34:26.682000,283.0,218.0,135.0,296.0,False,SOFT,1.0,True,Haas F1 Team,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:01:59.065000,12.0,MAG,20,0 days 00:35:22.220000,2.0,1.0,,,0 days 00:00:25.611000,0 days 00:00:56.703000,0 days 00:00:36.751000,0 days 00:34:52.274000,0 days 00:35:48.977000,0 days 00:36:25.728000,192.0,150.0,145.0,172.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:34:26.663000,2020-07-12 13:14:28.685,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,34.7,945.8,False,41.0,90,2.3
0 days 00:01:39.234000,12.0,MAG,20,0 days 00:37:22.219000,3.0,1.0,,,0 days 00:00:26.850000,0 days 00:00:43.353000,0 days 00:00:29.031000,0 days 00:36:52.578000,0 days 00:37:35.931000,0 days 00:38:04.962000,182.0,208.0,273.0,256.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:36:25.728000,2020-07-12 13:16:27.750,4,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.4,945.8,False,41.6,85,2.1
0 days 00:01:12.405000,11.0,MAG,20,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:17.939000,0 days 00:00:32.156000,0 days 00:00:22.310000,0 days 00:38:22.901000,0 days 00:38:55.057000,0 days 00:39:17.367000,294.0,217.0,267.0,303.0,True,SOFT,4.0,True,Haas F1 Team,0 days 00:38:04.962000,2020-07-12 13:18:06.984,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:11.695000,11.0,MAG,20,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.938000,0 days 00:00:31.539000,0 days 00:00:22.218000,0 days 00:39:35.305000,0 days 00:40:06.844000,0 days 00:40:29.062000,290.0,226.0,270.0,283.0,True,SOFT,5.0,True,Haas F1 Team,0 days 00:39:17.367000,2020-07-12 13:19:19.389,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:11.401000,12.0,MAG,20,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.446000,0 days 00:00:32.041000,0 days 00:00:21.914000,0 days 00:40:46.508000,0 days 00:41:18.549000,0 days 00:41:40.463000,305.0,220.0,274.0,282.0,True,SOFT,6.0,True,Haas F1 Team,0 days 00:40:29.062000,2020-07-12 13:20:31.084,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:12.003000,13.0,MAG,20,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.623000,0 days 00:00:32.501000,0 days 00:00:21.879000,0 days 00:41:58.086000,0 days 00:42:30.587000,0 days 00:42:52.466000,294.0,221.0,272.0,274.0,False,SOFT,7.0,True,Haas F1 Team,0 days 00:41:40.463000,2020-07-12 13:21:42.485,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:11.820000,14.0,MAG,20,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.751000,0 days 00:00:32.165000,0 days 00:00:21.904000,0 days 00:43:10.217000,0 days 00:43:42.382000,0 days 00:44:04.286000,299.0,222.0,276.0,291.0,False,SOFT,8.0,True,Haas F1 Team,0 days 00:42:52.466000,2020-07-12 13:22:54.488,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:10.795000,14.0,MAG,20,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.373000,0 days 00:00:31.546000,0 days 00:00:21.876000,0 days 00:44:21.659000,0 days 00:44:53.205000,0 days 00:45:15.081000,304.0,225.0,271.0,301.0,True,SOFT,9.0,True,Haas F1 Team,0 days 00:44:04.286000,2020-07-12 13:24:06.308,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:10.525000,14.0,MAG,20,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.800000,0 days 00:00:31.219000,0 days 00:00:21.506000,0 days 00:45:32.881000,0 days 00:46:04.100000,0 days 00:46:25.606000,297.0,226.0,272.0,290.0,True,SOFT,10.0,True,Haas F1 Team,0 days 00:45:15.081000,2020-07-12 13:25:17.103,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
