LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:29.615000,7.0,RIC,3,0 days 00:33:22.216000,1.0,1.0,,,,0 days 00:00:32.283000,0 days 00:00:35.285000,,0 days 00:33:43.406000,0 days 00:34:18.810000,311.0,226.0,202.0,304.0,False,MEDIUM,1.0,True,Renault,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:02:00.654000,7.0,RIC,3,0 days 00:34:22.215000,2.0,1.0,,,0 days 00:00:24.343000,0 days 00:01:00.935000,0 days 00:00:35.376000,0 days 00:34:43.012000,0 days 00:35:43.947000,0 days 00:36:19.323000,179.0,116.0,184.0,119.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:18.669000,2020-07-12 13:14:20.691,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.4,35.8,945.7,False,39.7,59,2.7
0 days 00:01:43.998000,7.0,RIC,3,0 days 00:36:22.217000,3.0,1.0,,,0 days 00:00:26.748000,0 days 00:00:45.968000,0 days 00:00:31.282000,0 days 00:36:46.071000,0 days 00:37:32.039000,0 days 00:38:03.321000,135.0,178.0,275.0,235.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:19.323000,2020-07-12 13:16:21.345,4,False,,False,False,0,Styrian Grand Prix,10,1.0,20.7,35.0,945.8,False,41.5,90,3.3
0 days 00:01:11.631000,7.0,RIC,3,0 days 00:38:22.217000,4.0,1.0,,,0 days 00:00:18.129000,0 days 00:00:31.569000,0 days 00:00:21.933000,0 days 00:38:21.450000,0 days 00:38:53.019000,0 days 00:39:14.952000,298.0,229.0,274.0,290.0,True,MEDIUM,4.0,True,Renault,0 days 00:38:03.321000,2020-07-12 13:18:05.343,2,False,,False,False,0,Styrian Grand Prix,10,1.0,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:01:11.328000,7.0,RIC,3,0 days 00:39:22.218000,5.0,1.0,,,0 days 00:00:17.882000,0 days 00:00:31.587000,0 days 00:00:21.859000,0 days 00:39:32.834000,0 days 00:40:04.421000,0 days 00:40:26.280000,295.0,225.0,273.0,295.0,True,MEDIUM,5.0,True,Renault,0 days 00:39:14.952000,2020-07-12 13:19:16.974,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:01:10.311000,7.0,RIC,3,0 days 00:41:22.220000,6.0,1.0,,,0 days 00:00:17.393000,0 days 00:00:31.265000,0 days 00:00:21.653000,0 days 00:40:43.673000,0 days 00:41:14.938000,0 days 00:41:36.591000,309.0,227.0,281.0,305.0,True,MEDIUM,6.0,True,Renault,0 days 00:40:26.280000,2020-07-12 13:20:28.302,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:01:10.299000,7.0,RIC,3,0 days 00:42:22.218000,7.0,1.0,,,0 days 00:00:17.137000,0 days 00:00:31.413000,0 days 00:00:21.749000,0 days 00:41:53.728000,0 days 00:42:25.141000,0 days 00:42:46.890000,316.0,225.0,281.0,315.0,True,MEDIUM,7.0,True,Renault,0 days 00:41:36.591000,2020-07-12 13:21:38.613,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:01:10.586000,7.0,RIC,3,0 days 00:43:22.220000,8.0,1.0,,,0 days 00:00:17.178000,0 days 00:00:31.598000,0 days 00:00:21.810000,0 days 00:43:04.068000,0 days 00:43:35.666000,0 days 00:43:57.476000,,225.0,280.0,308.0,False,MEDIUM,8.0,True,Renault,0 days 00:42:46.890000,2020-07-12 13:22:48.912,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:01:10.395000,7.0,RIC,3,0 days 00:44:22.219000,9.0,1.0,,,0 days 00:00:17.193000,0 days 00:00:31.541000,0 days 00:00:21.661000,0 days 00:44:14.669000,0 days 00:44:46.210000,0 days 00:45:07.871000,317.0,226.0,280.0,308.0,False,MEDIUM,9.0,True,Renault,0 days 00:43:57.476000,2020-07-12 13:23:59.498,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:01:10.431000,7.0,RIC,3,0 days 00:45:22.222000,10.0,1.0,,,0 days 00:00:17.296000,0 days 00:00:31.569000,0 days 00:00:21.566000,0 days 00:45:25.167000,0 days 00:45:56.736000,0 days 00:46:18.302000,,229.0,279.0,309.0,False,MEDIUM,10.0,True,Renault,0 days 00:45:07.871000,2020-07-12 13:25:09.893,1,False,,False,True,0,Styrian Grand Prix,10,1.0,20.8,35.0,946.0,False,42.5,82,2.3
0 days 00:01:10.103000,7.0,RIC,3,0 days 00:46:22.219000,11.0,1.0,,,0 days 00:00:17.221000,0 days 00:00:31.249000,0 days 00:00:21.633000,0 days 00:46:35.523000,0 days 00:47:06.772000,0 days 00:47:28.405000,315.0,228.0,278.0,307.0,True,MEDIUM,11.0,True,Renault,0 days 00:46:18.302000,2020-07-12 13:26:20.324,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,35.6,946.0,False,41.6,66,2.8
0 days 00:01:09.732000,7.0,RIC,3,0 days 00:48:22.227000,12.0,1.0,,,0 days 00:00:17.169000,0 days 00:00:31.143000,0 days 00:00:21.420000,0 days 00:47:45.574000,0 days 00:48:16.717000,0 days 00:48:38.137000,314.0,229.0,280.0,308.0,True,MEDIUM,12.0,True,Renault,0 days 00:47:28.405000,2020-07-12 13:27:30.427,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.0,34.4,945.9,False,42.0,81,2.0
0 days 00:01:10.004000,7.0,RIC,3,0 days 00:49:22.223000,13.0,1.0,,,0 days 00:00:17.154000,0 days 00:00:31.290000,0 days 00:00:21.560000,0 days 00:48:55.291000,0 days 00:49:26.581000,0 days 00:49:48.141000,315.0,228.0,279.0,308.0,False,MEDIUM,13.0,True,Renault,0 days 00:48:38.137000,2020-07-12 13:28:40.159,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.2,34.4,946.0,False,42.7,78,1.7
0 days 00:01:09.938000,7.0,RIC,3,0 days 00:50:22.226000,14.0,1.0,,,0 days 00:00:17.113000,0 days 00:00:31.251000,0 days 00:00:21.574000,0 days 00:50:05.254000,0 days 00:50:36.505000,0 days 00:50:58.079000,316.0,230.0,276.0,303.0,False,MEDIUM,14.0,True,Renault,0 days 00:49:48.141000,2020-07-12 13:29:50.163,1,False,,False,True,0,Styrian Grand Prix,10,1.0,21.3,33.4,946.0,False,42.0,48,2.2
