LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:57.098000,9.0,PER,11,0 days 00:33:54.391000,1.0,1.0,,,,0 days 00:00:44.285000,0 days 00:00:33.087000,,0 days 00:34:49.548000,0 days 00:35:22.742000,249.0,221.0,276.0,257.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:02:25.389000,7.0,PER,11,0 days 00:35:54.409000,2.0,1.0,,,0 days 00:00:56.326000,0 days 00:00:42.781000,0 days 00:00:46.282000,0 days 00:36:18.935000,0 days 00:37:01.716000,0 days 00:37:47.998000,118.0,88.0,259.0,281.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:22.614000,2020-09-13 13:15:22.886,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.4,993.6,False,45.5,355,3.4
0 days 00:02:17.193000,7.0,PER,11,0 days 00:37:54.410000,3.0,1.0,,,0 days 00:00:53.834000,0 days 00:00:37.805000,0 days 00:00:45.554000,0 days 00:38:41.832000,0 days 00:39:19.637000,0 days 00:40:05.191000,196.0,220.0,258.0,271.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:48.003000,2020-09-13 13:17:48.275,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.3,993.6,False,45.2,346,3.0
0 days 00:02:14.942000,7.0,PER,11,0 days 00:40:54.415000,4.0,1.0,,,0 days 00:00:50.119000,0 days 00:00:38.756000,0 days 00:00:46.067000,0 days 00:40:55.310000,0 days 00:41:34.066000,0 days 00:42:20.133000,129.0,216.0,244.0,,True,SOFT,7.0,False,Racing Point,0 days 00:40:05.196000,2020-09-13 13:20:05.468,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:02:12.602000,7.0,PER,11,0 days 00:42:54.416000,5.0,1.0,,,0 days 00:00:51.430000,0 days 00:00:36.715000,0 days 00:00:44.457000,0 days 00:43:11.563000,0 days 00:43:48.278000,0 days 00:44:32.735000,211.0,233.0,236.0,264.0,True,SOFT,8.0,False,Racing Point,0 days 00:42:20.138000,2020-09-13 13:22:20.410,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:02:17.360000,7.0,PER,11,0 days 00:44:54.435000,6.0,1.0,,,0 days 00:00:51.703000,0 days 00:00:39.583000,0 days 00:00:46.074000,0 days 00:45:24.438000,0 days 00:46:04.021000,0 days 00:46:50.095000,136.0,130.0,235.0,255.0,False,SOFT,9.0,False,Racing Point,0 days 00:44:32.740000,2020-09-13 13:24:33.012,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:02:09.425000,7.0,PER,11,0 days 00:46:54.466000,7.0,1.0,,0 days 00:48:44.613000,0 days 00:00:46.124000,0 days 00:00:33.060000,0 days 00:00:50.241000,0 days 00:47:36.219000,0 days 00:48:09.279000,0 days 00:48:59.520000,139.0,210.0,,283.0,False,SOFT,10.0,False,Racing Point,0 days 00:46:50.100000,2020-09-13 13:26:50.372,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,38.9,993.6,False,45.1,347,2.0
,8.0,PER,11,0 days 00:49:54.483000,8.0,2.0,0 days 00:49:02.228000,0 days 00:51:21.421000,0 days 00:00:51.944000,0 days 00:00:41.940000,,0 days 00:49:51.502000,0 days 00:50:33.400000,,118.0,174.0,,,False,SOFT,11.0,False,Racing Point,0 days 00:48:59.525000,2020-09-13 13:28:59.797,45,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.2,993.5,False,45.5,333,2.4
,7.0,PER,11,0 days 01:15:54.571000,9.0,3.0,0 days 01:15:22.970000,,0 days 00:00:53.921000,0 days 00:00:47.486000,0 days 00:01:35.309000,0 days 01:16:14.499000,0 days 01:17:03.558000,0 days 01:18:37.167000,62.0,234.0,159.0,,False,SOFT,4.0,False,Racing Point,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.6,993.5,False,43.9,351,4.4
0 days 00:01:27.526000,5.0,PER,11,0 days 01:18:54.575000,10.0,3.0,,,0 days 00:00:34.036000,0 days 00:00:23.708000,0 days 00:00:29.782000,0 days 01:19:11.011000,0 days 01:19:34.719000,0 days 01:20:04.501000,261.0,248.0,296.0,260.0,True,SOFT,5.0,False,Racing Point,0 days 01:18:36.980000,2020-09-13 13:58:37.252,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,40.4,993.6,False,44.1,11,3.3
