LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:35.829000,18.0,RAI,7,0 days 00:33:54.391000,1.0,1.0,,0 days 00:35:33.441000,,0 days 00:00:49.354000,0 days 00:00:59.638000,,0 days 00:35:01.688000,0 days 00:36:01.479000,127.0,212.0,,271.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:02:00.769000,17.0,RAI,7,0 days 00:36:54.405000,2.0,2.0,0 days 00:36:04.068000,,0 days 00:00:45.959000,0 days 00:00:29.294000,0 days 00:00:45.516000,0 days 00:36:47.281000,0 days 00:37:16.575000,0 days 00:38:02.091000,236.0,101.0,250.0,,False,MEDIUM,1.0,False,Alfa Romeo Racing,0 days 00:36:01.345000,2020-09-13 13:16:01.617,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.3,993.5,False,45.6,16,2.4
0 days 00:02:17.105000,17.0,RAI,7,0 days 00:38:54.409000,3.0,2.0,,,0 days 00:00:55.483000,0 days 00:00:35.551000,0 days 00:00:46.071000,0 days 00:38:57.574000,0 days 00:39:33.125000,0 days 00:40:19.196000,213.0,221.0,177.0,263.0,True,MEDIUM,2.0,False,Alfa Romeo Racing,0 days 00:38:02.114000,2020-09-13 13:18:02.386,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.2,39.3,993.5,False,45.1,1,3.2
0 days 00:02:15.592000,17.0,RAI,7,0 days 00:40:54.415000,4.0,2.0,,,0 days 00:00:52.448000,0 days 00:00:36.534000,0 days 00:00:46.610000,0 days 00:41:11.644000,0 days 00:41:48.178000,0 days 00:42:34.788000,183.0,221.0,252.0,193.0,True,MEDIUM,3.0,False,Alfa Romeo Racing,0 days 00:40:19.219000,2020-09-13 13:20:19.491,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:02:13.244000,17.0,RAI,7,0 days 00:42:54.416000,5.0,2.0,,,0 days 00:00:53.998000,0 days 00:00:32.732000,0 days 00:00:46.514000,0 days 00:43:28.786000,0 days 00:44:01.518000,0 days 00:44:48.032000,228.0,197.0,202.0,263.0,True,MEDIUM,4.0,False,Alfa Romeo Racing,0 days 00:42:34.811000,2020-09-13 13:22:35.083,4,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:02:08.229000,13.0,RAI,7,0 days 00:44:54.435000,6.0,2.0,,,0 days 00:00:49.533000,0 days 00:00:38.666000,0 days 00:00:40.030000,0 days 00:45:37.565000,0 days 00:46:16.231000,0 days 00:46:56.261000,98.0,224.0,145.0,229.0,True,MEDIUM,5.0,False,Alfa Romeo Racing,0 days 00:44:48.055000,2020-09-13 13:24:48.327,42,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:02:10.389000,12.0,RAI,7,0 days 00:47:54.465000,7.0,2.0,,0 days 00:48:51.721000,0 days 00:00:46.975000,0 days 00:00:31.921000,0 days 00:00:51.493000,0 days 00:47:43.236000,0 days 00:48:15.157000,0 days 00:49:06.650000,157.0,223.0,,210.0,False,MEDIUM,6.0,False,Alfa Romeo Racing,0 days 00:46:56.284000,2020-09-13 13:26:56.556,24,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.3,38.8,993.5,False,45.1,7,2.6
,12.0,RAI,7,0 days 00:49:54.483000,8.0,3.0,0 days 00:49:09.417000,0 days 00:51:30.378000,0 days 00:00:52.151000,0 days 00:00:41.033000,,0 days 00:49:58.854000,0 days 00:50:39.855000,,122.0,99.0,,,False,MEDIUM,7.0,False,Alfa Romeo Racing,0 days 00:49:06.673000,2020-09-13 13:29:06.945,45,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.4,38.2,993.5,False,45.5,333,2.4
,11.0,RAI,7,0 days 01:15:54.571000,9.0,4.0,0 days 01:15:40.562000,,0 days 00:00:47.169000,0 days 00:00:46.561000,0 days 00:01:26.739000,0 days 01:16:24.210000,0 days 01:17:10.695000,0 days 01:18:37.575000,70.0,221.0,187.0,,False,MEDIUM,8.0,False,Alfa Romeo Racing,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,False,,False,False,0,Tuscan Grand Prix,27,104.0,30.1,39.6,993.5,False,43.9,351,4.4
0 days 00:01:30.841000,10.0,RAI,7,0 days 01:18:54.575000,10.0,4.0,,,0 days 00:00:35.071000,0 days 00:00:25.472000,0 days 00:00:30.298000,0 days 01:19:12.505000,0 days 01:19:37.977000,0 days 01:20:08.275000,226.0,245.0,297.0,267.0,True,MEDIUM,9.0,False,Alfa Romeo Racing,0 days 01:18:37.457000,2020-09-13 13:58:37.729,1,False,,False,True,0,Tuscan Grand Prix,27,104.0,30.1,40.4,993.6,False,44.1,11,3.3
