Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:07:49.476000,SAI,55,0 days 00:01:45.131000,1.0,,,,,0 days 00:00:44.242000,0 days 00:00:24.392000,,0 days 00:08:57.876000,0 days 00:09:22.433000,208.0,245.0,284.0,239.0,False,nan,,True,Renault,0 days 00:07:36.924000,,2,13.0,False,,False,False,28.0,46.5,1009.3,False,33.1,276,1.2
0 days 00:09:49.502000,SAI,55,0 days 00:01:51.638000,2.0,1.0,,,0 days 00:00:31.476000,0 days 00:00:42.969000,0 days 00:00:37.193000,0 days 00:09:53.724000,0 days 00:10:36.693000,0 days 00:11:13.886000,235.0,247.0,196.0,300.0,True,SUPERSOFT,4.0,False,Renault,0 days 00:09:22.248000,,26,11.0,False,,False,False,28.1,45.9,1009.2,False,33.2,9,1.0
0 days 00:11:49.530000,SAI,55,0 days 00:02:07.230000,3.0,1.0,,,0 days 00:00:40.040000,0 days 00:00:53.073000,0 days 00:00:34.117000,0 days 00:11:53.926000,0 days 00:12:46.999000,0 days 00:13:21.116000,206.0,160.0,205.0,225.0,False,SUPERSOFT,5.0,False,Renault,0 days 00:11:13.886000,,6,11.0,False,,False,False,28.2,45.3,1009.3,False,33.3,162,0.9
0 days 00:13:49.557000,SAI,55,0 days 00:01:53.417000,4.0,1.0,,,0 days 00:00:40,0 days 00:00:49.322000,0 days 00:00:24.095000,0 days 00:14:01.116000,0 days 00:14:50.438000,0 days 00:15:14.533000,204.0,243.0,291.0,237.0,False,SUPERSOFT,6.0,False,Renault,0 days 00:13:21.116000,,67,11.0,False,,False,False,28.3,45.1,1009.3,False,33.3,2,0.6
0 days 00:15:49.666000,SAI,55,0 days 00:01:38.483000,5.0,1.0,,,0 days 00:00:31.056000,0 days 00:00:42.976000,0 days 00:00:24.451000,0 days 00:15:45.589000,0 days 00:16:28.565000,0 days 00:16:53.016000,236.0,242.0,282.0,325.0,True,SUPERSOFT,7.0,False,Renault,0 days 00:15:14.533000,,2,11.0,False,,False,True,28.3,44.7,1009.2,False,33.3,28,0.8
0 days 00:17:49.632000,SAI,55,0 days 00:01:38.012000,6.0,1.0,,,0 days 00:00:31.115000,0 days 00:00:42.691000,0 days 00:00:24.206000,0 days 00:17:24.131000,0 days 00:18:06.822000,0 days 00:18:31.028000,,250.0,289.0,299.0,True,SUPERSOFT,8.0,False,Renault,0 days 00:16:53.016000,,2,11.0,False,,False,True,28.2,45.0,1009.4,False,32.9,10,1.3
0 days 00:18:49.632000,SAI,55,0 days 00:01:37.921000,7.0,1.0,,,0 days 00:00:30.763000,0 days 00:00:42.831000,0 days 00:00:24.327000,0 days 00:19:01.791000,0 days 00:19:44.622000,0 days 00:20:08.949000,,252.0,289.0,321.0,True,SUPERSOFT,9.0,False,Renault,0 days 00:18:31.028000,,1,11.0,False,,False,True,28.2,44.9,1009.3,False,33.1,322,1.3
0 days 00:20:49.653000,SAI,55,0 days 00:01:37.991000,8.0,1.0,,,0 days 00:00:30.863000,0 days 00:00:42.854000,0 days 00:00:24.274000,0 days 00:20:39.812000,0 days 00:21:22.666000,0 days 00:21:46.940000,237.0,251.0,288.0,319.0,False,SUPERSOFT,10.0,False,Renault,0 days 00:20:08.949000,,1,11.0,False,,False,True,28.2,45.0,1009.3,False,32.8,35,0.9
0 days 00:21:49.666000,SAI,55,0 days 00:01:37.981000,9.0,1.0,,,0 days 00:00:30.834000,0 days 00:00:42.788000,0 days 00:00:24.359000,0 days 00:22:17.774000,0 days 00:23:00.562000,0 days 00:23:24.921000,238.0,252.0,289.0,,False,SUPERSOFT,11.0,False,Renault,0 days 00:21:46.940000,,1,11.0,False,,False,True,28.2,45.0,1009.3,False,32.8,35,0.9
0 days 00:23:49.693000,SAI,55,0 days 00:01:38.136000,10.0,1.0,,,0 days 00:00:30.950000,0 days 00:00:42.838000,0 days 00:00:24.348000,0 days 00:23:55.871000,0 days 00:24:38.709000,0 days 00:25:03.057000,237.0,251.0,286.0,317.0,False,SUPERSOFT,12.0,False,Renault,0 days 00:23:24.921000,,2,11.0,False,,False,True,28.1,45.0,1009.3,False,32.8,50,1.3
0 days 00:25:49.721000,SAI,55,0 days 00:01:38.101000,11.0,1.0,,,0 days 00:00:30.861000,0 days 00:00:42.870000,0 days 00:00:24.370000,0 days 00:25:33.918000,0 days 00:26:16.788000,0 days 00:26:41.158000,239.0,249.0,280.0,316.0,False,SUPERSOFT,13.0,False,Renault,0 days 00:25:03.057000,,2,11.0,False,,False,True,28.1,44.9,1009.4,False,32.7,24,1.0
0 days 00:26:49.736000,SAI,55,0 days 00:01:38.357000,12.0,1.0,,,0 days 00:00:31.023000,0 days 00:00:42.739000,,0 days 00:29:44.359000,0 days 00:29:44.359000,,238.0,255.0,,298.0,False,SUPERSOFT,14.0,False,Renault,0 days 00:26:41.158000,,1,11.0,False,,False,False,28.2,44.7,1009.4,False,32.7,5,1.6
0 days 00:28:49.868000,SAI,55,0 days 00:01:38.076000,13.0,1.0,,,,,0 days 00:00:24.314000,,,0 days 00:29:57.830000,,,280.0,,False,SUPERSOFT,15.0,False,Renault,0 days 00:28:19.537000,,1,11.0,False,,False,False,28.2,44.8,1009.4,False,32.8,325,1.0
0 days 00:30:49.834000,SAI,55,0 days 00:01:38.130000,14.0,1.0,,,0 days 00:00:31.080000,0 days 00:00:42.761000,0 days 00:00:24.289000,0 days 00:30:28.693000,0 days 00:31:11.454000,0 days 00:31:35.743000,239.0,251.0,288.0,299.0,False,SUPERSOFT,16.0,False,Renault,0 days 00:29:57.613000,,1,10.0,False,,False,True,28.2,44.8,1009.3,False,32.8,330,0.9
0 days 00:31:49.950000,SAI,55,0 days 00:01:38.117000,15.0,1.0,,,0 days 00:00:30.877000,0 days 00:00:42.838000,0 days 00:00:24.402000,0 days 00:32:06.620000,0 days 00:32:49.458000,0 days 00:33:13.860000,238.0,254.0,287.0,313.0,False,SUPERSOFT,17.0,False,Renault,0 days 00:31:35.743000,,1,8.0,False,,False,True,28.2,45.0,1009.4,False,32.8,12,0.9
0 days 00:33:49.830000,SAI,55,0 days 00:01:40.981000,16.0,1.0,,0 days 00:34:53.065000,0 days 00:00:31.028000,0 days 00:00:42.824000,0 days 00:00:27.129000,0 days 00:33:44.888000,0 days 00:34:27.712000,0 days 00:34:54.841000,,253.0,,312.0,False,SUPERSOFT,18.0,False,Renault,0 days 00:33:13.860000,,1,8.0,False,,False,False,28.2,45.0,1009.4,False,32.6,170,0.7
0 days 00:35:49.857000,SAI,55,0 days 00:01:57.745000,17.0,2.0,0 days 00:35:18.841000,,0 days 00:00:52.301000,0 days 00:00:41.744000,0 days 00:00:23.700000,0 days 00:35:47.142000,0 days 00:36:28.886000,0 days 00:36:52.586000,239.0,248.0,278.0,221.0,False,SUPERSOFT,4.0,False,Renault,0 days 00:34:54.841000,,1,17.0,False,,False,False,28.3,44.6,1009.4,False,32.7,75,1.0
0 days 00:37:49.885000,SAI,55,0 days 00:01:35.939000,18.0,2.0,,,0 days 00:00:30.435000,0 days 00:00:41.708000,0 days 00:00:23.796000,0 days 00:37:23.021000,0 days 00:38:04.729000,0 days 00:38:28.525000,240.0,255.0,279.0,288.0,True,SUPERSOFT,5.0,False,Renault,0 days 00:36:52.586000,,1,17.0,False,,False,True,28.2,45.0,1009.4,False,32.4,11,0.9
0 days 00:38:49.898000,SAI,55,0 days 00:01:37.078000,19.0,2.0,,,0 days 00:00:30.765000,0 days 00:00:42.192000,0 days 00:00:24.121000,0 days 00:38:59.290000,0 days 00:39:41.482000,0 days 00:40:05.603000,237.0,255.0,297.0,291.0,False,SUPERSOFT,6.0,False,Renault,0 days 00:38:28.525000,,1,16.0,False,,False,True,28.3,44.9,1009.5,False,32.4,206,0.7
0 days 00:40:50.035000,SAI,55,0 days 00:01:38.444000,20.0,2.0,,,0 days 00:00:31.292000,0 days 00:00:42.819000,0 days 00:00:24.333000,0 days 00:40:36.895000,0 days 00:41:19.714000,0 days 00:41:44.047000,239.0,249.0,291.0,335.0,False,SUPERSOFT,7.0,False,Renault,0 days 00:40:05.603000,,1,15.0,False,,False,True,28.3,44.7,1009.5,False,32.4,122,1.1
0 days 00:41:49.939000,SAI,55,0 days 00:01:37.275000,21.0,2.0,,,0 days 00:00:30.783000,0 days 00:00:42.438000,0 days 00:00:24.054000,0 days 00:42:14.830000,0 days 00:42:57.268000,0 days 00:43:21.322000,242.0,255.0,288.0,324.0,False,SUPERSOFT,8.0,False,Renault,0 days 00:41:44.047000,,1,13.0,False,,False,True,28.3,44.7,1009.5,False,32.4,122,1.1
