LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:41.786000,6.0,SAI,55,0 days 00:33:51.719000,1.0,1.0,,,,0 days 00:00:43.553000,0 days 00:00:24.248000,,0 days 00:34:49.444000,0 days 00:35:13.518000,233.0,249.0,282.0,260.0,False,SOFT,4.0,False,McLaren,0 days 00:33:31.386000,2019-03-31 15:13:31.471,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.1,54.5,1003.3,False,29.2,16,2.3
0 days 00:01:38.869000,6.0,SAI,55,0 days 00:35:51.745000,2.0,1.0,,,0 days 00:00:31.197000,0 days 00:00:43.291000,0 days 00:00:24.381000,0 days 00:35:44.613000,0 days 00:36:27.904000,0 days 00:36:52.285000,234.0,248.0,280.0,292.0,True,SOFT,5.0,False,McLaren,0 days 00:35:13.402000,2019-03-31 15:15:13.487,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,53.9,1003.5,False,29.3,22,2.3
0 days 00:01:38.570000,6.0,SAI,55,0 days 00:37:51.864000,3.0,1.0,,,0 days 00:00:30.860000,0 days 00:00:43.417000,0 days 00:00:24.293000,0 days 00:37:23.145000,0 days 00:38:06.562000,0 days 00:38:30.855000,,244.0,290.0,298.0,True,SOFT,6.0,False,McLaren,0 days 00:36:52.271000,2019-03-31 15:16:52.356,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,53.6,1003.4,False,29.3,11,1.6
0 days 00:02:15.038000,18.0,SAI,55,0 days 00:38:51.879000,4.0,1.0,,0 days 00:40:44.156000,0 days 00:00:31.098000,0 days 00:01:00.660000,0 days 00:00:43.280000,0 days 00:39:01.953000,0 days 00:40:02.613000,0 days 00:40:45.893000,204.0,173.0,,321.0,False,SOFT,7.0,False,McLaren,0 days 00:38:30.841000,2019-03-31 15:18:30.926,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.2,53.8,1003.4,False,29.3,36,1.9
0 days 00:02:18.084000,20.0,SAI,55,0 days 00:40:51.814000,5.0,2.0,0 days 00:41:29.623000,,0 days 00:01:12.901000,0 days 00:00:41.659000,0 days 00:00:23.524000,0 days 00:41:58.794000,0 days 00:42:40.453000,0 days 00:43:03.977000,235.0,252.0,279.0,223.0,False,MEDIUM,1.0,True,McLaren,0 days 00:40:45.879000,2019-03-31 15:20:45.964,2,False,,False,False,Bahrain Grand Prix,15,92.0,26.2,54.0,1003.5,False,29.2,41,3.1
0 days 00:01:35.842000,20.0,SAI,55,0 days 00:43:51.899000,6.0,2.0,,,0 days 00:00:30.480000,0 days 00:00:41.702000,0 days 00:00:23.660000,0 days 00:43:34.457000,0 days 00:44:16.159000,0 days 00:44:39.819000,236.0,251.0,280.0,291.0,True,MEDIUM,2.0,True,McLaren,0 days 00:43:03.963000,2019-03-31 15:23:04.048,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.4,False,29.2,3,2.3
0 days 00:01:36.762000,20.0,SAI,55,0 days 00:44:51.880000,7.0,2.0,,,0 days 00:00:30.769000,0 days 00:00:42.133000,0 days 00:00:23.860000,0 days 00:45:10.588000,0 days 00:45:52.721000,0 days 00:46:16.581000,234.0,250.0,279.0,290.0,False,MEDIUM,3.0,True,McLaren,0 days 00:44:39.805000,2019-03-31 15:24:39.890,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.2,15,2.3
0 days 00:01:36.803000,20.0,SAI,55,0 days 00:46:51.963000,8.0,2.0,,,0 days 00:00:30.793000,0 days 00:00:42.110000,0 days 00:00:23.900000,0 days 00:46:47.374000,0 days 00:47:29.484000,0 days 00:47:53.384000,,248.0,279.0,294.0,False,MEDIUM,4.0,True,McLaren,0 days 00:46:16.567000,2019-03-31 15:26:16.652,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.5,False,29.1,355,2.4
0 days 00:01:37.523000,20.0,SAI,55,0 days 00:48:51.942000,9.0,2.0,,,0 days 00:00:30.848000,0 days 00:00:42.745000,0 days 00:00:23.930000,0 days 00:48:24.232000,0 days 00:49:06.977000,0 days 00:49:30.907000,,250.0,279.0,296.0,False,MEDIUM,5.0,True,McLaren,0 days 00:47:53.370000,2019-03-31 15:27:53.455,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.2,54.3,1003.6,False,28.9,41,2.7
0 days 00:01:37.275000,20.0,SAI,55,0 days 00:49:52.026000,10.0,2.0,,,0 days 00:00:30.833000,0 days 00:00:42.229000,0 days 00:00:24.213000,0 days 00:50:01.740000,0 days 00:50:43.969000,0 days 00:51:08.182000,,252.0,279.0,293.0,False,MEDIUM,6.0,True,McLaren,0 days 00:49:30.893000,2019-03-31 15:29:30.978,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,54.7,1003.5,False,28.9,53,3.1
0 days 00:01:37.811000,20.0,SAI,55,0 days 00:51:51.965000,11.0,2.0,,,0 days 00:00:30.901000,0 days 00:00:42.883000,0 days 00:00:24.027000,0 days 00:51:39.083000,0 days 00:52:21.966000,0 days 00:52:45.993000,,252.0,279.0,297.0,False,MEDIUM,7.0,True,McLaren,0 days 00:51:08.168000,2019-03-31 15:31:08.253,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.5,False,28.8,334,2.5
0 days 00:01:37.697000,20.0,SAI,55,0 days 00:52:51.982000,12.0,2.0,,,0 days 00:00:30.977000,0 days 00:00:42.478000,0 days 00:00:24.242000,0 days 00:53:16.970000,0 days 00:53:59.448000,0 days 00:54:23.690000,236.0,252.0,278.0,,False,MEDIUM,8.0,True,McLaren,0 days 00:52:45.979000,2019-03-31 15:32:46.064,2,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.0,1003.5,False,28.8,33,1.7
0 days 00:01:38.264000,20.0,SAI,55,0 days 00:54:52.005000,13.0,2.0,,,0 days 00:00:31.127000,0 days 00:00:42.830000,0 days 00:00:24.307000,0 days 00:54:54.817000,0 days 00:55:37.647000,0 days 00:56:01.954000,232.0,253.0,278.0,296.0,False,MEDIUM,9.0,True,McLaren,0 days 00:54:23.676000,2019-03-31 15:34:23.761,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.6,False,28.8,4,2.5
0 days 00:01:38.401000,20.0,SAI,55,0 days 00:56:52.033000,14.0,2.0,,,0 days 00:00:31.130000,0 days 00:00:43.018000,0 days 00:00:24.253000,0 days 00:56:33.084000,0 days 00:57:16.102000,0 days 00:57:40.355000,,252.0,278.0,298.0,False,MEDIUM,10.0,True,McLaren,0 days 00:56:01.940000,2019-03-31 15:36:02.025,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.1,1003.8,False,28.8,29,1.8
0 days 00:01:38.616000,20.0,SAI,55,0 days 00:57:52.051000,15.0,2.0,,,0 days 00:00:31.213000,0 days 00:00:43.156000,0 days 00:00:24.247000,0 days 00:58:11.568000,0 days 00:58:54.724000,0 days 00:59:18.971000,,251.0,278.0,296.0,False,MEDIUM,11.0,True,McLaren,0 days 00:57:40.341000,2019-03-31 15:37:40.426,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.2,1003.7,False,28.8,26,2.1
0 days 00:01:38.870000,19.0,SAI,55,0 days 00:59:52.076000,16.0,2.0,,,0 days 00:00:30.924000,0 days 00:00:43.191000,0 days 00:00:24.755000,0 days 00:59:49.895000,0 days 01:00:33.086000,0 days 01:00:57.841000,235.0,250.0,285.0,300.0,False,MEDIUM,12.0,True,McLaren,0 days 00:59:18.957000,2019-03-31 15:39:19.042,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.5,1003.7,False,28.8,47,2.1
0 days 00:01:38.419000,19.0,SAI,55,0 days 01:01:52.104000,17.0,2.0,,,0 days 00:00:30.949000,0 days 00:00:43.309000,0 days 00:00:24.161000,0 days 01:01:28.790000,0 days 01:02:12.099000,0 days 01:02:36.260000,232.0,249.0,278.0,315.0,False,MEDIUM,13.0,True,McLaren,0 days 01:00:57.827000,2019-03-31 15:40:57.912,1,False,,False,True,Bahrain Grand Prix,15,92.0,26.1,55.3,1003.7,False,28.7,2,2.7
