Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:46.427000,RUS,63,0 days 00:01:57.917000,1.0,1.0,,,,0 days 00:00:47.601000,0 days 00:00:45.015000,,0 days 00:34:44.314000,0 days 00:35:29.413000,284.0,254.0,212.0,306.0,False,HARD,1.0,True,Williams,0 days 00:33:31.194000,2019-12-01 13:13:31.397,2,19.0,False,,False,False,26.4,60.4,1015.2,False,30.7,218,1.4
0 days 00:35:46.402000,RUS,63,0 days 00:01:48.754000,2.0,1.0,,,0 days 00:00:19.013000,0 days 00:00:45.246000,0 days 00:00:44.495000,0 days 00:35:48.320000,0 days 00:36:33.566000,0 days 00:37:18.061000,271.0,269.0,214.0,295.0,True,HARD,2.0,True,Williams,0 days 00:35:29.312000,2019-12-01 13:15:29.515,1,19.0,False,,False,True,26.4,59.9,1015.0,False,30.5,185,1.5
0 days 00:37:46.394000,RUS,63,0 days 00:01:47.893000,3.0,1.0,,,0 days 00:00:18.929000,0 days 00:00:44.998000,0 days 00:00:43.966000,0 days 00:37:36.990000,0 days 00:38:21.988000,0 days 00:39:05.954000,268.0,292.0,212.0,303.0,True,HARD,3.0,True,Williams,0 days 00:37:18.066000,2019-12-01 13:17:18.269,1,19.0,False,,False,True,26.4,60.7,1015.0,False,30.6,235,1.9
0 days 00:39:46.408000,RUS,63,0 days 00:01:47.818000,4.0,1.0,,,0 days 00:00:19.020000,0 days 00:00:44.719000,0 days 00:00:44.079000,0 days 00:39:24.974000,0 days 00:40:09.693000,0 days 00:40:53.772000,266.0,284.0,211.0,314.0,True,HARD,4.0,True,Williams,0 days 00:39:05.959000,2019-12-01 13:19:06.162,1,19.0,False,,False,True,26.4,61.8,1015.0,False,30.3,261,2.0
0 days 00:41:46.402000,RUS,63,0 days 00:01:47.438000,5.0,1.0,,,0 days 00:00:18.662000,0 days 00:00:44.876000,0 days 00:00:43.900000,0 days 00:41:12.434000,0 days 00:41:57.310000,0 days 00:42:41.210000,268.0,296.0,213.0,311.0,True,HARD,5.0,True,Williams,0 days 00:40:53.777000,2019-12-01 13:20:53.980,1,19.0,False,,False,True,26.5,62.2,1015.0,False,30.3,195,1.1
0 days 00:42:46.394000,RUS,63,0 days 00:01:47.339000,6.0,1.0,,,0 days 00:00:18.734000,0 days 00:00:44.624000,0 days 00:00:43.981000,0 days 00:42:59.944000,0 days 00:43:44.568000,0 days 00:44:28.549000,,295.0,214.0,313.0,True,HARD,6.0,True,Williams,0 days 00:42:41.215000,2019-12-01 13:22:41.418,1,18.0,False,,False,True,26.5,61.8,1015.1,False,30.2,198,1.5
0 days 00:44:46.572000,RUS,63,0 days 00:01:47.227000,7.0,1.0,,,0 days 00:00:18.679000,0 days 00:00:45.005000,0 days 00:00:43.543000,0 days 00:44:47.228000,0 days 00:45:32.233000,0 days 00:46:15.776000,264.0,292.0,212.0,303.0,True,HARD,7.0,True,Williams,0 days 00:44:28.554000,2019-12-01 13:24:28.757,1,18.0,False,,False,True,26.3,61.9,1015.0,False,30.8,264,0.7
0 days 00:46:46.521000,RUS,63,0 days 00:01:46.609000,8.0,1.0,,,0 days 00:00:18.544000,0 days 00:00:44.807000,0 days 00:00:43.258000,0 days 00:46:34.320000,0 days 00:47:19.127000,0 days 00:48:02.385000,272.0,298.0,212.0,302.0,True,HARD,8.0,True,Williams,0 days 00:46:15.781000,2019-12-01 13:26:15.984,1,18.0,False,,False,True,26.4,61.9,1015.1,False,30.6,142,1.0
0 days 00:48:46.387000,RUS,63,0 days 00:01:47.686000,9.0,1.0,,,0 days 00:00:18.493000,0 days 00:00:45.372000,0 days 00:00:43.821000,0 days 00:48:20.878000,0 days 00:49:06.250000,0 days 00:49:50.071000,274.0,274.0,216.0,303.0,False,HARD,9.0,True,Williams,0 days 00:48:02.390000,2019-12-01 13:28:02.593,1,17.0,False,,False,True,26.2,62.4,1015.2,False,30.5,119,0.8
0 days 00:50:46.398000,RUS,63,0 days 00:01:46.726000,10.0,1.0,,,0 days 00:00:18.525000,0 days 00:00:44.911000,0 days 00:00:43.290000,0 days 00:50:08.596000,0 days 00:50:53.507000,0 days 00:51:36.797000,273.0,296.0,215.0,302.0,False,HARD,10.0,True,Williams,0 days 00:49:50.076000,2019-12-01 13:29:50.279,1,17.0,False,,False,True,26.1,62.9,1015.2,False,30.2,178,0.9
0 days 00:51:46.385000,RUS,63,0 days 00:01:46.717000,11.0,1.0,,,0 days 00:00:18.519000,0 days 00:00:44.922000,0 days 00:00:43.276000,0 days 00:51:55.316000,0 days 00:52:40.238000,0 days 00:53:23.514000,276.0,296.0,213.0,304.0,False,HARD,11.0,True,Williams,0 days 00:51:36.802000,2019-12-01 13:31:37.005,1,17.0,False,,False,True,26.1,62.9,1015.2,False,30.2,127,1.1
0 days 00:53:46.487000,RUS,63,0 days 00:01:46.548000,12.0,1.0,,,0 days 00:00:18.414000,0 days 00:00:44.865000,0 days 00:00:43.269000,0 days 00:53:41.928000,0 days 00:54:26.793000,0 days 00:55:10.062000,,292.0,213.0,305.0,True,HARD,12.0,True,Williams,0 days 00:53:23.519000,2019-12-01 13:33:23.722,1,17.0,False,,False,True,26.0,63.6,1015.2,False,30.2,256,1.1
0 days 00:55:46.378000,RUS,63,0 days 00:01:46.958000,13.0,1.0,,,0 days 00:00:18.520000,0 days 00:00:44.881000,0 days 00:00:43.557000,0 days 00:55:28.582000,0 days 00:56:13.463000,0 days 00:56:57.020000,273.0,295.0,211.0,312.0,False,HARD,13.0,True,Williams,0 days 00:55:10.067000,2019-12-01 13:35:10.270,1,17.0,False,,False,True,26.1,64.4,1015.2,False,30.2,204,1.1
0 days 00:57:46.414000,RUS,63,0 days 00:01:46.673000,14.0,1.0,,,0 days 00:00:18.622000,0 days 00:00:44.718000,0 days 00:00:43.333000,0 days 00:57:15.642000,0 days 00:58:00.360000,0 days 00:58:43.693000,271.0,302.0,215.0,306.0,False,HARD,14.0,True,Williams,0 days 00:56:57.025000,2019-12-01 13:36:57.228,1,17.0,False,,False,True,26.1,64.2,1015.3,False,30.0,199,1.2
0 days 00:58:46.410000,RUS,63,0 days 00:01:46.627000,15.0,1.0,,,0 days 00:00:18.449000,0 days 00:00:44.856000,0 days 00:00:43.322000,0 days 00:59:02.142000,0 days 00:59:46.998000,0 days 01:00:30.320000,272.0,303.0,214.0,310.0,False,HARD,15.0,True,Williams,0 days 00:58:43.698000,2019-12-01 13:38:43.901,1,17.0,False,,False,True,26.1,64.4,1015.2,False,30.0,250,1.0
0 days 01:00:46.482000,RUS,63,0 days 00:01:46.765000,16.0,1.0,,,0 days 00:00:18.528000,0 days 00:00:44.647000,0 days 00:00:43.590000,0 days 01:00:48.848000,0 days 01:01:33.495000,0 days 01:02:17.085000,271.0,295.0,214.0,310.0,False,HARD,16.0,True,Williams,0 days 01:00:30.325000,2019-12-01 13:40:30.528,1,17.0,False,,False,True,26.1,64.4,1015.3,False,29.9,254,1.0
0 days 01:02:46.411000,RUS,63,0 days 00:01:46.219000,17.0,1.0,,,0 days 00:00:18.526000,0 days 00:00:44.519000,0 days 00:00:43.174000,0 days 01:02:35.611000,0 days 01:03:20.130000,0 days 01:04:03.304000,270.0,302.0,213.0,309.0,True,HARD,17.0,True,Williams,0 days 01:02:17.090000,2019-12-01 13:42:17.293,1,17.0,False,,False,True,26.0,65.2,1015.3,False,29.9,248,1.1
0 days 01:04:46.400000,RUS,63,0 days 00:01:46.254000,18.0,1.0,,,0 days 00:00:18.512000,0 days 00:00:44.559000,0 days 00:00:43.183000,0 days 01:04:21.816000,0 days 01:05:06.375000,0 days 01:05:49.558000,269.0,303.0,212.0,310.0,False,HARD,18.0,True,Williams,0 days 01:04:03.309000,2019-12-01 13:44:03.512,1,17.0,False,,False,True,26.0,65.6,1015.3,False,29.6,233,1.3
0 days 01:06:46.406000,RUS,63,0 days 00:01:48.326000,19.0,1.0,,,0 days 00:00:18.585000,0 days 00:00:45.449000,0 days 00:00:44.292000,0 days 01:06:08.143000,0 days 01:06:53.592000,0 days 01:07:37.884000,275.0,309.0,213.0,309.0,False,HARD,19.0,True,Williams,0 days 01:05:49.563000,2019-12-01 13:45:49.766,1,17.0,False,,False,True,25.9,65.9,1015.4,False,29.4,260,1.3
0 days 01:07:46.387000,RUS,63,0 days 00:01:46.385000,20.0,1.0,,,0 days 00:00:18.520000,0 days 00:00:44.666000,0 days 00:00:43.199000,0 days 01:07:56.404000,0 days 01:08:41.070000,0 days 01:09:24.269000,271.0,305.0,215.0,308.0,False,HARD,20.0,True,Williams,0 days 01:07:37.889000,2019-12-01 13:47:38.092,1,17.0,False,,False,True,25.9,66.2,1015.3,False,29.6,263,1.3
0 days 01:09:46.389000,RUS,63,0 days 00:01:46.488000,21.0,1.0,,,0 days 00:00:18.460000,0 days 00:00:44.584000,0 days 00:00:43.444000,0 days 01:09:42.729000,0 days 01:10:27.313000,0 days 01:11:10.757000,273.0,306.0,213.0,311.0,False,HARD,21.0,True,Williams,0 days 01:09:24.274000,2019-12-01 13:49:24.477,1,17.0,False,,False,True,25.9,66.2,1015.4,False,29.6,235,1.4
