Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:11.269000,RIC,3,0 days 00:01:19.673000,1.0,1.0,,,,0 days 00:00:33.923000,0 days 00:00:22.926000,,0 days 00:33:49.411000,0 days 00:34:12.452000,295.0,218.0,271.0,289.0,False,MEDIUM,1.0,True,Renault,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,14.0,False,,False,False,33.9,19.8,941.0,False,51.2,260,1.2
0 days 00:35:11.295000,RIC,3,0 days 00:01:13.248000,2.0,1.0,,,0 days 00:00:17.857000,0 days 00:00:32.822000,0 days 00:00:22.569000,0 days 00:34:30.143000,0 days 00:35:02.965000,0 days 00:35:25.534000,300.0,218.0,271.0,293.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:12.300000,2019-06-30 13:14:12.327,1,14.0,False,,False,True,33.6,20.3,941.0,False,51.0,0,1.8
0 days 00:36:11.323000,RIC,3,0 days 00:01:11.938000,3.0,1.0,,,0 days 00:00:17.547000,0 days 00:00:32.154000,0 days 00:00:22.237000,0 days 00:35:43.081000,0 days 00:36:15.235000,0 days 00:36:37.472000,319.0,226.0,279.0,312.0,True,MEDIUM,3.0,True,Renault,0 days 00:35:25.548000,2019-06-30 13:15:25.575,1,14.0,False,,False,True,33.9,19.4,941.0,False,51.3,14,0.8
0 days 00:37:11.321000,RIC,3,0 days 00:01:11.696000,4.0,1.0,,,0 days 00:00:17.474000,0 days 00:00:32.129000,0 days 00:00:22.093000,0 days 00:36:54.946000,0 days 00:37:27.075000,0 days 00:37:49.168000,315.0,221.0,279.0,310.0,True,MEDIUM,4.0,True,Renault,0 days 00:36:37.486000,2019-06-30 13:16:37.513,1,14.0,False,,False,True,34.1,18.9,941.0,False,51.3,129,0.7
0 days 00:38:11.334000,RIC,3,0 days 00:01:12.080000,5.0,1.0,,,0 days 00:00:17.552000,0 days 00:00:32.154000,0 days 00:00:22.374000,0 days 00:38:06.720000,0 days 00:38:38.874000,0 days 00:39:01.248000,,225.0,278.0,308.0,False,MEDIUM,5.0,True,Renault,0 days 00:37:49.182000,2019-06-30 13:17:49.209,1,14.0,False,,False,True,34.2,19.0,940.9,False,51.2,19,1.2
0 days 00:39:11.347000,RIC,3,0 days 00:01:12.369000,6.0,1.0,,,0 days 00:00:17.683000,0 days 00:00:32.138000,0 days 00:00:22.548000,0 days 00:39:18.931000,0 days 00:39:51.069000,0 days 00:40:13.617000,310.0,224.0,277.0,306.0,False,MEDIUM,6.0,True,Renault,0 days 00:39:01.262000,2019-06-30 13:19:01.289,1,14.0,False,,False,True,34.6,18.8,941.0,False,51.4,10,0.7
0 days 00:41:11.419000,RIC,3,0 days 00:01:10.829000,7.0,1.0,,,0 days 00:00:17.588000,0 days 00:00:31.442000,0 days 00:00:21.799000,0 days 00:40:31.205000,0 days 00:41:02.647000,0 days 00:41:24.446000,313.0,228.0,269.0,295.0,True,MEDIUM,7.0,True,Renault,0 days 00:40:13.631000,2019-06-30 13:20:13.658,1,13.0,False,,False,True,34.6,18.8,940.9,False,51.3,305,0.9
0 days 00:42:11.526000,RIC,3,0 days 00:01:11.168000,8.0,1.0,,,0 days 00:00:17.884000,0 days 00:00:31.512000,0 days 00:00:21.772000,0 days 00:41:42.330000,0 days 00:42:13.842000,0 days 00:42:35.614000,293.0,226.0,270.0,296.0,False,MEDIUM,8.0,True,Renault,0 days 00:41:24.460000,2019-06-30 13:21:24.487,1,13.0,False,,False,True,34.6,18.7,941.0,False,51.1,274,1.2
0 days 00:43:11.414000,RIC,3,0 days 00:01:11.221000,9.0,1.0,,,0 days 00:00:17.757000,0 days 00:00:31.679000,0 days 00:00:21.785000,0 days 00:42:53.371000,0 days 00:43:25.050000,0 days 00:43:46.835000,296.0,229.0,271.0,293.0,False,MEDIUM,9.0,True,Renault,0 days 00:42:35.628000,2019-06-30 13:22:35.655,1,13.0,False,,False,True,34.6,18.5,940.9,False,51.1,56,1.2
0 days 00:44:11.427000,RIC,3,0 days 00:01:11.019000,10.0,1.0,,,0 days 00:00:17.803000,0 days 00:00:31.467000,0 days 00:00:21.749000,0 days 00:44:04.638000,0 days 00:44:36.105000,0 days 00:44:57.854000,292.0,226.0,269.0,292.0,False,MEDIUM,10.0,True,Renault,0 days 00:43:46.849000,2019-06-30 13:23:46.876,1,13.0,False,,False,True,34.9,18.1,940.9,False,51.1,81,1.2
