Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:46.468000,STR,18,0 days 00:01:59.377000,1.0,1.0,,,,0 days 00:00:46.317000,0 days 00:00:25.430000,,0 days 00:35:11.783000,0 days 00:35:37.608000,178.0,199.0,331.0,327.0,False,SOFT,1.0,True,Racing Point,0 days 00:33:37.411000,2019-04-28 12:13:37.658,1,11.0,False,,False,False,20.0,48.4,1013.9,False,42.4,0,0.8
0 days 00:35:46.711000,STR,18,0 days 00:01:50.847000,2.0,1.0,,,0 days 00:00:40.317000,0 days 00:00:45.195000,0 days 00:00:25.335000,0 days 00:36:17.310000,0 days 00:37:02.505000,0 days 00:37:27.840000,176.0,196.0,328.0,325.0,True,SOFT,2.0,True,Racing Point,0 days 00:35:37.038000,2019-04-28 12:15:37.285,1,11.0,False,,False,True,20.1,48.4,1013.9,False,42.2,201,1.2
0 days 00:37:46.934000,STR,18,0 days 00:01:50.201000,3.0,1.0,,,0 days 00:00:39.554000,0 days 00:00:45.436000,0 days 00:00:25.211000,0 days 00:38:07.394000,0 days 00:38:52.830000,0 days 00:39:18.041000,184.0,191.0,339.0,331.0,True,SOFT,3.0,True,Racing Point,0 days 00:37:27.885000,2019-04-28 12:17:28.132,1,10.0,False,,False,True,20.3,48.1,1013.9,False,42.4,221,0.6
0 days 00:39:47.094000,STR,18,0 days 00:01:51.675000,4.0,1.0,,,0 days 00:00:40.067000,0 days 00:00:45.965000,0 days 00:00:25.643000,0 days 00:39:58.108000,0 days 00:40:44.073000,0 days 00:41:09.716000,,183.0,329.0,325.0,False,SOFT,4.0,True,Racing Point,0 days 00:39:18.086000,2019-04-28 12:19:18.333,1,9.0,False,,False,True,20.3,49.5,1013.8,False,41.8,208,1.1
0 days 00:41:46.580000,STR,18,0 days 00:01:50.027000,5.0,1.0,,,0 days 00:00:39.462000,0 days 00:00:44.672000,0 days 00:00:25.893000,0 days 00:41:49.178000,0 days 00:42:33.850000,0 days 00:42:59.743000,190.0,209.0,315.0,319.0,True,SOFT,5.0,True,Racing Point,0 days 00:41:09.761000,2019-04-28 12:21:10.008,1,9.0,False,,False,True,20.0,49.6,1013.9,False,41.8,218,1.7
0 days 00:43:46.609000,STR,18,0 days 00:01:50.911000,6.0,1.0,,,0 days 00:00:39.545000,0 days 00:00:45.395000,0 days 00:00:25.971000,0 days 00:43:39.288000,0 days 00:44:24.683000,0 days 00:44:50.654000,199.0,202.0,314.0,317.0,False,SOFT,6.0,True,Racing Point,0 days 00:42:59.788000,2019-04-28 12:23:00.035,1,9.0,False,,False,True,20.1,50.8,1014.0,False,41.5,218,1.6
0 days 00:45:46.637000,STR,18,0 days 00:01:51.756000,7.0,1.0,,,0 days 00:00:40.031000,0 days 00:00:45.738000,0 days 00:00:25.987000,0 days 00:45:30.685000,0 days 00:46:16.423000,0 days 00:46:42.410000,192.0,203.0,310.0,315.0,False,SOFT,7.0,True,Racing Point,0 days 00:44:50.699000,2019-04-28 12:24:50.946,1,9.0,False,,False,True,20.0,50.0,1013.9,False,41.4,0,2.0
0 days 00:46:46.650000,STR,18,0 days 00:01:52.428000,8.0,1.0,,,0 days 00:00:40.166000,0 days 00:00:45.823000,0 days 00:00:26.439000,0 days 00:47:22.576000,0 days 00:48:08.399000,0 days 00:48:34.838000,186.0,201.0,310.0,314.0,False,SOFT,8.0,True,Racing Point,0 days 00:46:42.455000,2019-04-28 12:26:42.702,1,9.0,False,,False,True,20.1,51.3,1014.0,False,41.5,244,0.8
0 days 00:48:46.677000,STR,18,0 days 00:01:53.290000,9.0,1.0,,,0 days 00:00:40.548000,0 days 00:00:46.436000,0 days 00:00:26.306000,0 days 00:49:15.386000,0 days 00:50:01.822000,0 days 00:50:28.128000,183.0,196.0,312.0,313.0,False,SOFT,9.0,True,Racing Point,0 days 00:48:34.883000,2019-04-28 12:28:35.130,1,9.0,False,,False,True,20.2,51.7,1014.0,False,41.3,219,0.9
0 days 00:50:46.730000,STR,18,0 days 00:02:00.694000,10.0,1.0,,0 days 00:52:27.734000,0 days 00:00:40.925000,0 days 00:00:48.116000,0 days 00:00:31.653000,0 days 00:51:09.053000,0 days 00:51:57.169000,0 days 00:52:28.822000,188.0,181.0,,315.0,False,SOFT,10.0,True,Racing Point,0 days 00:50:28.173000,2019-04-28 12:30:28.420,1,11.0,False,,False,False,20.0,53.3,1013.9,False,41.3,231,1.4
0 days 00:52:46.736000,STR,18,0 days 00:02:09.223000,11.0,2.0,0 days 00:52:50.665000,,0 days 00:00:58.587000,0 days 00:00:45.039000,0 days 00:00:25.597000,0 days 00:53:27.409000,0 days 00:54:12.448000,0 days 00:54:38.045000,175.0,198.0,319.0,322.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:52:28.867000,2019-04-28 12:32:29.114,1,18.0,False,,False,False,19.9,52.7,1013.9,False,41.1,206,0.8
0 days 00:54:46.766000,STR,18,0 days 00:01:50.035000,12.0,2.0,,,0 days 00:00:39.871000,0 days 00:00:44.652000,0 days 00:00:25.512000,0 days 00:55:17.916000,0 days 00:56:02.568000,0 days 00:56:28.080000,184.0,205.0,318.0,322.0,False,MEDIUM,2.0,True,Racing Point,0 days 00:54:38.090000,2019-04-28 12:34:38.337,1,18.0,False,,False,True,19.8,52.1,1013.9,False,41.1,201,0.9
0 days 00:56:46.792000,STR,18,0 days 00:01:48.811000,13.0,2.0,,,0 days 00:00:39.318000,0 days 00:00:44.044000,0 days 00:00:25.449000,0 days 00:57:07.398000,0 days 00:57:51.442000,0 days 00:58:16.891000,182.0,210.0,318.0,322.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:56:28.125000,2019-04-28 12:36:28.372,1,17.0,False,,False,True,19.6,53.8,1013.9,False,41.0,0,0.8
0 days 00:58:46.828000,STR,18,0 days 00:01:48.669000,14.0,2.0,,,0 days 00:00:39.091000,0 days 00:00:44.048000,0 days 00:00:25.530000,0 days 00:58:55.982000,0 days 00:59:40.030000,0 days 01:00:05.560000,190.0,193.0,320.0,322.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:58:16.936000,2019-04-28 12:38:17.183,1,16.0,False,,False,True,19.3,54.6,1013.9,False,40.5,322,1.2
0 days 01:00:46.849000,STR,18,0 days 00:01:48.320000,15.0,2.0,,,0 days 00:00:38.865000,0 days 00:00:44.096000,0 days 00:00:25.359000,0 days 01:00:44.425000,0 days 01:01:28.521000,0 days 01:01:53.880000,191.0,205.0,319.0,325.0,True,MEDIUM,5.0,True,Racing Point,0 days 01:00:05.605000,2019-04-28 12:40:05.852,1,16.0,False,,False,True,19.3,54.0,1013.7,False,40.2,8,1.0
0 days 01:02:46.880000,STR,18,0 days 00:01:48.207000,16.0,2.0,,,0 days 00:00:39.172000,0 days 00:00:43.618000,0 days 00:00:25.417000,0 days 01:02:33.052000,0 days 01:03:16.670000,0 days 01:03:42.087000,189.0,203.0,316.0,322.0,True,MEDIUM,6.0,True,Racing Point,0 days 01:01:53.925000,2019-04-28 12:41:54.172,1,15.0,False,,False,True,19.0,54.4,1013.7,False,39.9,0,1.6
0 days 01:03:47.319000,STR,18,0 days 00:01:48.035000,17.0,2.0,,,0 days 00:00:38.971000,0 days 00:00:43.574000,0 days 00:00:25.490000,0 days 01:04:21.058000,0 days 01:05:04.632000,0 days 01:05:30.122000,,201.0,315.0,323.0,True,MEDIUM,7.0,True,Racing Point,0 days 01:03:42.132000,2019-04-28 12:43:42.379,1,15.0,False,,False,True,18.9,54.4,1013.7,False,39.8,226,1.0
0 days 01:05:47.428000,STR,18,0 days 00:01:48.007000,18.0,2.0,,,0 days 00:00:38.631000,0 days 00:00:43.981000,0 days 00:00:25.395000,0 days 01:06:08.753000,0 days 01:06:52.734000,0 days 01:07:18.129000,,198.0,319.0,323.0,True,MEDIUM,8.0,True,Racing Point,0 days 01:05:30.167000,2019-04-28 12:45:30.414,1,15.0,False,,False,True,18.9,55.2,1013.8,False,39.6,270,1.5
0 days 01:07:47.248000,STR,18,0 days 00:01:48.250000,19.0,2.0,,,0 days 00:00:38.904000,0 days 00:00:44.128000,0 days 00:00:25.218000,0 days 01:07:57.033000,0 days 01:08:41.161000,0 days 01:09:06.379000,190.0,195.0,342.0,325.0,False,MEDIUM,9.0,True,Racing Point,0 days 01:07:18.174000,2019-04-28 12:47:18.421,1,15.0,False,,False,True,18.8,55.7,1013.8,False,39.5,2,1.4
0 days 01:09:46.974000,STR,18,0 days 00:01:49.077000,20.0,2.0,,,0 days 00:00:39.453000,0 days 00:00:44.003000,0 days 00:00:25.621000,0 days 01:09:45.832000,0 days 01:10:29.835000,0 days 01:10:55.456000,187.0,204.0,312.0,321.0,False,MEDIUM,10.0,True,Racing Point,0 days 01:09:06.424000,2019-04-28 12:49:06.671,1,14.0,False,,False,True,18.6,56.9,1013.6,False,39.1,346,0.5
0 days 01:11:47.003000,STR,18,0 days 00:01:48.695000,21.0,2.0,,,0 days 00:00:38.902000,0 days 00:00:44.085000,0 days 00:00:25.708000,0 days 01:11:34.358000,0 days 01:12:18.443000,0 days 01:12:44.151000,189.0,209.0,312.0,320.0,False,MEDIUM,11.0,True,Racing Point,0 days 01:10:55.501000,2019-04-28 12:50:55.748,1,14.0,False,,False,True,18.5,57.5,1013.8,False,39.0,188,0.8
0 days 01:12:47.018000,STR,18,0 days 00:01:48.588000,22.0,2.0,,,0 days 00:00:39.003000,0 days 00:00:44.015000,0 days 00:00:25.570000,0 days 01:13:23.154000,0 days 01:14:07.169000,0 days 01:14:32.739000,194.0,208.0,315.0,321.0,False,MEDIUM,12.0,True,Racing Point,0 days 01:12:44.196000,2019-04-28 12:52:44.443,1,14.0,False,,False,True,18.8,57.5,1013.8,False,39.0,237,1.5
0 days 01:14:47.044000,STR,18,0 days 00:01:48.140000,23.0,2.0,,,0 days 00:00:38.918000,0 days 00:00:43.741000,0 days 00:00:25.481000,0 days 01:15:11.657000,0 days 01:15:55.398000,0 days 01:16:20.879000,198.0,210.0,320.0,323.0,False,MEDIUM,13.0,True,Racing Point,0 days 01:14:32.784000,2019-04-28 12:54:33.031,1,14.0,False,,False,True,18.9,57.4,1013.8,False,39.1,238,1.8
0 days 01:16:47.079000,STR,18,0 days 00:01:48.340000,24.0,2.0,,,0 days 00:00:38.912000,0 days 00:00:44.135000,0 days 00:00:25.293000,0 days 01:16:59.791000,0 days 01:17:43.926000,0 days 01:18:09.219000,196.0,201.0,343.0,323.0,False,MEDIUM,14.0,True,Racing Point,0 days 01:16:20.924000,2019-04-28 12:56:21.171,1,13.0,False,,False,True,18.8,56.5,1013.8,False,38.7,231,2.7
0 days 01:18:47.102000,STR,18,0 days 00:01:47.969000,25.0,2.0,,,0 days 00:00:38.441000,0 days 00:00:43.834000,0 days 00:00:25.694000,0 days 01:18:47.660000,0 days 01:19:31.494000,0 days 01:19:57.188000,201.0,211.0,311.0,319.0,True,MEDIUM,15.0,True,Racing Point,0 days 01:18:09.264000,2019-04-28 12:58:09.511,1,12.0,False,,False,True,19.1,54.5,1013.8,False,38.7,250,0.7
0 days 01:20:47.137000,STR,18,0 days 00:01:47.709000,26.0,2.0,,,0 days 00:00:38.433000,0 days 00:00:43.740000,0 days 00:00:25.536000,0 days 01:20:35.621000,0 days 01:21:19.361000,0 days 01:21:44.897000,195.0,217.0,313.0,319.0,True,MEDIUM,16.0,True,Racing Point,0 days 01:19:57.233000,2019-04-28 12:59:57.480,1,12.0,False,,False,True,19.2,52.4,1013.8,False,38.5,214,1.9
0 days 01:21:47.159000,STR,18,0 days 00:01:47.890000,27.0,2.0,,,0 days 00:00:38.336000,0 days 00:00:43.574000,0 days 00:00:25.980000,0 days 01:22:23.233000,0 days 01:23:06.807000,0 days 01:23:32.787000,202.0,220.0,314.0,317.0,False,MEDIUM,17.0,True,Racing Point,0 days 01:21:44.942000,2019-04-28 13:01:45.189,1,12.0,False,,False,True,19.4,52.4,1013.8,False,38.5,207,1.9
0 days 01:23:47.705000,STR,18,0 days 00:01:47.521000,28.0,2.0,,,0 days 00:00:38.199000,0 days 00:00:43.669000,0 days 00:00:25.653000,0 days 01:24:10.986000,0 days 01:24:54.655000,0 days 01:25:20.308000,204.0,213.0,313.0,317.0,True,MEDIUM,18.0,True,Racing Point,0 days 01:23:32.832000,2019-04-28 13:03:33.079,1,12.0,False,,False,True,19.8,52.0,1013.7,False,38.5,241,1.7
0 days 01:25:47.199000,STR,18,0 days 00:01:47.343000,29.0,2.0,,,0 days 00:00:38.351000,0 days 00:00:43.433000,0 days 00:00:25.559000,0 days 01:25:58.659000,0 days 01:26:42.092000,0 days 01:27:07.651000,208.0,212.0,314.0,318.0,True,MEDIUM,19.0,True,Racing Point,0 days 01:25:20.353000,2019-04-28 13:05:20.600,1,12.0,False,,False,True,19.7,51.6,1013.7,False,38.3,204,2.9
0 days 01:27:47.222000,STR,18,0 days 00:01:47.640000,30.0,2.0,,,0 days 00:00:38.499000,0 days 00:00:43.491000,0 days 00:00:25.650000,0 days 01:27:46.150000,0 days 01:28:29.641000,0 days 01:28:55.291000,199.0,214.0,312.0,316.0,False,MEDIUM,20.0,True,Racing Point,0 days 01:27:07.696000,2019-04-28 13:07:07.943,1,12.0,False,,False,True,19.5,52.3,1013.6,False,38.0,208,1.7
0 days 01:29:47.253000,STR,18,0 days 00:01:48.854000,31.0,2.0,,,0 days 00:00:39.198000,0 days 00:00:43.892000,0 days 00:00:25.764000,0 days 01:29:34.489000,0 days 01:30:18.381000,0 days 01:30:44.145000,,216.0,311.0,314.0,False,MEDIUM,21.0,True,Racing Point,0 days 01:28:55.336000,2019-04-28 13:08:55.583,2,10.0,False,,False,True,19.4,52.6,1013.7,False,37.9,214,1.2
