Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:58.318000,NOR,4,0 days 00:01:23.435000,1.0,1.0,,,,0 days 00:00:41.100000,0 days 00:00:17.509000,,0 days 00:34:05.457000,0 days 00:34:22.969000,301.0,237.0,310.0,237.0,False,SOFT,1.0,True,McLaren,0 days 00:32:59.284000,2019-11-17 17:13:00.100,1,12.0,False,,False,False,20.6,62.1,925.1,False,48.1,116,2.0
0 days 00:34:58.137000,NOR,4,0 days 00:01:16.013000,2.0,1.0,,,0 days 00:00:19.741000,0 days 00:00:39.019000,0 days 00:00:17.253000,0 days 00:34:42.666000,0 days 00:35:21.685000,0 days 00:35:38.938000,311.0,251.0,313.0,287.0,True,SOFT,2.0,True,McLaren,0 days 00:34:22.913000,2019-11-17 17:14:23.729,1,12.0,False,,False,True,20.5,62.9,925.0,False,48.1,162,1.1
0 days 00:35:58.149000,NOR,4,0 days 00:01:15.159000,3.0,1.0,,,0 days 00:00:19.191000,0 days 00:00:39.046000,0 days 00:00:16.922000,0 days 00:35:58.129000,0 days 00:36:37.175000,0 days 00:36:54.097000,320.0,249.0,330.0,296.0,True,SOFT,3.0,True,McLaren,0 days 00:35:38.926000,2019-11-17 17:15:39.742,1,12.0,False,,False,True,20.4,62.9,925.1,False,48.0,104,1.3
0 days 00:36:58.142000,NOR,4,0 days 00:01:14.984000,4.0,1.0,,,0 days 00:00:18.941000,0 days 00:00:39.183000,0 days 00:00:16.860000,0 days 00:37:13.038000,0 days 00:37:52.221000,0 days 00:38:09.081000,323.0,248.0,331.0,310.0,True,SOFT,4.0,True,McLaren,0 days 00:36:54.085000,2019-11-17 17:16:54.901,1,12.0,False,,False,True,20.7,61.9,925.1,False,48.8,210,0.5
0 days 00:38:58.167000,NOR,4,0 days 00:01:15.333000,5.0,1.0,,,0 days 00:00:19.241000,0 days 00:00:39.028000,,0 days 00:40:30.348000,0 days 00:40:22.712000,,320.0,248.0,,319.0,False,SOFT,5.0,True,McLaren,0 days 00:38:09.069000,2019-11-17 17:18:09.885,1,11.0,False,,False,False,21.0,60.9,925.0,False,49.4,205,1.5
0 days 00:39:58.195000,NOR,4,0 days 00:01:15.306000,6.0,1.0,,,,,0 days 00:00:17.037000,,,0 days 00:40:39.865000,,,306.0,,False,SOFT,6.0,True,McLaren,0 days 00:39:24.402000,2019-11-17 17:19:25.218,1,11.0,False,,False,False,21.1,60.4,925.0,False,49.6,149,1.2
0 days 00:40:58.203000,NOR,4,0 days 00:01:15.385000,7.0,1.0,,,0 days 00:00:19.198000,0 days 00:00:38.943000,0 days 00:00:17.244000,0 days 00:40:58.918000,0 days 00:41:37.861000,0 days 00:41:55.105000,306.0,244.0,306.0,306.0,False,SOFT,7.0,True,McLaren,0 days 00:40:39.708000,2019-11-17 17:20:40.524,1,11.0,False,,False,True,21.1,59.8,925.1,False,49.6,98,1.3
0 days 00:41:58.204000,NOR,4,0 days 00:01:14.775000,8.0,1.0,,,0 days 00:00:19.080000,0 days 00:00:38.727000,0 days 00:00:16.968000,0 days 00:42:14.185000,0 days 00:42:52.912000,0 days 00:43:09.880000,,251.0,324.0,305.0,True,SOFT,8.0,True,McLaren,0 days 00:41:55.093000,2019-11-17 17:21:55.909,2,11.0,False,,False,True,20.9,60.5,925.1,False,48.9,131,1.2
0 days 00:43:58.484000,NOR,4,0 days 00:01:15.082000,9.0,1.0,,,0 days 00:00:18.971000,0 days 00:00:39.131000,0 days 00:00:16.980000,0 days 00:43:28.851000,0 days 00:44:07.982000,0 days 00:44:24.962000,320.0,251.0,323.0,317.0,False,SOFT,9.0,True,McLaren,0 days 00:43:09.868000,2019-11-17 17:23:10.684,1,11.0,False,,False,True,21.2,60.3,924.9,False,49.5,148,1.5
0 days 00:44:58.223000,NOR,4,0 days 00:01:15.059000,10.0,1.0,,,0 days 00:00:19.077000,0 days 00:00:39.009000,0 days 00:00:16.973000,0 days 00:44:44.039000,0 days 00:45:23.048000,0 days 00:45:40.021000,321.0,249.0,325.0,315.0,False,SOFT,10.0,True,McLaren,0 days 00:44:24.950000,2019-11-17 17:24:25.766,1,11.0,False,,False,True,21.2,60.1,925.0,False,48.5,0,1.2
