Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:23.527000,PER,11,0 days 00:01:42.803000,1.0,1.0,,,,0 days 00:00:40.198000,0 days 00:00:26.451000,,0 days 00:34:25.225000,0 days 00:34:51.823000,280.0,256.0,245.0,319.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:08.644000,2019-07-14 13:13:08.911,1,14.0,False,,False,False,18.9,64.6,1006.4,False,32.5,31,2.6
0 days 00:35:23.569000,PER,11,0 days 00:01:34.738000,2.0,1.0,,,0 days 00:00:29.739000,0 days 00:00:38.840000,0 days 00:00:26.159000,0 days 00:35:21.383000,0 days 00:36:00.223000,0 days 00:36:26.382000,296.0,257.0,247.0,320.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:51.694000,2019-07-14 13:14:51.961,1,14.0,False,,False,True,19.0,64.1,1006.4,False,32.1,279,1.4
0 days 00:37:23.595000,PER,11,0 days 00:01:33.173000,3.0,1.0,,,0 days 00:00:29.318000,0 days 00:00:38.235000,0 days 00:00:25.620000,0 days 00:36:55.700000,0 days 00:37:33.935000,0 days 00:37:59.555000,310.0,259.0,246.0,315.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:26.432000,2019-07-14 13:16:26.699,1,13.0,False,,False,True,19.1,62.3,1006.3,False,31.7,60,1.3
0 days 00:38:23.608000,PER,11,0 days 00:01:33.194000,4.0,1.0,,,0 days 00:00:29.282000,0 days 00:00:37.878000,0 days 00:00:26.034000,0 days 00:38:28.837000,0 days 00:39:06.715000,0 days 00:39:32.749000,308.0,260.0,243.0,333.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:37:59.605000,2019-07-14 13:17:59.872,1,13.0,False,,False,True,19.0,62.3,1006.3,False,31.7,73,0.9
0 days 00:40:23.633000,PER,11,0 days 00:01:32.748000,5.0,1.0,,,0 days 00:00:29.228000,0 days 00:00:38.081000,0 days 00:00:25.439000,0 days 00:40:01.977000,0 days 00:40:40.058000,0 days 00:41:05.497000,317.0,258.0,243.0,334.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:39:32.799000,2019-07-14 13:19:33.066,1,12.0,False,,False,True,19.0,60.4,1006.3,False,31.5,31,3.1
0 days 00:41:23.646000,PER,11,0 days 00:01:33.465000,6.0,1.0,,,0 days 00:00:29.660000,0 days 00:00:37.914000,0 days 00:00:25.891000,0 days 00:41:35.157000,0 days 00:42:13.071000,0 days 00:42:38.962000,288.0,256.0,244.0,296.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:41:05.547000,2019-07-14 13:21:05.814,1,12.0,False,,False,True,19.0,59.7,1006.3,False,31.3,48,1.9
0 days 00:43:23.673000,PER,11,0 days 00:01:33.256000,7.0,1.0,,,0 days 00:00:29.659000,0 days 00:00:37.688000,0 days 00:00:25.909000,0 days 00:43:08.621000,0 days 00:43:46.309000,0 days 00:44:12.218000,287.0,256.0,245.0,297.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:42:39.012000,2019-07-14 13:22:39.279,1,12.0,False,,False,True,18.8,61.1,1006.3,False,30.9,30,1.9
0 days 00:44:23.686000,PER,11,0 days 00:01:33.063000,8.0,1.0,,,0 days 00:00:29.445000,0 days 00:00:37.673000,0 days 00:00:25.945000,0 days 00:44:41.663000,0 days 00:45:19.336000,0 days 00:45:45.281000,291.0,254.0,244.0,301.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:44:12.268000,2019-07-14 13:24:12.535,1,12.0,False,,False,True,18.7,61.6,1006.2,False,31.1,51,2.6
0 days 00:46:23.712000,PER,11,0 days 00:01:33.021000,9.0,1.0,,,0 days 00:00:29.483000,0 days 00:00:37.758000,0 days 00:00:25.780000,0 days 00:46:14.764000,0 days 00:46:52.522000,0 days 00:47:18.302000,289.0,256.0,246.0,298.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:45:45.331000,2019-07-14 13:25:45.598,1,12.0,False,,False,True,18.7,61.1,1006.3,False,31.3,24,1.7
0 days 00:47:23.725000,PER,11,0 days 00:01:32.661000,10.0,1.0,,,0 days 00:00:29.249000,0 days 00:00:37.740000,0 days 00:00:25.672000,0 days 00:47:47.551000,0 days 00:48:25.291000,0 days 00:48:50.963000,288.0,256.0,246.0,298.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:47:18.352000,2019-07-14 13:27:18.619,1,12.0,False,,False,True,18.6,60.5,1006.4,False,31.3,23,1.5
0 days 00:49:23.751000,PER,11,0 days 00:01:32.580000,11.0,1.0,,,0 days 00:00:29.281000,0 days 00:00:37.645000,0 days 00:00:25.654000,0 days 00:49:20.244000,0 days 00:49:57.889000,0 days 00:50:23.543000,291.0,257.0,244.0,302.0,True,MEDIUM,11.0,True,Racing Point,0 days 00:48:51.013000,2019-07-14 13:28:51.280,1,12.0,False,,False,True,18.8,59.4,1006.3,False,30.9,45,1.1
0 days 00:50:23.764000,PER,11,0 days 00:01:32.669000,12.0,1.0,,,0 days 00:00:29.506000,0 days 00:00:37.608000,0 days 00:00:25.555000,0 days 00:50:53.049000,0 days 00:51:30.657000,0 days 00:51:56.212000,289.0,255.0,246.0,300.0,False,MEDIUM,12.0,True,Racing Point,0 days 00:50:23.593000,2019-07-14 13:30:23.860,1,12.0,False,,False,True,19.0,59.0,1006.3,False,31.2,45,1.5
0 days 00:52:23.790000,PER,11,0 days 00:01:33.023000,13.0,1.0,,,0 days 00:00:29.262000,0 days 00:00:38.261000,0 days 00:00:25.500000,0 days 00:52:25.474000,0 days 00:53:03.735000,0 days 00:53:29.235000,,255.0,247.0,319.0,False,MEDIUM,13.0,True,Racing Point,0 days 00:51:56.262000,2019-07-14 13:31:56.529,1,11.0,False,,False,True,18.6,59.9,1006.3,False,31.8,36,2.0
