Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:11.359000,MAG,20,0 days 00:01:38.531000,1.0,1.0,0 days 00:33:18.385000,0 days 00:31:40.710000,,0 days 00:00:27.888000,0 days 00:00:31.883000,,0 days 00:34:10.917000,0 days 00:34:42.904000,249.0,278.0,277.0,304.0,False,HARD,1.0,True,Haas F1 Team,0 days 00:33:04.006000,2019-06-09 18:13:04.084,2,19.0,False,,False,False,28.7,16.0,1022.2,False,52.2,222,1.8
0 days 00:35:11.712000,MAG,20,0 days 00:01:18.822000,2.0,1.0,,,0 days 00:00:21.889000,0 days 00:00:25.303000,0 days 00:00:31.630000,0 days 00:35:04.682000,0 days 00:35:29.985000,0 days 00:36:01.615000,252.0,280.0,279.0,308.0,True,HARD,2.0,True,Haas F1 Team,0 days 00:34:42.780000,2019-06-09 18:14:42.858,1,19.0,False,,False,True,28.5,15.7,1022.2,False,51.7,242,1.3
0 days 00:36:11.657000,MAG,20,0 days 00:01:19.954000,3.0,1.0,,,0 days 00:00:22.317000,0 days 00:00:25.662000,0 days 00:00:31.975000,0 days 00:36:23.932000,0 days 00:36:49.594000,0 days 00:37:21.569000,,282.0,292.0,330.0,False,HARD,3.0,True,Haas F1 Team,0 days 00:36:01.602000,2019-06-09 18:16:01.680,1,18.0,False,,False,True,28.5,17.0,1022.2,False,51.9,168,1.1
0 days 00:38:12.115000,MAG,20,0 days 00:01:19.595000,4.0,1.0,,,0 days 00:00:22.487000,0 days 00:00:25.440000,0 days 00:00:31.668000,0 days 00:37:44.056000,0 days 00:38:09.496000,0 days 00:38:41.164000,247.0,275.0,279.0,304.0,False,HARD,4.0,True,Haas F1 Team,0 days 00:37:21.556000,2019-06-09 18:17:21.634,1,17.0,False,,False,True,28.7,16.6,1022.2,False,52.2,348,1.4
0 days 00:39:12.152000,MAG,20,0 days 00:01:19.323000,5.0,1.0,,,0 days 00:00:22.031000,0 days 00:00:25.504000,0 days 00:00:31.788000,0 days 00:39:03.195000,0 days 00:39:28.699000,0 days 00:40:00.487000,251.0,278.0,278.0,306.0,False,HARD,5.0,True,Haas F1 Team,0 days 00:38:41.151000,2019-06-09 18:18:41.229,1,17.0,False,,False,True,28.9,18.4,1022.2,False,51.9,281,1.1
0 days 00:40:11.987000,MAG,20,0 days 00:01:19.684000,6.0,1.0,,,0 days 00:00:22.254000,0 days 00:00:25.482000,0 days 00:00:31.948000,0 days 00:40:22.741000,0 days 00:40:48.223000,0 days 00:41:20.171000,252.0,279.0,279.0,309.0,False,HARD,6.0,True,Haas F1 Team,0 days 00:40:00.474000,2019-06-09 18:20:00.552,1,16.0,False,,False,True,29.0,17.6,1022.2,False,51.9,153,1.6
0 days 00:42:11.787000,MAG,20,0 days 00:01:19.489000,7.0,1.0,,,0 days 00:00:22.245000,0 days 00:00:25.777000,0 days 00:00:31.467000,0 days 00:41:42.416000,0 days 00:42:08.193000,0 days 00:42:39.660000,253.0,281.0,289.0,324.0,False,HARD,7.0,True,Haas F1 Team,0 days 00:41:20.158000,2019-06-09 18:21:20.236,1,16.0,False,,False,True,29.1,17.6,1022.2,False,51.4,112,0.4
0 days 00:43:11.488000,MAG,20,0 days 00:01:20.178000,8.0,1.0,,,0 days 00:00:22.831000,0 days 00:00:25.893000,0 days 00:00:31.454000,0 days 00:43:02.491000,0 days 00:43:28.384000,0 days 00:43:59.838000,244.0,282.0,283.0,326.0,False,HARD,8.0,True,Haas F1 Team,0 days 00:42:39.647000,2019-06-09 18:22:39.725,1,15.0,False,,False,True,29.2,17.2,1022.2,False,51.4,298,0.9
0 days 00:44:11.500000,MAG,20,0 days 00:01:19.478000,9.0,1.0,,,0 days 00:00:22.277000,0 days 00:00:25.488000,0 days 00:00:31.713000,0 days 00:44:22.115000,0 days 00:44:47.603000,0 days 00:45:19.316000,249.0,277.0,278.0,303.0,False,HARD,9.0,True,Haas F1 Team,0 days 00:43:59.825000,2019-06-09 18:23:59.903,2,14.0,False,,False,True,29.2,17.4,1022.3,False,51.4,130,1.4
0 days 00:46:11.532000,MAG,20,0 days 00:01:20.206000,10.0,1.0,,,0 days 00:00:22.439000,0 days 00:00:25.563000,0 days 00:00:32.204000,0 days 00:45:41.755000,0 days 00:46:07.318000,0 days 00:46:39.522000,248.0,275.0,282.0,303.0,False,HARD,10.0,True,Haas F1 Team,0 days 00:45:19.303000,2019-06-09 18:25:19.381,2,15.0,False,,False,True,29.1,16.4,1022.2,False,51.2,325,1.2
