Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:18.846000,GIO,99,0 days 00:01:49.520000,1.0,1.0,,,,0 days 00:00:30.704000,0 days 00:00:44.142000,,0 days 00:34:30.679000,0 days 00:35:14.940000,106.0,280.0,290.0,317.0,False,SOFT,4.0,False,Alfa Romeo Racing,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,9.0,False,,False,False,26.4,41.4,966.7,False,55.9,120,1.8
0 days 00:35:18.854000,GIO,99,0 days 00:01:39.841000,2.0,1.0,,,0 days 00:00:25.683000,0 days 00:00:30.312000,0 days 00:00:43.846000,0 days 00:35:40.392000,0 days 00:36:10.704000,0 days 00:36:54.550000,113.0,277.0,286.0,312.0,True,SOFT,5.0,False,Alfa Romeo Racing,0 days 00:35:14.728000,2019-06-23 13:15:14.934,1,9.0,False,,False,True,26.4,41.4,966.7,False,56.1,93,1.8
0 days 00:37:18.879000,GIO,99,0 days 00:01:38.812000,3.0,1.0,,,0 days 00:00:25.407000,0 days 00:00:29.739000,0 days 00:00:43.666000,0 days 00:37:19.957000,0 days 00:37:49.696000,0 days 00:38:33.362000,112.0,278.0,299.0,330.0,True,SOFT,6.0,False,Alfa Romeo Racing,0 days 00:36:54.569000,2019-06-23 13:16:54.775,1,9.0,False,,False,True,26.3,41.8,966.7,False,57.0,77,2.1
0 days 00:39:18.904000,GIO,99,0 days 00:01:38.813000,4.0,1.0,,,0 days 00:00:25.217000,0 days 00:00:29.818000,0 days 00:00:43.778000,0 days 00:38:58.579000,0 days 00:39:28.397000,0 days 00:40:12.175000,110.0,276.0,288.0,330.0,False,SOFT,7.0,False,Alfa Romeo Racing,0 days 00:38:33.381000,2019-06-23 13:18:33.587,1,9.0,False,,False,True,26.7,40.4,966.8,False,56.6,83,1.1
0 days 00:40:18.915000,GIO,99,0 days 00:01:39.185000,5.0,1.0,,,0 days 00:00:25.024000,0 days 00:00:30.480000,0 days 00:00:43.681000,0 days 00:40:37.199000,0 days 00:41:07.679000,0 days 00:41:51.360000,109.0,276.0,288.0,303.0,False,SOFT,8.0,False,Alfa Romeo Racing,0 days 00:40:12.194000,2019-06-23 13:20:12.400,1,9.0,False,,False,True,26.8,40.2,966.7,False,56.6,151,1.5
0 days 00:42:18.979000,GIO,99,0 days 00:01:40.184000,6.0,1.0,,,0 days 00:00:24.993000,0 days 00:00:30.758000,0 days 00:00:44.433000,0 days 00:42:16.353000,0 days 00:42:47.111000,0 days 00:43:31.544000,,275.0,299.0,311.0,False,SOFT,9.0,False,Alfa Romeo Racing,0 days 00:41:51.379000,2019-06-23 13:21:51.585,1,11.0,False,,False,True,26.7,41.4,966.7,False,56.4,48,2.1
0 days 00:44:18.962000,GIO,99,0 days 00:02:00,7.0,1.0,,0 days 00:45:05.997000,0 days 00:00:25.213000,0 days 00:00:30.758000,0 days 00:01:04.029000,0 days 00:43:56.757000,0 days 00:44:27.515000,0 days 00:45:31.544000,108.0,276.0,,303.0,False,SOFT,10.0,False,Alfa Romeo Racing,0 days 00:43:31.563000,2019-06-23 13:23:31.769,1,20.0,False,,False,False,27.0,41.1,966.7,False,56.6,176,1.4
0 days 00:46:18.984000,GIO,99,0 days 00:01:42.348000,8.0,2.0,0 days 00:45:32.322000,,0 days 00:00:28.719000,0 days 00:00:30.190000,0 days 00:00:43.439000,0 days 00:46:00.263000,0 days 00:46:30.453000,0 days 00:47:13.892000,105.0,273.0,275.0,298.0,False,HARD,1.0,True,Alfa Romeo Racing,0 days 00:45:31.563000,2019-06-23 13:25:31.769,1,20.0,False,,False,False,27.5,39.9,966.7,False,56.2,18,0.6
0 days 00:47:18.996000,GIO,99,0 days 00:01:38.642000,9.0,2.0,,,0 days 00:00:24.981000,0 days 00:00:30.043000,0 days 00:00:43.618000,0 days 00:47:38.873000,0 days 00:48:08.916000,0 days 00:48:52.534000,114.0,273.0,283.0,296.0,True,HARD,2.0,True,Alfa Romeo Racing,0 days 00:47:13.911000,2019-06-23 13:27:14.117,1,20.0,False,,False,True,27.8,39.0,966.7,False,57.2,164,0.9
0 days 00:49:19.020000,GIO,99,0 days 00:01:38.224000,10.0,2.0,,,0 days 00:00:24.827000,0 days 00:00:30.052000,0 days 00:00:43.345000,0 days 00:49:17.361000,0 days 00:49:47.413000,0 days 00:50:30.758000,115.0,273.0,283.0,297.0,True,HARD,3.0,True,Alfa Romeo Racing,0 days 00:48:52.553000,2019-06-23 13:28:52.759,1,20.0,False,,False,True,27.7,37.9,966.7,False,55.4,132,1.8
