Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:40:38.644000,RUS,63,0 days 00:01:57.600000,1.0,1.0,,,,0 days 00:00:48.691000,0 days 00:00:35.692000,,0 days 00:41:20.860000,0 days 00:41:56.665000,134.0,211.0,238.0,249.0,False,WET,1.0,True,Williams,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,18.0,False,,False,False,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:42:38.676000,RUS,63,0 days 00:01:50.416000,2.0,1.0,,,0 days 00:00:23.817000,0 days 00:00:46.604000,0 days 00:00:39.995000,0 days 00:42:20.347000,0 days 00:43:06.951000,0 days 00:43:46.946000,153.0,214.0,212.0,299.0,True,WET,2.0,True,Williams,0 days 00:41:56.530000,2019-07-28 13:21:56.692,4,18.0,False,,False,False,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:44:38.697000,RUS,63,0 days 00:01:57.115000,3.0,1.0,,,0 days 00:00:28.359000,0 days 00:00:51.555000,0 days 00:00:37.201000,0 days 00:44:15.305000,0 days 00:45:06.860000,0 days 00:45:44.061000,141.0,208.0,231.0,198.0,False,WET,3.0,True,Williams,0 days 00:43:46.946000,2019-07-28 13:23:47.108,4,15.0,False,,False,False,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:46:38.725000,RUS,63,0 days 00:02:05.436000,4.0,1.0,,,0 days 00:00:26.625000,0 days 00:00:56.604000,0 days 00:00:42.207000,0 days 00:46:10.686000,0 days 00:47:07.290000,0 days 00:47:49.497000,126.0,124.0,243.0,142.0,False,WET,4.0,True,Williams,0 days 00:45:44.061000,2019-07-28 13:25:44.223,4,9.0,False,,False,False,21.2,88.3,991.4,True,26.1,117,1.0
0 days 00:48:38.753000,RUS,63,0 days 00:01:42.779000,5.0,1.0,,,0 days 00:00:23.030000,0 days 00:00:46.712000,0 days 00:00:33.037000,0 days 00:48:12.527000,0 days 00:48:59.239000,0 days 00:49:32.276000,166.0,225.0,243.0,297.0,True,WET,5.0,True,Williams,0 days 00:47:49.497000,2019-07-28 13:27:49.659,1,12.0,False,,False,False,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:49:38.765000,RUS,63,0 days 00:01:41.173000,6.0,1.0,,,0 days 00:00:22.621000,0 days 00:00:45.595000,0 days 00:00:32.957000,0 days 00:49:54.897000,0 days 00:50:40.492000,0 days 00:51:13.449000,150.0,227.0,244.0,280.0,True,WET,6.0,True,Williams,0 days 00:49:32.276000,2019-07-28 13:29:32.438,1,14.0,False,,False,True,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:51:38.799000,RUS,63,0 days 00:01:45.319000,7.0,1.0,,0 days 00:52:56.331000,0 days 00:00:22.948000,0 days 00:00:45.618000,0 days 00:00:36.753000,0 days 00:51:36.397000,0 days 00:52:22.015000,0 days 00:52:58.768000,160.0,224.0,,287.0,False,WET,7.0,True,Williams,0 days 00:51:13.449000,2019-07-28 13:31:13.611,1,17.0,False,,False,False,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:53:38.825000,RUS,63,0 days 00:01:48.750000,8.0,2.0,0 days 00:53:17.052000,,0 days 00:00:36.190000,0 days 00:00:42.579000,0 days 00:00:29.981000,0 days 00:53:34.958000,0 days 00:54:17.537000,0 days 00:54:47.518000,186.0,234.0,247.0,288.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:52:58.768000,2019-07-28 13:32:58.930,1,18.0,False,,False,False,21.7,87.0,991.4,True,26.2,3,0.6
0 days 00:55:38.852000,RUS,63,0 days 00:01:33.528000,9.0,2.0,,,0 days 00:00:21.136000,0 days 00:00:42.210000,0 days 00:00:30.182000,0 days 00:55:08.654000,0 days 00:55:50.864000,0 days 00:56:21.046000,183.0,234.0,247.0,292.0,True,INTERMEDIATE,2.0,True,Williams,0 days 00:54:47.518000,2019-07-28 13:34:47.680,1,18.0,False,,False,True,21.6,88.3,991.5,True,26.3,0,0.4
0 days 00:56:38.867000,RUS,63,0 days 00:01:32.489000,10.0,2.0,,,0 days 00:00:20.799000,0 days 00:00:42.112000,0 days 00:00:29.578000,0 days 00:56:41.845000,0 days 00:57:23.957000,0 days 00:57:53.535000,182.0,234.0,247.0,296.0,True,INTERMEDIATE,3.0,True,Williams,0 days 00:56:21.046000,2019-07-28 13:36:21.208,1,18.0,False,,False,True,21.6,87.5,991.5,True,26.4,2,0.4
