Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:31.669000,SAI,55,0 days 00:01:31.966000,1.0,1.0,,,,0 days 00:00:32.580000,0 days 00:00:23.959000,,0 days 00:33:57.432000,0 days 00:34:21.511000,245.0,237.0,250.0,273.0,False,SOFT,4.0,False,McLaren,0 days 00:32:49.099000,2019-08-04 13:12:49.128,1,6.0,False,,False,False,25.9,35.7,986.6,False,44.0,267,1.3
0 days 00:34:31.696000,SAI,55,0 days 00:01:24.830000,2.0,1.0,,,0 days 00:00:30.066000,0 days 00:00:30.873000,0 days 00:00:23.891000,0 days 00:34:51.387000,0 days 00:35:22.260000,0 days 00:35:46.151000,280.0,235.0,247.0,292.0,True,SOFT,5.0,False,McLaren,0 days 00:34:21.266000,2019-08-04 13:14:21.295,2,6.0,False,,False,True,25.9,36.1,986.6,False,43.2,353,1.6
0 days 00:36:31.885000,SAI,55,0 days 00:01:24.682000,3.0,1.0,,,0 days 00:00:30.006000,0 days 00:00:30.690000,0 days 00:00:23.986000,0 days 00:36:16.157000,0 days 00:36:46.847000,0 days 00:37:10.833000,278.0,233.0,247.0,289.0,True,SOFT,6.0,False,McLaren,0 days 00:35:46.096000,2019-08-04 13:15:46.125,1,6.0,False,,False,True,26.1,34.7,986.6,False,42.3,276,0.5
0 days 00:37:32.041000,SAI,55,0 days 00:01:24.665000,4.0,1.0,,,0 days 00:00:29.955000,0 days 00:00:30.667000,0 days 00:00:24.043000,0 days 00:37:40.788000,0 days 00:38:11.455000,0 days 00:38:35.498000,,235.0,247.0,291.0,True,SOFT,7.0,False,McLaren,0 days 00:37:10.778000,2019-08-04 13:17:10.807,1,6.0,False,,False,True,26.0,34.5,986.6,False,41.8,152,1.1
0 days 00:39:31.784000,SAI,55,0 days 00:01:24.488000,5.0,1.0,,,0 days 00:00:29.944000,0 days 00:00:30.624000,0 days 00:00:23.920000,0 days 00:39:05.442000,0 days 00:39:36.066000,0 days 00:39:59.986000,277.0,234.0,246.0,288.0,True,SOFT,8.0,False,McLaren,0 days 00:38:35.443000,2019-08-04 13:18:35.472,1,5.0,False,,False,True,25.6,35.8,986.6,False,41.3,130,0.9
0 days 00:40:31.812000,SAI,55,0 days 00:01:23.920000,6.0,1.0,,,0 days 00:00:29.804000,0 days 00:00:30.278000,0 days 00:00:23.838000,0 days 00:40:29.790000,0 days 00:41:00.068000,0 days 00:41:23.906000,275.0,235.0,246.0,285.0,True,SOFT,9.0,False,McLaren,0 days 00:39:59.931000,2019-08-04 13:19:59.960,1,5.0,False,,False,True,25.5,35.8,986.5,False,40.9,271,0.8
0 days 00:41:31.780000,SAI,55,0 days 00:01:23.798000,7.0,1.0,,,0 days 00:00:29.894000,0 days 00:00:30.145000,0 days 00:00:23.759000,0 days 00:41:53.800000,0 days 00:42:23.945000,0 days 00:42:47.704000,273.0,234.0,247.0,,True,SOFT,10.0,False,McLaren,0 days 00:41:23.851000,2019-08-04 13:21:23.880,1,5.0,False,,False,True,25.4,36.0,986.6,False,40.7,257,0.8
0 days 00:43:31.805000,SAI,55,0 days 00:01:23.627000,8.0,1.0,,,0 days 00:00:29.756000,0 days 00:00:30.173000,0 days 00:00:23.698000,0 days 00:43:17.460000,0 days 00:43:47.633000,0 days 00:44:11.331000,274.0,236.0,247.0,,True,SOFT,11.0,False,McLaren,0 days 00:42:47.649000,2019-08-04 13:22:47.678,1,5.0,False,,False,True,25.2,36.5,986.5,False,39.6,177,1.7
0 days 00:44:31.818000,SAI,55,0 days 00:01:23.636000,9.0,1.0,,,0 days 00:00:29.731000,0 days 00:00:30.176000,0 days 00:00:23.729000,0 days 00:44:41.062000,0 days 00:45:11.238000,0 days 00:45:34.967000,,236.0,247.0,,False,SOFT,12.0,False,McLaren,0 days 00:44:11.276000,2019-08-04 13:24:11.305,1,5.0,False,,False,True,25.0,37.0,986.6,False,39.4,240,0.8
0 days 00:46:31.846000,SAI,55,0 days 00:01:23.511000,10.0,1.0,,,0 days 00:00:29.638000,0 days 00:00:30.193000,0 days 00:00:23.680000,0 days 00:46:04.605000,0 days 00:46:34.798000,0 days 00:46:58.478000,,236.0,247.0,286.0,True,SOFT,13.0,False,McLaren,0 days 00:45:34.912000,2019-08-04 13:25:34.941,1,5.0,False,,False,True,24.9,37.5,986.6,False,38.9,0,0.4
