Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.827000,PER,11,0 days 00:01:47.707000,1.0,1.0,,,,0 days 00:00:36.006000,0 days 00:00:37.479000,,0 days 00:34:12.576000,0 days 00:34:49.273000,253.0,280.0,159.0,306.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:01.144000,2019-10-27 19:13:01.464,6,11.0,False,,False,False,22.6,46.8,781.0,False,41.0,93,3.1
0 days 00:35:33.201000,PER,11,0 days 00:01:44.995000,2.0,1.0,,,0 days 00:00:38.009000,0 days 00:00:41.135000,0 days 00:00:25.851000,0 days 00:35:27.026000,0 days 00:36:08.161000,0 days 00:36:34.012000,223.0,189.0,241.0,250.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:49.030000,2019-10-27 19:14:49.350,67,11.0,False,,False,False,22.7,46.6,781.0,False,41.6,122,1.1
0 days 00:37:43.879000,PER,11,0 days 00:01:24.598000,3.0,1.0,,,0 days 00:00:29.557000,0 days 00:00:33.533000,0 days 00:00:21.508000,0 days 00:37:03.569000,0 days 00:37:37.102000,0 days 00:37:58.610000,274.0,289.0,246.0,335.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:34.025000,2019-10-27 19:16:34.345,7,11.0,False,,False,False,22.9,46.2,780.9,False,42.2,94,2.2
0 days 00:38:45.881000,PER,11,0 days 00:01:23.493000,4.0,1.0,,,0 days 00:00:28.715000,0 days 00:00:33.148000,0 days 00:00:21.630000,0 days 00:38:27.325000,0 days 00:39:00.473000,0 days 00:39:22.103000,273.0,289.0,246.0,355.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:37:58.623000,2019-10-27 19:17:58.943,1,11.0,False,,False,True,23.1,46.5,781.0,False,42.9,124,3.0
0 days 00:39:40.565000,PER,11,0 days 00:01:23.884000,5.0,1.0,,,0 days 00:00:28.638000,0 days 00:00:33.666000,0 days 00:00:21.580000,0 days 00:39:50.741000,0 days 00:40:24.407000,0 days 00:40:45.987000,274.0,281.0,244.0,359.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:39:22.116000,2019-10-27 19:19:22.436,2,9.0,False,,False,True,23.2,45.4,780.9,False,42.9,78,1.8
0 days 00:41:33.202000,PER,11,0 days 00:01:23.042000,6.0,1.0,,,0 days 00:00:29.146000,0 days 00:00:32.449000,0 days 00:00:21.447000,0 days 00:41:15.133000,0 days 00:41:47.582000,0 days 00:42:09.029000,291.0,280.0,241.0,333.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:40:46,2019-10-27 19:20:46.320,1,9.0,False,,False,True,23.5,45.2,780.9,False,43.5,41,1.8
0 days 00:42:33.286000,PER,11,0 days 00:01:22.994000,7.0,1.0,,,0 days 00:00:29.017000,0 days 00:00:32.359000,0 days 00:00:21.618000,0 days 00:42:38.046000,0 days 00:43:10.405000,0 days 00:43:32.023000,294.0,282.0,244.0,,True,MEDIUM,7.0,True,Racing Point,0 days 00:42:09.042000,2019-10-27 19:22:09.362,1,9.0,False,,False,True,23.3,45.9,780.9,False,43.5,113,1.1
0 days 00:43:33.406000,PER,11,0 days 00:01:23.162000,8.0,1.0,,,0 days 00:00:28.752000,0 days 00:00:32.692000,0 days 00:00:21.718000,0 days 00:44:00.775000,0 days 00:44:33.467000,0 days 00:44:55.185000,277.0,289.0,243.0,356.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:43:32.036000,2019-10-27 19:23:32.356,1,9.0,False,,False,True,23.3,45.2,780.8,False,43.2,54,1.1
0 days 00:45:33.199000,PER,11,0 days 00:01:24.019000,9.0,1.0,,,0 days 00:00:28.914000,0 days 00:00:33.184000,0 days 00:00:21.921000,0 days 00:45:24.099000,0 days 00:45:57.283000,0 days 00:46:19.204000,266.0,289.0,244.0,357.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:44:55.198000,2019-10-27 19:24:55.518,1,9.0,False,,False,True,23.4,44.7,780.7,False,43.7,204,2.0
0 days 00:46:33.352000,PER,11,0 days 00:01:23.026000,10.0,1.0,,,0 days 00:00:28.726000,0 days 00:00:32.738000,0 days 00:00:21.562000,0 days 00:46:47.930000,0 days 00:47:20.668000,0 days 00:47:42.230000,283.0,282.0,243.0,356.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:46:19.217000,2019-10-27 19:26:19.537,1,8.0,False,,False,True,23.3,46.0,780.7,False,43.7,163,1.2
0 days 00:48:33.221000,PER,11,0 days 00:01:22.699000,11.0,1.0,,,0 days 00:00:28.985000,0 days 00:00:32.310000,0 days 00:00:21.404000,0 days 00:48:11.215000,0 days 00:48:43.525000,0 days 00:49:04.929000,290.0,282.0,244.0,333.0,True,MEDIUM,11.0,True,Racing Point,0 days 00:47:42.243000,2019-10-27 19:27:42.563,1,8.0,False,,False,True,23.4,45.6,780.7,False,44.7,164,1.1
