Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:00.825000,GIO,99,0 days 00:01:37.837000,1.0,1.0,,,,0 days 00:00:42.764000,0 days 00:00:22.698000,,0 days 00:34:00.965000,0 days 00:34:23.697000,160.0,173.0,260.0,278.0,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,19.0,False,,False,False,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:35:00.855000,GIO,99,0 days 00:01:21.966000,2.0,1.0,,,0 days 00:00:21.830000,0 days 00:00:38.260000,0 days 00:00:21.876000,0 days 00:34:45.358000,0 days 00:35:23.618000,0 days 00:35:45.494000,183.0,179.0,262.0,290.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:34:23.552000,2019-05-26 13:14:24.012,1,19.0,False,,False,True,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:36:00.866000,GIO,99,0 days 00:01:20.322000,3.0,1.0,,,0 days 00:00:21.535000,0 days 00:00:37.382000,0 days 00:00:21.405000,0 days 00:36:07.029000,0 days 00:36:44.411000,0 days 00:37:05.816000,192.0,186.0,269.0,286.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 00:35:45.518000,2019-05-26 13:15:45.978,1,19.0,False,,False,True,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:38:00.899000,GIO,99,0 days 00:01:19.883000,4.0,1.0,,,0 days 00:00:21.294000,0 days 00:00:37.315000,0 days 00:00:21.274000,0 days 00:37:27.110000,0 days 00:38:04.425000,0 days 00:38:25.699000,186.0,179.0,268.0,287.0,True,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:37:05.840000,2019-05-26 13:17:06.300,1,19.0,False,,False,True,22.3,52.8,1011.0,True,34.0,358,0.5
0 days 00:39:01.015000,GIO,99,0 days 00:01:20.972000,5.0,1.0,,,0 days 00:00:21.341000,0 days 00:00:37.704000,0 days 00:00:21.927000,0 days 00:38:47.040000,0 days 00:39:24.744000,0 days 00:39:46.671000,180.0,173.0,259.0,263.0,False,SOFT,5.0,True,Alfa Romeo Racing,0 days 00:38:25.723000,2019-05-26 13:18:26.183,1,19.0,False,,False,True,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:40:00.926000,GIO,99,0 days 00:01:18.481000,6.0,1.0,,,0 days 00:00:20.590000,0 days 00:00:36.482000,0 days 00:00:21.409000,0 days 00:40:07.261000,0 days 00:40:43.743000,0 days 00:41:05.152000,190.0,186.0,266.0,285.0,True,SOFT,6.0,True,Alfa Romeo Racing,0 days 00:39:46.695000,2019-05-26 13:19:47.155,2,19.0,False,,False,True,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:42:00.953000,GIO,99,0 days 00:01:20.276000,7.0,1.0,,,0 days 00:00:21.596000,0 days 00:00:37.634000,0 days 00:00:21.046000,0 days 00:41:26.748000,0 days 00:42:04.382000,0 days 00:42:25.428000,182.0,185.0,266.0,275.0,False,SOFT,7.0,True,Alfa Romeo Racing,0 days 00:41:05.176000,2019-05-26 13:21:05.636,1,19.0,False,,False,True,22.9,51.7,1011.1,True,34.3,195,0.7
0 days 00:43:00.969000,GIO,99,0 days 00:01:19.968000,8.0,1.0,,,0 days 00:00:20.923000,0 days 00:00:37.320000,0 days 00:00:21.725000,0 days 00:42:46.351000,0 days 00:43:23.671000,0 days 00:43:45.396000,185.0,184.0,266.0,276.0,False,SOFT,8.0,True,Alfa Romeo Racing,0 days 00:42:25.452000,2019-05-26 13:22:25.912,2,19.0,False,,False,True,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:44:00.983000,GIO,99,0 days 00:01:23.078000,9.0,1.0,,,0 days 00:00:21.139000,0 days 00:00:40.078000,0 days 00:00:21.861000,0 days 00:44:06.535000,0 days 00:44:46.613000,0 days 00:45:08.474000,159.0,179.0,267.0,271.0,False,SOFT,9.0,True,Alfa Romeo Racing,0 days 00:43:45.420000,2019-05-26 13:23:45.880,2,17.0,False,,False,True,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:46:01.014000,GIO,99,0 days 00:01:29.751000,10.0,1.0,,,0 days 00:00:21.553000,0 days 00:00:37.978000,0 days 00:00:30.220000,0 days 00:45:30.027000,0 days 00:46:08.005000,0 days 00:46:38.225000,179.0,177.0,176.0,283.0,False,SOFT,10.0,True,Alfa Romeo Racing,0 days 00:45:08.498000,2019-05-26 13:25:08.958,24,17.0,False,,False,False,22.6,52.4,1010.9,True,34.0,72,0.4
