Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:11.676000,GRO,8,0 days 00:02:03.877000,1.0,1.0,,,,0 days 00:00:46.820000,0 days 00:00:39.500000,,0 days 00:35:05.105000,0 days 00:35:44.994000,253.0,264.0,242.0,234.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,17.0,False,,False,False,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:36:11.732000,GRO,8,0 days 00:01:52.223000,2.0,1.0,,,0 days 00:00:30.132000,0 days 00:00:43.181000,0 days 00:00:38.910000,0 days 00:36:14.679000,0 days 00:36:57.860000,0 days 00:37:36.770000,277.0,261.0,243.0,291.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:44.537000,2019-09-22 12:15:45.505,1,16.0,False,,False,True,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:38:11.617000,GRO,8,0 days 00:01:51.898000,3.0,1.0,,,0 days 00:00:30.290000,0 days 00:00:43.806000,0 days 00:00:37.802000,0 days 00:38:07.060000,0 days 00:38:50.866000,0 days 00:39:28.668000,286.0,267.0,245.0,277.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:37:36.760000,2019-09-22 12:17:37.728,1,16.0,False,,False,True,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:40:11.626000,GRO,8,0 days 00:01:50.719000,4.0,1.0,,,0 days 00:00:29.951000,0 days 00:00:43.075000,0 days 00:00:37.693000,0 days 00:39:58.619000,0 days 00:40:41.694000,0 days 00:41:19.387000,284.0,265.0,245.0,286.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:39:28.658000,2019-09-22 12:19:29.626,1,16.0,False,,False,True,30.2,63.4,1010.7,False,36.9,138,2.7
0 days 00:42:11.621000,GRO,8,0 days 00:01:49.688000,5.0,1.0,,,0 days 00:00:29.956000,0 days 00:00:42.421000,0 days 00:00:37.311000,0 days 00:41:49.343000,0 days 00:42:31.764000,0 days 00:43:09.075000,274.0,265.0,242.0,279.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:41:19.377000,2019-09-22 12:21:20.345,1,16.0,False,,False,True,30.3,64.2,1010.7,False,36.5,157,2.0
0 days 00:43:11.633000,GRO,8,0 days 00:01:50.008000,6.0,1.0,,,0 days 00:00:29.864000,0 days 00:00:42.614000,0 days 00:00:37.530000,0 days 00:43:38.939000,0 days 00:44:21.553000,0 days 00:44:59.083000,273.0,263.0,244.0,283.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:43:09.065000,2019-09-22 12:23:10.033,1,16.0,False,,False,True,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:45:11.643000,GRO,8,0 days 00:01:49.918000,7.0,1.0,,,0 days 00:00:29.618000,0 days 00:00:42.660000,0 days 00:00:37.640000,0 days 00:45:28.701000,0 days 00:46:11.361000,0 days 00:46:49.001000,280.0,252.0,245.0,280.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:44:59.073000,2019-09-22 12:25:00.041,1,16.0,False,,False,True,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:47:11.621000,GRO,8,0 days 00:01:49.644000,8.0,1.0,,,0 days 00:00:29.647000,0 days 00:00:42.684000,0 days 00:00:37.313000,0 days 00:47:18.648000,0 days 00:48:01.332000,0 days 00:48:38.645000,275.0,256.0,243.0,269.0,True,MEDIUM,8.0,True,Haas F1 Team,0 days 00:46:48.991000,2019-09-22 12:26:49.959,1,16.0,False,,False,True,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:49:11.631000,GRO,8,0 days 00:01:49.706000,9.0,1.0,,,0 days 00:00:29.790000,0 days 00:00:42.374000,0 days 00:00:37.542000,0 days 00:49:08.435000,0 days 00:49:50.809000,0 days 00:50:28.351000,281.0,261.0,243.0,271.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:48:38.635000,2019-09-22 12:28:39.603,1,16.0,False,,False,True,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:51:11.641000,GRO,8,0 days 00:01:50.288000,10.0,1.0,,,0 days 00:00:29.736000,0 days 00:00:42.691000,0 days 00:00:37.861000,0 days 00:50:58.087000,0 days 00:51:40.778000,0 days 00:52:18.639000,280.0,261.0,243.0,277.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:50:28.341000,2019-09-22 12:30:29.309,1,16.0,False,,False,True,30.1,66.1,1010.8,False,35.8,183,1.7
