Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:24.307000,HAM,44,0 days 00:01:43.228000,1.0,1.0,,,,0 days 00:00:40.929000,0 days 00:00:33.420000,,0 days 00:34:33.611000,0 days 00:35:07.162000,195.0,182.0,204.0,299.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,3.0,False,,False,False,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:35:24.311000,HAM,44,0 days 00:01:41.043000,2.0,1.0,,,0 days 00:00:27.423000,0 days 00:00:40.384000,0 days 00:00:33.236000,0 days 00:35:34.416000,0 days 00:36:14.800000,0 days 00:36:48.036000,213.0,182.0,205.0,292.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:35:07.005000,2019-11-03 19:15:07.721,1,3.0,False,,False,True,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:37:24.313000,HAM,44,0 days 00:01:41.259000,3.0,1.0,,,0 days 00:00:27.354000,0 days 00:00:40.440000,0 days 00:00:33.465000,0 days 00:37:15.390000,0 days 00:37:55.830000,0 days 00:38:29.295000,208.0,182.0,204.0,295.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:36:48.048000,2019-11-03 19:16:48.764,1,3.0,False,,False,True,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:39:24.325000,HAM,44,0 days 00:01:41.231000,4.0,1.0,,,0 days 00:00:27.366000,0 days 00:00:40.593000,0 days 00:00:33.272000,0 days 00:38:56.661000,0 days 00:39:37.254000,0 days 00:40:10.526000,205.0,183.0,204.0,289.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:38:29.307000,2019-11-03 19:18:30.023,1,3.0,False,,False,True,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:40:24.346000,HAM,44,0 days 00:01:40.861000,5.0,1.0,,,0 days 00:00:27.281000,0 days 00:00:40.362000,0 days 00:00:33.218000,0 days 00:40:37.807000,0 days 00:41:18.169000,0 days 00:41:51.387000,211.0,185.0,204.0,293.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:40:10.538000,2019-11-03 19:20:11.254,1,3.0,False,,False,True,21.1,24.8,1001.8,False,29.0,268,1.6
0 days 00:42:24.362000,HAM,44,0 days 00:01:40.945000,6.0,1.0,,,0 days 00:00:27.284000,0 days 00:00:40.327000,0 days 00:00:33.334000,0 days 00:42:18.671000,0 days 00:42:58.998000,0 days 00:43:32.332000,214.0,182.0,203.0,296.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:41:51.399000,2019-11-03 19:21:52.115,1,3.0,False,,False,True,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:44:24.402000,HAM,44,0 days 00:01:41.368000,7.0,1.0,,,0 days 00:00:27.421000,0 days 00:00:40.442000,0 days 00:00:33.505000,0 days 00:43:59.753000,0 days 00:44:40.195000,0 days 00:45:13.700000,,182.0,205.0,295.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:43:32.344000,2019-11-03 19:23:33.060,1,3.0,False,,False,True,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:45:24.420000,HAM,44,0 days 00:01:41.367000,8.0,1.0,,,0 days 00:00:27.354000,0 days 00:00:40.530000,0 days 00:00:33.483000,0 days 00:45:41.054000,0 days 00:46:21.584000,0 days 00:46:55.067000,209.0,184.0,204.0,293.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:45:13.712000,2019-11-03 19:25:14.428,2,3.0,False,,False,True,21.8,23.9,1001.8,False,29.5,0,2.6
0 days 00:47:24.449000,HAM,44,0 days 00:01:41.614000,9.0,1.0,,,0 days 00:00:27.258000,0 days 00:00:40.840000,0 days 00:00:33.516000,0 days 00:47:22.325000,0 days 00:48:03.165000,0 days 00:48:36.681000,,182.0,201.0,293.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:46:55.079000,2019-11-03 19:26:55.795,2,3.0,False,,False,True,21.7,23.2,1001.7,False,29.3,125,2.9
0 days 00:49:24.435000,HAM,44,0 days 00:01:41.321000,10.0,1.0,,,0 days 00:00:27.289000,0 days 00:00:40.631000,0 days 00:00:33.401000,0 days 00:49:03.970000,0 days 00:49:44.601000,0 days 00:50:18.002000,212.0,183.0,203.0,291.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:48:36.693000,2019-11-03 19:28:37.409,1,3.0,False,,False,True,21.4,24.3,1001.8,False,29.3,269,3.2
0 days 00:50:24.433000,HAM,44,0 days 00:01:41.761000,11.0,1.0,,,0 days 00:00:27.327000,0 days 00:00:40.937000,0 days 00:00:33.497000,0 days 00:50:45.329000,0 days 00:51:26.266000,0 days 00:51:59.763000,208.0,184.0,204.0,294.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:50:18.014000,2019-11-03 19:30:18.730,1,3.0,False,,False,True,21.4,24.3,1001.6,False,29.1,181,1.9
0 days 00:52:24.436000,HAM,44,0 days 00:01:41.578000,12.0,1.0,,,0 days 00:00:27.236000,0 days 00:00:40.722000,0 days 00:00:33.620000,0 days 00:52:26.999000,0 days 00:53:07.721000,0 days 00:53:41.341000,211.0,181.0,206.0,317.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:51:59.775000,2019-11-03 19:32:00.491,1,3.0,False,,False,True,21.2,24.6,1001.6,False,29.1,111,2.0
0 days 00:54:24.627000,HAM,44,0 days 00:01:41.424000,13.0,1.0,,,0 days 00:00:27.162000,0 days 00:00:40.837000,0 days 00:00:33.425000,0 days 00:54:08.503000,0 days 00:54:49.340000,0 days 00:55:22.765000,207.0,184.0,205.0,310.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:53:41.353000,2019-11-03 19:33:42.069,1,3.0,False,,False,True,21.4,25.5,1001.5,False,29.3,359,2.5
0 days 00:55:24.650000,HAM,44,0 days 00:01:40.350000,14.0,1.0,,,0 days 00:00:26.961000,0 days 00:00:40.441000,0 days 00:00:32.948000,0 days 00:55:49.726000,0 days 00:56:30.167000,0 days 00:57:03.115000,212.0,184.0,205.0,289.0,True,MEDIUM,17.0,False,Mercedes,0 days 00:55:22.777000,2019-11-03 19:35:23.493,1,2.0,False,,False,True,21.6,25.1,1001.5,False,29.4,149,1.9
0 days 00:57:24.436000,HAM,44,0 days 00:01:40.647000,15.0,1.0,,,0 days 00:00:27.118000,0 days 00:00:40.357000,0 days 00:00:33.172000,0 days 00:57:30.233000,0 days 00:58:10.590000,0 days 00:58:43.762000,214.0,185.0,204.0,293.0,False,MEDIUM,18.0,False,Mercedes,0 days 00:57:03.127000,2019-11-03 19:37:03.843,1,1.0,False,,False,True,21.7,25.2,1001.5,False,29.4,188,2.3
0 days 00:59:24.435000,HAM,44,0 days 00:01:41.193000,16.0,1.0,,,0 days 00:00:27.346000,0 days 00:00:40.462000,0 days 00:00:33.385000,0 days 00:59:11.108000,0 days 00:59:51.570000,0 days 01:00:24.955000,208.0,186.0,204.0,295.0,False,MEDIUM,19.0,False,Mercedes,0 days 00:58:43.774000,2019-11-03 19:38:44.490,1,1.0,False,,False,True,21.8,26.1,1001.5,False,29.4,337,2.8
0 days 01:01:24.454000,HAM,44,0 days 00:01:41.183000,17.0,1.0,,,0 days 00:00:27.288000,0 days 00:00:40.610000,0 days 00:00:33.285000,0 days 01:00:52.243000,0 days 01:01:32.853000,0 days 01:02:06.138000,,184.0,205.0,295.0,False,MEDIUM,20.0,False,Mercedes,0 days 01:00:24.967000,2019-11-03 19:40:25.683,1,1.0,False,,False,True,21.6,27.7,1001.5,False,29.2,151,3.2
0 days 01:02:24.452000,HAM,44,0 days 00:01:40.863000,18.0,1.0,,,0 days 00:00:27.271000,0 days 00:00:40.460000,0 days 00:00:33.132000,0 days 01:02:33.409000,0 days 01:03:13.869000,0 days 01:03:47.001000,214.0,184.0,205.0,293.0,False,MEDIUM,21.0,False,Mercedes,0 days 01:02:06.150000,2019-11-03 19:42:06.866,1,1.0,False,,False,True,21.5,28.0,1001.4,False,29.1,199,1.2
0 days 01:04:24.448000,HAM,44,0 days 00:01:40.986000,19.0,1.0,,,0 days 00:00:27.329000,0 days 00:00:40.378000,0 days 00:00:33.279000,0 days 01:04:14.330000,0 days 01:04:54.708000,0 days 01:05:27.987000,206.0,183.0,204.0,310.0,False,MEDIUM,22.0,False,Mercedes,0 days 01:03:47.013000,2019-11-03 19:43:47.729,1,1.0,False,,False,True,21.7,28.4,1001.2,False,29.3,157,2.3
0 days 01:06:24.464000,HAM,44,0 days 00:01:41.899000,20.0,1.0,,,0 days 00:00:27.260000,0 days 00:00:41.274000,0 days 00:00:33.365000,0 days 01:05:55.247000,0 days 01:06:36.521000,0 days 01:07:09.886000,210.0,184.0,206.0,290.0,False,MEDIUM,23.0,False,Mercedes,0 days 01:05:27.999000,2019-11-03 19:45:28.715,1,1.0,False,,False,True,21.8,28.0,1001.3,False,29.5,74,1.8
0 days 01:07:24.476000,HAM,44,0 days 00:01:41.446000,21.0,1.0,,,0 days 00:00:27.187000,0 days 00:00:40.778000,0 days 00:00:33.481000,0 days 01:07:37.073000,0 days 01:08:17.851000,0 days 01:08:51.332000,207.0,183.0,205.0,293.0,False,MEDIUM,24.0,False,Mercedes,0 days 01:07:09.898000,2019-11-03 19:47:10.614,1,1.0,False,,False,True,21.9,28.1,1001.4,False,29.5,0,1.0
0 days 01:09:24.488000,HAM,44,0 days 00:01:41.898000,22.0,1.0,,,0 days 00:00:27.714000,0 days 00:00:40.811000,0 days 00:00:33.373000,0 days 01:09:19.046000,0 days 01:09:59.857000,0 days 01:10:33.230000,210.0,184.0,203.0,291.0,False,MEDIUM,25.0,False,Mercedes,0 days 01:08:51.344000,2019-11-03 19:48:52.060,1,1.0,False,,False,True,21.9,29.3,1001.3,False,29.2,153,2.5
0 days 01:11:24.514000,HAM,44,0 days 00:01:41.616000,23.0,1.0,,,0 days 00:00:27.317000,0 days 00:00:40.673000,0 days 00:00:33.626000,0 days 01:11:00.547000,0 days 01:11:41.220000,0 days 01:12:14.846000,208.0,184.0,205.0,295.0,False,MEDIUM,26.0,False,Mercedes,0 days 01:10:33.242000,2019-11-03 19:50:33.958,1,1.0,False,,False,True,21.8,29.7,1001.2,False,29.3,238,2.3
0 days 01:12:24.525000,HAM,44,0 days 00:01:43.383000,24.0,1.0,,0 days 01:13:57.286000,0 days 00:00:27.478000,0 days 00:00:41.649000,0 days 00:00:34.256000,0 days 01:12:42.324000,0 days 01:13:23.973000,0 days 01:13:58.229000,205.0,182.0,,298.0,False,MEDIUM,27.0,False,Mercedes,0 days 01:12:14.858000,2019-11-03 19:52:15.574,1,2.0,False,,False,False,21.8,30.3,1001.3,False,29.3,264,3.7
0 days 01:14:24.525000,HAM,44,0 days 00:01:59.288000,25.0,2.0,0 days 01:14:21.341000,,0 days 00:00:48.023000,0 days 00:00:39.331000,0 days 00:00:31.934000,0 days 01:14:46.252000,0 days 01:15:25.583000,0 days 01:15:57.517000,211.0,189.0,209.0,317.0,False,HARD,1.0,True,Mercedes,0 days 01:13:58.241000,2019-11-03 19:53:58.957,1,3.0,False,,False,False,22.0,30.2,1001.2,False,29.3,214,1.7
0 days 01:16:24.559000,HAM,44,0 days 00:01:38.446000,26.0,2.0,,,0 days 00:00:26.682000,0 days 00:00:39.572000,0 days 00:00:32.192000,0 days 01:16:24.199000,0 days 01:17:03.771000,0 days 01:17:35.963000,218.0,186.0,207.0,289.0,True,HARD,2.0,True,Mercedes,0 days 01:15:57.529000,2019-11-03 19:55:58.245,1,3.0,False,,False,True,21.6,30.6,1001.4,False,29.0,211,3.3
0 days 01:18:24.558000,HAM,44,0 days 00:01:38.998000,27.0,2.0,,,0 days 00:00:26.809000,0 days 00:00:39.759000,0 days 00:00:32.430000,0 days 01:18:02.772000,0 days 01:18:42.531000,0 days 01:19:14.961000,217.0,186.0,209.0,294.0,False,HARD,3.0,True,Mercedes,0 days 01:17:35.975000,2019-11-03 19:57:36.691,1,3.0,False,,False,True,21.4,31.1,1001.3,False,29.1,286,2.9
