Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:45.192000,PER,11,0 days 00:02:03.644000,1.0,1.0,,,,0 days 00:00:42.519000,0 days 00:00:31.607000,,0 days 00:34:58.589000,0 days 00:35:30.331000,221.0,264.0,202.0,235.0,False,WET,2.0,False,Racing Point,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,2.0,False,,False,False,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:35:45.184000,PER,11,0 days 00:01:56.790000,2.0,1.0,,,0 days 00:00:43.564000,0 days 00:00:41.802000,0 days 00:00:31.424000,0 days 00:36:13.721000,0 days 00:36:55.523000,0 days 00:37:26.947000,227.0,265.0,208.0,219.0,True,WET,3.0,False,Racing Point,0 days 00:35:30.164000,2020-11-15 10:15:30.666,2,2.0,False,,False,True,13.0,82.7,1008.6,False,15.7,207,1.2
0 days 00:37:45.197000,PER,11,0 days 00:01:55.002000,3.0,1.0,,,0 days 00:00:42.919000,0 days 00:00:40.927000,0 days 00:00:31.156000,0 days 00:38:09.866000,0 days 00:38:50.793000,0 days 00:39:21.949000,231.0,268.0,204.0,222.0,True,WET,4.0,False,Racing Point,0 days 00:37:26.954000,2020-11-15 10:17:27.456,1,2.0,False,,False,True,13.0,81.9,1008.7,False,15.7,283,1.5
0 days 00:39:45.224000,PER,11,0 days 00:01:54.339000,4.0,1.0,,,0 days 00:00:42.677000,0 days 00:00:40.795000,0 days 00:00:30.867000,0 days 00:40:04.626000,0 days 00:40:45.421000,0 days 00:41:16.288000,237.0,267.0,211.0,235.0,True,WET,5.0,False,Racing Point,0 days 00:39:21.956000,2020-11-15 10:19:22.458,1,2.0,False,,False,True,13.0,81.8,1008.6,False,15.6,0,1.1
0 days 00:41:45.201000,PER,11,0 days 00:01:53.215000,5.0,1.0,,,0 days 00:00:42.278000,0 days 00:00:40.326000,0 days 00:00:30.611000,0 days 00:41:58.566000,0 days 00:42:38.892000,0 days 00:43:09.503000,246.0,268.0,214.0,229.0,True,WET,6.0,False,Racing Point,0 days 00:41:16.295000,2020-11-15 10:21:16.797,1,2.0,False,,False,True,13.0,81.6,1008.6,False,15.6,233,1.1
0 days 00:43:45.201000,PER,11,0 days 00:01:53.030000,6.0,1.0,,,0 days 00:00:42.337000,0 days 00:00:40.008000,0 days 00:00:30.685000,0 days 00:43:51.840000,0 days 00:44:31.848000,0 days 00:45:02.533000,,268.0,214.0,239.0,True,WET,7.0,False,Racing Point,0 days 00:43:09.510000,2020-11-15 10:23:10.012,1,2.0,False,,False,True,13.0,81.3,1008.6,False,15.6,213,0.8
0 days 00:45:45.192000,PER,11,0 days 00:01:54.219000,7.0,1.0,,,0 days 00:00:42.474000,0 days 00:00:41.094000,0 days 00:00:30.651000,0 days 00:45:45.007000,0 days 00:46:26.101000,0 days 00:46:56.752000,245.0,268.0,206.0,237.0,False,WET,8.0,False,Racing Point,0 days 00:45:02.540000,2020-11-15 10:25:03.042,1,2.0,False,,False,True,13.1,81.6,1008.6,False,15.8,258,1.4
0 days 00:47:45.189000,PER,11,0 days 00:01:52.989000,8.0,1.0,,,0 days 00:00:42.541000,0 days 00:00:40.125000,0 days 00:00:30.323000,0 days 00:47:39.293000,0 days 00:48:19.418000,0 days 00:48:49.741000,238.0,270.0,216.0,234.0,True,WET,9.0,False,Racing Point,0 days 00:46:56.759000,2020-11-15 10:26:57.261,1,2.0,False,,False,True,13.2,81.8,1008.6,False,15.9,223,1.3
0 days 00:49:45.196000,PER,11,0 days 00:01:53.194000,9.0,1.0,,,0 days 00:00:42.757000,0 days 00:00:39.763000,0 days 00:00:30.674000,0 days 00:49:32.498000,0 days 00:50:12.261000,0 days 00:50:42.935000,246.0,269.0,212.0,228.0,False,WET,10.0,False,Racing Point,0 days 00:48:49.748000,2020-11-15 10:28:50.250,1,2.0,False,,False,True,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:50:45.196000,PER,11,0 days 00:01:52.914000,10.0,1.0,,0 days 00:52:35.326000,0 days 00:00:41.868000,0 days 00:00:39.784000,0 days 00:00:31.262000,0 days 00:51:24.803000,0 days 00:52:04.587000,0 days 00:52:35.849000,247.0,269.0,,229.0,False,WET,11.0,False,Racing Point,0 days 00:50:42.942000,2020-11-15 10:30:43.444,1,1.0,False,,False,False,13.2,81.9,1008.5,False,15.9,246,1.6
