Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:41.120000,LEC,16,0 days 00:02:17.783000,1.0,1.0,,,,0 days 00:00:58.728000,0 days 00:00:38.098000,,0 days 00:35:13.355000,0 days 00:35:51.526000,239.0,178.0,110.0,258.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,10.0,False,,False,False,30.4,46.0,1012.5,False,41.1,34,0.5
0 days 00:36:41.152000,LEC,16,,2.0,1.0,,,0 days 00:01:26.319000,0 days 00:00:54.085000,0 days 00:00:45.447000,0 days 00:37:17.752000,0 days 00:38:11.829000,0 days 00:38:57.364000,181.0,127.0,92.0,82.0,False,MEDIUM,2.0,True,Ferrari,0 days 00:35:51.461000,2020-09-27 11:15:51.515,4,8.0,False,,False,False,30.4,45.7,1012.6,False,40.7,46,0.0
0 days 00:39:41.173000,LEC,16,,3.0,1.0,,,0 days 00:01:10.359000,0 days 00:00:57.335000,0 days 00:00:43.678000,0 days 00:40:07.648000,0 days 00:41:04.990000,0 days 00:41:48.783000,159.0,155.0,124.0,86.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:38:57.284000,2020-09-27 11:18:57.338,4,8.0,False,,False,False,30.5,45.0,1012.7,False,40.5,11,0.7
0 days 00:42:41.173000,LEC,16,,4.0,1.0,,,0 days 00:01:10.467000,0 days 00:00:56.378000,0 days 00:00:45.911000,0 days 00:42:59.137000,0 days 00:43:55.512000,0 days 00:44:41.535000,198.0,111.0,108.0,98.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:41:48.669000,2020-09-27 11:21:48.723,4,8.0,False,,False,False,30.5,45.8,1012.8,False,40.3,0,0.5
0 days 00:45:41.194000,LEC,16,,5.0,1.0,,,0 days 00:01:04.687000,0 days 00:00:54.786000,0 days 00:00:49.281000,0 days 00:45:46.109000,0 days 00:46:40.880000,0 days 00:47:30.323000,146.0,122.0,160.0,139.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:44:41.431000,2020-09-27 11:24:41.485,4,8.0,False,,False,False,30.3,46.3,1012.8,False,39.9,135,0.8
0 days 00:47:41.196000,LEC,16,0 days 00:01:43.024000,6.0,1.0,,,0 days 00:00:36.738000,0 days 00:00:35.443000,0 days 00:00:30.843000,0 days 00:48:06.885000,0 days 00:48:42.328000,0 days 00:49:13.171000,248.0,303.0,156.0,288.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:47:30.155000,2020-09-27 11:27:30.209,1,8.0,False,,False,False,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:49:41.213000,LEC,16,0 days 00:01:42.482000,7.0,1.0,,,0 days 00:00:36.406000,0 days 00:00:35.633000,0 days 00:00:30.443000,0 days 00:49:49.577000,0 days 00:50:25.210000,0 days 00:50:55.653000,241.0,303.0,160.0,304.0,True,MEDIUM,7.0,True,Ferrari,0 days 00:49:13.179000,2020-09-27 11:29:13.233,1,8.0,False,,False,True,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:51:41.230000,LEC,16,0 days 00:01:42.477000,8.0,1.0,,,0 days 00:00:36.295000,0 days 00:00:35.671000,0 days 00:00:30.511000,0 days 00:51:31.948000,0 days 00:52:07.619000,0 days 00:52:38.130000,242.0,303.0,158.0,308.0,True,MEDIUM,8.0,True,Ferrari,0 days 00:50:55.661000,2020-09-27 11:30:55.715,1,8.0,False,,False,True,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:52:41.231000,LEC,16,0 days 00:01:42.189000,9.0,1.0,,,0 days 00:00:36.157000,0 days 00:00:35.755000,0 days 00:00:30.277000,0 days 00:53:14.287000,0 days 00:53:50.042000,0 days 00:54:20.319000,250.0,303.0,159.0,307.0,True,MEDIUM,9.0,True,Ferrari,0 days 00:52:38.138000,2020-09-27 11:32:38.192,1,8.0,False,,False,True,28.9,50.6,1012.9,False,40.2,252,2.1
0 days 00:54:41.242000,LEC,16,0 days 00:01:42.232000,10.0,1.0,,,0 days 00:00:36.235000,0 days 00:00:35.657000,0 days 00:00:30.340000,0 days 00:54:56.554000,0 days 00:55:32.211000,0 days 00:56:02.551000,246.0,302.0,156.0,306.0,False,MEDIUM,10.0,True,Ferrari,0 days 00:54:20.327000,2020-09-27 11:34:20.381,1,8.0,False,,False,True,28.9,49.5,1012.9,False,40.9,233,2.1
