Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:18.965000,STR,18,0 days 00:01:58.071000,1.0,1.0,,,,0 days 00:00:52.732000,0 days 00:00:29.909000,,0 days 00:35:10.137000,0 days 00:35:40.160000,334.0,197.0,209.0,290.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,8.0,False,,False,False,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:36:18.998000,STR,18,0 days 00:01:52.145000,2.0,1.0,,,0 days 00:00:31.574000,0 days 00:00:50.801000,0 days 00:00:29.770000,0 days 00:36:11.560000,0 days 00:37:02.361000,0 days 00:37:32.131000,322.0,192.0,219.0,316.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:39.991000,2020-08-30 13:15:40.055,1,7.0,False,,False,True,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:38:18.977000,STR,18,0 days 00:01:51.977000,3.0,1.0,,,0 days 00:00:31.404000,0 days 00:00:50.701000,0 days 00:00:29.872000,0 days 00:38:03.535000,0 days 00:38:54.236000,0 days 00:39:24.108000,337.0,194.0,218.0,313.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:32.136000,2020-08-30 13:17:32.200,1,7.0,False,,False,True,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:40:18.996000,STR,18,0 days 00:01:52.005000,4.0,1.0,,,0 days 00:00:31.641000,0 days 00:00:50.549000,0 days 00:00:29.815000,0 days 00:39:55.749000,0 days 00:40:46.298000,0 days 00:41:16.113000,318.0,193.0,219.0,311.0,False,SOFT,7.0,False,Racing Point,0 days 00:39:24.113000,2020-08-30 13:19:24.177,1,7.0,False,,False,True,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:41:18.989000,STR,18,0 days 00:01:51.696000,5.0,1.0,,,0 days 00:00:31.529000,0 days 00:00:50.290000,0 days 00:00:29.877000,0 days 00:41:47.642000,0 days 00:42:37.932000,0 days 00:43:07.809000,320.0,189.0,219.0,312.0,True,SOFT,8.0,False,Racing Point,0 days 00:41:16.118000,2020-08-30 13:21:16.182,1,7.0,False,,False,True,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:43:18.997000,STR,18,0 days 00:01:51.637000,6.0,1.0,,,0 days 00:00:31.659000,0 days 00:00:50.096000,0 days 00:00:29.882000,0 days 00:43:39.468000,0 days 00:44:29.564000,0 days 00:44:59.446000,332.0,195.0,217.0,311.0,True,SOFT,9.0,False,Racing Point,0 days 00:43:07.814000,2020-08-30 13:23:07.878,1,7.0,False,,False,True,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:45:19.017000,STR,18,0 days 00:01:51.826000,7.0,1.0,,,0 days 00:00:31.711000,0 days 00:00:50.177000,0 days 00:00:29.938000,0 days 00:45:31.157000,0 days 00:46:21.334000,0 days 00:46:51.272000,320.0,194.0,216.0,310.0,False,SOFT,10.0,False,Racing Point,0 days 00:44:59.451000,2020-08-30 13:24:59.515,1,7.0,True,TRACK LIMITS AT TURN 9,False,True,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:47:18.998000,STR,18,0 days 00:01:51.796000,8.0,1.0,,,0 days 00:00:31.675000,0 days 00:00:50.319000,0 days 00:00:29.802000,0 days 00:47:22.947000,0 days 00:48:13.266000,0 days 00:48:43.068000,328.0,194.0,218.0,311.0,False,SOFT,11.0,False,Racing Point,0 days 00:46:51.277000,2020-08-30 13:26:51.341,1,7.0,False,,False,True,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:49:19.026000,STR,18,0 days 00:01:51.503000,9.0,1.0,,,0 days 00:00:31.692000,0 days 00:00:50.060000,0 days 00:00:29.751000,0 days 00:49:14.760000,0 days 00:50:04.820000,0 days 00:50:34.571000,324.0,196.0,218.0,308.0,True,SOFT,12.0,False,Racing Point,0 days 00:48:43.073000,2020-08-30 13:28:43.137,1,7.0,False,,False,True,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:51:19.020000,STR,18,0 days 00:01:51.683000,10.0,1.0,,,0 days 00:00:31.839000,0 days 00:00:49.766000,0 days 00:00:30.078000,0 days 00:51:06.410000,0 days 00:51:56.176000,0 days 00:52:26.254000,311.0,192.0,205.0,,False,SOFT,13.0,False,Racing Point,0 days 00:50:34.576000,2020-08-30 13:30:34.640,24,7.0,False,,False,False,19.0,53.2,962.4,False,30.8,86,1.3
0 days 00:53:19.022000,STR,18,,11.0,1.0,,0 days 00:54:58.889000,0 days 00:00:51.631000,0 days 00:01:04.514000,0 days 00:00:40.203000,0 days 00:53:18.727000,0 days 00:54:22.417000,0 days 00:55:02.720000,243.0,169.0,,154.0,False,SOFT,14.0,False,Racing Point,0 days 00:52:26.259000,2020-08-30 13:32:26.323,4,8.0,False,,False,False,19.1,53.0,962.3,False,31.0,45,0.9
0 days 00:55:19.012000,STR,18,,12.0,2.0,0 days 00:55:22.591000,,0 days 00:00:54.029000,0 days 00:01:17.019000,0 days 00:00:44.322000,0 days 00:55:56.660000,0 days 00:57:13.676000,0 days 00:57:58.140000,249.0,170.0,208.0,213.0,False,HARD,1.0,True,Racing Point,0 days 00:55:02.625000,2020-08-30 13:35:02.689,4,9.0,False,,False,False,18.9,54.6,962.3,False,31.3,161,0.8
0 days 00:58:19.013000,STR,18,,13.0,2.0,,,0 days 00:00:44.361000,0 days 00:01:24.901000,0 days 00:00:49.286000,0 days 00:58:42.434000,0 days 01:00:07.247000,0 days 01:00:56.674000,277.0,106.0,206.0,242.0,False,HARD,2.0,True,Racing Point,0 days 00:57:58.003000,2020-08-30 13:37:58.067,4,9.0,False,,False,False,19.0,54.0,962.3,False,31.4,148,1.4
0 days 01:01:19.031000,STR,18,,14.0,2.0,,,0 days 00:00:46.269000,0 days 00:01:09.135000,0 days 00:00:43.582000,0 days 01:01:42.812000,0 days 01:02:51.949000,0 days 01:03:35.655000,271.0,177.0,219.0,259.0,False,HARD,3.0,True,Racing Point,0 days 01:00:56.538000,2020-08-30 13:40:56.602,4,9.0,False,,False,False,19.3,53.7,962.4,False,31.9,307,1.8
0 days 01:04:19.003000,STR,18,0 days 00:01:52.439000,15.0,2.0,,,0 days 00:00:31.390000,0 days 00:00:51.414000,0 days 00:00:29.635000,0 days 01:04:06.909000,0 days 01:04:58.323000,0 days 01:05:27.958000,334.0,197.0,213.0,317.0,False,HARD,4.0,True,Racing Point,0 days 01:03:35.524000,2020-08-30 13:43:35.588,1,9.0,False,,False,False,19.5,52.7,962.4,False,32.1,300,2.3
