Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:30.085000,KVY,26,0 days 00:01:42.608000,1.0,1.0,,,,0 days 00:00:40.319000,0 days 00:00:26.668000,,0 days 00:34:33.232000,0 days 00:34:59.959000,271.0,256.0,245.0,323.0,False,HARD,1.0,True,AlphaTauri,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,14.0,False,,False,False,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:35:30.084000,KVY,26,0 days 00:01:35.284000,2.0,1.0,,,0 days 00:00:29.621000,0 days 00:00:39.392000,0 days 00:00:26.271000,0 days 00:35:29.476000,0 days 00:36:08.868000,0 days 00:36:35.139000,300.0,258.0,248.0,325.0,True,HARD,2.0,True,AlphaTauri,0 days 00:34:59.865000,2020-08-09 13:14:59.911,1,14.0,False,,False,True,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:37:30.077000,KVY,26,0 days 00:01:35.300000,3.0,1.0,,,0 days 00:00:29.661000,0 days 00:00:39.796000,0 days 00:00:25.843000,0 days 00:37:04.800000,0 days 00:37:44.596000,0 days 00:38:10.439000,315.0,259.0,244.0,334.0,False,HARD,3.0,True,AlphaTauri,0 days 00:36:35.149000,2020-08-09 13:16:35.195,1,13.0,False,,False,True,24.9,59.9,1001.1,False,43.0,66,1.9
0 days 00:38:30.089000,KVY,26,0 days 00:01:33.918000,4.0,1.0,,,0 days 00:00:29.501000,0 days 00:00:38.319000,0 days 00:00:26.098000,0 days 00:38:39.940000,0 days 00:39:18.259000,0 days 00:39:44.357000,287.0,254.0,244.0,298.0,True,HARD,4.0,True,AlphaTauri,0 days 00:38:10.449000,2020-08-09 13:18:10.495,1,13.0,False,,False,True,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:40:30.107000,KVY,26,0 days 00:01:34.293000,5.0,1.0,,,0 days 00:00:29.589000,0 days 00:00:38.456000,0 days 00:00:26.248000,0 days 00:40:13.946000,0 days 00:40:52.402000,0 days 00:41:18.650000,288.0,255.0,245.0,297.0,False,HARD,5.0,True,AlphaTauri,0 days 00:39:44.367000,2020-08-09 13:19:44.413,1,13.0,False,,False,True,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:41:30.110000,KVY,26,0 days 00:01:34.254000,6.0,1.0,,,0 days 00:00:29.709000,0 days 00:00:38.389000,0 days 00:00:26.156000,0 days 00:41:48.359000,0 days 00:42:26.748000,0 days 00:42:52.904000,286.0,256.0,244.0,298.0,False,HARD,6.0,True,AlphaTauri,0 days 00:41:18.660000,2020-08-09 13:21:18.706,1,13.0,False,,False,True,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:43:30.119000,KVY,26,0 days 00:01:34.048000,7.0,1.0,,,0 days 00:00:29.629000,0 days 00:00:38.456000,0 days 00:00:25.963000,0 days 00:43:22.533000,0 days 00:44:00.989000,0 days 00:44:26.952000,,256.0,246.0,298.0,False,HARD,7.0,True,AlphaTauri,0 days 00:42:52.914000,2020-08-09 13:22:52.960,1,12.0,False,,False,True,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:44:30.103000,KVY,26,0 days 00:01:34.369000,8.0,1.0,,,0 days 00:00:29.639000,0 days 00:00:38.847000,0 days 00:00:25.883000,0 days 00:44:56.591000,0 days 00:45:35.438000,0 days 00:46:01.321000,288.0,257.0,246.0,305.0,False,HARD,8.0,True,AlphaTauri,0 days 00:44:26.962000,2020-08-09 13:24:27.008,1,11.0,False,,False,True,25.1,58.4,1001.0,False,43.1,285,3.0
0 days 00:46:30.154000,KVY,26,0 days 00:01:34.013000,9.0,1.0,,,0 days 00:00:29.641000,0 days 00:00:38.359000,0 days 00:00:26.013000,0 days 00:46:30.962000,0 days 00:47:09.321000,0 days 00:47:35.334000,,258.0,247.0,298.0,False,HARD,9.0,True,AlphaTauri,0 days 00:46:01.331000,2020-08-09 13:26:01.377,1,11.0,False,,False,True,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:48:30.119000,KVY,26,0 days 00:01:33.730000,10.0,1.0,,,0 days 00:00:29.526000,0 days 00:00:38.216000,0 days 00:00:25.988000,0 days 00:48:04.860000,0 days 00:48:43.076000,0 days 00:49:09.064000,289.0,257.0,246.0,300.0,True,HARD,10.0,True,AlphaTauri,0 days 00:47:35.344000,2020-08-09 13:27:35.390,1,11.0,False,,False,True,25.4,58.1,1000.9,False,43.8,354,1.9
0 days 00:49:30.130000,KVY,26,0 days 00:01:33.594000,11.0,1.0,,,0 days 00:00:29.495000,0 days 00:00:38.234000,0 days 00:00:25.865000,0 days 00:49:38.559000,0 days 00:50:16.793000,0 days 00:50:42.658000,,258.0,246.0,301.0,True,HARD,11.0,True,AlphaTauri,0 days 00:49:09.074000,2020-08-09 13:29:09.120,1,11.0,False,,False,True,25.5,58.5,1000.9,False,44.0,22,2.1
0 days 00:51:30.127000,KVY,26,0 days 00:01:33.394000,12.0,1.0,,,0 days 00:00:29.518000,0 days 00:00:38.131000,0 days 00:00:25.745000,0 days 00:51:12.176000,0 days 00:51:50.307000,0 days 00:52:16.052000,288.0,257.0,245.0,306.0,True,HARD,12.0,True,AlphaTauri,0 days 00:50:42.668000,2020-08-09 13:30:42.714,1,11.0,False,,False,True,25.7,57.2,1000.9,False,44.0,30,2.7
