Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:26.510000,VER,33,0 days 00:01:43.833000,1.0,1.0,,,,0 days 00:00:43.234000,0 days 00:00:40.388000,,0 days 00:34:32.321000,0 days 00:35:12.800000,281.0,282.0,218.0,292.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:33:28.601000,2020-12-13 13:13:28.798,1,1.0,False,,False,False,23.4,50.5,1015.6,False,29.6,242,1.9
0 days 00:35:26.525000,VER,33,0 days 00:01:42.292000,2.0,1.0,,,0 days 00:00:18.014000,0 days 00:00:43.728000,0 days 00:00:40.550000,0 days 00:35:30.632000,0 days 00:36:14.360000,0 days 00:36:54.910000,270.0,273.0,218.0,286.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:35:12.618000,2020-12-13 13:15:12.815,1,1.0,False,,False,True,23.4,50.7,1015.6,False,29.6,257,2.1
0 days 00:37:26.522000,VER,33,0 days 00:01:42.207000,3.0,1.0,,,0 days 00:00:17.980000,0 days 00:00:43.865000,0 days 00:00:40.362000,0 days 00:37:12.890000,0 days 00:37:56.755000,0 days 00:38:37.117000,,270.0,218.0,279.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:36:54.910000,2020-12-13 13:16:55.107,1,1.0,False,,False,True,23.4,51.0,1015.6,False,29.7,256,1.6
0 days 00:39:26.507000,VER,33,0 days 00:01:42.450000,4.0,1.0,,,0 days 00:00:18.028000,0 days 00:00:43.938000,0 days 00:00:40.484000,0 days 00:38:55.145000,0 days 00:39:39.083000,0 days 00:40:19.567000,265.0,268.0,217.0,277.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:38:37.117000,2020-12-13 13:18:37.314,1,1.0,False,,False,True,23.5,51.9,1015.5,False,29.5,244,3.4
0 days 00:40:26.498000,VER,33,0 days 00:01:42.652000,5.0,1.0,,,0 days 00:00:18.009000,0 days 00:00:44.044000,0 days 00:00:40.599000,0 days 00:40:37.576000,0 days 00:41:21.620000,0 days 00:42:02.219000,271.0,271.0,217.0,278.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:40:19.567000,2020-12-13 13:20:19.764,1,1.0,False,,False,True,23.6,51.9,1015.5,False,29.1,263,2.6
0 days 00:42:26.527000,VER,33,0 days 00:01:42.562000,6.0,1.0,,,0 days 00:00:18.013000,0 days 00:00:44.034000,0 days 00:00:40.515000,0 days 00:42:20.232000,0 days 00:43:04.266000,0 days 00:43:44.781000,267.0,268.0,217.0,277.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:42:02.219000,2020-12-13 13:22:02.416,1,1.0,False,,False,True,23.5,52.5,1015.6,False,28.9,276,2.5
0 days 00:44:26.523000,VER,33,0 days 00:01:42.651000,7.0,1.0,,,0 days 00:00:18.001000,0 days 00:00:44.043000,0 days 00:00:40.607000,0 days 00:44:02.782000,0 days 00:44:46.825000,0 days 00:45:27.432000,268.0,267.0,218.0,276.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:43:44.781000,2020-12-13 13:23:44.978,1,1.0,False,,False,True,23.5,52.8,1015.6,False,28.9,278,2.2
0 days 00:46:26.540000,VER,33,0 days 00:01:42.506000,8.0,1.0,,,0 days 00:00:17.992000,0 days 00:00:43.957000,0 days 00:00:40.557000,0 days 00:45:45.424000,0 days 00:46:29.381000,0 days 00:47:09.938000,271.0,271.0,218.0,278.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:45:27.432000,2020-12-13 13:25:27.629,1,1.0,False,,False,True,23.6,52.2,1015.5,False,28.3,252,2.8
0 days 00:47:26.532000,VER,33,0 days 00:01:42.461000,9.0,1.0,,,0 days 00:00:17.999000,0 days 00:00:44.046000,0 days 00:00:40.416000,0 days 00:47:27.937000,0 days 00:48:11.983000,0 days 00:48:52.399000,269.0,269.0,218.0,276.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:47:09.938000,2020-12-13 13:27:10.135,1,1.0,False,,False,True,23.7,51.5,1015.6,False,28.3,268,2.6
0 days 00:49:26.562000,VER,33,0 days 00:02:06.235000,10.0,1.0,,0 days 00:50:57.648000,0 days 00:00:17.952000,0 days 00:00:51.567000,0 days 00:00:56.716000,0 days 00:49:10.351000,0 days 00:50:01.918000,0 days 00:50:58.634000,266.0,229.0,,278.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:48:52.399000,2020-12-13 13:28:52.596,26,1.0,False,,False,False,23.7,51.4,1015.6,False,28.3,264,2.6
0 days 00:51:26.597000,VER,33,,11.0,2.0,0 days 00:51:18.898000,,0 days 00:00:41.409000,0 days 00:00:58.434000,0 days 00:00:57.008000,0 days 00:51:40.054000,0 days 00:52:38.494000,0 days 00:53:35.648000,158.0,139.0,188.0,256.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:50:58.634000,2020-12-13 13:30:58.831,64,1.0,False,,False,False,23.6,51.5,1015.6,False,28.2,271,3.0
0 days 00:54:26.614000,VER,33,,12.0,2.0,,,0 days 00:00:26.783000,0 days 00:01:08.276000,0 days 00:01:06.322000,0 days 00:54:02.306000,0 days 00:55:10.596000,0 days 00:56:16.995000,234.0,191.0,191.0,135.0,False,HARD,2.0,True,Red Bull Racing,0 days 00:53:35.496000,2020-12-13 13:33:35.693,4,1.0,False,,False,False,23.4,51.7,1015.7,False,27.9,242,2.1
