Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.435000,VER,33,0 days 00:01:31.365000,1.0,1.0,,,,0 days 00:00:30.603000,0 days 00:00:29.657000,,0 days 00:34:30.024000,0 days 00:34:59.772000,324.0,320.0,316.0,279.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,7.0,False,,False,False,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:35:33.425000,VER,33,0 days 00:01:26.762000,2.0,1.0,,,0 days 00:00:28.299000,0 days 00:00:29.903000,0 days 00:00:28.560000,0 days 00:35:27.892000,0 days 00:35:57.795000,0 days 00:36:26.355000,318.0,319.0,317.0,336.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:34:59.606000,2020-09-06 13:14:59.802,1,8.0,False,,False,True,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:36:33.427000,VER,33,0 days 00:01:25.744000,3.0,1.0,,,0 days 00:00:28.217000,0 days 00:00:29.210000,0 days 00:00:28.317000,0 days 00:36:54.572000,0 days 00:37:23.782000,0 days 00:37:52.099000,322.0,322.0,314.0,345.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:26.368000,2020-09-06 13:16:26.564,1,7.0,False,,False,True,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:38:33.428000,VER,33,0 days 00:01:25.862000,4.0,1.0,,,0 days 00:00:27.855000,0 days 00:00:29.461000,0 days 00:00:28.546000,0 days 00:38:19.954000,0 days 00:38:49.415000,0 days 00:39:17.961000,312.0,326.0,314.0,326.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:37:52.112000,2020-09-06 13:17:52.308,1,7.0,False,,False,True,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:39:33.429000,VER,33,0 days 00:01:25.962000,5.0,1.0,,,0 days 00:00:27.934000,0 days 00:00:29.472000,0 days 00:00:28.556000,0 days 00:39:45.895000,0 days 00:40:15.367000,0 days 00:40:43.923000,317.0,329.0,315.0,328.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:39:17.974000,2020-09-06 13:19:18.170,1,7.0,False,,False,True,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:41:33.431000,VER,33,0 days 00:01:26.589000,6.0,1.0,,,0 days 00:00:28.008000,0 days 00:00:29.619000,0 days 00:00:28.962000,0 days 00:41:11.931000,0 days 00:41:41.550000,0 days 00:42:10.512000,314.0,330.0,313.0,325.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:40:43.936000,2020-09-06 13:20:44.132,1,7.0,False,,False,True,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:42:33.432000,VER,33,0 days 00:01:26.095000,7.0,1.0,,,0 days 00:00:27.807000,0 days 00:00:29.497000,0 days 00:00:28.791000,0 days 00:42:38.319000,0 days 00:43:07.816000,0 days 00:43:36.607000,,332.0,314.0,330.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:42:10.525000,2020-09-06 13:22:10.721,1,7.0,False,,False,True,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:44:33.435000,VER,33,0 days 00:01:26.269000,8.0,1.0,,,0 days 00:00:27.889000,0 days 00:00:29.382000,0 days 00:00:28.998000,0 days 00:44:04.496000,0 days 00:44:33.878000,0 days 00:45:02.876000,313.0,328.0,315.0,324.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:43:36.620000,2020-09-06 13:23:36.816,2,7.0,False,,False,True,28.1,40.8,991.0,False,43.8,174,2.2
0 days 00:45:33.435000,VER,33,0 days 00:01:26.208000,9.0,1.0,,,0 days 00:00:27.938000,0 days 00:00:29.590000,0 days 00:00:28.680000,0 days 00:45:30.814000,0 days 00:46:00.404000,0 days 00:46:29.084000,318.0,326.0,313.0,329.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:45:02.889000,2020-09-06 13:25:03.085,1,7.0,False,,False,True,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:46:33.435000,VER,33,0 days 00:01:25.539000,10.0,1.0,,,0 days 00:00:27.704000,0 days 00:00:29.316000,0 days 00:00:28.519000,0 days 00:46:56.788000,0 days 00:47:26.104000,0 days 00:47:54.623000,315.0,329.0,313.0,333.0,True,SOFT,13.0,False,Red Bull Racing,0 days 00:46:29.097000,2020-09-06 13:26:29.293,1,7.0,False,,False,True,28.2,41.0,991.0,False,43.7,198,2.7
0 days 00:48:33.442000,VER,33,0 days 00:01:25.770000,11.0,1.0,,,0 days 00:00:27.905000,0 days 00:00:29.290000,0 days 00:00:28.575000,0 days 00:48:22.528000,0 days 00:48:51.818000,0 days 00:49:20.393000,313.0,328.0,316.0,325.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:47:54.636000,2020-09-06 13:27:54.832,1,7.0,False,,False,True,28.5,39.4,990.9,False,43.7,154,3.1
0 days 00:49:33.453000,VER,33,0 days 00:01:25.902000,12.0,1.0,,,0 days 00:00:27.614000,0 days 00:00:29.470000,0 days 00:00:28.818000,0 days 00:49:48.007000,0 days 00:50:17.477000,0 days 00:50:46.295000,317.0,333.0,314.0,340.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:49:20.406000,2020-09-06 13:29:20.602,1,7.0,False,,False,True,27.9,40.8,990.9,False,43.7,161,1.6
0 days 00:51:33.472000,VER,33,0 days 00:01:26.537000,13.0,1.0,,,0 days 00:00:27.860000,0 days 00:00:29.795000,0 days 00:00:28.882000,0 days 00:51:14.155000,0 days 00:51:43.950000,0 days 00:52:12.832000,318.0,328.0,315.0,334.0,False,SOFT,16.0,False,Red Bull Racing,0 days 00:50:46.308000,2020-09-06 13:30:46.504,1,7.0,False,,False,True,27.9,40.7,990.9,False,43.8,163,1.2
0 days 00:52:33.489000,VER,33,0 days 00:01:25.933000,14.0,1.0,,,0 days 00:00:27.701000,0 days 00:00:29.710000,0 days 00:00:28.522000,0 days 00:52:40.533000,0 days 00:53:10.243000,0 days 00:53:38.765000,321.0,328.0,316.0,332.0,False,SOFT,17.0,False,Red Bull Racing,0 days 00:52:12.845000,2020-09-06 13:32:13.041,1,7.0,False,,False,True,28.2,40.3,990.9,False,44.2,145,1.1
0 days 00:54:33.488000,VER,33,0 days 00:01:26.279000,15.0,1.0,,,0 days 00:00:27.922000,0 days 00:00:29.670000,0 days 00:00:28.687000,0 days 00:54:06.687000,0 days 00:54:36.357000,0 days 00:55:05.044000,320.0,328.0,317.0,322.0,False,SOFT,18.0,False,Red Bull Racing,0 days 00:53:38.778000,2020-09-06 13:33:38.974,1,7.0,False,,False,True,28.3,40.4,990.8,False,43.8,165,2.6
0 days 00:55:33.489000,VER,33,0 days 00:01:25.983000,16.0,1.0,,,0 days 00:00:27.735000,0 days 00:00:29.703000,0 days 00:00:28.545000,0 days 00:55:32.779000,0 days 00:56:02.482000,0 days 00:56:31.027000,323.0,328.0,316.0,330.0,False,SOFT,19.0,False,Red Bull Racing,0 days 00:55:05.057000,2020-09-06 13:35:05.253,1,7.0,False,,False,True,27.9,40.6,990.8,False,43.5,173,1.5
0 days 00:56:33.491000,VER,33,0 days 00:01:25.955000,17.0,1.0,,,0 days 00:00:27.803000,0 days 00:00:29.548000,0 days 00:00:28.604000,0 days 00:56:58.830000,0 days 00:57:28.378000,0 days 00:57:56.982000,318.0,325.0,315.0,323.0,False,SOFT,20.0,False,Red Bull Racing,0 days 00:56:31.040000,2020-09-06 13:36:31.236,1,7.0,False,,False,True,27.7,41.7,990.7,False,43.6,161,2.2
0 days 00:58:33.523000,VER,33,0 days 00:01:25.851000,18.0,1.0,,,0 days 00:00:27.826000,0 days 00:00:29.497000,0 days 00:00:28.528000,0 days 00:58:24.808000,0 days 00:58:54.305000,0 days 00:59:22.833000,319.0,326.0,315.0,333.0,False,SOFT,21.0,False,Red Bull Racing,0 days 00:57:56.995000,2020-09-06 13:37:57.191,1,7.0,False,,False,True,27.8,41.2,990.7,False,44.2,154,2.3
0 days 00:59:33.539000,VER,33,0 days 00:01:26.285000,19.0,1.0,,,0 days 00:00:27.875000,0 days 00:00:29.325000,0 days 00:00:29.085000,0 days 00:59:50.708000,0 days 01:00:20.033000,0 days 01:00:49.118000,318.0,323.0,301.0,327.0,False,SOFT,22.0,False,Red Bull Racing,0 days 00:59:22.846000,2020-09-06 13:39:23.042,2,7.0,False,,False,True,28.0,40.9,990.7,False,43.9,162,2.4
0 days 01:01:33.543000,VER,33,0 days 00:01:42.806000,20.0,1.0,,,0 days 00:00:28.041000,0 days 00:00:36.832000,0 days 00:00:37.933000,0 days 01:01:17.159000,0 days 01:01:53.991000,0 days 01:02:31.924000,315.0,168.0,201.0,339.0,False,SOFT,23.0,False,Red Bull Racing,0 days 01:00:49.131000,2020-09-06 13:40:49.327,24,7.0,False,,False,False,27.5,41.2,990.6,False,43.6,174,0.9
0 days 01:02:33.544000,VER,33,0 days 00:02:08.928000,21.0,1.0,,,0 days 00:00:37.454000,0 days 00:00:42.270000,0 days 00:00:49.204000,0 days 01:03:09.378000,0 days 01:03:51.648000,0 days 01:04:40.852000,173.0,205.0,116.0,250.0,False,SOFT,24.0,False,Red Bull Racing,0 days 01:02:31.937000,2020-09-06 13:42:32.133,4,7.0,False,,False,False,27.6,41.1,990.6,False,43.6,157,1.6
0 days 01:05:33.549000,VER,33,0 days 00:02:13.034000,22.0,1.0,,0 days 01:06:50.141000,0 days 00:00:38.884000,0 days 00:00:43.235000,0 days 00:00:50.915000,0 days 01:05:19.736000,0 days 01:06:02.971000,0 days 01:06:53.886000,171.0,220.0,,193.0,False,SOFT,25.0,False,Red Bull Racing,0 days 01:04:40.865000,2020-09-06 13:44:41.061,4,8.0,False,,False,False,27.8,40.6,990.6,False,43.9,167,2.0
0 days 01:07:33.579000,VER,33,0 days 00:02:05.006000,23.0,2.0,0 days 01:07:16.304000,,0 days 00:00:52.063000,0 days 00:00:31.966000,0 days 00:00:40.977000,0 days 01:07:45.949000,0 days 01:08:17.915000,0 days 01:08:58.892000,279.0,294.0,328.0,262.0,False,MEDIUM,1.0,False,Red Bull Racing,0 days 01:06:53.899000,2020-09-06 13:46:54.095,4,13.0,False,,False,False,27.7,41.4,990.6,False,43.9,173,1.0
0 days 01:09:33.580000,VER,33,0 days 00:01:27.525000,24.0,2.0,,,0 days 00:00:28.114000,0 days 00:00:30.542000,0 days 00:00:28.869000,0 days 01:09:27.006000,0 days 01:09:57.548000,0 days 01:10:26.417000,331.0,326.0,321.0,338.0,False,MEDIUM,2.0,False,Red Bull Racing,0 days 01:08:58.905000,2020-09-06 13:48:59.101,2,11.0,False,,False,False,28.4,39.9,990.6,False,43.7,216,1.4
0 days 01:10:33.581000,VER,33,0 days 00:02:00.818000,25.0,2.0,,,0 days 00:00:42.757000,0 days 00:00:40.256000,0 days 00:00:37.805000,0 days 01:11:09.174000,0 days 01:11:49.430000,0 days 01:12:27.235000,194.0,211.0,163.0,68.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:10:26.430000,2020-09-06 13:50:26.626,24,11.0,False,,False,False,28.5,40.2,990.6,False,43.9,161,1.3
0 days 01:12:33.582000,VER,33,,26.0,2.0,,0 days 01:15:08.713000,0 days 00:00:43.259000,0 days 00:00:52.731000,0 days 00:01:16.325000,0 days 01:13:10.559000,0 days 01:14:03.292000,0 days 01:15:19.756000,93.0,136.0,,227.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:12:27.248000,2020-09-06 13:52:27.444,45,11.0,False,,False,False,28.6,38.7,990.6,False,44.3,168,1.6
