Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:22.216000,NOR,4,0 days 00:01:34.458000,1.0,1.0,,,,0 days 00:00:32.792000,0 days 00:00:39.162000,,0 days 00:33:44.316000,0 days 00:34:23.634000,291.0,219.0,106.0,291.0,False,SOFT,1.0,True,McLaren,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,10.0,False,,False,False,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:35:22.220000,NOR,4,0 days 00:01:58.343000,2.0,1.0,,,0 days 00:00:23.836000,0 days 00:00:58.320000,0 days 00:00:36.187000,0 days 00:34:47.306000,0 days 00:35:45.626000,0 days 00:36:21.813000,266.0,77.0,202.0,126.0,True,SOFT,2.0,True,McLaren,0 days 00:34:23.470000,2020-07-12 13:14:25.492,4,9.0,False,,False,False,20.6,34.7,945.8,False,41.0,90,2.3
0 days 00:36:22.217000,NOR,4,0 days 00:01:42.241000,3.0,1.0,,,0 days 00:00:26.274000,0 days 00:00:45.288000,0 days 00:00:30.679000,0 days 00:36:48.087000,0 days 00:37:33.375000,0 days 00:38:04.054000,166.0,159.0,272.0,233.0,True,SOFT,3.0,True,McLaren,0 days 00:36:21.813000,2020-07-12 13:16:23.835,4,9.0,False,,False,False,20.7,35.0,945.8,False,41.5,90,3.3
0 days 00:38:22.217000,NOR,4,0 days 00:01:12.229000,4.0,1.0,,,0 days 00:00:18.233000,0 days 00:00:32.065000,0 days 00:00:21.931000,0 days 00:38:22.287000,0 days 00:38:54.352000,0 days 00:39:16.283000,296.0,221.0,272.0,289.0,True,SOFT,4.0,True,McLaren,0 days 00:38:04.054000,2020-07-12 13:18:06.076,2,9.0,False,,False,False,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:39:22.218000,NOR,4,0 days 00:01:11.819000,5.0,1.0,,,0 days 00:00:17.637000,0 days 00:00:32.297000,0 days 00:00:21.885000,0 days 00:39:33.920000,0 days 00:40:06.217000,0 days 00:40:28.102000,301.0,223.0,273.0,296.0,True,SOFT,5.0,True,McLaren,0 days 00:39:16.283000,2020-07-12 13:19:18.305,1,10.0,False,,False,True,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:41:22.220000,NOR,4,0 days 00:01:10.560000,6.0,1.0,,,0 days 00:00:17.300000,0 days 00:00:31.663000,0 days 00:00:21.597000,0 days 00:40:45.402000,0 days 00:41:17.065000,0 days 00:41:38.662000,318.0,227.0,282.0,296.0,True,SOFT,6.0,True,McLaren,0 days 00:40:28.102000,2020-07-12 13:20:30.124,1,10.0,False,,False,True,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:42:22.218000,NOR,4,0 days 00:01:10.321000,7.0,1.0,,,0 days 00:00:17.263000,0 days 00:00:31.488000,0 days 00:00:21.570000,0 days 00:41:55.925000,0 days 00:42:27.413000,0 days 00:42:48.983000,325.0,227.0,281.0,297.0,True,SOFT,7.0,True,McLaren,0 days 00:41:38.662000,2020-07-12 13:21:40.684,1,10.0,False,,False,True,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:43:22.220000,NOR,4,0 days 00:01:10.560000,8.0,1.0,,,0 days 00:00:17.218000,0 days 00:00:31.507000,0 days 00:00:21.835000,0 days 00:43:06.201000,0 days 00:43:37.708000,0 days 00:43:59.543000,315.0,228.0,280.0,310.0,False,SOFT,8.0,True,McLaren,0 days 00:42:48.983000,2020-07-12 13:22:51.005,1,10.0,False,,False,True,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:44:22.219000,NOR,4,0 days 00:01:10.501000,9.0,1.0,,,0 days 00:00:17.180000,0 days 00:00:31.489000,0 days 00:00:21.832000,0 days 00:44:16.723000,0 days 00:44:48.212000,0 days 00:45:10.044000,326.0,218.0,279.0,308.0,False,SOFT,9.0,True,McLaren,0 days 00:43:59.543000,2020-07-12 13:24:01.565,1,10.0,False,,False,True,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:45:22.222000,NOR,4,0 days 00:01:10.386000,10.0,1.0,,,0 days 00:00:17.156000,0 days 00:00:31.687000,0 days 00:00:21.543000,0 days 00:45:27.200000,0 days 00:45:58.887000,0 days 00:46:20.430000,313.0,226.0,281.0,302.0,False,SOFT,10.0,True,McLaren,0 days 00:45:10.044000,2020-07-12 13:25:12.066,1,10.0,False,,False,True,20.8,35.0,946.0,False,42.5,82,2.3
