Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:54.391000,NOR,4,0 days 00:01:59.936000,1.0,1.0,,,,0 days 00:00:45.211000,0 days 00:00:34.097000,,0 days 00:34:51.687000,0 days 00:35:25.568000,187.0,201.0,275.0,272.0,False,SOFT,1.0,True,McLaren,0 days 00:33:25.335000,2020-09-13 13:13:25.607,24,10.0,False,,False,False,30.1,38.9,993.6,False,45.5,31,2.0
0 days 00:35:54.409000,NOR,4,0 days 00:02:24.371000,2.0,1.0,,,0 days 00:00:54.704000,0 days 00:00:42.794000,0 days 00:00:46.873000,0 days 00:36:20.148000,0 days 00:37:02.942000,0 days 00:37:49.815000,109.0,79.0,256.0,278.0,True,SOFT,2.0,True,McLaren,0 days 00:35:25.452000,2020-09-13 13:15:25.724,4,8.0,False,,False,False,30.3,39.4,993.6,False,45.5,355,3.4
0 days 00:37:54.410000,NOR,4,0 days 00:02:17.331000,3.0,1.0,,,0 days 00:00:54.079000,0 days 00:00:36.861000,0 days 00:00:46.391000,0 days 00:38:43.894000,0 days 00:39:20.755000,0 days 00:40:07.146000,198.0,226.0,251.0,266.0,True,SOFT,3.0,True,McLaren,0 days 00:37:49.823000,2020-09-13 13:17:50.095,4,8.0,False,,False,False,30.1,39.3,993.6,False,45.2,346,3.0
0 days 00:40:54.415000,NOR,4,0 days 00:02:14.602000,4.0,1.0,,,0 days 00:00:49.276000,0 days 00:00:39.252000,0 days 00:00:46.074000,0 days 00:40:56.422000,0 days 00:41:35.674000,0 days 00:42:21.748000,153.0,148.0,248.0,267.0,True,SOFT,4.0,True,McLaren,0 days 00:40:07.154000,2020-09-13 13:20:07.426,4,8.0,False,,False,False,30.1,39.5,993.6,False,45.3,1,2.7
0 days 00:42:54.416000,NOR,4,0 days 00:02:12.713000,5.0,1.0,,,0 days 00:00:51.182000,0 days 00:00:36.380000,0 days 00:00:45.151000,0 days 00:43:12.930000,0 days 00:43:49.310000,0 days 00:44:34.461000,192.0,230.0,258.0,265.0,True,SOFT,5.0,True,McLaren,0 days 00:42:21.756000,2020-09-13 13:22:22.028,4,8.0,False,,False,False,30.3,39.1,993.6,False,45.3,351,2.3
0 days 00:44:54.435000,NOR,4,0 days 00:02:15.809000,6.0,1.0,,,0 days 00:00:51.867000,0 days 00:00:38.640000,0 days 00:00:45.302000,0 days 00:45:26.328000,0 days 00:46:04.968000,0 days 00:46:50.270000,102.0,126.0,236.0,264.0,False,SOFT,6.0,True,McLaren,0 days 00:44:34.469000,2020-09-13 13:24:34.741,4,8.0,False,,False,False,30.4,38.1,993.6,False,45.2,348,2.3
0 days 00:46:54.466000,NOR,4,0 days 00:02:10.596000,7.0,1.0,,0 days 00:48:45.635000,0 days 00:00:47.599000,0 days 00:00:32.342000,0 days 00:00:50.655000,0 days 00:47:37.869000,0 days 00:48:10.211000,0 days 00:49:00.866000,141.0,180.0,,283.0,False,SOFT,7.0,True,McLaren,0 days 00:46:50.278000,2020-09-13 13:26:50.550,24,8.0,False,,False,False,30.3,38.9,993.6,False,45.1,347,2.0
0 days 00:49:54.483000,NOR,4,,8.0,2.0,0 days 00:49:03.502000,0 days 00:51:22.834000,0 days 00:00:51.519000,0 days 00:00:41.797000,,0 days 00:49:52.453000,0 days 00:50:34.212000,,123.0,170.0,,,False,SOFT,8.0,False,McLaren,0 days 00:49:00.874000,2020-09-13 13:29:01.146,45,9.0,False,,False,False,30.4,38.2,993.5,False,45.5,333,2.4
0 days 01:15:54.571000,NOR,4,,9.0,3.0,0 days 01:15:28.444000,,0 days 00:00:52,0 days 00:00:47.140000,0 days 00:01:33.514000,0 days 01:16:16.438000,0 days 01:17:05.414000,0 days 01:18:37.203000,56.0,233.0,165.0,,False,SOFT,4.0,False,McLaren,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,8.0,False,,False,False,30.1,39.6,993.5,False,43.9,351,4.4
0 days 01:18:54.575000,NOR,4,0 days 00:01:29.731000,10.0,3.0,,,0 days 00:00:34.922000,0 days 00:00:24.946000,0 days 00:00:29.863000,0 days 01:19:11.957000,0 days 01:19:36.903000,0 days 01:20:06.766000,249.0,248.0,296.0,255.0,True,SOFT,5.0,False,McLaren,0 days 01:18:37.043000,2020-09-13 13:58:37.315,1,8.0,False,,False,True,30.1,40.4,993.6,False,44.1,11,3.3
