Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:27.318000,VET,5,0 days 00:01:43.478000,1.0,1.0,,,,0 days 00:00:42.164000,0 days 00:00:25.218000,,0 days 00:01:18.560000,0 days 00:01:43.928000,265.0,215.0,246.0,295.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,12.0,False,,False,False,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:02:27.318000,VET,5,0 days 00:01:36.519000,2.0,1.0,,,0 days 00:00:31.871000,0 days 00:00:40.219000,0 days 00:00:24.429000,0 days 00:02:15.620000,0 days 00:02:55.839000,0 days 00:03:20.268000,264.0,217.0,244.0,290.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:01:43.751000,2020-10-11 12:14:58.342,1,12.0,False,,False,True,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:03:27.321000,VET,5,0 days 00:01:35.150000,3.0,1.0,,,0 days 00:00:31.233000,0 days 00:00:39.613000,0 days 00:00:24.304000,0 days 00:03:51.501000,0 days 00:04:31.114000,0 days 00:04:55.418000,,222.0,249.0,297.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:03:20.270000,2020-10-11 12:16:34.861,1,12.0,False,,False,True,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:05:27.325000,VET,5,0 days 00:01:34.475000,4.0,1.0,,,0 days 00:00:30.897000,0 days 00:00:39.394000,0 days 00:00:24.184000,0 days 00:05:26.315000,0 days 00:06:05.709000,0 days 00:06:29.893000,,222.0,244.0,296.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:04:55.420000,2020-10-11 12:18:10.011,1,12.0,False,,False,True,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:07:27.341000,VET,5,0 days 00:01:34.130000,5.0,1.0,,,0 days 00:00:30.803000,0 days 00:00:39.330000,0 days 00:00:23.997000,0 days 00:07:00.696000,0 days 00:07:40.026000,0 days 00:08:04.023000,266.0,222.0,251.0,309.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:06:29.895000,2020-10-11 12:19:44.486,1,12.0,False,,False,True,9.3,58.4,947.5,False,17.7,80,2.4
0 days 00:08:27.355000,VET,5,0 days 00:01:34.674000,6.0,1.0,,,0 days 00:00:30.960000,0 days 00:00:39.560000,0 days 00:00:24.154000,0 days 00:08:34.983000,0 days 00:09:14.543000,0 days 00:09:38.697000,,217.0,248.0,306.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:08:04.025000,2020-10-11 12:21:18.616,1,12.0,False,,False,True,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:10:27.373000,VET,5,0 days 00:01:34.556000,7.0,1.0,,,0 days 00:00:30.965000,0 days 00:00:39.339000,0 days 00:00:24.252000,0 days 00:10:09.662000,0 days 00:10:49.001000,0 days 00:11:13.253000,265.0,220.0,249.0,310.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:09:38.699000,2020-10-11 12:22:53.290,1,12.0,False,,False,True,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:11:27.397000,VET,5,0 days 00:01:34.885000,8.0,1.0,,,0 days 00:00:31.053000,0 days 00:00:39.732000,0 days 00:00:24.100000,0 days 00:11:44.306000,0 days 00:12:24.038000,0 days 00:12:48.138000,264.0,221.0,250.0,309.0,False,MEDIUM,8.0,True,Ferrari,0 days 00:11:13.255000,2020-10-11 12:24:27.846,1,11.0,False,,False,True,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:13:27.411000,VET,5,0 days 00:01:34.528000,9.0,1.0,,,0 days 00:00:30.891000,0 days 00:00:39.626000,0 days 00:00:24.011000,0 days 00:13:19.029000,0 days 00:13:58.655000,0 days 00:14:22.666000,,222.0,250.0,307.0,False,MEDIUM,9.0,True,Ferrari,0 days 00:12:48.140000,2020-10-11 12:26:02.731,1,11.0,False,,False,True,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:14:27.422000,VET,5,0 days 00:01:34.397000,10.0,1.0,,,0 days 00:00:30.877000,0 days 00:00:39.448000,0 days 00:00:24.072000,0 days 00:14:53.543000,0 days 00:15:32.991000,0 days 00:15:57.063000,265.0,222.0,251.0,307.0,False,MEDIUM,10.0,True,Ferrari,0 days 00:14:22.668000,2020-10-11 12:27:37.259,1,11.0,False,,False,True,9.8,57.6,947.5,False,16.6,177,1.6
