Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:05.648000,VET,5,0 days 00:01:40.746000,1.0,1.0,,,,0 days 00:00:34.752000,0 days 00:00:26.719000,,0 days 00:34:11.744000,0 days 00:34:38.539000,258.0,224.0,237.0,247.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,4.0,False,,False,False,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:35:05.648000,VET,5,0 days 00:01:34.777000,2.0,1.0,,,0 days 00:00:33.098000,0 days 00:00:34.570000,0 days 00:00:27.109000,0 days 00:35:11.522000,0 days 00:35:46.092000,0 days 00:36:13.201000,266.0,220.0,235.0,283.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 00:34:38.461000,2020-07-19 13:14:38.661,1,4.0,False,,False,True,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:37:05.650000,VET,5,0 days 00:01:39.675000,3.0,1.0,,0 days 00:37:51.230000,0 days 00:00:33.563000,0 days 00:00:34.886000,0 days 00:00:31.226000,0 days 00:36:46.764000,0 days 00:37:21.650000,0 days 00:37:52.876000,265.0,214.0,,282.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 00:36:13.238000,2020-07-19 13:16:13.438,1,4.0,False,,False,False,21.4,74.3,986.2,False,27.9,116,1.4
0 days 00:38:05.650000,VET,5,0 days 00:01:57.261000,4.0,2.0,0 days 00:38:19.536000,,0 days 00:00:59.400000,0 days 00:00:33.039000,0 days 00:00:24.822000,0 days 00:38:52.276000,0 days 00:39:25.315000,0 days 00:39:50.137000,256.0,220.0,241.0,,False,MEDIUM,1.0,True,Ferrari,0 days 00:37:52.913000,2020-07-19 13:17:53.113,2,13.0,False,,False,False,21.3,74.7,986.3,False,27.0,91,1.5
0 days 00:40:05.652000,VET,5,0 days 00:01:29.026000,5.0,2.0,,,0 days 00:00:32.193000,0 days 00:00:32.627000,0 days 00:00:24.206000,0 days 00:40:22.330000,0 days 00:40:54.957000,0 days 00:41:19.163000,268.0,219.0,245.0,286.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:39:50.174000,2020-07-19 13:19:50.374,1,8.0,False,,False,True,21.2,74.8,986.3,False,26.2,119,1.6
0 days 00:42:05.649000,VET,5,0 days 00:01:26.230000,6.0,2.0,,,0 days 00:00:31.525000,0 days 00:00:31.185000,0 days 00:00:23.520000,0 days 00:41:50.688000,0 days 00:42:21.873000,0 days 00:42:45.393000,270.0,233.0,247.0,283.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:41:19.200000,2020-07-19 13:21:19.400,1,8.0,False,,False,True,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:43:05.667000,VET,5,0 days 00:01:25.027000,7.0,2.0,,,0 days 00:00:30.998000,0 days 00:00:30.329000,0 days 00:00:23.700000,0 days 00:43:16.391000,0 days 00:43:46.720000,0 days 00:44:10.420000,271.0,236.0,245.0,286.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:42:45.430000,2020-07-19 13:22:45.630,1,8.0,False,,False,True,21.0,76.3,986.3,False,25.6,118,1.6
0 days 00:45:05.665000,VET,5,0 days 00:01:24.807000,8.0,2.0,,,0 days 00:00:30.779000,0 days 00:00:30.337000,0 days 00:00:23.691000,0 days 00:44:41.199000,0 days 00:45:11.536000,0 days 00:45:35.227000,274.0,232.0,244.0,285.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:44:10.457000,2020-07-19 13:24:10.657,1,8.0,False,,False,True,21.0,75.5,986.3,False,25.9,130,1.1
0 days 00:46:05.680000,VET,5,0 days 00:01:23.830000,9.0,2.0,,,0 days 00:00:30.287000,0 days 00:00:30.026000,0 days 00:00:23.517000,0 days 00:46:05.514000,0 days 00:46:35.540000,0 days 00:46:59.057000,,236.0,246.0,284.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:45:35.264000,2020-07-19 13:25:35.464,1,8.0,False,,False,True,21.0,76.9,986.2,False,25.9,93,1.1
0 days 00:47:05.695000,VET,5,0 days 00:01:24.022000,10.0,2.0,,,0 days 00:00:30.375000,0 days 00:00:29.984000,0 days 00:00:23.663000,0 days 00:47:29.432000,0 days 00:47:59.416000,0 days 00:48:23.079000,272.0,236.0,246.0,286.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:46:59.094000,2020-07-19 13:26:59.294,1,8.0,False,,False,True,21.3,75.7,986.2,False,26.4,94,1.2
0 days 00:49:05.711000,VET,5,0 days 00:01:25.775000,11.0,2.0,,,0 days 00:00:30.173000,0 days 00:00:29.687000,0 days 00:00:25.915000,0 days 00:48:53.252000,0 days 00:49:22.939000,0 days 00:49:48.854000,275.0,235.0,245.0,285.0,False,MEDIUM,8.0,True,Ferrari,0 days 00:48:23.116000,2020-07-19 13:28:23.316,1,9.0,True,TRACK LIMITS AT TURN 12,False,True,21.4,75.6,986.3,False,26.9,96,1.6
0 days 00:50:05.710000,VET,5,0 days 00:01:23.397000,12.0,2.0,,,0 days 00:00:30.174000,0 days 00:00:29.762000,0 days 00:00:23.461000,0 days 00:50:19.028000,0 days 00:50:48.790000,0 days 00:51:12.251000,274.0,236.0,245.0,288.0,True,MEDIUM,9.0,True,Ferrari,0 days 00:49:48.891000,2020-07-19 13:29:49.091,1,9.0,False,,False,True,21.2,73.8,986.2,False,26.9,78,2.2
0 days 00:52:05.727000,VET,5,0 days 00:01:23.222000,13.0,2.0,,,0 days 00:00:29.850000,0 days 00:00:29.847000,0 days 00:00:23.525000,0 days 00:51:42.101000,0 days 00:52:11.948000,0 days 00:52:35.473000,275.0,233.0,246.0,,True,MEDIUM,10.0,True,Ferrari,0 days 00:51:12.288000,2020-07-19 13:31:12.488,1,9.0,False,,False,True,21.2,72.5,986.2,False,27.0,83,2.8
0 days 00:53:05.728000,VET,5,0 days 00:01:24.218000,14.0,2.0,,,0 days 00:00:30.116000,0 days 00:00:30.115000,0 days 00:00:23.987000,0 days 00:53:05.589000,0 days 00:53:35.704000,0 days 00:53:59.691000,277.0,233.0,252.0,289.0,False,MEDIUM,11.0,True,Ferrari,0 days 00:52:35.510000,2020-07-19 13:32:35.710,1,9.0,False,,False,True,21.0,72.7,986.2,False,26.9,109,1.8
0 days 00:54:05.728000,VET,5,0 days 00:01:24.262000,15.0,2.0,,,0 days 00:00:29.884000,0 days 00:00:30.450000,0 days 00:00:23.928000,0 days 00:54:29.575000,0 days 00:55:00.025000,0 days 00:55:23.953000,275.0,236.0,252.0,303.0,False,MEDIUM,12.0,True,Ferrari,0 days 00:53:59.728000,2020-07-19 13:33:59.928,1,9.0,False,,False,True,21.1,73.1,986.2,False,26.4,104,1.9
0 days 00:56:05.728000,VET,5,0 days 00:01:24.391000,16.0,2.0,,,0 days 00:00:30.197000,0 days 00:00:30.370000,0 days 00:00:23.824000,0 days 00:55:54.150000,0 days 00:56:24.520000,0 days 00:56:48.344000,277.0,236.0,253.0,304.0,False,MEDIUM,13.0,True,Ferrari,0 days 00:55:23.990000,2020-07-19 13:35:24.190,1,9.0,False,,False,True,21.1,74.7,986.3,False,26.3,110,1.4
0 days 00:57:05.728000,VET,5,0 days 00:01:24.478000,17.0,2.0,,,0 days 00:00:29.963000,0 days 00:00:30.566000,0 days 00:00:23.949000,0 days 00:57:18.307000,0 days 00:57:48.873000,0 days 00:58:12.822000,278.0,236.0,250.0,305.0,False,MEDIUM,14.0,True,Ferrari,0 days 00:56:48.381000,2020-07-19 13:36:48.581,1,9.0,False,,False,True,21.2,74.5,986.2,False,26.0,72,1.3
0 days 00:59:05.726000,VET,5,0 days 00:01:25.208000,18.0,2.0,,,0 days 00:00:29.911000,0 days 00:00:30.915000,0 days 00:00:24.382000,0 days 00:58:42.733000,0 days 00:59:13.648000,0 days 00:59:38.030000,277.0,231.0,249.0,301.0,False,MEDIUM,15.0,True,Ferrari,0 days 00:58:12.859000,2020-07-19 13:38:13.059,1,9.0,False,,False,True,21.3,73.1,986.2,False,26.0,76,2.0
0 days 01:00:05.726000,VET,5,0 days 00:01:22.686000,19.0,2.0,,,0 days 00:00:29.594000,0 days 00:00:29.552000,0 days 00:00:23.540000,0 days 01:00:07.624000,0 days 01:00:37.176000,0 days 01:01:00.716000,272.0,236.0,244.0,304.0,True,MEDIUM,16.0,True,Ferrari,0 days 00:59:38.067000,2020-07-19 13:39:38.267,1,8.0,False,,False,True,21.2,73.5,986.2,False,26.1,97,2.0
0 days 01:01:05.727000,VET,5,0 days 00:01:22.435000,20.0,2.0,,,0 days 00:00:29.688000,0 days 00:00:29.405000,0 days 00:00:23.342000,0 days 01:01:30.404000,0 days 01:01:59.809000,0 days 01:02:23.151000,273.0,235.0,245.0,284.0,True,MEDIUM,17.0,True,Ferrari,0 days 01:01:00.753000,2020-07-19 13:41:00.953,1,8.0,False,,False,True,21.3,76.2,986.2,False,26.1,93,2.4
0 days 01:03:05.729000,VET,5,0 days 00:01:22.462000,21.0,2.0,,,0 days 00:00:29.562000,0 days 00:00:29.437000,0 days 00:00:23.463000,0 days 01:02:52.713000,0 days 01:03:22.150000,0 days 01:03:45.613000,275.0,235.0,245.0,,False,MEDIUM,18.0,True,Ferrari,0 days 01:02:23.188000,2020-07-19 13:42:23.388,1,8.0,False,,False,True,21.2,75.8,986.3,False,25.7,98,2.1
0 days 01:04:05.727000,VET,5,0 days 00:01:22.331000,22.0,2.0,,,0 days 00:00:29.469000,0 days 00:00:29.335000,0 days 00:00:23.527000,0 days 01:04:15.082000,0 days 01:04:44.417000,0 days 01:05:07.944000,,237.0,245.0,285.0,True,MEDIUM,19.0,True,Ferrari,0 days 01:03:45.650000,2020-07-19 13:43:45.850,1,8.0,False,,False,True,21.0,76.6,986.3,False,24.0,95,1.9
0 days 01:06:05.733000,VET,5,0 days 00:01:22.808000,23.0,2.0,,,0 days 00:00:29.541000,0 days 00:00:29.656000,0 days 00:00:23.611000,0 days 01:05:37.485000,0 days 01:06:07.141000,0 days 01:06:30.752000,277.0,235.0,246.0,,False,MEDIUM,20.0,True,Ferrari,0 days 01:05:07.981000,2020-07-19 13:45:08.181,1,8.0,False,,False,True,20.7,76.2,986.3,False,23.9,102,2.2
0 days 01:07:05.726000,VET,5,0 days 00:01:22.980000,24.0,2.0,,,0 days 00:00:29.582000,0 days 00:00:29.640000,0 days 00:00:23.758000,0 days 01:07:00.334000,0 days 01:07:29.974000,0 days 01:07:53.732000,275.0,237.0,247.0,286.0,False,MEDIUM,21.0,True,Ferrari,0 days 01:06:30.789000,2020-07-19 13:46:30.989,1,8.0,False,,False,True,20.6,77.7,986.3,False,23.9,120,1.8
0 days 01:08:05.724000,VET,5,0 days 00:01:22.787000,25.0,2.0,,,0 days 00:00:29.519000,0 days 00:00:29.742000,0 days 00:00:23.526000,0 days 01:08:23.251000,0 days 01:08:52.993000,0 days 01:09:16.519000,277.0,235.0,246.0,287.0,False,MEDIUM,22.0,True,Ferrari,0 days 01:07:53.769000,2020-07-19 13:47:53.969,1,8.0,False,,False,True,20.6,78.3,986.3,False,23.9,124,1.5
